DocId,Cited by,Year,Document Type,Title,Abstract,Author Keywords,Authors,DOI
42,,2021,Article,"SPATIAL CLASSIFICATION of URBAN LAND by SPECULATIVE LAND VALUE and MSI SATELLITE IMAGERY USING K-MEANS, in HUANCAYO, PERU [CLASIFICACIÓN ESPACIAL DEL SUELO URBANO POR EL VALOR ESPECULATIVO DEL SUELO E IMÁGENES MSI SATELITALES USANDO K-MEANS, HUANCAYO, PERÚ]","The city of Huancayo, like other intermediate cities in Latin America, faces problems of poorly planned land-use changes and a rapid dynamic of the urban land market. The scarce and outdated information on the urban territory impedes the adequate classification of urban areas, limiting the form of its intervention. The purpose of this research was the adoption of unassisted and mixed methods for the spatial classification of urban areas, considering the speculative land value, the proportion of urbanized land, and other geospatial variables. Among the data collection media, Multi-Spectral Imagery (MSI) from the Sentinel-2 satellite, the primary road system, and a sample of direct observation points, were used. The processed data were incorporated into georeferenced maps, to which urban limits and official slopes were added. During data processing, the K-Means algorithm was used, together with other machine learning and assisted judgment methods. As a result, an objective classification of urban areas was obtained, which differs from the existing planning. © 2021 The authors. All right reserved.",Artificial intelligence; Real estate market; Urban periphery; Urban planning,Zamalloa G.R.P.,10.22320/07183607.2021.24.44.06
90,3.0,2021,Article,"Identifying different types of urban land use dynamics using Point-of-interest (POI) and Random Forest algorithm: The case of Huizhou, China","The significant economic development witnessed in China in recent decades has been accompanied by the increasing expansion of urban areas. Although a growing literature has analyzed the characteristics and driving forces of urban land expansion, less attention has been paid to examining the different expansion determinants driving fine-scale urban land use (residential land, administration and public services land, commercial land, and industrial land) change. This paper aims to identify the differences of multi-mechanisms driving fine-scale urban land use expansion based on big data and machine learning, in the Huizhou downtown area in 2000–2015. The Random Forest (RF) algorithm is used to identify the natural, transportation, location, social, and POI factors driving land expansion by considering different urban land-use categories. Our RF estimations showed that enormous differences existed between various urban land-use types in terms of the role they played in this expansion and their relation to potential determinants, during the different urban development stages studied. Transportation, location, and the distribution of actual land use were found to exert a greater influence on urban land expansion than other factors. All the findings above provide detailed spatiotemporal knowledge and targeted information that can aid in understanding fine-scale urban land use dynamics. In this way, sound planning strategies for different fine-scale land uses can be formulated more scientifically. The strength of association between these factors and urban land expansion differed greatly depending on the different land-use types involved as well as the urban development stage that it occurred within. These results cast a new light on the importance of investigating the potential driving forces in the expansion of different urban land-use types. © 2021 Elsevier Ltd",Big data; Driving forces; Fine-scale; Huizhou; Random Forest; Urban land use,"Wu R., Wang J., Zhang D., Wang S.",10.1016/j.cities.2021.103202
119,13.0,2021,Article,Predicting stream water quality under different urban development pattern scenarios with an interpretable machine learning approach,"Urban development pattern significantly impacts stream water quality by influencing pollutant generation, build-up, and wash-off processes. It is thus necessary to understand and predict stream water quality in accordance with different urban development patterns to effectively advise urban growth planning and policies. To do so, we collected pollutant concentration data on nitrate (NO3−-N), total phosphate (TP), and Escherichia coli (E. coli) from 1047 sampling stations in the Texas Gulf Region. We utilized a Random Forest (RF) machine learning model to predict stream water quality under four planning scenarios with different urban densities and configurations. SHapley Additive exPlanations (SHAP) was used to prove the importance of urban development pattern in influencing stream water quality. The spatial variations of the impact of these patterns were explored with Geographically Weighted Regression (GWR). SHAP results indicated that Largest Patch Index (LPI), Patch Cohesion Index (COHESION), Splitting Index (SPLIT), and Landscape Division Index (DIVISION) were the most important urban development pattern metrics affecting stream water quality. The spatial variations of such patterns were shown to impact stream water quality depending on pollutants, seasonality, climate, and urbanization level. RF prediction results suggested that high density aggregated development was more effective in reducing TP and NO3−-N concentrations than the current sprawl development, but had the potential risk of increasing E. coli pollution in the wet season. The results of this study provide empirical evidence and a potential mechanistic explanation that stream water quality degradation is a consequence of urban sprawl. Lastly, machine learning is a powerful tool for scenario prediction in land use planning to forecast environmental impacts under different urban development pattern scenarios. © 2020 Elsevier B.V.",Landscape metrics; Machine learning; Scenario planning; Urban form; Urban sprawl; Water quality,"Wang R., Kim J.-H., Li M.-H.",10.1016/j.scitotenv.2020.144057
135,1.0,2021,Article,"Using satellite data to analyse raw material consumption in Hanoi, Vietnam","In this work, we provide an innovative route for analysing urban expansion and population growth and their link to the consumption of construction materials by combining satellite data with material consumption analysis within the Hanoi Province (Vietnam). Urban expansion is investigated with the use of landcover maps for the period 1975–2020 derived from satellite. During this period, artificial surfaces and agricultural areas have increased by 11.6% and 15.5%, re-spectively, while forests have decreased by 26.7%. We have used publicly available datasets to calculate and forecast the construction materials consumption and measure its statistical correla-tion with urban expansion between 2007 and 2018. Our results show that official figures for sand consumption are currently underestimated, and that by 2030, steel and sand and gravel consumption will increase even further by three and two times, respectively. Our analysis uses a new method to assess urban development and associated impacts by combining socio-economic and Earth Observation datasets. The analysis can provide evidence, underpin decision-making by au-thorities, policymakers, urban planners and sustainability experts, as well as support the development of informed strategies for resource consumption. It can also provide important information for identifying areas of land conservation and ecological greenways during urban planning. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Cloud computing; Construction materials; Land cover; Machine learning; Material consumption analysis,"Novellino A., Brown T.J., Bide T., Anh N.T.T., Petavratzi E., Kresse C.",10.3390/rs13030334
190,4.0,2021,Article,"Urban Water Demand Modeling Using Machine Learning Techniques: Case Study of Fortaleza, Brazil","Despite recent efforts to apply machine learning (ML) for water demand modeling, overcoming the black-box nature of these techniques to extract practical information remains a challenge, especially in developing countries. This study integrated random forest (RF), self-organizing map (SOM), and artificial neural network (ANN) techniques to assess water demand patterns and to develop a predictive model for the city of Fortaleza, Brazil. We performed the analysis at two spatial scales, with different level of information: census tracts (CTs) at the fine scale, and census blocks (CBs) at the coarse scale. At the CB scale, demand was modeled with socioeconomic, demographic, and household characteristics. The RF technique was applied to rank these variables, and the most relevant were used to cluster census blocks with SOMs. RFs and ANNs were used in an iterative approach to define the input variables for the predictive model with minimum redundancy. At the CT scale, demand was modeled using HDI and per capita income. Variables which assess the education level and economic aspects of households demonstrated a direct relationship with water demand. The analysis at the coarse scale provided more insight into the relationship between the variables; however, the predictive model performed better at the fine scale. This study demonstrates how data-driven models can be helpful for water management, especially in environments with strong socioeconomic inequalities, where urban planning decisions should be integrated and inclusive. © 2020 American Society of Civil Engineers.",,"Carvalho T.M.N., De Souza Filho F.D.A., Porto V.C.",10.1061/(ASCE)WR.1943-5452.0001310
208,7.0,2020,Article,Assessing urban growth in Ghana using machine learning and intensity analysis: A case study of the New Juaben Municipality,"Population growth coupled with economic, housing and environmental factors have significantly contributed into accelerated land use change in the New Juaben Municipality of Ghana. These factors have caused destruction of natural habitat and increased natural hazards such as flooding in the Municipality. Monitoring land use/land cover change is essential in respect to the dynamics of both human and natural factors that affect the biophysical and biochemical properties of the land surface. This research investigates the transitions among the major land use/land cover categories in the Municipality as a highly populated urban region that is facing some environmental challenges such as deforestation and degradation of the environment. Random Forest was adopted for the classification of 1985, 1991, 2002 and 2015 land cover maps while the analysis of the dynamics was conducted using intensity analysis. The unique contribution of this article is the combine usage of machine learning algorithm and intensity analysis to assess the changes in land use/land cover. The results showed that 1985–1991 and 2002–2015 periods experience fast change and the land use transformation has been accelerating over the whole period. The major changes were caused by the Built-up and Agricultural activities constituting 21.24 % and 13.19 % respectively in the category level. It is recommended that, authorities should consider several structural transformation measures within Ghana, including inter-sectoral land use harmonization policies (e.g. the Land Use and Spatial Planning Act 2016), land use planning and legal reforms to help address the underlying drivers of urban led deforestation. © 2020 Elsevier Ltd",Ghana; Intensity analysis; Random forest classification; UN sustainable development goals; Urbanization,"Nyamekye C., Kwofie S., Ghansah B., Agyapong E., Boamah L.A.",10.1016/j.landusepol.2020.105057
213,1.0,2020,Article,Analysing urban development patterns in a conflict zone: A case study of kabul,"A large part of the population in low-income countries (LICs) lives in fragile and conflict-affected states. Many cities in these states show high growth dynamics, but little is known about the relation of conflicts and urban growth. In Afghanistan, the Taliban regime, which lasted from 1996 to 2001, caused large scale displacement of the population. People from Afghanistan migrated to neighboring countries like Iran and Pakistan, and all developments came to a halt. After the US invasion in October 2001, all the major cities in Afghanistan experienced significant population growth, in particular, driven by the influx of internally displaced persons. Maximum pressure of this influx was felt by the capital city, Kabul. This rapid urbanization, combined with very limited capacity of local authorities to deal with this growth, led to unplanned urbanization and challenges for urban planning and management. This study analyses the patterns of growth between 2001 and 2017, and the factors influencing the growth in the city of Kabul with the help of high-resolution Earth Observation-based data (EO) and spatial logistic regression modelling. We analyze settlement patterns by extracting image features from high-resolution images (aerial photographs of 2017) and terrain features as input to a random forest classifier. The urban growth is analyzed using an available built-up map (extracted from IKONOS images for the year 2001). Results indicate that unplanned settlements have grown 4.5 times during this period, whereas planned settlements have grown only 1.25 times. The unplanned settlements expanded mostly towards the west and north west parts of the city, and the growth of planned settlements happened mainly in the central and eastern parts of the city. Population density and the locations of military bases are the most important factors that influence the growth, of both planned and unplanned settlements. The growth of unplanned settlement occurs predominantly in areas of steeper slopes on the hillside, while planned settlements are on gentle slopes and closer to the institutional areas (central and eastern parts of the city). We conclude that security and availability of infrastructure were the main drivers of growth for planned settlements, whereas unplanned growth, mainly on hillsides, was driven by the availability of land with poor infrastructure. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.",Conflict; GLCM; Informal areas; Machine learning; Random forest classification; Spatial logistic regression; Unplanned areas; Urban growth; Urban growth model,"Chaturvedi V., Kuffer M., Kohli D.",10.3390/rs12213662
225,14.0,2020,Article,Improving land-use change modeling by integrating ANN with Cellular Automata-Markov Chain model,"Urban growth and land-use change are a few of many puzzling factors affecting our future cities. Creating a precise simulation for future land change is a challenging process that requires temporal and spatial modeling. Many recent studies developed and trained models to predict urban expansion patterns using Artificial Intelligence (AI). This study aims to enhance the simulation capability of Cellular Automata Markov Chain (CA-MC) model in predicting changes in land-use. This study integrates the Artificial Neural Network (ANN) into CA-MC to incorporate several driving forces that highly impact land-use change. The research utilizes different socio-economic, spatial, and environmental variables (slope, distance to road, distance to urban centers, distance to commercial, density, elevation, and land fertility) to generate potential transition maps using ANN Data-driven model. The generated maps are fed to CA-MC as additional inputs. We calibrated the original CA-MC and our models for 2015 cross-comparing simulated maps and actual maps obtained for Irbid city, Jordan in 2015. Validation of our model was assessed and compared to the CA-MC model using Kappa indices including the agreement in terms of quantity and location. The results elucidated that our model with an accuracy of 90.04% substantially outperforms CA-MC (86.29%) model. The improvement we obtained from integrating ANN with CA-MC suggested that the influence imposed by the driving force was necessary to be taken into account for more accurate prediction. In addition to the improved model prediction, the predicted maps of Irbid for the years 2021 and 2027 will guide local authorities in the development of management strategies that balance urban expansion and protect agricultural regions. This will play a vital role in sustaining Jordan's food security. © 2020Environmental science, Computer science, Geography, Land use planning, Land use change, Urban growth, Machine learning, Urban planning, Modeling; Artificial intelligence, Cellular Automata, Markov Chain. © 2020",Artificial intelligence; Cellular Automata; Computer science; Environmental science; Geography; Land use change; Land use planning; Machine learning; Markov Chain; Modeling; Urban growth; Urban planning,"Gharaibeh A., Shaamala A., Obeidat R., Al-Kofahi S.",10.1016/j.heliyon.2020.e05092
293,3.0,2020,Article,Sensing Mixed Urban Land-Use Patterns Using Municipal Water Consumption Time Series,"The biased population coverage and short temporal lengths of newly emerged data sets (e.g., data sets of social media, mobile phones, and smart cards) obstruct the effective analysis of long-term dynamics of landuse patterns, particularly in small and developing cities. This study proposed a framework to delineate and analyze mixed land-use patterns and their evolution using municipal water consumption data. A two-step classification strategy was designed based on the rotation forest scheme to differentiate the socioeconomic types of customers (e.g., residence, commerce, public facility, manufacturing, and recreation) using multiple features extracted from the various forms of water consumption time series. The spatial distributions of the socioeconomic functions were then derived, and the mixed land use was measured using a diversity index based on information entropy. Such an approach was applied to Changshu, a typical developing county-level city in China, for the period 2004 to 2013. The results showed that the urbanization of Changshu experienced both spatial expansion and intensification, with a slightly declining rate of growth in recent years. Apart from the city center, two subcenters have emerged for industrial development. The degree of land-use mixture has increased with urban growth, indicating a maturing of urbanization. This study explored the approach of identifying individual socioeconomic functions by the consumption patterns of municipal services and demonstrated that municipal service data sets can reveal land-use patterns and dynamics at a fine spatial resolution to evaluate urban planning and management, with the advantages of large population coverage and long-term temporal lengths. © 2020, © 2020 by American Association of Geographers.",land-use patterns; mixed land use; municipal water consumption; rotation forest; social sensing,"Guan Q., Cheng S., Pan Y., Yao Y., Zeng W.",10.1080/24694452.2020.1769463
302,1.0,2020,Article,Mapping Urban Slum Settlements Using Very High-Resolution Imagery and Land Boundary Data,"Accurate mapping of slums is crucial for urban planning and management. This article proposes a machine learning, hierarchical object-based method to map slum settlements using very high-resolution (VHR) imagery and land boundary data to support slum upgrading. The proposed method is tested in Kingston Metropolitan Area, Jamaica. First, the VHR imagery is classified into major land cover classes (i.e., the initial land cover map). Second, the VHR imagery and land boundary layer are used to obtain homogenous neighborhoods (HNs). Third, the initial land cover map is used to derive multiple context, spectral, and texture image features according to the local physical characteristics of slum settlements. Fourth, a machine-learning classifier, classification and regression trees, is used to classify HNs into slum and nonslum settlements using only the effective image features. Finally, reference data collected manually are used to assess the accuracy of the classification. In the training site, an overall accuracy of 0.935 is achieved. The effective image indicators for slum mapping include the building layout, building density, building roof characteristics, and distance from buildings to gullies. The classifier and those features selected from the training site are further used to map slums in two validating sites to assess the transferability of our approach. Overall accuracy of the two validating sites reached 0.928 and 0.929, respectively, suggesting that the features and classification model obtained from one site has the potential to be transferred to other areas in Jamaica and possibly other developing Caribbean countries with similar situation and data availability. © 2008-2012 IEEE.",Classification and regression trees (CART); Jamaica; object-oriented classification; slum settlements; very high-resolution (VHR) image,"Williams T.K.-A., Wei T., Zhu X.",10.1109/JSTARS.2019.2954407
