Cluster,DocId,Cited by,Title,Author Keywords,Abstract,Year,Source title,Authors,DOI,Document Type,x,y
3,10,,Reconceptualizing urban heat island: Beyond the urban-rural dichotomy,Complex urban system; Environmental sustainability; Mitigation and adaptation; Networks; Urban heat island,"Past decades have seen drastically increasing research effort and progress on the study of the phenomenon of urban heat island (UHI). Despite its simplicity, this convenient concept has promoted significant advances in scientific research and policy making processes in the urban environmental community. Nevertheless, the oversimplification and inadequacy of the urban-rural dichotomy, inherited in the UHI concept, is increasingly manifest today in the continuously urbanized world. In this study, we conduct a holistic and in-depth survey of the inadequacy of the urban-rural dichotomy intrinsic to the definition of UHI, from theoretical, technical, and practical perspectives. In addition, in the light of recent research advances, we urge to radically reconceptualize UHI by proposing a novel paradigm by treating the total urban environment as a complex dynamic system. The new framework broadens the frontier of conventional urban environmental study by utilizing advanced techniques of complex systems and data sciences, including complex network theory, machine learning techniques, causal inference, etc. The reconceptualization of UHI is also expected to foster decision making and urban planning, and to avoid the one-sidedness of the singular and often too exclusive aim of heat mitigation. © 2021 Elsevier Ltd",2022,Sustainable Cities and Society,Wang Z.-H.,10.1016/j.scs.2021.103581,Review,9.8804922104,6.9057312012
3,13,,Designing Data Validation Framework for Crowd-Sourced Road Monitoring Applications,Crowd sourcing; Data validation; Machine learning; Naive Bayes,"With the wide availability of smartphone sensing and the Internet connections, mobile crowd sourcing (MCS) has become a promising paradigm for collecting opinions and providing services to the citizens. In the smart city context, crowd data, both in the form of their opinions and in the form of sensing data from their smartphones are very useful for scalable monitoring of resource demand and planning. Since these devices are portable, it is carried by almost every citizen, thus making them ubiquitous. However, the main bottleneck of such crowd intelligence-based services is data validation as opinions can be biased, influenced by some factors not relevant to the problem in focus. So, in this paper, a data validation framework utilizing machine learning techniques for mobile crowdsourcing applications is proposed. It is focused on MCS-based road monitoring applications. The idea of crowdsourced urban area road monitoring application(CURMA) presented in the paper is implemented and results show the crucial need for such data validation frameworks. © 2022, The Institution of Engineers (India).",2022,Journal of The Institution of Engineers (India): Series B,"Saha J., Roy S., Das T.K., Purkait K., Chowdhury C.",10.1007/s40031-022-00713-x,Article,9.3869342804,6.7410521507
3,22,1.0,GCN2CDD: A Commercial District Discovery Framework via Embedding Space Clustering on Graph Convolution Networks,Commercial district discovery; embedding space; graph convolution networks (GCNs); human mobility,"Modern enterprises attach much attention to the selection of commercial locations. With the rapid development of urban data and machine learning, we can discover the patterns of human mobility with these data and technology to guide commercial district discovery. In this article, we propose an unsupervised commercial district discovery framework via embedding space clustering on graph convolution networks to solve the problem of commercial district discovery. Specifically, the proposed framework aggregates human mobility features according to geographic similarity by graph convolution networks. Based on the graph convolution network embedding space, we apply hierarchical clustering to mine the latent functional regions hidden in different human patterns. Then, with the kernel density estimation, we can obtain the semantic labels for the clustering results to discover commercial districts. Finally, we analyze the multisource data of the Xiaoshan District and Chengdu City, and experiments verify the effectiveness of our framework. © 2005-2012 IEEE.",2022,IEEE Transactions on Industrial Informatics,"Shen G., Zhao Z., Kong X.",10.1109/TII.2021.3051934,Article,9.4970664978,6.5754718781
3,28,,Artificial intelligence in urban forestry—A systematic review,Deep learning; Governance; Green infrastructure; Machine learning; Nature-based solutions; Urban planning; Urban trees,"Environmental quality and the citizens' well-being largely depend on the urban forests. But managing this natural capital is challenging for its biological complexity and interactions with other environmental, social, and economic aspects of the cities. In line with the current digital revolution with the rise of Smart Cities, the use of Artificial Intelligence (AI) is becoming more common, including in urban forestry. In this systematic review, we evaluated 67 studies on the interplay between AI and urban forestry surveyed on Science Direct and Scopus to provide an overview of the state of the art and identify new research avenues. The sample includes studies in 23 countries and 85 cities, including 5 megacities, comprising the remote assessment of canopy cover and species distribution; ecosystem services assessment; management practices; and socioeconomic aspects of urban forestry. Most studies focused on extant urban forests, with few examples evaluating temporal trends, and only one focused on future scenarios despite the predictive potential of AI. A total of 22 AI methods were employed in these studies. Only half of them point to clear advantages of the chosen methods, such as robustness against missing data, overfitting, collinearity, non-linearity, non-normality, the combination of discrete and continuous variables, and higher accuracy. The choice of these methods depends on the various combinations of aim, timescale, data type, and data source. The application of AI in urban forestry is in full growth and will support decision making to improve livability in the cities. © 2021 Elsevier GmbH",2021,Urban Forestry and Urban Greening,"César de Lima Araújo H., Silva Martins F., Tucunduva Philippi Cortese T., Locosselli G.M.",10.1016/j.ufug.2021.127410,Review,9.9041633606,6.9415850639
3,30,,Multistep Traffic Speed Prediction from Spatial-Temporal Dependencies Using Graph Neural Networks,Attention mechanism; Deep learning; Graph convolution; Traffic speed prediction,"Accurate traffic forecasting on citywide networks is one of the crucial urban data mining applications that accurately provide congestion warning and transportation scheduling. While previous work has made significant efforts to learn traffic temporal dynamics and spatial dependencies, two key limitations exist in current models: (1) most existing approaches solely capture spatial correlations among neighbors on predefined graph structure, and genuine relation may be missing due to the incomplete graph connections; and (2) existing methods are defective to capture the temporal trends because the recurrent and stacking structure employed in these methods suffers from the long-range temporal dependency vanquish problem. To overcome the difficulty in multistep prediction and further capture the dynamic spatialoral dependencies of traffic flows, we propose a new traffic speed prediction framework for multiscale graph attention networks (MS-GATNs). In particular, MS-GATNs is a hierarchically structured graph neural architecture that learns not only the local region-wise geographical dependencies but also the spatial semantics from a global perspective. Furthermore, a multiheads attention mechanism is introduced to empower our model with the capability of capturing complex nonstationary temporal dynamics. Experiments on real-world traffic data sets demonstrate that MS-GATNs outperforms the state-of-the-art baselines in long-term forecasting. © 2021 American Society of Civil Engineers.",2021,Journal of Transportation Engineering Part A: Systems,"Wu X., Fang J., Liu Z., Wu X.",10.1061/JTEPBS.0000600,Article,9.165640831,6.5371947289
3,38,,A Support Vector Machine Implementation for Traffic Assignment Problem,omnet++; sumo; svm; traci; vanet; veins,"Simulating urban mobility scenarios is a useful tool for researchers in multiple fields like Urban Planning, Traffic Optimization, CO$^2$ Emissions Analysis, Performance Evaluation of Protocols for Connected Vehicles, among others. SUMO handles microscopic traffic simulations and allows communication to Python language through an API which is also shared by VEINS. This communication channel lets researchers interact with the simulation on-live, facilitating the implementation of state-of-the-art algorithms from Machine Learning (ML) and Artificial Intelligence (AI). On the other hand, OMNeT++ is a framework to manage and analyze communication protocols of mobile networks. We experimentally evaluated the training of a Support Vector Machine (SVM) in the SUMO-VEINS-OMNeT++ framework. Our experiments show the best classification model for a particular traffic light assignment scenario. © 2021 ACM.",2021,"PE-WASUN 2021 - Proceedings of the 18th ACM Symposium on Performance Evaluation of Wireless Ad Hoc, Sensor, and Ubiquitous Networks","González-Vergara J., Serrano N., Iza C.",10.1145/3479240.3488502,Conference Paper,9.0916090012,6.6421198845
3,47,1.0,Prediction of crime rate in urban neighborhoods based on machine learning,Big data analysis; Crime rate; Machine learning; Urban design,"As the impact of crime on the lives of residents has increased, there are a number of methods for predicting where crime will occur. They tend to explore only the association established between a single factor and the distribution of crime. In order to more accurately and quickly visualize and predict crime distribution in different neighborhoods, and to provide a basis for security planning and design by planning designers, this paper uses GAN neural networks to build a prediction model of city floor plans and corresponding crime distribution maps. We take Philadelphia as the research sample, use more than 2 million crime information of Philadelphia from 2006 to 2018 to draw the crime hotspot distribution map, and collect the corresponding map of Philadelphia, and train the model for predicting the crime rate of the city with more than two thousand sets of one-to-one corresponding images as the training set. When the training is complete, a floor plan can be fed directly to the model, and the model will immediately feed back a hotspot map reflecting the crime distribution. Using the untrained Philadelphia data as the test set, the model can accurately predict crime concentration areas and the predicted crime concentration areas are similar to the concentration areas considered in previous studies. With the feedback from the model, the city layout can be adjusted and the crime rate can be greatly reduced when the simulated city planner tunes into the city plan. In addition the ideas in this paper can be applied as a set of methodologies to predict other relevant urban characteristic parameters and visualize them. © 2021 Elsevier Ltd",2021,Engineering Applications of Artificial Intelligence,"He J., Zheng H.",10.1016/j.engappai.2021.104460,Article,9.6458702087,6.5859236717
3,55,,Zurich like New: Analyzing Open Urban Multimodal Data,citizen reports; civic computing; semantic segmentation; text embedding; urban data; user-generated content,"Citizen-driven platforms for enhancing local public services have been adopted in several countries like the UK and Switzerland. Local governments use data collected from these platforms to solve reported issues. Data can also be used by governments for data-driven decision-making and to improve the operation of the platforms themselves. In particular, as citizen reports become increasingly popular, there is a need to handle them more efficiently. In this paper, we present an analysis of ZüriWieNeu, a map-based website helping people in Zurich, Switzerland to report urban issues related to waste, broken streetlamps, or graffiti, among others. Our contributions are two-fold. First, we analyze what machine-extracted textual, visual, spatial and temporal features reveal about the dynamics of reporting and the content of each report category. This analysis provides a snapshot of the common patterns of urban issues in the Zurich area. Second, we perform classification to automatically infer the category of reports, achieving promising performance. Our work contributes towards developing machine learning-based systems to classify report categories, with the ultimate goal of supporting both users and platform operation. © 2021 ACM.",2021,"UrbanMM 2021 - Proceedings of the 1st International Workshop on Multimedia Computing for Urban Data, co-located with ACM MM 2021","Granero Moya M., Phan T.-T., Gatica-Perez D.",10.1145/3475721.3484310,Conference Paper,9.5834732056,6.7645440102
3,62,,DTEx: A dynamic urban thermal exposure index based on human mobility patterns,Ambient air temperature; Crowdsourcing; Foot traffic; Thermal comfort; Volunteered geographic information (VGI),"Background: Extreme heat in light of climate change is increasingly threatening the health and comfort of urban residents. Understanding spatio-temporal patterns of heat exposure is a critical factor in directing mitigation measures. Current heat vulnerability indices provide insight into heat sensitivities within given communities but do not account for the dynamic nature of the human movement as people travel for different activities. Here, we present a new Dynamic urban Thermal Exposure index (DTEx) that captures the varying heat exposure within urban environments. Methods: We developed the DTEx to understand human heat exposure patterns in a mid-sized city. This index incorporates the human movement pattern and the heat hazard pattern obtained via novel and advanced techniques. We generated the human movement pattern from large-scale, anonymized smartphone location data. The heat hazard patterns were extrapolated via machine learning models from air temperature data measured through vehicle-mounted sensors. The exposure index was then developed by combining the two parameters using their standard-deviation-classified indices. Results: Our exposure index varied between 2 and 12, indicating low to high thermal exposures. Several high-temperature spots associated with a large volume of foot traffic are successfully identified through this DTEx. We observed the hottest spots at shopping plazas but not specifically in the urban center. During the selected football gameday, the exposure index surged across most places near the football stadium but was reduced considerably further away. Discussion: The proposed DTEx is novel because it provides dynamic heat monitoring capability to facilitate heat mitigation strategies at vulnerable locations in urban environments. Combining the mobility data and extensive sensor data generates rich details on the most heat-exposed areas due to human congregation. Such information will be critical for risk communication and urban planning for policymakers. DTEx could also help smart route planning in sustainable cities to avoid heat hazards risks. © 2021 The Authors",2021,Environment International,"Yin Y., Grundstein A., Mishra D.R., Ramaswamy L., Hashemi Tonekaboni N., Dowd J.",10.1016/j.envint.2021.106573,Article,9.5118732452,6.6694970131
3,63,,A Traffic Accident Risk Prediction Model Based on Spatial Gated Memory Network,deep learning; risk prediction; traffic accident prediction; zero expansion problem,"The prediction of traffic accidents is becoming more and more important in the field of public safety, especially in travel route planning and road safety deployment. Due to the development of deep learning, traffic accident prediction can evolve from traditional machine learning algorithms to neural networks to predict the risk of accidents in a short period of time (hour level) in the future. However, the large urban area and sparse traffic accident samples will bring difficulties to deep learning prediction. If it is not solved, it will easily lead to zero-expansion problems, leading to inaccurate prediction results. In response to the above problems, this paper proposes a space-gated memory network (SGMN) based on deep learning. The model combines real-time accident risk, real-time traffic flow, and real-time weather with multiple inputs to predict sub-regions with high accident risk. In order to verify the performance of the model, two real data sets are used to evaluate the performance of the model. The results show that the performance of SGMN is better than that of commonly used memory neural networks such as RNN, LSTM, GRU, Convulsion and Hereto-ConvLSTM, which validates the model. © 2021 IEEE.",2021,"2021 International Conference on Electronic Information Engineering and Computer Science, EIECS 2021","Lai S., Zhou C., Song X., Zhang X.",10.1109/EIECS53707.2021.9588055,Conference Paper,9.1012620926,6.5525393486
