DocId,Cited by,Year,Document Type,Title,Abstract,Author Keywords,Authors,DOI
44,34.0,2018,Article,Citizen-centered big data analysis-driven governance intelligence framework for smart cities,"Sensors and systems within rapidly expanding smart cities produce citizen-centered big data which have potential value to support citizen-centered urban governance decision-making. There exists a wealth of extant conceptual studies, however, further operational studies are needed to establish a specific path towards implementation of such data to governance decision-making with analytical algorithms that are appropriate for each step of the path. This paper proposes a framework for the use of citizen-centered big data analysis to drive governance intelligence in smart cities from two perspectives: urban governance issues and data-analysis algorithms. The framework consists of three layers: 1) A data-merging layer, which builds a citizen-centered panoramic data set for each citizen by merging citizen-related big data from multiple sources in collaborative urban governance via similarity calculation and conflict resolution; 2) a knowledge-discovery layer, which plots the citizen profile and citizen persona at both individual and group levels in terms of urban public service delivery and citizen participation via simple statistical analysis techniques, machine learning, and econometrics methods; and 3) a decision-making layer, which uses ontology models to standardize urban governance-related attributes, personas, and associations to support governance decision-making via data mining and Bayesian Net techniques. Finally, the proposed framework is validated in a case study on blood donation governance in China. This research highlights the value of citizen-centered big data, pushes data-to-decision research from conceptual to operational, synthesizes previously published frameworks for citizen-centered big data analysis in smart cities, and enhances the mutual supplement cross multiple disciplinaries. © 2018 Elsevier Ltd",Citizen persona; Citizen profile; Citizen-centered big data; Data merging; Data-analysis algorithm; Governance intelligence; Ontology model; Smart cities,"Ju J., Liu L., Feng Y.",10.1016/j.telpol.2018.01.003
47,34.0,2016,Article,Semantic framework of internet of things for smart cities: Case studies,"In recent years, the advancement of sensor technology has led to the generation of heterogeneous Internet-of-Things (IoT) data by smart cities. Thus, the development and deployment of various aspects of IoT-based applications are necessary to mine the potential value of data to the benefit of people and their lives. However, the variety, volume, heterogeneity, and real-time nature of data obtained from smart cities pose considerable challenges. In this paper, we propose a semantic framework that integrates the IoT with machine learning for smart cities. The proposed framework retrieves and models urban data for certain kinds of IoT applications based on semantic and machine-learning technologies. Moreover, we propose two case studies: pollution detection from vehicles and traffic pattern detection. The experimental results show that our system is scalable and capable of accommodating a large number of urban regions with different types of IoT applications. © 2016 by the author; licensee MDPI, Basel, Switzerland.",Energy management; Internet of things; Smart city; Traffic pattern,"Zhang N., Chen H., Chen X., Chen J.",10.3390/s16091501
57,28.0,2020,Article,PSO-ELM: A Hybrid Learning Model for Short-Term Traffic Flow Forecasting,"Accurate and reliable traffic flow forecasting is of importance for urban planning and mitigation of traffic congestion, and it is also the basis for the deployment of intelligent traffic management systems. However, constructing a reasonable and robust forecasting model is a challenging task due to the uncertainties and nonlinear characteristics of traffic flow. Aiming at the nonlinear relationship affecting traffic flow forecasting effect, a PSO-ELM model based on particle swarm optimization is proposed for short-term traffic flow forecasting, which takes the advantages of particle swarm optimization to search global optimal solution and extreme learning machine to fast deal with the nonlinear relationship. The proposed model improves the accuracy of traffic flow forecasting. The traffic flow data from highways A1, A2, A4, A8 connecting to Amsterdam's ring road are employed for the case study. The RMSEs of PSO-ELM model are respectively 252.61, 173.75, 200.24, 146.05, while the MAPEs of PSO-ELM model are respectively 11.86%, 10.10%, 10.74%, 11.60%. The experimental results show that the performance of the proposal is significantly better than the performance of state-of-the-art models. © 2013 IEEE.",extreme learning machine; particle swarm optimization; Short-term traffic flow forecasting; time-series model,"Cai W., Yang J., Yu Y., Song Y., Zhou T., Qin J.",10.1109/ACCESS.2019.2963784
108,15.0,2015,Conference Paper,Strategway: Web solutions for building public transportation routes using big geodata analysis,"We propose Strategway, a group of web solutions for public transportation route planning based on real geo-data obtained from city residents. The idea behind the solution is to use collected data about city residents' transportation needs (residents' preferences) and to build an optimal route network minimizing total cost of ownership. As transportation preferences of people are represented as a large set of geoobjects, machine learning algorithms were modified to take geodata specifics into account. Strategway includes the analytics core for data gathering, clustering and route design based on machine learning techniques. These features can be considered as contribution in smart algorithms for urban planning systems. Pseudocode of main algorithms with novel additions are represented in the paper as the results of some case studies. Future work is declared in the end to highlight the ways of contribution to the domain of analytics as a web service. © 2015 ACM.",Big data analytics; City; Decision support; GIS; Population preferences; Public transportation; Route planning,"Golubev A., Chechetkin I., Solnushkin K.S., Sadovnikova N., Parygin D., Shcherbakov M.",10.1145/2837185.2843851
116,13.0,2019,Article,Inferring Pedestrian Motions at Urban Crosswalks,"Robust prediction of pedestrian behavior is one of the most challenging problems for autonomous driving. Particularly, predicting pedestrian crossings at crosswalks is of considerable importance for avoiding accidents on the one hand and not unnecessarily slowing down traffic on the other hand. Traditional model-based motion tracking and prediction approaches have difficulties in capturing abrupt changes in motions, as humans can perform them. In this paper, an approach for predicting pedestrian motions that combines established motion tracking algorithms with data-driven methods is presented. The approach is built upon a hierarchical structure, where first, the intent of each pedestrian is classified. Then, the approach computes several qualitative metrics, such as time-to-cross, for the pedestrians classified as crossing. The approach is evaluated on a challenging urban data set collected for different types of crosswalks such as roundabouts and straight roads. The evaluation also provides a thorough analysis of the generalization performance of the proposed approach. © 2000-2011 IEEE.",Autonomous vehicles; decision making; machine learning; prediction methods,"Volz B., Mielenz H., Gilitschenski I., Siegwart R., Nieto J.",10.1109/TITS.2018.2827956
118,13.0,2016,Article,Automated urban travel interpretation: A bottom-up approach for trajectory segmentation,"Understanding travel behavior is critical for an effective urban planning as well as for enabling various context-aware service provisions to support mobility as a service (MaaS). Both applications rely on the sensor traces generated by travellers’ smartphones. These traces can be used to interpret travel modes, both for generating automated travel diaries as well as for real-time travel mode detection. Current approaches segment a trajectory by certain criteria, e.g., drop in speed. However, these criteria are heuristic, and, thus, existing approaches are subjective and involve significant vagueness and uncertainty in activity transitions in space and time. Also, segmentation approaches are not suited for real time interpretation of open-ended segments, and cannot cope with the frequent gaps in the location traces. In order to address all these challenges a novel, state based bottom-up approach is proposed. This approach assumes a fixed atomic segment of a homogeneous state, instead of an event-based segment, and a progressive iteration until a new state is found. The research investigates how an atomic state-based approach can be developed in such a way that can work in real time, near-real time and offline mode and in different environmental conditions with their varying quality of sensor traces. The results show the proposed bottom-up model outperforms the existing event-based segmentation models in terms of adaptivity, flexibility, accuracy and richness in information delivery pertinent to automated travel behavior interpretation. © 2016 by the authors; licensee MDPI, Basel, Switzerland.",Activity; Context; GPS; IMU; MaaS; Machine learning; Temporal calculi; Trajectory; Trip,"Das R.D., Winter S.",10.3390/s16111962
122,12.0,2019,Conference Paper,Safe reinforcement learning with scene decomposition for navigating complex urban environments,"Navigating urban environments represents a complex task for automated vehicles. They must reach their goal safely and efficiently while considering a multitude of traffic participants. We propose a modular decision making algorithm to autonomously navigate intersections, addressing challenges of existing rule-based and reinforcement learning (RL) approaches. We first present a safe RL algorithm relying on a model-checker to ensure safety guarantees. To make the decision strategy robust to perception errors and occlusions, we introduce a belief update technique using a learning based approach. Finally, we use a scene decomposition approach to scale our algorithm to environments with multiple traffic participants. We empirically demonstrate that our algorithm outperforms rule-based methods and reinforcement learning techniques on a complex intersection scenario. © 2019 IEEE.",,"Bouton M., Nakhaei A., Fujimura K., Kochenderfer M.J.",10.1109/IVS.2019.8813803
123,12.0,2019,Article,Smart mobile crowdsensing with urban vehicles: A deep reinforcement learning perspective,"Mobile crowdsensing (MCS) is a promising sensing paradigm based on the mobile node which provides the solution with cost-effectiveness to perform urban data collection. To monitor the urban environment and facilitate the municipal administration, more and more applications adopt vehicles as participants to carry out MCS tasks. The performance of the applications highly depends on the sensing data which is influenced by the recruiting strategy on vehicles. In this paper, we propose a novel vehicle selection algorithm to maximize the sensing range with limited cost while the vehicle selection problem was proved to be NP-complete. Specifically, we modeled the interaction between MCS server and candidate vehicles as a Markov decision process and formulated the maximum spatial temporal coverage (STC) optimization as a deep reinforcement learning process. The performance of our deep reinforcement learning-based vehicle selection (i.e., DRLVS) algorithm is evaluated with real trajectory dataset. The numerical result indicates that the proposed algorithm achieves an optimal solution and maximizes the STC. © 2019 IEEE.",deep reinforcement learning; Mobile crowdsensing; spatialoral coverage,"Wang C., Gaimu X., Li C., Zou H., Wang W.",10.1109/ACCESS.2019.2905263
127,12.0,2016,Conference Paper,Using abstractions to solve opportunistic crime security games at scale,"In this paper, we aim to deter urban crime by recommending optimal police patrol strategies against opportunistic criminals in large scale urban problems. While previous work has tried to learn criminals' behavior from real world data and generate patrol strategies against opportunistic crimes, it cannot scale up to large-scale urban problems. Our first contribution is a game abstraction framework that can handle opportunistic crimes in large-scale urban areas. In this game abstraction framework, we model the interaction between officers and opportunistic criminals as a game with discrete targets. By merging similar targets, we obtain an abstract game with fewer total targets. We use real world data to learn and plan against opportunistic criminals in this abstract game, and then propagate the results of this abstract game back to the original game. Our second contribution is the layer-generating algorithm used to merge targets as described in the framework above. This algorithm applies a mixed integer linear program (MILP) to merge similar and geographically neighboring targets in the large scale problem. As our third contribution, we propose a planning algorithm that recommends a mixed strategy against opportunistic criminals. Finally, our fourth contribution is a heuristic propagation model to handle the problem of limited data we occasionally encounter in large-scale problems. As part of our collaboration with local police departments, we apply our model in two large scale urban problems: a university campus and a city. Our approach provides high prediction accuracy in the real datasets; furthermore, we project significant crime rate reduction using our planning strategy compared to current police strategy. Copyright © 2016, International Foundation for Autonomous Agents and Multiagent Systems (www.ifaamas.org). All rights reserved.",Abstraction; Machine learning; Security games,"Zhang C., Bucarey V., Mukhopadhyay A., Sinha A., Qian Y., Vorobeychik Y., Tambe M.",
189,6.0,2018,Conference Paper,Detecting Transportation Modes Based on LightGBM Classifier from GPS Trajectory Data,"Human travel behavior can be obtained from the trajectory data generated by GPS devices, which can be reflected in different transportation modes and provide useful information for trajectory prediction, urban planning and traffic monitoring. In this article, we proposed transportation modes classification method based on Light Gradient Boosting Machine (LightGBM) to discover seven kinds of transportation modes from GPS trajectory data, including walking, cycling, taking a bus, taking a taxi, driving a car, taking the subway and taking a train. First, the original trajectories must be divided into some sub trajectories. There is only one transportation mode label in each sub trajectory. Second, the feature vector of sub trajectory is computed including eight basic and three advanced features. These basic features are distance feature, five velocity-related features and two acceleration-related features. Three advanced features are heading change rate (hcr), stop rate (sr) and velocity change rate (vcr), Final, the LightGBM classifier is used to detect the transportation modes automatically. The eXtreme Gradient Boosting (XGBoost) and decision tree are also used to verify the efficiency of our method. The experiment data are Geolife provided by Microsoft Research Asia. The results show that the LightGBM and XGBoost methods are more accurate than decision tree method and the LightGBM is better than XGBoost at the classification of car, subway and train. © 2018 IEEE.",GPS; LighGBM; Machine learning; Trajectory data; Transportation mode,"Wang B., Wang Y., Qin K., Xia Q.",10.1109/GEOINFORMATICS.2018.8557149
