Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Tsing A.L.","6507344166;","Friction: An ethnography of global connection",2011,"Friction: An Ethnography of Global Connection",,,,"1","321",,2271,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924032185&partnerID=40&md5=4e33cad4fda657731f13aee5680f1da3",,"Tsing, A.L.","A wheel turns because of its encounter with the surface of the road; spinning in the air it goes nowhere. Rubbing two sticks together produces heat and light; one stick alone is just a stick. In both cases, it is friction that produces movement, action, effect. Challenging the widespread view that globalization invariably signifies a ""clash"" of cultures, anthropologist Anna Tsing here develops friction in its place as a metaphor for the diverse and conflicting social interactions that make up our contemporary world. She focuses on one particular ""zone of awkward engagement""--the rainforests of Indonesia--where in the 1980s and the 1990s capitalist interests increasingly reshaped the landscape not so much through corporate design as through awkward chains of legal and illegal entrepreneurs that wrested the land from previous claimants, creating resources for distant markets. In response, environmental movements arose to defend the rainforests and the communities of people who live in them. Not confined to a village, a province, or a nation, the social drama of the Indonesian rainforest includes local and national environmentalists, international science, North American investors, advocates for Brazilian rubber tappers, UN funding agencies, mountaineers, village elders, and urban students, among others--all combining in unpredictable, messy misunderstandings, but misunderstandings that sometimes work out. Providing a portfolio of methods to study global interconnections, Tsing shows how curious and creative cultural differences are in the grip of worldly encounter, and how much is overlooked in contemporary theories of the global. © 2005 by Princeton University Press. All Rights Reserved.",,,Book,"Final","",Scopus,2-s2.0-84924032185
"Lowenhaupt Tsing A.","6507344166;","Friction: An ethnography of global connection",2011,"Friction: An Ethnography of Global Connection",,,,"","",321,510,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884115956&partnerID=40&md5=1cc6e87e971d526000b421535b6aaca6",,"Lowenhaupt Tsing, A.","A wheel turns because of its encounter with the surface of the road; spinning in the air it goes nowhere. Rubbing two sticks together produces heat and light; one stick alone is just a stick. In both cases, it is friction that produces movement, action, effect. Challenging the widespread view that globalization invariably signifies a ""clash"" of cultures, anthropologist Anna Tsing here develops friction in its place as a metaphor for the diverse and conflicting social interactions that make up our contemporary world. She focuses on one particular ""zone of awkward engagement""--the rainforests of Indonesia--where in the 1980s and the 1990s capitalist interests increasingly reshaped the landscape not so much through corporate design as through awkward chains of legal and illegal entrepreneurs that wrested the land from previous claimants, creating resources for distant markets. In response, environmental movements arose to defend the rainforests and the communities of people who live in them. Not confined to a village, a province, or a nation, the social drama of the Indonesian rainforest includes local and national environmentalists, international science, North American investors, advocates for Brazilian rubber tappers, UN funding agencies, mountaineers, village elders, and urban students, among others--all combining in unpredictable, messy misunderstandings, but misunderstandings that sometimes work out. © 2005 by Princeton University Press. All rights reserved.",,,Book,"Final","",Scopus,2-s2.0-84884115956
"Keniger L.E., Gaston K.J., Irvine K.N., Fuller R.A.","55628023700;56582665400;35578932000;16401209100;","What are the benefits of interacting with nature?",2013,"International Journal of Environmental Research and Public Health","10","3",,"913","935",,474,"10.3390/ijerph10030913","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875274625&doi=10.3390%2fijerph10030913&partnerID=40&md5=9433686e349970b24d587a061b3446a8","School of Biological Sciences, University of Queensland, Brisbane, QLD 4072, Australia; Environment and Sustainability Institute, University of Exeter, Penryn, Cornwall TR10 9EZ, United Kingdom; Institute of Energy and Sustainable Development, De Montfort University, The Gateway, Leicester LE1 9BH, United Kingdom","Keniger, L.E., School of Biological Sciences, University of Queensland, Brisbane, QLD 4072, Australia; Gaston, K.J., Environment and Sustainability Institute, University of Exeter, Penryn, Cornwall TR10 9EZ, United Kingdom; Irvine, K.N., Institute of Energy and Sustainable Development, De Montfort University, The Gateway, Leicester LE1 9BH, United Kingdom; Fuller, R.A., School of Biological Sciences, University of Queensland, Brisbane, QLD 4072, Australia","There is mounting empirical evidence that interacting with nature delivers measurable benefits to people. Reviews of this topic have generally focused on a specific type of benefit, been limited to a single discipline, or covered the benefits delivered from a particular type of interaction. Here we construct novel typologies of the settings, interactions and potential benefits of people-nature experiences, and use these to organise an assessment of the benefits of interacting with nature. We discover that evidence for the benefits of interacting with nature is geographically biased towards high latitudes and Western societies, potentially contributing to a focus on certain types of settings and benefits. Social scientists have been the most active researchers in this field. Contributions from ecologists are few in number, perhaps hindering the identification of key ecological features of the natural environment that deliver human benefits. Although many types of benefits have been studied, benefits to physical health, cognitive performance and psychological well-being have received much more attention than the social or spiritual benefits of interacting with nature, despite the potential for important consequences arising from the latter. The evidence for most benefits is correlational, and although there are several experimental studies, little as yet is known about the mechanisms that are important for delivering these benefits. For example, we do not know which characteristics of natural settings (e.g., biodiversity, level of disturbance, proximity, accessibility) are most important for triggering a beneficial interaction, and how these characteristics vary in importance among cultures, geographic regions and socio-economic groups. These are key directions for future research if we are to design landscapes that promote high quality interactions between people and nature in a rapidly urbanising world. © 2013 by the authors; licensee MDPI, Basel, Switzerland.","Ecosystem services; Health benefits; Urbanisation","ecosystem service; health care; nature-society relations; urbanization; biodiversity; biotypology; cognition; ecosystem restoration; environmental economics; environmental factor; environmental health; geographic distribution; human; latitude; natural science; psychological well being; review; social aspect; social interaction; socioeconomics; spiritual care; urban area; urbanization",Review,"Final","",Scopus,2-s2.0-84875274625
"Gehl J., Svarre B.","16244529400;57087237400;","How to study public life",2013,"How to Study Public Life",,,,"1","179",,306,"10.5822/978-1-61091-525-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956471326&doi=10.5822%2f978-1-61091-525-0&partnerID=40&md5=2c58be4ad28c4bcff643b68630715f90",,"Gehl, J.; Svarre, B.","How do we accommodate a growing urban population in a way that is sustainable, equitable, and inviting? This question is becoming increasingly urgent to answer as we face diminishing fossil-fuel resources and the effects of a changing climate while global cities continue to compete to be the most vibrant centers of culture, knowledge, and finance. Jan Gehl has been examining this question since the 1960s, when few urban designers or planners were thinking about designing cities for people. But given the unpredictable, complex and ephemeral nature of life in cities, how can we best design public infrastructure vital to cities for getting from place to place, or staying in place for human use? Studying city life and understanding the factors that encourage or discourage use is the key to designing inviting public space. © 2013 Jan Gehl and Birgitte Svarre. All rights reserved.",,,Book,"Final","",Scopus,2-s2.0-84956471326
"Matsuoka R.H., Kaplan R.","23089195800;7403162927;","People needs in the urban landscape: Analysis of Landscape And Urban Planning contributions",2008,"Landscape and Urban Planning","84","1",,"7","19",,306,"10.1016/j.landurbplan.2007.09.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-37149047213&doi=10.1016%2fj.landurbplan.2007.09.009&partnerID=40&md5=cd41ee98238081a4ae874a81a2719594","University of Michigan, School of Natural Resources and Environment, Dana Building, 440 Church Street, Ann Arbor, MI 48109-1041, United States","Matsuoka, R.H., University of Michigan, School of Natural Resources and Environment, Dana Building, 440 Church Street, Ann Arbor, MI 48109-1041, United States; Kaplan, R., University of Michigan, School of Natural Resources and Environment, Dana Building, 440 Church Street, Ann Arbor, MI 48109-1041, United States","The articles published in Landscape and Urban Planning during the past 16 years provide valuable insights into how humans interact with outdoor urban environments. This review paper explores the wide spectrum of human dimensions and issues, or human needs, addressed by 90 of these studies. As a basis for analysis, the major themes tapped by the findings were classified into two overarching groups containing three categories each. The Nature needs, directly linked with the physical features of the environmental setting, were categorized in terms of contact with nature, aesthetic preference, and recreation and play. The role of the environment is less immediate in the Human-interaction group, which includes the issues of social interaction, citizen participation in the design process, and community identity. Most significantly, the publications offer strong support for the important role nearby natural environments play in human well-being. Urban settings that provide nature contact are valuable not only in their own right, but also for meeting other needs in a manner unique to these more natural settings. In addition, although addressed in different ways, remarkable similarities exist concerning these six people requirements across diverse cultures and political systems. Urban residents worldwide express a desire for contact with nature and each other, attractive environments, places in which to recreate and play, privacy, a more active role in the design of their community, and a sense of community identity. The studies reviewed here offer continued evidence that the design of urban landscapes strongly influences the well-being and behavior of users and nearby inhabitants. © 2007 Elsevier B.V. All rights reserved.","Citizen participation; Community identity; Nature contact; Preference; Recreation; Social interaction","Conservation; Environmental impact; Recreational facilities; Social aspects; Statistical methods; Citizen participation; Community identity; Nature contact; Preference; Social interaction; Urban planning; esthetics; landscape planning; local participation; perception; recreational activity; urban design; urban planning",Review,"Final","",Scopus,2-s2.0-37149047213
"Bell G., Blythe M., Sengers P.","7402206342;9242985700;22836146000;","Making by making strange: Defamiliarization and the design of domestic technologies",2005,"ACM Transactions on Computer-Human Interaction","12","2",,"149","173",,253,"10.1145/1067860.1067862","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644512594&doi=10.1145%2f1067860.1067862&partnerID=40&md5=5e0fa11b6925b79c1a00fb6a16e96b00","Intel Research, United States; University of York, United Kingdom; Cornell University, United States; Intel Corp., MS JF3-377, 2111 NE 25th Ave., Hillsboro, OR 97124, United States; Deptartment of Psychology, University of York, York YO10 5DD, United Kingdom; Cornell Information Science, 301 College Ave., Ithaca, NY 14850, United States","Bell, G., Intel Research, United States, Intel Corp., MS JF3-377, 2111 NE 25th Ave., Hillsboro, OR 97124, United States; Blythe, M., University of York, United Kingdom, Deptartment of Psychology, University of York, York YO10 5DD, United Kingdom; Sengers, P., Cornell University, United States, Cornell Information Science, 301 College Ave., Ithaca, NY 14850, United States","This article argues that because the home is so familiar, it is necessary to make it strange, or defamiliarize it, in order to open its design space. Critical approaches to technology design are of both practical and social importance in the home. Home appliances are loaded with cultural associations such as the gendered division of domestic labor that are easy to overlook. Further, homes are not the same everywhere - even within a country. Peoples' aspirations and desires differ greatly across and between cultures. The target of western domestic technology design is often not the user, but the consumer. Web refrigerators that create shopping lists, garbage cans that let advertisers know what is thrown away, cabinets that monitor their contents and order more when supplies are low are central to current images of the wireless, digital home of the future. Drawing from our research in the United States, the United Kingdom, and Asia, we provide three different narratives of defamiliarization. A historical reading of American kitchens provides a lens with which to scrutinize new technologies of domesticity, an ethnographic account of an extended social unit in England problematizes taken-for-granted domestic technologies, and a comparative ethnography of the role of information and communication technologies in the daily lives of urban Asia's middle classes reveals the ways in which new technologies can be captured and domesticated in unexpected ways. In the final section of the article, we build on these moments of defamiliarization to suggest a broad set of challenges and strategies for design in the home. © 2005 ACM.","Anthropology; Defamiliarization; Domestic labor; Domestic technology; Ethnicity; Ethnography; Gender; Home entertainment; Human-computer interaction","Anthropology; Defamiliarization; Domestic labor; Domestic technology; Ethnicity; Ethnography; Gender; Home entertainment; Human-computer interaction; Human computer interaction; Product design; Strategic planning; Technology transfer; World Wide Web; Domestic appliances",Review,"Final","",Scopus,2-s2.0-33644512594
"Kang J., Aletta F., Gjestland T.T., Brown L.A., Botteldooren D., Schulte-Fortkamp B., Lercher P., van Kamp I., Genuit K., Fiebig A., Bento Coelho J.L., Maffei L., Lavia L.","55485135500;55557756700;6602870205;55652425600;6701666696;15756253400;6701810671;57207548665;6701604155;15756802000;7801468673;7103160021;55847224200;","Ten questions on the soundscapes of the built environment",2016,"Building and Environment","108",,,"284","294",,213,"10.1016/j.buildenv.2016.08.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990998460&doi=10.1016%2fj.buildenv.2016.08.011&partnerID=40&md5=0f1e6d291e4330431bc93c8f981a9048","School of Architecture, University of Sheffield, Sheffield, United Kingdom; Department of Acoustics, SINTEF, Trondheim, Norway; School of Environment, Griffith University, Brisbane, Australia; Acoustics Research Group, Ghent University, Ghent, Belgium; Department of Engineering Acoustics, Technische Universität, Berlin, Germany; Division of Social Medicine, Medizinische Universität, Innsbruck, Austria; Centre for Sustainability, Environment and Health, National Institute for Public Health and the Environment, Bilthoven, Netherlands; HEAD Acoustics GmbH, Herzogenrath, Germany; Instituto Superior Técnico, University of Lisbon, Lisbon, Portugal; Department of Architecture and Industrial Design, Second University of Naples, Aversa, Italy; Noise Abatement Society, Brighton & Hove, United Kingdom","Kang, J., School of Architecture, University of Sheffield, Sheffield, United Kingdom; Aletta, F., School of Architecture, University of Sheffield, Sheffield, United Kingdom; Gjestland, T.T., Department of Acoustics, SINTEF, Trondheim, Norway; Brown, L.A., School of Environment, Griffith University, Brisbane, Australia; Botteldooren, D., Acoustics Research Group, Ghent University, Ghent, Belgium; Schulte-Fortkamp, B., Department of Engineering Acoustics, Technische Universität, Berlin, Germany; Lercher, P., Division of Social Medicine, Medizinische Universität, Innsbruck, Austria; van Kamp, I., Centre for Sustainability, Environment and Health, National Institute for Public Health and the Environment, Bilthoven, Netherlands; Genuit, K., HEAD Acoustics GmbH, Herzogenrath, Germany; Fiebig, A., HEAD Acoustics GmbH, Herzogenrath, Germany; Bento Coelho, J.L., Instituto Superior Técnico, University of Lisbon, Lisbon, Portugal; Maffei, L., Department of Architecture and Industrial Design, Second University of Naples, Aversa, Italy; Lavia, L., Noise Abatement Society, Brighton & Hove, United Kingdom","Soundscape research represents a paradigm shift from noise control policies towards a new multidisciplinary approach as it involves not only physical measurements but also the cooperation of humanity and social sciences to account for the diversity of soundscapes across countries and cultures, with more focus on how people actually experience the acoustic environments; and it considers environmental sounds as a 'resource' rather than a 'waste'. The ten questions presented in this paper range from the very basic definitions underlying the emerging soundscape science, to more applied topics about how to use soundscape as a design approach for the planning and management of the built environments. Although significant research activity has been conducted so far, there is still a need to systematically provide the underpinning science and practical guidance in soundscaping. Thus, the last question aims to identify the most crucial gaps in soundscape research and set the agenda for future advancements in the field. © 2016 Elsevier Ltd","Acoustic environment; Environmental noise; Quality of life; Soundscape; Urban sound planning","Acoustics; Acoustic environment; Environmental noise; Quality of life; Sound planning; Soundscapes; Acoustic noise; design; environmental planning; noise; quality of life; urban planning",Article,"Final","",Scopus,2-s2.0-84990998460
"Sklair L.","6603630551;","The transnational capitalist class and contemporary architecture in globalizing cities",2005,"International Journal of Urban and Regional Research","29","3",,"485","500",,190,"10.1111/j.1468-2427.2005.00601.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33747128150&doi=10.1111%2fj.1468-2427.2005.00601.x&partnerID=40&md5=81837777d60aeaa6bd4c382dc20f618e","London School of Economics and Political Science, London WC2A 2AE, United Kingdom","Sklair, L., London School of Economics and Political Science, London WC2A 2AE, United Kingdom","The focus of this article is on the role of the transnational capitalist class (TCC) in and around architecture in the production and marketing of iconic buildings and spaces, in global or world cities. The TCC is conceptualized in terms of four fractions: (1) Those who own and/or and control the major transnational corporations and their local affiliates (corporate fraction). In architecture these are the major architectural, architecture-engineering and architecture-developer-real estate firms. In comparison with the major global consumer goods, energy and financial corporations the revenues of the biggest firms in the architecture industry are quite small. However, their importance for the built environment and their cultural importance, especially in cities, far outweighs their relative lack of financial and corporate muscle. (2) Globalizing politicians and bureaucrats (state fraction). These are the politicians and bureaucrats at all levels of administrative power and responsibility who actually decide what gets built where, and how changes to the built environment are regulated. (3) Globalizing professionals (technical fraction). The members of this fraction range from the leading technicians centrally involved in the structural features of new building to those responsible for the education of students and the public in architecture. (4) Merchants and media (consumerist fraction). These are the people who are responsible for the marketing of architecture in all its manifestations. (There is obviously some overlap between the membership of these fractions.). My conclusion is that many global and aspiring global cities have looked to iconic architecture as a prime strategy of urban intervention, often in the context of rehabilitation of depressed areas. The attempt to identify the agents most responsible for this transformation, namely the TCC, and to explain how they operate, suggests that deliberately iconic architecture is becoming a global phenomenon, specifically a central urban manifestation of the culture-ideology of consumerism. © Joint Editors and Blackwell Publishing Ltd 2005.",,"architecture; globalization; urban design; urban development; world city",Article,"Final","",Scopus,2-s2.0-33747128150
"Fischer G., Giaccardi E., Eden H., Sugimoto M., Ye Y.","8911301000;8726725400;6701562912;7402376805;7401627465;","Beyond binary choices: Integrating individual and social creativity",2005,"International Journal of Human Computer Studies","63","4-5 SPEC. ISS.",,"482","512",,186,"10.1016/j.ijhcs.2005.04.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-24344446416&doi=10.1016%2fj.ijhcs.2005.04.014&partnerID=40&md5=8dc4e1927c89c9b712fc38ecbe813ce3","Department of Computer Science, Center for LifeLong Learning and Design (L3D), University of Colorado, Boulder, CO 80309-0430, United States; Department of Frontier Informatics, Graduate School of Frontier Sciences, University of Tokyo, 7-3-1 Hongo, Bunkyo-ku, Tokyo 113-0033, Japan","Fischer, G., Department of Computer Science, Center for LifeLong Learning and Design (L3D), University of Colorado, Boulder, CO 80309-0430, United States; Giaccardi, E., Department of Computer Science, Center for LifeLong Learning and Design (L3D), University of Colorado, Boulder, CO 80309-0430, United States; Eden, H., Department of Computer Science, Center for LifeLong Learning and Design (L3D), University of Colorado, Boulder, CO 80309-0430, United States; Sugimoto, M., Department of Frontier Informatics, Graduate School of Frontier Sciences, University of Tokyo, 7-3-1 Hongo, Bunkyo-ku, Tokyo 113-0033, Japan; Ye, Y., Department of Computer Science, Center for LifeLong Learning and Design (L3D), University of Colorado, Boulder, CO 80309-0430, United States","The power of the unaided individual mind is highly overrated. Although society often thinks of creative individuals as working in isolation, intelligence and creativity result in large part from interaction and collaboration with other individuals. Much human creativity is social, arising from activities that take place in a context in which interaction with other people and the artifacts that embody collective knowledge are essential contributors. This paper examines: (1) how individual and social creativity can be integrated by means of proper collaboration models and tools supporting distributed cognition; (2) how the creation of shareable externalizations (""boundary objects"") and the adoption of evolutionary process models in the construction of meta-design environments can enhance creativity and support spontaneous design activities (""unselfconscious cultures of design""); and (3) how a new design competence is emerging - one that requires passage from individual creative actions to synergetic activities, from the reflective practitioner to reflective communities and from given tasks to personally meaningful activities. The paper offers examples in the context of collaborative design and art practice, including urban planning, interactive art and open source. In the effort to draw a viable path ""beyond binary choices"", the paper points out some major challenges for the next generation of socio-technical environments to further increase the integration of individual and social creativity. © 2005 Elsevier Ltd. All rights reserved.","Boundary objects; Collaboration models; Collaborative design; Distributed cognition; Envisionment and Discovery Collaboratory (EDC); Individual creativity; Meta-design; Seeding, Evolutionary growth, Reseeding (SER) process model; Social creativity","Computer supported cooperative work; Mathematical models; Research and development management; Social aspects; Urban planning; Boundary objects; Collaboration models; Collaborative design; Distribute cognition; Envisionment and discovery collaborative (EDC); Individual creativity; Meta-design; Seeding, evolutionary growth, reseeding (SER) process model; Social creativity; Professional aspects",Article,"Final","",Scopus,2-s2.0-24344446416
"Shahid S., Finn L.D., Thompson S.C.","24077680700;30467547700;7403233191;","Barriers to participation of Aboriginal people in cancer care: Communication in the hospital setting",2009,"Medical Journal of Australia","190","10",,"574","579",,128,"10.5694/j.1326-5377.2009.tb02569.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-68149092377&doi=10.5694%2fj.1326-5377.2009.tb02569.x&partnerID=40&md5=7245a55a7d1092f8af31ea52f58bbf25","Centre for International Health, Curtin University of Technology, Perth, WA, Australia","Shahid, S., Centre for International Health, Curtin University of Technology, Perth, WA, Australia; Finn, L.D., Centre for International Health, Curtin University of Technology, Perth, WA, Australia; Thompson, S.C., Centre for International Health, Curtin University of Technology, Perth, WA, Australia","Objective: To report Aboriginal patients' views about effective communication between Aboriginal people and health service providers in Western Australian hospital settings. Design, setting and participants: Qualitative study involving indepth interviews between 1 March 2006 and 30 September 2007 with 30 Aboriginal people affected by cancer from across WA. Main outcome measures: Aboriginal patients' views about the quality of communication within the hospitals, factors impairing communication and suggestions for improvement. Results: Factors crucial to effective patient - provider communication such as language, shared understanding, knowledge and use of medical terminology require attention. Additionally, communication between Aboriginal people and health care professionals needs to be understood within a broader sociocultural and political context. Fear of the medical system and of being disempowered; mistrust; collective memories of the experience of colonisation and its aftermath; lack of understanding of Aboriginal customs, values, lifestyle and the importance of family and land; and experiences of racism were key issues impairing communication. Health service providers' inability to interpret non-verbal communication and the symbolism of hospital environments also posed problems. Conclusion: Key areas for the attention of health service providers in communicating and caring for Aboriginal people in the hospital setting include culturally sensitive and empathetic personal contact, acknowledgement and respect for Aboriginal family structures, culture and life circumstances, an understanding of the significant role of non-verbal communication, and the importance of history, land and community. Employing more Aboriginal health workers in hospitals, and allowing Aboriginal people to participate at a decision-making level in hospitals is likely to improve Aboriginal people's access to cancer treatment, and would be important symbols of progress in this area.",,"article; attitude to health; Australia; cancer therapy; clinical article; controlled study; family; female; health care personnel; health service; human; interpersonal communication; interview; land biome; lifestyle; male; medical decision making; neoplasm; nomenclature; politics; qualitative analysis; racism; social class; trust; Aborigine; adult; cohort analysis; communication disorder; ethnology; health care delivery; human relation; middle aged; neoplasm; patient attitude; rural population; social psychology; urban population; Adult; Cohort Studies; Communication Barriers; Family; Female; Health Services Accessibility; Humans; Interviews as Topic; Male; Middle Aged; Neoplasms; Oceanic Ancestry Group; Patient Acceptance of Health Care; Prejudice; Professional-Patient Relations; Rural Population; Urban Population; Western Australia",Article,"Final","",Scopus,2-s2.0-68149092377
