dimension,min_samples,min_cluster_size,epsilon,Silhouette_score,total_clusters,outliers,cluster_results,cluster_labels
85,10.0,10.0,0.0,0.6226734615,3.0,68.0,"[{'cluster_no': -1, 'count': 68}, {'cluster_no': 0, 'count': 12}, {'cluster_no': 1, 'count': 13}]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, -1, -1, 1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, -1, -1, -1, -1, -1, 1, 1, 1, -1, 0, 0, 0, -1, 0, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, 0, -1, 0, -1, 1, 1, 1, 0, -1, 1, 0, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
80,10.0,10.0,0.0,0.7372021422,3.0,69.0,"[{'cluster_no': -1, 'count': 69}, {'cluster_no': 0, 'count': 12}, {'cluster_no': 1, 'count': 12}]","[-1, -1, 0, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, 1, -1, 0, -1, -1, -1, -1, 1, 1, 1, -1, 0, 0, -1, -1, 0, -1, 0, -1, -1, -1, -1, 1, -1, -1, -1, 0, -1, -1, -1, 0, -1, 1, 1, 1, 0, -1, 1, 0, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
75,10.0,10.0,0.0,0.6124346193,3.0,57.0,"[{'cluster_no': -1, 'count': 57}, {'cluster_no': 0, 'count': 24}, {'cluster_no': 1, 'count': 12}]","[-1, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, 0, -1, -1, -1, 1, -1, -1, 0, -1, -1, 1, -1, -1, -1, -1, -1, -1, 0, 0, -1, -1, 0, 1, -1, -1, -1, -1, -1, -1, 1, 1, 1, 0, 0, 0, 0, -1, 0, -1, 0, -1, -1, -1, -1, -1, -1, -1, 1, 0, -1, 0, 0, 0, 0, 1, 1, 1, 0, -1, 1, 0, 1, 0, 0, -1, -1, -1, -1, -1, -1, 0]"
70,10.0,10.0,0.0,0.6678329161000001,3.0,63.0,"[{'cluster_no': -1, 'count': 63}, {'cluster_no': 0, 'count': 18}, {'cluster_no': 1, 'count': 12}]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, 1, -1, 0, -1, -1, -1, -1, 0, 0, -1, -1, 0, 1, 0, -1, -1, -1, -1, -1, 1, 1, 1, 0, 0, 0, 0, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 0, -1, 0, -1, 0, -1, 1, 1, 1, 0, -1, 1, 0, 1, 0, 0, -1, -1, -1, -1, -1, -1, 0]"
65,10.0,10.0,0.0,0.7407723249,3.0,55.0,"[{'cluster_no': -1, 'count': 55}, {'cluster_no': 0, 'count': 26}, {'cluster_no': 1, 'count': 12}]","[-1, -1, 0, -1, -1, -1, -1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1, -1, 1, -1, -1, 0, -1, -1, 1, -1, -1, -1, -1, -1, -1, 0, 0, -1, 0, 0, 1, 0, -1, -1, 0, -1, -1, 1, 1, 1, -1, 0, 0, 0, -1, 0, -1, 0, -1, 0, -1, -1, 0, -1, -1, 1, 0, -1, 0, -1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
60,10.0,10.0,0.0,0.5730071990000001,3.0,58.0,"[{'cluster_no': -1, 'count': 58}, {'cluster_no': 0, 'count': 24}, {'cluster_no': 1, 'count': 11}]","[-1, -1, -1, -1, -1, -1, 0, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, 0, -1, -1, -1, 1, -1, -1, 0, -1, -1, 1, -1, -1, 0, -1, -1, -1, -1, 0, -1, 0, -1, 1, 0, -1, -1, -1, 0, -1, -1, 1, 1, 0, 0, 0, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, 1, 0, -1, 0, -1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, -1, -1, -1, -1, -1, -1, 0]"
55,10.0,10.0,0.0,0.7864880379,3.0,54.0,"[{'cluster_no': -1, 'count': 54}, {'cluster_no': 0, 'count': 27}, {'cluster_no': 1, 'count': 12}]","[-1, -1, 0, -1, -1, -1, -1, -1, 0, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, -1, 1, -1, -1, 0, -1, -1, 1, -1, -1, 0, 0, -1, -1, 0, 0, -1, 0, 0, 1, 0, 0, -1, -1, 0, -1, 1, 1, 1, -1, 0, 0, 0, -1, 0, -1, 0, -1, -1, -1, -1, -1, -1, -1, 1, 0, -1, 0, 0, 0, -1, 1, 1, 1, 0, -1, 1, 0, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
50,10.0,10.0,0.0,0.6037522849,3.0,58.0,"[{'cluster_no': -1, 'count': 58}, {'cluster_no': 0, 'count': 24}, {'cluster_no': 1, 'count': 11}]","[-1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1, -1, 1, -1, -1, -1, 0, -1, 1, -1, -1, 0, -1, -1, -1, -1, 0, -1, -1, 0, 1, 0, -1, -1, -1, -1, -1, 1, 1, 1, 0, 0, 0, 0, -1, 0, -1, 0, 0, -1, -1, -1, -1, -1, -1, 1, 0, -1, 0, -1, 0, 0, 1, 1, 0, 0, -1, 1, 0, 1, 0, -1, -1, -1, -1, -1, -1, -1, 0]"
45,10.0,10.0,0.0,0.8016268366,3.0,67.0,"[{'cluster_no': -1, 'count': 67}, {'cluster_no': 0, 'count': 14}, {'cluster_no': 1, 'count': 12}]","[-1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, 0, -1, -1, -1, 1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, 1, 0, 0, -1, -1, -1, -1, 1, 1, 1, -1, 0, -1, 0, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 0, -1, 0, -1, 0, -1, 1, 1, 1, 0, -1, 1, 0, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
40,,,,0.0,,,,
