dimension,min_samples,min_cluster_size,epsilon,Silhouette_score,total_clusters,outliers,cluster_results,cluster_labels
60,5.0,10.0,0.0,0.1946787774,3.0,24.0,"[{'cluster_no': -1, 'count': 24}, {'cluster_no': 0, 'count': 14}, {'cluster_no': 1, 'count': 29}]","[-1, -1, 1, -1, -1, -1, 0, -1, 1, -1, -1, 1, 1, 0, 1, 1, 0, 1, 0, 0, -1, 1, 0, 1, -1, 1, -1, -1, 1, 1, 1, 1, -1, 0, 1, -1, -1, 1, -1, 0, 1, 1, 1, 1, 1, -1, 1, 0, 0, 1, 0, -1, 0, 0, 1, -1, 1, 0, 1, 1, 1, -1, -1, -1, -1, -1, 1]"
55,5.0,10.0,0.0,0.0864313947,3.0,43.0,"[{'cluster_no': -1, 'count': 43}, {'cluster_no': 0, 'count': 10}, {'cluster_no': 1, 'count': 14}]","[-1, -1, -1, -1, -1, 1, 0, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, 1, 1, -1, -1, -1, 1, -1, 1, 0, -1, -1, -1, -1, 1, 0, -1, 0, 1, -1, -1, 1, 0, -1, 0, 0, 1, -1, 0, -1, -1, 1, -1, -1, -1, 1, -1, -1, 1]"
50,5.0,10.0,0.0,0.1461558449,3.0,26.0,"[{'cluster_no': -1, 'count': 26}, {'cluster_no': 0, 'count': 13}, {'cluster_no': 1, 'count': 28}]","[-1, -1, 1, -1, -1, 1, 0, 1, 1, -1, -1, -1, 1, -1, -1, 1, 0, 1, 0, 0, -1, -1, 0, 1, -1, 1, -1, 1, 1, 1, 1, -1, 1, -1, 1, 1, -1, 1, -1, 0, 1, -1, 1, 1, 1, -1, 1, 0, 0, 1, 0, -1, 0, 0, 1, -1, 1, 0, 1, 1, -1, -1, -1, -1, -1, 0, 1]"
45,5.0,10.0,0.0,0.2423500167,3.0,21.0,"[{'cluster_no': -1, 'count': 21}, {'cluster_no': 0, 'count': 13}, {'cluster_no': 1, 'count': 33}]","[-1, -1, -1, 1, -1, 1, 0, -1, 1, -1, -1, 1, 1, 0, 1, 1, 0, 1, -1, 0, -1, 1, -1, 1, -1, 1, -1, -1, 1, 1, 1, 1, -1, 0, 1, -1, 1, 1, -1, -1, 1, -1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, -1, 0, -1, -1, 1]"
40,5.0,10.0,0.0,0.2218299572,3.0,29.0,"[{'cluster_no': -1, 'count': 29}, {'cluster_no': 0, 'count': 14}, {'cluster_no': 1, 'count': 24}]","[-1, -1, -1, -1, -1, 1, 0, 1, 1, -1, -1, 1, -1, 0, -1, -1, 0, 1, 0, -1, -1, 1, 0, -1, -1, 1, -1, -1, 1, 1, 1, 1, -1, 0, 1, -1, 0, 1, -1, 0, 1, -1, 1, 1, -1, -1, 1, 0, 0, 1, 0, -1, 0, 0, 1, -1, 1, 0, 1, 1, -1, 1, -1, -1, -1, -1, 1]"
35,5.0,10.0,0.0,0.1896518431,3.0,34.0,"[{'cluster_no': -1, 'count': 34}, {'cluster_no': 0, 'count': 12}, {'cluster_no': 1, 'count': 21}]","[-1, -1, -1, 1, -1, 1, 0, -1, 1, -1, -1, -1, -1, 0, 1, -1, -1, 1, -1, -1, -1, -1, 0, -1, -1, 1, -1, -1, 1, -1, 1, -1, -1, 0, 1, -1, 0, 1, -1, 0, 1, -1, 1, -1, -1, 0, 1, 0, 0, 1, 0, -1, 0, -1, 1, -1, 1, 0, 1, 1, 1, 1, -1, -1, -1, -1, 1]"
30,5.0,10.0,0.0,0.2909963508,3.0,34.0,"[{'cluster_no': -1, 'count': 34}, {'cluster_no': 0, 'count': 20}, {'cluster_no': 1, 'count': 13}]","[-1, -1, -1, -1, -1, 1, 0, -1, 1, -1, -1, -1, -1, 0, -1, 1, 0, 0, -1, 0, 0, 1, -1, -1, -1, 1, 0, -1, -1, 0, 0, -1, -1, 0, 1, -1, -1, 1, -1, -1, 1, 1, 0, 1, -1, 0, 1, -1, 0, 0, 0, -1, 0, -1, 1, -1, 1, 0, 0, 0, -1, -1, -1, -1, -1, -1, 0]"
25,,,,0.0,,,,
20,,,,0.0,,,,
15,5.0,10.0,0.0,0.1740995947,3.0,21.0,"[{'cluster_no': -1, 'count': 21}, {'cluster_no': 0, 'count': 12}, {'cluster_no': 1, 'count': 34}]","[-1, -1, 1, 1, -1, 1, 0, -1, 1, -1, -1, 1, -1, 0, 1, 1, 0, 1, -1, 0, -1, 1, -1, 1, -1, 1, -1, 1, 1, 1, 1, 1, 1, 0, 1, -1, -1, 1, -1, 0, 1, 1, 1, 1, 1, 0, 1, -1, 0, 1, 0, -1, 0, 1, 1, -1, 1, 0, 1, 1, 1, 1, -1, 0, -1, -1, 1]"
10,,,,0.0,,,,
