,parent,child,lambda_val,child_size
0,67,9,1801.483517663481,1
1,67,1,2028.4386410349414,1
2,67,0,2068.9623874707117,1
3,67,24,2200.579223504722,1
4,67,62,2328.2286983069666,1
5,67,38,2368.9940694719007,1
6,67,51,2372.008482963382,1
7,67,10,2401.5482393358143,1
8,67,55,2423.4025711396794,1
9,67,63,2461.80719002201,1
10,67,35,2473.421200058971,1
11,67,2,2563.3637891520243,1
12,67,4,2569.6455812528716,1
13,67,65,2576.3538083538083,1
14,67,11,2577.937307928703,1
15,67,18,2581.9045860264696,1
16,67,64,2591.0758301158303,1
17,67,60,2637.097767997485,1
18,67,12,2639.5871617369417,1
19,67,61,2645.414064963734,1
20,67,32,2647.919191919192,1
21,67,3,2649.591914087176,1
22,67,28,2660.0944981766293,1
23,67,27,2688.225604871014,1
24,67,36,2690.381013470173,1
25,67,22,2690.381013470173,1
26,67,23,2752.619524200164,1
27,67,44,2776.7653095001656,1
28,67,53,2791.0856762601898,1
29,67,47,2819.700168067227,1
30,67,39,2838.304178649975,1
31,67,7,2848.42376910017,1
32,67,31,2912.711111111111,1
33,67,14,2912.711111111111,1
34,67,68,2994.8618350589077,20
35,67,69,2994.8618350589077,13
36,68,20,2994.8618350589077,1
37,69,54,3033.306092930754,1
38,68,57,3024.0115356885362,1
39,68,48,3024.0115356885362,1
40,68,16,3024.0115356885362,1
41,68,6,3024.0115356885362,1
42,68,13,3024.0115356885362,1
43,69,37,3055.959198542805,1
44,69,5,3055.959198542805,1
45,69,56,3055.959198542805,1
46,69,21,3055.959198542805,1
47,69,15,3055.959198542805,1
48,69,43,3055.959198542805,1
49,69,41,3055.959198542805,1
50,69,25,3055.959198542805,1
51,69,34,3055.959198542805,1
52,69,8,3055.959198542805,1
53,69,40,3055.959198542805,1
54,69,46,3055.959198542805,1
55,68,33,3024.0115356885362,1
56,68,52,3089.726703499079,1
57,68,45,3089.726703499079,1
58,68,26,3301.301849665486,1
59,68,50,3301.301849665486,1
60,68,19,3301.301849665486,1
61,68,59,3301.301849665486,1
62,68,66,3301.301849665486,1
63,68,58,3301.301849665486,1
64,68,49,3301.301849665486,1
65,68,17,3301.301849665486,1
66,68,29,3301.301849665486,1
67,68,30,3301.301849665486,1
68,68,42,3301.301849665486,1
