Cluster,Score,DocId,Cited by,Year,Document Type,Title,Abstract,Author Keywords,Authors,DOI,x,y,KeyPhrases
-1,0.9110942155,3,,2022,Article,Spatiotemporal patterns and mechanisms of street vending from the social sensing perspective: A comparison between law-enforcement reported and residents complain events,"Street vending is an important part of the urban informal economy, especially in developing countries. How to control its negative externalities while augmenting its positive roles in the urban socio-economic system poses challenges to urban planning and governance. Existing studies have insufficiently addressed the issue largely due to the lack of high-frequent observation data for street vending events. By introducing socially sensed big data from the smart urban governance platform, as well as records from the “12345” urban problem complaint hotline of Jiangbei District, Ningbo, China, this paper examines and compares the spatiotemporal patterns and occurrence mechanisms of street vending events from both the urban managers' “top-down” and the urban residents' “bottom-up” points of view. Statistical and machine learning models show that the distribution of street vending activities as sensed by the two subjects does not overlap. The former concentrates in central urban areas and work times, while the latter is scattered distributed in everyday life-related places and times. The findings reaffirm the existence of perception bias in social sensing data and show the potential for utilizing such bias to nudge better urban governance practices. Theoretically and empirically, this research has contributed to promoting the people-oriented transformation of urban governance. © 2022",High-frequency; Perception bias; Smart urban governance; Social sensing; Spatiotemporal big data; Street vending,"Li C., Huang Y., Shen Y., Xu L.",10.1016/j.cities.2022.103597,1.0399999619,-0.2199999988,"['smart urban governance', 'Street vending', 'social sensing data', 'urban problem complaint', 'urban informal economy']"
-1,0.9110942155,4,,2022,Article,Detecting individuals' spatial familiarity with urban environments using eye movement data,"The spatial familiarity of environments is an important high-level user context for location-based services (LBS). Knowing users' familiarity level of environments is helpful for enabling context-aware LBS that can automatically adapt information services according to users' familiarity with the environment. Unlike state-of-the-art studies that used questionnaires, sketch maps, mobile phone positioning (GPS) data, and social media data to measure spatial familiarity, this study explored the potential of a new type of sensory data - eye movement data - to infer users' spatial familiarity of environments using a machine learning approach. We collected 38 participants' eye movement data when they were performing map-based navigation tasks in familiar and unfamiliar urban environments. We trained and cross-validated a random forest classifier to infer whether the users were familiar or unfamiliar with the environments (i.e., binary classification). By combining basic statistical features and fixation semantic features, we achieved a best accuracy of 81% in a 10-fold classification and 70% in the leave-one-task-out (LOTO) classification. We found that the pupil diameter, fixation dispersion, saccade duration, fixation count and duration on the map were the most important features for detecting users' spatial familiarity. Our results indicate that detecting users' spatial familiarity from eye tracking data is feasible in map-based navigation and only a few seconds (e.g., 5 s) of eye movement data is sufficient for such detection. These results could be used to develop context-aware LBS that adapt their services to users' familiarity with the environments. © 2022 Elsevier Ltd",Eye tracking; Machine learning; Pedestrian navigation; Random forest; Spatial familiarity; Wayfinding,"Liao H., Zhao W., Zhang C., Dong W., Huang H.",10.1016/j.compenvurbsys.2022.101758,1.0700000525,-1.2999999522999999,"['spatial familiarity', 'eye movement data', 'random forest classifier', 'urban environment', 'mobile phone positioning']"
-1,0.9110942155,13,,2022,Article,Designing Data Validation Framework for Crowd-Sourced Road Monitoring Applications,"With the wide availability of smartphone sensing and the Internet connections, mobile crowd sourcing (MCS) has become a promising paradigm for collecting opinions and providing services to the citizens. In the smart city context, crowd data, both in the form of their opinions and in the form of sensing data from their smartphones are very useful for scalable monitoring of resource demand and planning. Since these devices are portable, it is carried by almost every citizen, thus making them ubiquitous. However, the main bottleneck of such crowd intelligence-based services is data validation as opinions can be biased, influenced by some factors not relevant to the problem in focus. So, in this paper, a data validation framework utilizing machine learning techniques for mobile crowdsourcing applications is proposed. It is focused on MCS-based road monitoring applications. The idea of crowdsourced urban area road monitoring application(CURMA) presented in the paper is implemented and results show the crucial need for such data validation frameworks. © 2022, The Institution of Engineers (India).",Crowd sourcing; Data validation; Machine learning; Naive Bayes,"Saha J., Roy S., Das T.K., Purkait K., Chowdhury C.",10.1007/s40031-022-00713-x,1.3700000048,1.2300000191,"['crowd data', 'road monitoring application', 'validation framework', 'smart city', 'machine learning technique']"
-1,0.9110942155,22,1.0,2022,Article,GCN2CDD: A Commercial District Discovery Framework via Embedding Space Clustering on Graph Convolution Networks,"Modern enterprises attach much attention to the selection of commercial locations. With the rapid development of urban data and machine learning, we can discover the patterns of human mobility with these data and technology to guide commercial district discovery. In this article, we propose an unsupervised commercial district discovery framework via embedding space clustering on graph convolution networks to solve the problem of commercial district discovery. Specifically, the proposed framework aggregates human mobility features according to geographic similarity by graph convolution networks. Based on the graph convolution network embedding space, we apply hierarchical clustering to mine the latent functional regions hidden in different human patterns. Then, with the kernel density estimation, we can obtain the semantic labels for the clustering results to discover commercial districts. Finally, we analyze the multisource data of the Xiaoshan District and Chengdu City, and experiments verify the effectiveness of our framework. © 2005-2012 IEEE.",Commercial district discovery; embedding space; graph convolution networks (GCNs); human mobility,"Shen G., Zhao Z., Kong X.",10.1109/TII.2021.3051934,2.0199999809,-2.0099999905,"['commercial district discovery', 'graph convolution network', 'human mobility', 'kernel density', 'hierarchical clustering']"
-1,0.9110942155,30,,2021,Article,Multistep Traffic Speed Prediction from Spatial-Temporal Dependencies Using Graph Neural Networks,"Accurate traffic forecasting on citywide networks is one of the crucial urban data mining applications that accurately provide congestion warning and transportation scheduling. While previous work has made significant efforts to learn traffic temporal dynamics and spatial dependencies, two key limitations exist in current models: (1) most existing approaches solely capture spatial correlations among neighbors on predefined graph structure, and genuine relation may be missing due to the incomplete graph connections; and (2) existing methods are defective to capture the temporal trends because the recurrent and stacking structure employed in these methods suffers from the long-range temporal dependency vanquish problem. To overcome the difficulty in multistep prediction and further capture the dynamic spatialoral dependencies of traffic flows, we propose a new traffic speed prediction framework for multiscale graph attention networks (MS-GATNs). In particular, MS-GATNs is a hierarchically structured graph neural architecture that learns not only the local region-wise geographical dependencies but also the spatial semantics from a global perspective. Furthermore, a multiheads attention mechanism is introduced to empower our model with the capability of capturing complex nonstationary temporal dynamics. Experiments on real-world traffic data sets demonstrate that MS-GATNs outperforms the state-of-the-art baselines in long-term forecasting. © 2021 American Society of Civil Engineers.",Attention mechanism; Deep learning; Graph convolution; Traffic speed prediction,"Wu X., Fang J., Liu Z., Wu X.",10.1061/JTEPBS.0000600,3.0999999046,-1.6599999666,"['traffic speed prediction', 'graph attention network', 'crucial urban data', 'capture spatial correlation', 'temporal trend']"
-1,0.9110942155,32,,2021,Article,A machine learning-based approach for classifying tourists and locals using geotagged photos: the case of Tokyo,"In tourism-dependent cities, investigating the spatiotemporal distribution and dynamics of tourist flows is crucial for better urban planning in both steady and perturbed states. In recent years, researchers have started relying more on photo-based, geotagged social data, which offer insights about tourists, popular hotspots, and mobility patterns. However, distinguishing between tourists and locals from this data is problematic since residence information is often not provided. While previous studies rely on heuristic (e.g., period of stay) and probabilistic (Shannon entropy) approaches, this paper proposes a method for classifying tourists and residents based on machine learning (ML) algorithms and considering parameters that could explain the variability between the two (e.g., weather, mobility, and photo content). This approach was applied to Flickr users’ geotagged photos taken in Tokyo’s 23 special wards from July 2008 to December 2019. The results show that stacked ensemble (SE) models are superior to models based on five supervised-learning algorithms, including gradient boosting machine (GBM), generalized linear model (GLM), distributed random forest (DRF), deep learning (DL), and extremely randomized trees (XRT). Temporal entropy (TEN), mobility on workdays, and frequent visits to amusement venues and crowded places influenced how users were classified. While temporal distribution showed similar monthly/hourly patterns, spatial distribution varied. The proposed approach might pave the way for scholars to carry out future tourism research on different topics and subsequently support policymakers in the decision-making process, specifically in urban settings. © 2021, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.",Big data; Classification; Flickr; Geotagged photos; Locals; Machine learning; Tokyo; Tourists,"Derdouri A., Osaragi T.",10.1007/s40558-021-00208-3,1.3700000048,-1.0399999619,"['tourist flow', 'gradient boosting', 'geotagged photo', 'social data', 'city']"
1,0.9407071621,38,,2021,Conference Paper,A Support Vector Machine Implementation for Traffic Assignment Problem,"Simulating urban mobility scenarios is a useful tool for researchers in multiple fields like Urban Planning, Traffic Optimization, CO$^2$ Emissions Analysis, Performance Evaluation of Protocols for Connected Vehicles, among others. SUMO handles microscopic traffic simulations and allows communication to Python language through an API which is also shared by VEINS. This communication channel lets researchers interact with the simulation on-live, facilitating the implementation of state-of-the-art algorithms from Machine Learning (ML) and Artificial Intelligence (AI). On the other hand, OMNeT++ is a framework to manage and analyze communication protocols of mobile networks. We experimentally evaluated the training of a Support Vector Machine (SVM) in the SUMO-VEINS-OMNeT++ framework. Our experiments show the best classification model for a particular traffic light assignment scenario. © 2021 ACM.",omnet++; sumo; svm; traci; vanet; veins,"González-Vergara J., Serrano N., Iza C.",10.1145/3479240.3488502,15.89,-1.8900000000000001,"['traffic simulation', 'classification', 'mobile network', 'light assignment scenario', 'urban mobility scenario']"
4,0.9110942155,55,,2021,Conference Paper,Zurich like New: Analyzing Open Urban Multimodal Data,"Citizen-driven platforms for enhancing local public services have been adopted in several countries like the UK and Switzerland. Local governments use data collected from these platforms to solve reported issues. Data can also be used by governments for data-driven decision-making and to improve the operation of the platforms themselves. In particular, as citizen reports become increasingly popular, there is a need to handle them more efficiently. In this paper, we present an analysis of ZüriWieNeu, a map-based website helping people in Zurich, Switzerland to report urban issues related to waste, broken streetlamps, or graffiti, among others. Our contributions are two-fold. First, we analyze what machine-extracted textual, visual, spatial and temporal features reveal about the dynamics of reporting and the content of each report category. This analysis provides a snapshot of the common patterns of urban issues in the Zurich area. Second, we perform classification to automatically infer the category of reports, achieving promising performance. Our work contributes towards developing machine learning-based systems to classify report categories, with the ultimate goal of supporting both users and platform operation. © 2021 ACM.",citizen reports; civic computing; semantic segmentation; text embedding; urban data; user-generated content,"Granero Moya M., Phan T.-T., Gatica-Perez D.",10.1145/3475721.3484310,0.6200000048000001,-0.0799999982,"['citizen report', 'classification', 'government use data', 'graffiti', 'urban issue']"
5,0.9110942155,63,,2021,Conference Paper,A Traffic Accident Risk Prediction Model Based on Spatial Gated Memory Network,"The prediction of traffic accidents is becoming more and more important in the field of public safety, especially in travel route planning and road safety deployment. Due to the development of deep learning, traffic accident prediction can evolve from traditional machine learning algorithms to neural networks to predict the risk of accidents in a short period of time (hour level) in the future. However, the large urban area and sparse traffic accident samples will bring difficulties to deep learning prediction. If it is not solved, it will easily lead to zero-expansion problems, leading to inaccurate prediction results. In response to the above problems, this paper proposes a space-gated memory network (SGMN) based on deep learning. The model combines real-time accident risk, real-time traffic flow, and real-time weather with multiple inputs to predict sub-regions with high accident risk. In order to verify the performance of the model, two real data sets are used to evaluate the performance of the model. The results show that the performance of SGMN is better than that of commonly used memory neural networks such as RNN, LSTM, GRU, Convulsion and Hereto-ConvLSTM, which validates the model. © 2021 IEEE.",deep learning; risk prediction; traffic accident prediction; zero expansion problem,"Lai S., Zhou C., Song X., Zhang X.",10.1109/EIECS53707.2021.9588055,3.9000000954000003,-0.8500000238000001,"['traffic accident prediction', 'memory neural network', 'large urban area', 'high accident risk', 'deep learning']"
5,0.9110942155,69,,2021,Article,Unveiling transit mobility structure towards sustainable cities: An integrated graph embedding approach,"Detecting urban mobility structure, i.e., segmenting urban areas into disjoint clusters with similar mobility patterns, can facilitate our understanding of how a city is organized and how different parts of a city interact with each other, which underpin informed decision-making in achieving sustainable urban transportation development and resilient society. In this study, we propose to tackle a novel transit mobility structure detection problem, which hinges on high-level mobility patterns that characterize collective movement dynamics across the study region. To this end, we propose a machine learning-based approach to discover meaningful urban mobility structure using big transit data. We contend that both transit mobility patterns and local urban function information should be considered during the detection of transit mobility structure. By integrating different sources of urban data, we model the network of transit mobility as an attributed graph: local static urban functions are described by attributed features for graph nodes whereas travel dynamics are captured via a transit mobility pattern matrix. Similarities of both attributed features and transit mobility patterns are jointly embedded to derive compact low-dimensional vector representations via graph auto-encoder. Mobility structure is then extracted using unsupervised clustering and gap statistics. The proposed approach is capable of synthesizing both mobility and static information in a data-driven manner, preserving original urban topological structure and resident movement dynamics. The proposed approach was evaluated using real-world transit data collected in Shenzhen City, China. Experimental results and analyses demonstrate that the proposed approach has the applicability of unveiling meaningful transit mobility structure in large metropolitan areas. The detected mobility community maps present a holistic overview of public transit movement structure, enabling decision makers to make informed decisions on sustainable urban development and transit management. © 2021 Elsevier Ltd",Auto-encoder; Clustering; Graph embedding; Public transit; Smart card data,"Zhang T., Duan X., Li Y.",10.1016/j.scs.2021.103027,1.9299999475,-1.7799999714,"['urban mobility structure', 'big transit data', 'mobility structure detection', 'urban data', 'sustainable urban transportation']"
