,parent,child,lambda_val,child_size
0,142,56,1989.2359497272944,1
1,142,15,2173.777662606893,1
2,142,2,2249.861338339815,1
3,142,106,2259.862068965517,1
4,142,80,2263.826204290919,1
5,142,24,2311.2296459567433,1
6,142,123,2313.141596580725,1
7,142,135,2336.3342152903497,1
8,142,66,2374.6944090587403,1
9,142,60,2401.5482393358143,1
10,142,126,2409.4809708458997,1
11,142,9,2410.519540229885,1
12,142,76,2466.1496398647655,1
13,142,84,2471.235233465901,1
14,142,81,2495.124330755503,1
15,142,94,2555.1653975022846,1
16,142,45,2577.937307928703,1
17,142,3,2582.6995073891626,1
18,142,13,2589.8758876196357,1
19,142,17,2607.992538473496,1
20,142,32,2608.3980099502487,1
21,142,71,2610.0211574362165,1
22,142,96,2613.2735202492213,1
23,142,29,2616.9421307128373,1
24,142,49,2625.131591300266,1
25,142,82,2630.4822828472875,1
26,142,42,2646.666035652311,1
27,142,74,2651.685791054212,1
28,142,118,2659.6727964489537,1
29,142,130,2663.472932211462,1
30,142,61,2674.086069493146,1
31,142,53,2676.64582003829,1
32,142,12,2709.498708010336,1
33,142,18,2715.6387180317256,1
34,142,16,2716.518134715026,1
35,142,70,2717.8383282034665,1
36,142,105,2724.0162364020134,1
37,142,128,2749.912473365022,1
38,142,5,2767.6040910590564,1
39,142,100,2785.062416998672,1
40,142,39,2793.87443796836,1
41,142,27,2823.496465836419,1
42,142,22,2829.210118043845,1
43,142,103,2830.1646423751686,1
44,142,51,2830.1646423751686,1
45,142,47,2831.5976371308016,1
46,142,21,2832.553773425629,1
47,142,78,2833.9891891891893,1
48,142,0,2838.304178649975,1
49,142,34,2865.4510674637063,1
50,142,68,2867.900170940171,1
51,142,33,2867.900170940171,1
52,142,4,2869.3716435779033,1
53,142,7,2877.245069456354,1
54,142,46,2885.658066735466,1
55,142,89,2893.6212487064504,1
56,142,50,2902.1304272617194,1
57,142,20,2921.333101166638,1
58,142,14,2931.030048916841,1
59,142,121,2933.0797202797203,1
60,142,85,2933.0797202797203,1
61,142,102,2947.50808151792,1
62,142,131,2951.6565798733286,1
63,142,41,2976.794889992903,1
64,142,98,2988.992695528238,1
65,142,11,3005.592260838409,1
66,142,48,3009.3660986547084,1
67,142,73,3019.6573074154066,1
68,142,95,3036.05066956207,1
69,142,40,3040.452337803552,1
70,142,64,3044.3142805298494,1
71,142,93,3052.622998544396,1
72,142,77,3055.959198542805,1
73,142,114,3058.187386073642,1
74,142,97,3061.5357664233575,1
75,142,79,3062.6535231836438,1
76,142,1,3063.772096420745,1
77,142,99,3075.0029325513196,1
78,142,65,3082.9136346931277,1
79,142,19,3084.6140834712264,1
80,142,36,3090.865143699337,1
81,142,115,3096.5699520118123,1
82,142,119,3097.14159128669,1
83,142,44,3097.7134416543577,1
84,142,26,3097.7134416543577,1
85,142,111,3102.869613464028,1
86,142,10,3103.4435812060674,1
87,142,108,3105.741577193632,1
88,142,109,3114.389456098014,1
89,142,57,3117.8621074149787,1
90,142,8,3141.8007490636705,1
91,142,69,3180.5148815165876,1
92,142,31,3185.3457376115434,1
93,142,55,3192.61960038059,1
94,142,23,3196.2690036197373,1
95,142,143,3211.5650842266464,24
96,142,144,3211.5650842266464,23
97,143,63,3215.8742572359592,1
98,144,125,3211.5650842266464,1
99,143,75,3258.977466977467,1
100,144,54,3332.7802940007946,1
101,143,28,3262.14582928252,1
102,144,92,3338.08515718265,1
103,143,104,3301.9515843337927,1
104,144,91,3362.1675350701403,1
105,144,141,3362.1675350701403,1
106,144,72,3362.1675350701403,1
107,144,35,3362.1675350701403,1
108,144,133,3362.1675350701403,1
109,144,86,3362.1675350701403,1
110,144,124,3362.1675350701403,1
111,144,122,3362.1675350701403,1
112,144,25,3362.1675350701403,1
113,144,59,3362.1675350701403,1
114,144,38,3362.1675350701403,1
115,144,52,3362.1675350701403,1
116,144,83,3362.1675350701403,1
117,144,101,3362.1675350701403,1
118,144,113,3362.1675350701403,1
119,144,120,3362.1675350701403,1
120,144,62,3362.1675350701403,1
121,144,58,3362.1675350701403,1
122,144,67,3362.1675350701403,1
123,144,6,3362.1675350701403,1
124,143,140,3332.1183714001986,1
125,143,110,3332.1183714001986,1
126,143,116,3332.1183714001986,1
127,143,136,3332.1183714001986,1
128,143,112,3332.1183714001986,1
129,143,43,3332.1183714001986,1
130,143,138,3332.1183714001986,1
131,143,137,3332.1183714001986,1
132,143,117,3332.1183714001986,1
133,143,107,3332.1183714001986,1
134,143,129,3332.1183714001986,1
135,143,134,3332.1183714001986,1
136,143,87,3332.1183714001986,1
137,143,127,3332.1183714001986,1
138,143,90,3332.1183714001986,1
139,143,139,3332.1183714001986,1
140,143,30,3332.1183714001986,1
141,143,88,3332.1183714001986,1
142,143,132,3332.1183714001986,1
143,143,37,3332.1183714001986,1
