Cluster,DocId,Key-phrases,Candidate-count,Phrase-candidates
-1,2,"['urban design quality', 'spatial regression', 'subjective perception', 'housing structural attribute', 'land use']",147,"['urban design quality', 'street design quality', 'street quality indicator', 'urban design', 'street design', 'urban design theory', 'streetscapes', 'individual streetscapes', 'housing structural attribute', 'streetscape', 'spatial regression', 'street view imagery', 'housing development', 'city planning', 'street quality', 'subjective perception', 'design quality', 'street view', 'land use', 'street environment', 'housing price', 'land use data', 'streetscape element', 'thirty streetscape element', 'thirty streetscape', 'geographical weighted regression', 'perception data', 'visual survey', 'human perception', 'subjective measure', 'housing development plan', 'housing', 'hedonic price model', 'perception', 'structural attribute', 'building view', 'building', 'online visual survey', 'quality versus', 'land', 'street', 'machine learning', 'spatial dependence', 'quality indicator', 'greenery view', 'subjective process', 'design', 'regression', 'weighted regression', 'generic image feature', 'price variance', 'price model', 'city', 'design theory', 'subtle human perception', 'SVIs ranking', 'objective view', 'designer', 'greenery view index', 'imagery', 'ubiquitous feature', 'sense', 'place', 'image feature', 'greenery', 'pairwise SVIs ranking', 'quality', 'environment', 'hedonic price', 'objective indicator', 'predictive power', 'correlation', 'heterogeneity', 'biased estimation', 'objective view index', 'view', 'objective measure', 'data', 'view imagery', 'survey', 'describe people', 'generic image', 'image', 'ranking', 'price premium', 'attribute', 'use data', 'model', 'heterogeneity effect', 'tree', 'decision', 'feature', 'fence', 'planning', 'distance', 'tree count', 'variance', 'price', 'learning', 'measure', 'development', 'development plan', 'view index', 'decision maker', 'human scale', 'estimation', 'count', 'people', 'scale', 'effect', 'safety', 'enclosure', 'hypothesis', 'index', 'effectiveness', 'community', 'dependence', 'indicator', 'theory', 'person', 'provide important reference', 'provide', 'plan', 'reference', 'power', 'strength', 'sky', 'element', 'pairwise', 'premium', 'finding provide', 'machine', 'finding', 'lack', 'multicollinear issue', 'versus', 'use', 'maker', 'study', 'mainstream', 'important reference', 'Prior study', 'level', 'role', 'micro level', 'process', 'issue']"
-1,35,"['urban design', 'LiDAR point cloud', 'visual quality difference', 'random forest', 'street view image']",117,"['urban design', 'mobile LiDAR data', 'street view image', 'street view', 'urban street level', 'LiDAR data', 'LiDAR point cloud', 'LiDAR point clouds', 'visual quality', 'urban planning', 'classified point cloud', 'urban design expert', 'mobile LiDAR point', 'LiDAR point', 'visual quality distribution', 'point clouds', 'visual quality difference', 'point cloud', 'urban vibrancy', 'random forest', 'urban planning process', 'urban street', 'perception sample', 'random forest model', 'urban community', 'perception', 'street', 'green space', 'forest model', 'street level', 'visibility model', 'sky view', 'classified point', 'quality difference', 'sky view factor', 'quality', 'green space factor', 'quality distribution', 'Gradient Boosting classifier', 'forest', 'Boosting classifier', 'sense', 'classifier', 'spatial distribution', 'semantic information', 'visibility', 'design', 'view factor', 'architect', 'design expert', 'clouds', 'vehicle', 'cloud', 'vehicle occurrence rate', 'vehicle occurrence', 'space', 'view', 'grid resolution', 'volume index', 'area', 'data', 'comfortable experience', 'designer', 'common sense', 'experience', 'image', 'rate', 'volume', 'evaluation', 'resolution', 'planning', 'planning process', 'design element', 'sample', 'project', 'space factor', 'study area', 'view image', 'motorization', 'point', 'key design element', 'key design', 'diversity', 'expert', 'information', 'level', 'vibrancy', 'effect', 'public health', 'model', 'enclosure rate', 'social connection', 'connection', 'community', 'motorization rate', 'resident', 'index', 'result', 'distribution', 'health', 'importance', 'enclosure', 'new approach', 'positive effect', 'satisfying', 'study', 'vital importance', 'occurrence rate', 'difference', 'practice', 'element', 'method', 'Numerous study', 'approach', 'factor', 'process', 'occurrence']"
-1,48,"['bikeability index', 'street view imagery', 'urban analytics', 'compute spatial indicator', 'usability']",63,"['bikeability index', 'new bikeability index', 'urban bikeability', 'bikeability', 'new bikeability', 'street view imagery', 'urban analytics', 'street view', 'spatial indicator', 'computer vision', 'compute spatial indicator', 'conventional geospatial approach', 'geospatial approach', 'view imagery', 'spatial scale', 'geography', 'transportation', 'city', 'usability', 'street', 'view', 'imagery', 'vision', 'fine spatial scale', 'multiple geography', 'analytics', 'quantitative index', 'SVI indicator', 'site visit', 'aspect', 'exhaustive index', 'technology', 'visit', 'indicator', 'scale', 'computer', 'range', 'virtual audits', 'site', 'wide margin', 'index', 'audits', 'paper', 'margin', 'experiment', 'appeal', 'Much research', 'related work', 'contribution', 'forward', 'research', 'work', 'approach', 'way', 'limitation', 'way forward', 'technique', 'limited range', 'condition', 'counterpart', 'result', 'study', 'traditional technique']"
-1,49,"['pedestrian emotion', 'random forest', 'urban planning', 'environmental visual exposure', 'ambulatory sensing']",102,"['pedestrian emotion', 'emotional data', 'human emotion', 'wearable arousal', 'random forest', 'emotion', 'urban living', 'negative emotion', 'urban area', 'ambulatory sensing', 'positive emotion', 'urban planning research', 'urban planning', 'machine learning', 'environmental visual exposure', 'street view', 'linear regression', 'outdoor environment', 'arousal', 'visual environment', 'predictive model', 'multiple linear regression', 'regression', 'city', 'friendly experience', 'environment', 'sensing', 'psychology', 'visual exposure variable', 'street view factor', 'forest', 'MLR model', 'visual exposure', 'planning research', 'resilient environment', 'street', 'subjective report', 'spatial variance', 'exposure variable', 'People', 'visual volume', 'data', 'mental health', 'metropolitan resident', 'view factor', 'planning', 'subjective report preference', 'area', 'experience', 'model', 'health', 'learning', 'view', 'living', 'exposure', 'design', 'spatiotemporal resolution', 'interaction', 'isovist', 'volume', 'respect', 'infrastructure design', 'resultant predictive model', 'sign', 'disability', 'methodological framework', 'machine', 'magnitude', 'variable', 'location', 'physiology', 'preference', 'infrastructure', 'high spatiotemporal resolution', 'technology', 'towards', 'report', 'approach', 'portable technology', 'resident', 'report preference', 'research', 'impact', 'framework', 'proportion', 'variance', 'object proportion', 'pain', 'opportunity', 'value', 'sign symbol', 'significant factor', 'finding', 'occlusivity', 'symbol', 'result', 'factor', 'death', 'resolution', 'strategy', 'study', 'strategy towards']"
-1,51,"['Street view imagery', 'urban analytics', 'vegetation', 'crowdsourced street', 'machine learning']",70,"['Street view imagery', 'crowdsourced street view', 'Street view', 'urban analytics', 'geospatial data', 'geospatial data collection', 'crowdsourced street', 'view imagery', 'imagery platform', 'street', 'geographical coverage', 'imagery', 'computer vision', 'data collection', 'data', 'important data source', 'machine learning', 'vegetation', 'view', 'important data', 'data source', 'analytics', 'vision', 'art', 'transportation', 'research', 'granularity', 'environment', 'systematic review', 'learning', 'resource', 'coverage', 'informed decision', 'temporal granularity', 'insight', 'trend', 'licence', 'application', 'comprehensive systematic review', 'study pertaining', 'source', 'proliferation', 'decision', 'service', 'paper', 'notable trend', 'numerous application', 'computer', 'iii', 'platform', 'advance', 'review', 'pertaining', 'health', 'ii', 'surge', 'collection', 'finding', 'permissive licence', 'study', 'machine', 'main finding', 'domain', 'availability', 'recent paper', 'component', 'myriad', 'state', 'case', 'entrenched component']"
-1,52,"['neighborhood playability', 'sustainable city design', 'Understanding human perception', 'urban feature', 'benefit childhood development']",80,"['neighborhood playability', 'place playability', 'city design', 'various urban feature', 'urban feature', 'Play benefit childhood', 'urban planning', 'sustainable city design', 'sustainable city', 'street view', 'benefit childhood', 'sustainable city growth', 'Understanding human perception', 'city growth', 'benefit childhood development', 'much child play', 'city', 'neighborhood', 'childhood development', 'play', 'street view image', 'playability', 'deep learning', 'child development', 'crime rate', 'deep learning model', 'child play', 'human perception', 'environment', 'play time', 'subjective feeling', 'street', 'Play benefit', 'Place', 'childhood', 'perception', 'regression', 'development', 'data', 'traffic', 'crime', 'regression model', 'planning', 'learning model', 'people', 'design', 'learning', 'growth', 'child', 'beauty', 'traffic speed', 'model', 'insight', 'image', 'view', 'location', 'research', 'rate', 'much child', 'feeling', 'multivariate', 'helpful insight', 'effect', 'feature', 'weighted regression', 'key factor', 'nourishing environment', 'time', 'study', 'quantitative measurement', 'weighted regression model', 'benefit', 'duration', 'score', 'precise location', 'measurement', 'factor', 'previous study', 'speed', 'view image']"
-1,86,"['conventional urban data', 'imagery platform', 'machine learning', 'land', 'area quality']",83,"['conventional urban data', 'urban data', 'urban analysis', 'urban modelling', 'urban data source', 'urban research', 'imagery platform', 'city', 'sensed imagery', 'machine learning data', 'area quality', 'land use', 'imagery', 'learning data', 'data', 'land', 'demographic surveillance', 'machine learning', 'perspective', 'distance analysis', 'area', 'data source', 'view', 'learning data extraction', 'data extraction', 'natural environment', 'data capture', 'data extraction technique', 'surveillance', 'attribute information', 'research area', 'modelling', 'environment', 'distance', 'learning', 'scale', 'information', 'research', 'analysis', 'capture', 'opportunity', 'depth', 'quality', 'global capture', 'temporal analysis', 'platform', 'provide', 'use', 'health', 'insight', 'safety', 'extraction technique', 'extraction', 'global review', 'presence', 'new opportunity', 'application', 'comparison', 'source', 'Key advantage', 'corporation', 'reputation', 'practical consideration', 'review', 'point', 'comprehensive global review', 'advantage', 'remote presence', 'considerable new opportunity', 'several limitation', 'limited use', 'gatekeeper', 'release', 'machine', 'paper', 'wellbeing', 'limitation', 'role', 'technique', 'consideration', 'unreliability', 'ability', 'limited ability']"
-1,154,"['urban perception computing', 'safety criterion', 'machine learning', 'perceptional score', 'street']",42,"['urban perception computing', 'Urban Perception', 'street level analysis', 'perception computing', 'machine learning', 'safety perception', 'city street', 'perceptional score', 'Perception', 'city', 'street', 'safety', 'safety criterion', 'unsafe measure', 'discriminant component', 'learning', 'area', 'visual component', 'level analysis', 'related area', 'computing', 'measure', 'confidence', 'experimental evaluation', 'criterion', 'field', 'evaluation', 'analysis', 'machine', 'behavior', 'influence', 'component', 'focus', 'word', 'system', 'impact', 'work', 'importance', 'study', 'result', 'score', 'study focus']"
-1,157,"['city soundscapes', 'deep learning', 'predictive acoustic model', 'experiential data', 'sonic experience']",66,"['city soundscapes', 'urban soundscapes', 'undesirable urban soundscapes', 'soundscapes', 'predictive acoustic model', 'urban space', 'experiential data', 'sound', 'acoustic model', 'sonic experience', 'deep learning', 'data collection', 'data', 'city', 'comparable experiential data', 'pollution', 'reliable data', 'data pertaining', 'listener', 'building', 'data collection method', 'building industry', 'learning', 'citizens', 'participatory approach', 'planning', 'experience', 'planning process', 'emotion', 'communal style', 'space', 'innovation', 'physical feature', 'industry', 'living', 'concept', 'citizen', 'collection', 'pattern', 'feature', 'personal response', 'response', 'style', 'machine', 'consideration', 'communication', 'attitude', 'model', 'measurement', 'collection method', 'understanding', 'physical measurement', 'pertaining', 'process', 'professional', 'approach', 'measurable value', 'value', 'support', 'method', 'importance', 'aim', 'technique', 'paper', 'standardized method', 'solution']"
-1,206,"['auditory perception map', 'urban environment', 'Machine Learning modeling', 'street view image', 'visual scene']",73,"['auditory perception map', 'auditory perception', 'auditory data', 'auditory landscape', 'perception map', 'urban environment', 'human perception', 'street view image', 'street view', 'perception survey', 'perception', 'auditory', 'perceptual attribute', 'individual perception', 'visual perceptual attribute', 'visual data', 'audio', 'Machine Learning modeling', 'visual scene', 'visual feature', 'visual datasets', 'specific audio', 'dataset', 'street', 'datasets', 'prediction model', 'Learning modeling', 'map', 'landscape', 'chosen street', 'data', 'modeling', 'local street', 'audio clip', 'prediction', 'environment', 'area', 'study area', 'survey', 'view', 'algorithms', 'image', 'Statistical analysis', 'evaluation', 'camera', 'human subject', 'camera setup', 'standard algorithms', 'audio recorder', 'scene', 'feature', 'model', 'analysis', 'people', 'subject', 'attribute', 'view image', 'study', 'day', 'relationship', 'recorder', 'help', 'clip', 'interval', 'setup', 'result', 'standard', 'relation', 'km', 'length', 'km length', 'different interval', 'set']"
