dimension,min_samples,min_cluster_size,epsilon,Silhouette_score,total_clusters,outliers,cluster_results,cluster_labels
100,20,35,0.0,0.9265918913000001,3,53,"[{'cluster_no': -1, 'count': 53}, {'cluster_no': 0, 'count': 64}, {'cluster_no': 1, 'count': 37}]","[0, -1, 1, 0, 1, 1, 1, 0, 1, -1, 1, 0, 1, -1, -1, 1, -1, 0, -1, 1, -1, 0, -1, -1, 0, 1, 0, 0, 1, -1, -1, 0, -1, 1, -1, -1, -1, 1, -1, 1, 0, 1, 0, 0, 0, 1, -1, 1, 0, -1, 0, -1, 0, 0, 1, 0, 1, 1, -1, 1, -1, -1, 0, 1, 0, 1, -1, -1, -1, -1, 0, -1, 0, 0, -1, 0, 0, 0, -1, 1, 0, 0, 0, -1, -1, 1, 0, -1, 0, 0, 0, 0, 0, -1, 0, -1, 1, 0, -1, 1, -1, 1, 0, 0, -1, 0, -1, -1, -1, -1, 0, 1, 1, 1, 0, 1, 1, 0, -1, -1, -1, 1, 0, -1, 0, -1, 0, 0, 0, 1, -1, -1, 1, 1, 0, -1, 0, 0, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0]"
95,20,35,0.0,0.8949790192,3,44,"[{'cluster_no': -1, 'count': 44}, {'cluster_no': 0, 'count': 75}, {'cluster_no': 1, 'count': 35}]","[0, -1, 1, 0, -1, 1, 1, -1, 1, 0, 1, 0, 1, -1, 0, -1, -1, 0, -1, 1, -1, 0, -1, -1, 0, -1, 0, 0, 1, -1, 0, 0, 1, 1, -1, -1, -1, -1, -1, 1, 0, 1, 0, 0, 0, 1, -1, 1, 0, -1, 0, 0, 0, 0, 1, 0, -1, 1, -1, 1, 0, 0, 0, 1, 0, 1, 0, -1, 0, 0, 0, -1, 0, 0, 1, -1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, 1, 0, -1, 1, -1, 1, 0, 0, -1, 0, -1, -1, -1, -1, 0, 1, -1, 1, 0, 1, 1, 0, 0, -1, -1, 1, 0, -1, 0, -1, 0, 0, 0, 1, -1, 0, 1, 1, 0, -1, 0, 0, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0]"
90,25,35,0.0,0.8929945156,3,40,"[{'cluster_no': -1, 'count': 40}, {'cluster_no': 0, 'count': 75}, {'cluster_no': 1, 'count': 39}]","[0, 1, 1, 0, 1, 1, 1, -1, 1, 0, 1, 0, 1, -1, 0, 1, -1, 0, -1, 1, -1, 0, -1, -1, 0, -1, 0, 0, 1, -1, 0, 0, 1, 1, -1, -1, -1, 1, -1, 1, 0, 1, 0, 0, 0, 1, -1, 1, 0, -1, 0, 0, 0, 0, 1, 0, -1, 1, -1, 1, 0, 0, 0, 1, 0, 1, 0, -1, -1, -1, 0, -1, 0, 0, 1, -1, 0, 0, -1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0, 1, -1, 1, 0, 0, -1, 0, -1, -1, -1, 0, 0, 1, -1, 1, 0, 1, 1, 0, 0, -1, -1, 1, 0, -1, 0, -1, 0, 0, 0, -1, -1, 1, 1, 1, 0, -1, 0, 0, -1, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0]"
85,25,35,0.0,0.8940008764,3,36,"[{'cluster_no': -1, 'count': 36}, {'cluster_no': 0, 'count': 79}, {'cluster_no': 1, 'count': 39}]","[0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, -1, 0, 1, -1, 0, -1, 1, -1, 0, -1, -1, 0, 0, 0, 0, 1, -1, 0, 0, 1, 1, 1, -1, 0, 1, -1, 1, 0, 1, 0, 0, 0, 1, -1, 1, 0, -1, 0, 0, 0, 0, 1, 0, -1, 1, -1, 1, 0, 0, 0, -1, 0, 1, 0, -1, 0, -1, 0, -1, 0, 0, 1, 0, 0, 0, -1, 1, 0, 0, 0, 1, 0, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0, -1, -1, 1, 0, 0, -1, 0, -1, -1, -1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, -1, -1, 1, 0, -1, 0, -1, 0, 0, 0, 1, -1, -1, 1, 1, 0, -1, 0, 0, -1, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0]"
80,25,35,0.0,0.8856325751,3,45,"[{'cluster_no': -1, 'count': 45}, {'cluster_no': 0, 'count': 72}, {'cluster_no': 1, 'count': 37}]","[0, 1, 1, 0, 1, 1, 1, -1, 1, 0, 1, -1, 1, -1, 0, 1, -1, 0, -1, 1, -1, 0, -1, -1, 0, -1, 0, 0, -1, -1, -1, 0, 1, 1, -1, -1, -1, 1, -1, 1, 0, 1, 0, 0, 0, 1, -1, 1, 0, -1, 0, -1, 0, 0, 1, 0, -1, 1, -1, 1, 0, -1, 0, -1, 0, 1, 0, -1, 0, -1, 0, -1, 0, 0, -1, 0, 0, 0, -1, 1, 0, 0, 0, 1, 0, 1, 0, -1, 0, 0, 0, 0, 0, -1, 0, -1, 1, 0, 0, 1, -1, 1, 0, 0, -1, 0, -1, -1, -1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, -1, -1, 1, 0, -1, 0, -1, 0, 0, 0, 1, -1, 0, 1, 1, 0, -1, 0, 0, -1, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0]"
75,30,30,0.0,0.9137624373000001,3,50,"[{'cluster_no': -1, 'count': 50}, {'cluster_no': 0, 'count': 70}, {'cluster_no': 1, 'count': 34}]","[-1, -1, 1, 0, -1, 1, 1, 0, 1, 0, 1, 0, 1, -1, 0, 1, -1, 0, -1, 1, -1, 0, -1, -1, 0, -1, 0, 0, 1, -1, -1, 0, -1, 1, -1, -1, 0, -1, -1, 1, 0, 1, 0, 0, 0, 1, -1, 1, 0, -1, 0, -1, 0, -1, 1, 0, -1, 1, -1, 1, -1, 0, -1, -1, 0, 1, -1, -1, 0, -1, 0, -1, 0, 0, 1, -1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, -1, -1, 1, 0, 0, -1, -1, -1, -1, -1, 0, 0, 1, -1, -1, 0, 1, 1, 0, 0, 1, -1, 1, 0, -1, 0, -1, 0, 0, 0, 1, -1, -1, 1, 1, 0, -1, 0, 0, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0]"
70,30,35,0.0,0.9097528414,3,43,"[{'cluster_no': -1, 'count': 43}, {'cluster_no': 0, 'count': 74}, {'cluster_no': 1, 'count': 37}]","[0, 1, 1, 0, -1, 1, 1, 0, 1, 0, 1, 0, 1, -1, 0, 1, -1, 0, -1, 1, -1, 0, -1, 1, 0, -1, 0, 0, -1, -1, -1, -1, -1, 1, -1, -1, 0, -1, -1, 1, 0, 1, 0, 0, 0, 1, -1, 1, 0, -1, 0, 0, 0, -1, 1, 0, -1, 1, -1, 1, 0, 0, 0, -1, 0, 1, 0, -1, 0, -1, 0, -1, 0, 0, 1, -1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, -1, 1, 0, 0, -1, 0, -1, -1, 1, 1, 0, 1, -1, -1, 0, 1, 1, 0, 0, -1, -1, 1, 0, -1, 0, -1, 0, 0, 0, 1, -1, -1, 1, 1, 0, -1, 0, 0, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0]"
65,30,30,0.0,0.900018901,3,65,"[{'cluster_no': -1, 'count': 65}, {'cluster_no': 0, 'count': 58}, {'cluster_no': 1, 'count': 31}]","[-1, -1, 1, 0, -1, 1, 1, -1, 1, -1, 1, 0, 1, -1, -1, -1, -1, 0, -1, 1, -1, 0, -1, -1, 0, -1, -1, 0, 1, -1, -1, 0, -1, 1, -1, -1, -1, -1, -1, 1, 0, 1, -1, 0, -1, 1, -1, 1, 0, -1, 0, -1, 0, -1, 1, 0, -1, 1, -1, -1, 0, -1, -1, -1, 0, 1, -1, -1, 0, -1, 0, -1, 0, 0, 1, -1, 0, 0, -1, 1, 0, 0, -1, 1, -1, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0, -1, -1, 1, 0, 0, -1, -1, -1, -1, 1, 0, 0, 1, -1, 1, 0, 1, 1, 0, -1, -1, -1, 1, -1, -1, 0, -1, 0, 0, 0, 1, -1, -1, 1, 1, 0, -1, 0, 0, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0]"
60,25,35,0.0,0.9001755521,3,37,"[{'cluster_no': -1, 'count': 37}, {'cluster_no': 0, 'count': 78}, {'cluster_no': 1, 'count': 39}]","[0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, -1, 0, 1, -1, 0, -1, 1, -1, 0, -1, -1, 0, 1, 0, 0, 1, -1, -1, 0, 1, 1, -1, -1, 0, 1, -1, 1, 0, 1, 0, 0, 0, 1, -1, 1, 0, -1, 0, 0, 0, -1, 1, 0, -1, 1, -1, 1, 0, 0, 0, -1, 0, 1, 0, -1, 0, 0, 0, -1, 0, 0, 1, 0, 0, 0, -1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0, 1, -1, 1, 0, 0, -1, 0, -1, -1, -1, 0, 0, 1, -1, 1, 0, 1, 1, 0, 0, -1, -1, 1, 0, -1, 0, -1, 0, 0, 0, 1, -1, -1, 1, 1, 0, -1, 0, 0, -1, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0]"
55,25,35,0.0,0.9089456517000001,3,53,"[{'cluster_no': -1, 'count': 53}, {'cluster_no': 0, 'count': 65}, {'cluster_no': 1, 'count': 36}]","[0, 1, 1, 0, -1, 1, 1, -1, 1, -1, 1, 0, 1, -1, -1, -1, -1, 0, -1, 1, -1, 0, -1, -1, 0, -1, -1, 0, 1, -1, -1, 0, 1, 1, -1, -1, -1, 1, -1, 1, 0, 1, 0, 0, 0, 1, -1, 1, 0, -1, 0, -1, 0, 0, -1, 0, -1, 1, -1, 1, 0, -1, -1, -1, 0, 1, 0, -1, 0, -1, 0, -1, 0, 0, -1, -1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, -1, -1, 0, 0, 0, 0, -1, 0, 1, 1, 0, 0, 1, -1, 1, 0, 0, -1, 0, -1, -1, -1, 1, 0, 1, -1, 1, 0, 1, 1, 0, 0, -1, -1, 1, 0, -1, 0, -1, 0, 0, 0, 1, -1, -1, 1, 1, 0, -1, 0, 0, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0]"
