0,1
digital elevation,"{5, -1}"
elevation model,"{5, -1}"
critical role,{-1}
geospatial database,{-1}
facility siting,{-1}
hydrological analysis,{-1}
urban design,{-1}
big gap,{-1}
dem data,{-1}
practical idea,{-1}
sr method,{-1}
bicubic interpolation,{-1}
local variation,{-1}
recent development,{-1}
machine learning,"{0, 1, 2, 3, 4, 5, -1}"
great progress,{-1}
terrain character,{-1}
huge difference,{-1}
elevation field,{-1}
value field,{-1}
traditional interpolation,{-1}
interpolation method,{-1}
neural network,"{0, 1, 2, 3, 4, -1}"
experimental result,"{0, 1, 2, 4, 5, -1}"
accuracy evaluation,"{0, 1, -1}"
sr experiment,{-1}
important role,"{0, 1, 2, 5, -1}"
image processing,"{0, 5, -1}"
urban planning,"{0, 1, 2, 3, 4, 5, -1}"
demographic analysis,{-1}
recent year,"{0, 1, 2, 3, 4, -1}"
semantic segmentation,"{0, -1}"
segmentation model,{-1}
new deep,{-1}
deep learning,"{0, 1, 2, 4, -1}"
learning network,"{1, -1}"
cascaded multiscale,{-1}
multiscale feature,{-1}
feature fusion,{-1}
image classification,"{0, 1, 5, -1}"
classification network,{-1}
segmentation network,{-1}
nonlocal operation,{-1}
excessive noise,{-1}
computational effort,{-1}
multiscale prediction,{-1}
deep supervision,{-1}
prediction performance,{-1}
different scale,{-1}
different remote,{-1}
image datasets,{-1}
generalization ability,{-1}
novel deeply,{-1}
building change,{-1}
change detection,"{0, 5, -1}"
crucial role,{-1}
extensive attention,{-1}
detection method,"{0, -1}"
method suffer,{-1}
limited accuracy,{-1}
information loss,{-1}
inadequate capability,{-1}
feature extraction,"{1, 2, 3, -1}"
bcd task,{-1}
spatial attention,{-1}
contextual information,"{1, 5, -1}"
raw image,{-1}
image feature,"{3, -1}"
difference feature,{-1}
spatial pyramid,{-1}
pyramid pooling,{-1}
detection performance,{-1}
supervision module,{-1}
middle layer,{-1}
distinctive feature,{-1}
qualitative experiment,{-1}
available datasets,"{3, -1}"
building datasets,{-1}
efficiency analysis,{-1}
analysis reveals,{-1}
great balance,{-1}
bcd performance,{-1}
large number,"{0, 2, -1}"
scene classification,{-1}
many field,{-1}
natural disaster,"{0, 1, 2, -1}"
disaster detection,{-1}
environmental monitoring,"{0, 1, 5, -1}"
natural image,{-1}
image field,{-1}
supervised scene,{-1}
classification method,"{0, 1, 2, 4, 5, -1}"
unsupervised scene,{-1}
actual need,{-1}
adversarial net,{-1}
gating unit,{-1}
discriminative network,{-1}
feature representation,"{1, -1}"
representation capability,{-1}
semisupervised classification,{-1}
feature map,{-1}
dependence relationship,{-1}
sag module,{-1}
module aim,{-1}
important scene,{-1}
scene region,{-1}
branch aim,{-1}
semantic representation,{-1}
input image,{-1}
discriminant ability,{-1}
new optimization,{-1}
optimization term,{-1}
generator loss,{-1}
scene image,"{1, -1}"
eurosat data,{-1}
terrain analysis,{-1}
data fusion,"{2, -1}"
natural feature,{-1}
feature detection,{-1}
geoai research,{-1}
research method,{-1}
deep machine,{-1}
geospatial data,"{1, -1}"
object detection,"{0, 2, -1}"
detection pipeline,{-1}
new feature,{-1}
channel expansion,{-1}
detection model,{-1}
simultaneous machine,{-1}
remote sensing,"{0, 1, 2, 4, 5, -1}"
sensing imagery,{-1}
new data,"{5, -1}"
fusion strategy,{-1}
data source,"{0, 1, 2, -1}"
enriched information,{-1}
information content,{-1}
detection result,"{0, -1}"
different set,{-1}
data augmentation,"{1, -1}"
augmentation technique,{-1}
training data,"{1, -1}"
model performance,"{4, -1}"
joint building,{-1}
building footprint,{-1}
road detection,"{2, -1}"
road network,"{0, -1}"
important input,{-1}
great deal,{-1}
building map,{-1}
road map,"{0, -1}"
disaster response,{-1}
response service,{-1}
land surveying,{-1}
last decade,"{0, 3, -1}"
network detection,{-1}
detection problem,{-1}
segmentation task,{-1}
single model,{-1}
multiple class,"{2, -1}"
overall performance,{-1}
spatial resolution,"{0, 1, 3, 5, -1}"
binary decomposition,{-1}
decomposition technique,{-1}
learning literature,{-1}
multiclass problem,{-1}
different model,{-1}
aggregation step,{-1}
final output,{-1}
output label,{-1}
novel approach,"{0, 5, -1}"
segmentation problem,{-1}
road class,{-1}
challenging problem,{-1}
problem scheme,{-1}
robust experimental,{-1}
experimental study,"{4, -1}"
decomposition strategy,{-1}
learning scheme,{-1}
result demonstrate,"{5, -1}"
binary segmentation,{-1}
automatic detection,"{0, -1}"
impervious surface,"{3, 5, -1}"
scale quantification,{-1}
valuable information,"{0, -1}"
socioeconomic development,"{2, -1}"
gis technique,"{0, -1}"
temporal information,"{5, -1}"
land surface,"{0, 1, 3, 5, -1}"
statistical index,{-1}
different band,"{5, -1}"
sentinel series,{-1}
regression technique,{-1}
labeled data,{-1}
significant effort,{-1}
manual labeling,{-1}
visual interpretation,{-1}
large amount,"{0, -1}"
evaluation data,{-1}
extensive experimentation,{-1}
network architecture,"{0, 1, -1}"
optimization method,"{4, -1}"
model configuration,{-1}
root mean,"{1, -1}"
test set,"{1, 5, -1}"
statistical accuracy,{-1}
brighter prediction,{-1}
learning technique,"{0, 1, 2, 4, 5, -1}"
digital surface,"{5, -1}"
surface model,"{5, -1}"
automatic building,{-1}
building extraction,"{2, -1}"
major area,{-1}
extensive range,{-1}
environmental risk,{-1}
risk management,"{2, -1}"
urban morphology,"{4, -1}"
morphology complexity,{-1}
different method,{-1}
supervised machine,"{2, -1}"
footprint extraction,{-1}
ml model,{-1}
benchmark dataset,{-1}
feature descriptor,{-1}
support vector,"{0, 1, 2, 4, 5, -1}"
vector machine,"{0, 1, 2, 5, -1}"
extreme learning,"{5, -1}"
learning machine,"{5, -1}"
third model,{-1}
convolutional network,{-1}
transfer learning,"{1, -1}"
urban area,"{0, 1, 2, 3, 4, 5, -1}"
urban context,{-1}
urban change,"{4, -1}"
point cloud,"{2, -1}"
siamese network,{-1}
earth population,{-1}
urban environment,"{0, 2, 5, -1}"
efficient monitoring,{-1}
monitoring tool,{-1}
crucial point,{-1}
vertical axis,{-1}
new construction,{-1}
valuable source,{-1}
method start,{-1}
conventional image,{-1}
processing tool,{-1}
significant loss,{-1}
deep method,{-1}
siamese architecture,{-1}
kpconv network,{-1}
method outperforms,"{1, -1}"
hyperspectral system,{-1}
lidar scanner,{-1}
urban mapping,"{2, -1}"
city management,{-1}
urban feature,"{3, -1}"
lidar data,"{0, 2, -1}"
road edge,{-1}
edge detection,"{2, -1}"
different machine,"{2, 3, -1}"
learning algorithms,"{0, 2, 3, 5, -1}"
first result,{-1}
result show,"{0, 1, 2, 3, 4, -1}"
forest algorithm,"{3, -1}"
study area,"{0, 1, 2, 3, 4, 5, -1}"
vehicle detection,{-1}
aerial image,"{0, 2, -1}"
various challenge,{-1}
nowadays vehicle,{-1}
security concern,{-1}
vital role,"{3, -1}"
various crime,{-1}
child kidnapping,{-1}
traffic misconduct,{-1}
sexual misconduct,{-1}
traffic management,"{2, -1}"
rescue vehicle,{-1}
hill area,{-1}
digital watermarking,{-1}
vehicle tracking,{-1}
toll plaza,{-1}
counting task,{-1}
complex background,{-1}
small size,{-1}
visual appearance,{-1}
appearance object,{-1}
traditional methodology,{-1}
robust algorithms,{-1}
computer vision,"{0, 1, 2, -1}"
learning algorithm,"{1, -1}"
huge amount,"{4, -1}"
brief description,{-1}
traditional algorithms,{-1}
learning concept,{-1}
comprehensive analysis,{-1}
benchmark datasets,"{0, -1}"
corresponding challenge,{-1}
uav photogrammetry,{-1}
essential part,{-1}
geographic information,"{1, 3, 4, -1}"
information system,"{0, 1, 4, -1}"
economic growth,"{3, -1}"
aerial vehicle,"{0, 2, 3, 5, -1}"
photogrammetry work,{-1}
data updating,{-1}
extraction accuracy,{-1}
complex area,{-1}
various pattern,{-1}
complex structure,{-1}
unique style,{-1}
uav image,"{1, 5, -1}"
difference vegetation,"{5, -1}"
vegetation index,"{5, -1}"
vdvi band,{-1}
building area,"{0, -1}"
dsm band,{-1}
separate building,{-1}
ground object,{-1}
small building,{-1}
tree branch,{-1}
open standard,{-1}
standard dataset,{-1}
overall accuracy,"{0, 1, 2, 3, 5, -1}"
footprint information,{-1}
key factor,{-1}
challenging task,"{0, 2, -1}"
earth observation,"{1, -1}"
observation field,{-1}
outstanding improvement,{-1}
extraction field,{-1}
hierarchical feature,{-1}
building prediction,{-1}
different size,{-1}
depict building,{-1}
varied size,{-1}
large area,"{0, -1}"
extra lightweight,{-1}
lightweight encoder,{-1}
representative building,{-1}
building feature,{-1}
scale attention,{-1}
attention module,{-1}
final building,{-1}
extraction method,"{0, -1}"
large earthquake,{-1}
earthquake occurs,{-1}
damage distribution,{-1}
housing structure,{-1}
disaster prevention,"{1, -1}"
prevention measure,{-1}
public organization,{-1}
novel method,"{3, -1}"
single building,{-1}
satellite image,"{0, 2, 3, 5, -1}"
recent machine,{-1}
damage detection,{-1}
detection system,{-1}
learning model,"{0, 4, -1}"
optical satellite,"{5, -1}"
structural attribute,{-1}
detection accuracy,{-1}
affected area,{-1}
kumamoto earthquake,{-1}
urban data,"{2, 4, -1}"
coastal development,{-1}
different issue,{-1}
extreme storm,{-1}
storm event,{-1}
physical characteristic,"{3, -1}"
coastal area,"{5, -1}"
important factor,"{3, 4, 5, -1}"
risk mitigation,{-1}
overall coastal,{-1}
coastal zone,{-1}
zone management,{-1}
traditional bathymetry,{-1}
bathymetry measurement,{-1}
various complexity,{-1}
satellite imagery,"{0, 1, 2, 4, 5, -1}"
incident wave,{-1}
wave signature,{-1}
inversion model,{-1}
physical model,{-1}
computational cost,"{2, -1}"
real data,{-1}
ocean depth,{-1}
simulated case,{-1}
new approach,"{0, 2, 4, 5, -1}"
bathymetry estimation,{-1}
novel application,{-1}
aerial videos,{-1}
decision making,"{2, 3, 4, 5, -1}"
environmental change,"{5, -1}"
disaster management,"{0, 1, -1}"
decision support,"{1, -1}"
support system,{-1}
segmentation algorithms,{-1}
segmentation method,{-1}
additional module,{-1}
optical flow,{-1}
temporal dynamic,"{3, 5, -1}"
computational overhead,{-1}
research work,{-1}
cnn architecture,{-1}
consistent labeling,{-1}
accurate localization,{-1}
class label,{-1}
manipaluavid dataset,{-1}
promising result,"{1, 4, -1}"
pretrained model,{-1}
urban street,{-1}
street scene,{-1}
final layer,{-1}
massive data,"{1, -1}"
productive activity,{-1}
dynamic monitoring,{-1}
suburban construction,{-1}
construction inspection,{-1}
high intraclass,{-1}
intraclass variance,{-1}
receptive field,"{4, -1}"
decoder architecture,{-1}
attention gate,{-1}
pooling module,{-1}
gated feature,{-1}
distinguish building,{-1}
complex surroundings,{-1}
aerial building,{-1}
building dataset,{-1}
rural building,{-1}
experiment show,{-1}
recent model,{-1}
great potential,"{0, 1, -1}"
practical scenario,{-1}
significant role,{-1}
environment monitoring,"{0, -1}"
civil infrastructure,{-1}
infrastructure construction,{-1}
disaster rescuing,{-1}
geographic image,{-1}
image retrieval,{-1}
geoinformatics community,{-1}
many approach,{-1}
previous method,{-1}
abundant information,{-1}
hsr remote,{-1}
mentioned challenge,{-1}
deep framework,{-1}
meaningful object,{-1}
hsr image,{-1}
deep representation,{-1}
image data,{-1}
augmented image,{-1}
image representation,{-1}
fused representation,{-1}
global latent,{-1}
latent feature,{-1}
different object,{-1}
sensing image,{-1}
image dataset,{-1}
strong baseline,{-1}
data analytics,{-1}
corresponding applicability,{-1}
observation image,{-1}
wide range,"{0, 1, 4, 5, -1}"
industrial world,{-1}
world benefit,{-1}
high resolution,"{0, 1, 2, 3, 5, -1}"
resolution earth,{-1}
many machine,{-1}
sparse coding,{-1}
classical model,{-1}
promising classification,{-1}
classification accuracy,"{0, 1, 2, 5, -1}"
many benchmark,{-1}
benchmark data,{-1}
data set,"{1, 2, 3, 4, 5, -1}"
dictionary learning,{-1}
sparse representation,{-1}
learning stage,{-1}
classification stage,"{5, -1}"
good result,{-1}
recent study,"{3, -1}"
unlabeled data,{-1}
multiple classification,{-1}
classification task,"{0, 1, -1}"
landuse data,"{5, -1}"
changping data,{-1}
new way,{-1}
resource cost,{-1}
sensing scene,{-1}
image classifier,"{2, -1}"
city model,"{2, -1}"
height map,{-1}
valuable data,{-1}
numerous application,"{2, -1}"
city planning,"{2, -1}"
inexpensive satellite,{-1}
basic model,{-1}
generalized framework,{-1}
decoder leverage,{-1}
type classification,"{1, 2, -1}"
secondary task,{-1}
adversarial term,{-1}
loss function,{-1}
learned uncertainty,{-1}
uncertainty estimate,{-1}
specific instance,{-1}
common data,{-1}
new dataset,{-1}
independent study,{-1}
fundamental task,{-1}
data processing,"{0, 3, -1}"
various application,"{0, 1, -1}"
land use,"{1, 3, 4, 5, -1}"
land cover,"{0, 1, 3, 4, 5, -1}"
cover mapping,"{0, 5, -1}"
many challenge,"{0, -1}"
appropriate method,{-1}
many variation,{-1}
viewpoint variation,{-1}
various machine,"{2, 5, -1}"
significant accuracy,{-1}
image training,{-1}
epoch time,{-1}
local climate,{-1}
climate zone,{-1}
zone mapping,{-1}
case study,"{1, 2, 3, 4, 5, -1}"
rapid development,{-1}
forty year,{-1}
urban citizen,{-1}
urbanization lead,{-1}
economic progress,{-1}
extra heat,{-1}
air pollution,"{4, 5, -1}"
new concept,{-1}
urban heat,"{5, -1}"
heat island,"{5, -1}"
island research,{-1}
standard classification,{-1}
classification system,{-1}
minimum diameter,{-1}
valid effect,{-1}
urban climate,{-1}
wudapt method,{-1}
spatial information,"{5, -1}"
lcz mapping,{-1}
environmental context,{-1}
fifteen city,{-1}
economic region,{-1}
multispectral data,{-1}
residual learning,{-1}
large image,{-1}
small image,{-1}
image size,{-1}
natural class,{-1}
urban class,{-1}
large input,{-1}
input size,{-1}
environment context,{-1}
lcz model,{-1}
satisfactory result,{-1}
domain shift,{-1}
advanced domain,{-1}
domain adaptation,{-1}
adaptation method,{-1}
yolo framework,{-1}
predominant feature,{-1}
solar energy,{-1}
energy suitability,{-1}
suitability analysis,{-1}
increased availability,{-1}
related work,{-1}
learning framework,"{0, -1}"
small object,"{0, -1}"
layer architecture,{-1}
spatial characteristic,"{4, -1}"
constrained regression,{-1}
building size,{-1}
size prediction,{-1}
invariant augmentation,{-1}
prediction phase,{-1}
solution quality,{-1}
low altitude,{-1}
many research,"{4, -1}"
past decade,"{5, -1}"
recent time,{-1}
powerful sensor,{-1}
laser rangefinder,{-1}
rangefinder sensor,{-1}
stereo vision,{-1}
vision system,{-1}
