Cluster,Group,SubGroup,TitleWords,NumPhrases,Key-phrases,NumDocs,DocIds
0,-1,0,"['image', 'satellite', 'data']",24,"['satellite imagery', 'satellite image fusion', 'satellite image', 'satellite big data', 'resolution satellite image', 'multispectral satellite image', 'IKONOS satellite imagery', 'urban data', 'UAV image', 'spatial data quality', 'spatial data', 'Sentinel image', 'sensed activity data', 'multispectral image', 'Landsat imagery archive', 'Landsat imagery', 'Landsat image', 'Landsat data stack', 'Landsat data', 'volunteered geographic information', 'unmanned aerial vehicle', 'synthetic aperture radar', 'remote sensing', 'geographic information']",26,"[11, 72, 114, 120, 167, 171, 175, 230, 252, 303, 316, 317, 347, 361, 374, 391, 458, 464, 475, 497, 565, 569, 572, 578, 582, 590]"
0,-1,1,"['change', 'detection', 'modeling']",23,"['use change modeling', 'LULC change detection', 'composite change detection', 'change modeling', 'change detection analysis', 'change detection algorithm', 'area change detection', 'unchanged data', 'Spatiotemporal modeling', 'spatial modeling', 'time series', 'system adaptation planning', 'spatiotemporal uncertainty', 'spatial logistic regression', 'site transformation', 'Logistic regression analysis', 'integrated model', 'GIS modelling', 'GIS functionality', 'GIS approach', 'geospatial variable', 'geospatial application', 'elevation model']",23,"[42, 72, 167, 182, 213, 225, 230, 293, 299, 352, 374, 391, 420, 494, 497, 515, 524, 553, 570, 578, 589, 590, 594]"
0,-1,2,"['spatial', 'image', 'classification']",19,"['supervised image classification', 'spatial classification', 'OLI image classification', 'image classification approach', 'image classification', 'spatial transformation rule', 'spatial pattern', 'spatial distribution', 'spatial characteristic', 'spatial attribute', 'spatial', 'image analysis', 'Various graph measure', 'texture analysis', 'semantic inpainting algorithm', 'recognition system', 'intensity analysis', 'feature importance', 'cluster mean']",22,"[6, 42, 100, 171, 208, 299, 310, 320, 331, 347, 458, 475, 509, 515, 524, 554, 565, 576, 588, 590, 593, 594]"
0,-1,3,"['classification', 'tree', 'random']",18,"['classification tree', 'regression tree', 'Random Forests classification', 'random forest', 'landcover classification', 'land use classification', 'land cover classification', 'infrastructure classification framework', 'decision tree', 'boosted regression tree', 'XGBoost algorithm', 'rotation forest', 'Random Forest machine', 'Random Forest algorithm', 'industrial land recognition', 'cellular automaton model', 'cellular automaton', 'cellular automata']",22,"[11, 90, 100, 120, 182, 230, 303, 317, 344, 347, 361, 391, 436, 458, 494, 497, 509, 515, 565, 570, 576, 588]"
0,0,0,"['urban', 'area', 'city']",30,"['urban slum area', 'urban area', 'OSM urban area', 'complex urban area', 'urban transition rule', 'urban structure type', 'urban environment', 'surface urban heat', 'small polish city', 'populated urban region', 'planning coastal area', 'planned urban zone', 'Lahore city', 'intermediate city', 'city worldwide', 'catchment area', 'binary urban footprint', 'Athens area', 'Taliban regime', 'slum mapping', 'settlement pattern', 'road system', 'residential low impact', 'residential land growth', 'residential land', 'multivariate municipality data', 'housing dispersal', 'green roofs', 'development zone construction', 'conflict zone']",25,"[6, 11, 42, 114, 175, 208, 213, 256, 299, 302, 303, 344, 348, 361, 436, 464, 515, 554, 565, 569, 570, 572, 578, 582, 588]"
0,0,1,"['land', 'water', 'urban']",22,"['urban water infrastructure', 'urban stormwater management', 'water demand modeling', 'water consumption data', 'urbanization rate', 'urbanization', 'urban sprawl', 'urban hydrologic modelling', 'stream water quality', 'storm water management', 'land use dynamic', 'land expansion', 'future land use', 'future land management', 'future land change', 'annual urbanization', 'accelerated land use', 'socioeconomic inequality', 'pollutant concentration data', 'perennial drainage', 'hydrologic risk', 'annual air pollution']",18,"[11, 90, 119, 190, 208, 225, 230, 293, 310, 317, 344, 348, 361, 374, 420, 426, 464, 590]"
0,0,2,"['land', 'urban', 'use']",20,"['urban land use', 'urban land market', 'urban land cover', 'land use policy', 'land use master', 'land use', 'urban vegetation mapping', 'urban forest cover', 'urban feature extraction', 'shrubland coverage', 'land owner', 'land cover class', 'land consumption', 'inefficient industrial land', 'sand consumption', 'material consumption analysis', 'green space analysis', 'forest', 'difference vegetation index', 'census tract']",23,"[42, 90, 119, 135, 167, 171, 190, 252, 256, 302, 316, 344, 347, 348, 374, 475, 509, 551, 554, 572, 576, 589, 590]"
0,0,3,"['urban', 'growth', 'trend']",15,"['urban growth planning', 'urban growth map', 'urban growth', 'urban expansion trend', 'Rapid urban growth', 'urban land prediction', 'spatial trend', 'smart city growth', 'predicted urban expansion', 'growth simulation', 'growth modeling', 'future urban extent', 'combinatory trend', 'population forecasting', 'land price prediction']",16,"[6, 100, 114, 119, 171, 182, 213, 225, 256, 288, 299, 436, 458, 553, 570, 572]"
0,0,4,"['land', 'change', 'use']",15,"['land use change', 'land use evolution', 'land use class', 'land cover change', 'land change science', 'land change model', 'landscape diversity', 'hierarchical farmland', 'environmental change', 'croplands', 'cover change analysis', 'facing sustainability threat', 'ecosystem service', 'Earth Observation datasets', 'Earth Engine platform']",16,"[72, 120, 135, 171, 316, 317, 347, 348, 426, 464, 494, 524, 553, 569, 578, 593]"
0,0,5,"['planning', 'urban', 'development']",13,"['urban planning sector', 'urban planning model', 'urban planning decision', 'urban planning', 'urban development', 'smart urban planning', 'use planning', 'sustainable urbanization', 'regional planning relies', 'grey development', 'Interregional comparison', 'green infrastructure', 'building height']",19,"[100, 135, 175, 190, 256, 288, 293, 302, 310, 348, 352, 391, 426, 494, 497, 509, 582, 593, 594]"
