Cluster,DocId,Key-phrases,Candidate-count,Phrase-candidates
1,107,"['geodemographic classification development', 'urban decision making', 'machine learning', 'variable selection procedure', 'local classification']",68,"['geodemographic classification development', 'geodemographic classification', 'urban decision making', 'urban planning', 'local classification', 'geodemographics', 'classification development', 'urban decision', 'classification', 'supervised machine learning', 'city', 'Feature Selection method', 'machine learning', 'variable selection', 'machine learning technique', 'traditional variable selection', 'policy decision making', 'variable selection procedure', 'public policy decision', 'supervised machine', 'selection procedure', 'Selection method', 'relevant input variable', 'selection', 'Library use', 'UK city', 'discriminatory power', 'policy decision', 'decision making', 'utility', 'public policy', 'learning', 'variable selection phase', 'selection phase', 'planning', 'development', 'decision', 'learning technique', 'increased discriminatory power', 'use', 'variable', 'relevant input', 'propensity', 'context', 'input variable', 'application', 'power', 'relevant result', 'input', 'policy', 'capacity', 'machine', 'technique', 'method', 'framework', 'work', 'traditional approach', 'underpins', 'scepticism', 'improvement', 'procedure', 'approach', 'phase', 'result', 'making', 'proposal', 'recent scepticism', 'order']"
1,189,"['urban functional area', 'ML algorithms', 'user behavior data', 'Rational planning', 'classification accuracy']",52,"['urban functional area', 'urban planning', 'unplanned urban expansion', 'global urbanization', 'machine learning', 'urban expansion', 'Urbanization', 'ML algorithms', 'Classification', 'classification accuracy', 'functional area needs', 'city', 'functional area', 'area needs', 'user behavior data', 'behavior data', 'area', 'learning', 'data', 'Rational planning', 'algorithms', 'user behavior', 'accuracy', 'modality', 'planning', 'modality complement', 'analysis', 'use', 'single modality', 'study', 'image', 'machine', 'natural disaster', 'complement', 'field', 'rate', 'good result', 'set test', 'scientific approach', 'needs', 'test', 'expansion', 'behavior', 'change', 'disaster', 'many challenge', 'rapid rate', 'result', 'approach', 'backdrop', 'challenge', 'set']"
1,267,"['urban planning', 'aviation case study', 'machine learning', 'satellite image', 'world airport']",74,"['urban planning', 'urban design', 'comparative urban planning', 'urban environment', 'urban design challenge', 'urban planner', 'machine learning', 'land use', 'aviation case study', 'large infrastructure', 'airport', 'land use parameter', 'world airport', 'aviation', 'certain airport', 'satellite image', 'aviation case', 'land', 'computer vision', 'pollution', 'infrastructure', 'scalable approach', 'planner', 'learning', 'planning', 'analyze', 'congestion', 'growth', 'analyze specific feature', 'workflow', 'global warming', 'technologist', 'design challenge', 'passenger', 'novel workflow', 'environment', 'design', 'scale', 'nature', 'case study', 'use', 'vision', 'compare', 'study', 'Machine', 'specific feature', 'large number', 'image', 'flux', 'call', 'feature', 'change', 'method', 'time', 'generic nature', 'approach', 'computer', 'contribution', 'level', 'number', 'world', 'challenge', 'situation', 'paper', 'hit', 'warming', 'contract', 'case', 'hard hit', 'parameter', 'result', 'use parameter', 'term', 'decade']"
1,305,"['area intelligent classification', 'urban management', 'data coverage', 'multiple classifier', 'overall accuracy']",70,"['area intelligent classification', 'urban area', 'urban planning', 'intelligent classification', 'multiple classifier', 'automatic classification', 'classifier', 'classification system', 'urban management', 'area intelligent', 'classification', 'urban management department', 'classification experiment', 'robust classifier', 'objective accuracy assessment', 'accuracy assessment', 'area', 'data coverage', 'overall accuracy', 'map', 'objective accuracy', 'accuracy', 'accurate information', 'input data', 'data', 'AUC', 'NTL data coverage', 'intelligent', 'POI_RN_NTL data', 'RN data', 'effective reference information', 'planning', 'POI_NTL data', 'Information', 'data source', 'various type', 'reference information', 'NTL data', 'type', 'low cost', 'coverage', 'future', 'assessment', 'combination', 'effective reference', 'matplotlib', 'department', 'study', 'system', 'Python module', 'machine', 'management', 'input', 'advantage', 'management department', 'kind', 'module', 'curve', 'support', 'world', 'reference', 'result', 'value', 'receiver', 'cost', 'following', 'source', 'step', 'experiment', 'challenge']"
1,315,"['street context classification', 'CNN model', 'urban planning', 'relabel street', 'street imagery']",87,"['street context classification', 'convolutional neural network', 'street imagery', 'relabel street', 'CNN architecture', 'context classification', 'street context', 'urban planning', 'Urban street', 'CNN model', 'modern urban planning', 'street', 'road network', 'computer vision towards', 'automatic classification', 'various CNN architecture', 'city', 'classification', 'residential neighborhood', 'computer vision', 'major road', 'City authority', 'neural network', 'road', 'neighborhood', 'Several city authority', 'vehicular transportational feature', 'architecture', 'classification method', 'classification scheme', 'land', 'park etc', 'Several city', 'context', 'traditional classification', 'minor road', 'contexts', 'park', 'new classification scheme', 'major city', 'traditional classification method', 'new classification', 'imagery', 'planning', 'transportational feature', 'side', 'vision', 'network', 'transportational use', 'wholistic planning', 'accuracy', 'commercial throughway', 'side use', 'range', 'vision towards', 'framework', 'computer', 'authority', 'Example', 'scheme', 'modern approach towards', 'hand', 'modern approach', 'manual labor', 'towards', 'model', 'time consuming', 'use', 'arterials', 'feature', 'time', 'paper', 'throughway', 'approach towards', 'etc', 'hence', 'report', 'labor', 'method', 'many others', 'approach', 'advancement', 'state', 'process', 'consuming', 'performance', 'others']"
1,383,"['urban functional zone', 'XGBoost classification', 'zone classification approach', 'geospatial datasets', 'various classification']",63,"['urban functional zone', 'zone classification approach', 'functional zone classification', 'XGBoost classification', 'zone classification', 'urban planning', 'XGBoost classification model', 'geospatial data', 'classification model', 'urban function', 'various classification approach', 'classification approach', 'geospatial datasets', 'classification accuracy', 'classification', 'city', 'functional zone', 'timely classification', 'various classification', 'functional zone prove', 'zone prove', 'datasets', 'zone', 'Weibo data', 'data', 'accuracy', 'category', 'new opportunity', 'development', 'rapid development', 'function', 'planning', 'technology', 'field', 'imagery', 'monitoring', 'management', 'opportunity', 'opposite', 'case study', 'complexity', 'study', 'Many effort', 'investigation', 'point', 'model', 'machine', 'tremendous challenge', 'integration', 'prove', 'result', 'term', 'value', 'addition', 'commonly', 'case', 'effort', 'challenge', 'endeavor', 'interest', 'first endeavor', 'approach', 'set']"
1,396,"['land use analysis', 'smart city', 'open map', 'knowledge discovery', 'urban space']",74,"['land use analysis', 'urban land use', 'urban land', 'city planning', 'land use', 'urban space', 'urban area', 'smart city', 'map', 'land', 'consideration available data', 'knowledge discovery', 'open map', 'city', 'Modern planning', 'data', 'area', 'available data', 'categorization', 'use analysis', 'reliable information', 'respective categorization', 'place', 'knowledge', 'use', 'sensing', 'sensor', 'various category', 'region', 'analysis', 'planning', 'RS image', 'information', 'space', 'survey', 'application', 'selection', 'essential topic', 'spatial configuration', 'study', 'various method', 'approach use', 'topic', 'specificity', 'category', 'result depend', 'discovery', 'management', 'work', 'method', 'kind', 'context', 'comparison', 'image', 'initial study', 'relevant contribution', 'contribution', 'functional role', 'technique', 'result', 'combination', 'year', 'different combination', 'con', 'consideration', 'role', 'depend', 'way', 'configuration', 'approach', 'increased availability', 'paper', 'last year', 'availability']"
1,445,"['urban valuation estimation', 'convolutional neural network', 'visual urban scene', 'neighborhood', 'urban attribute']",82,"['urban valuation estimation', 'urban valuation', 'urban scene data', 'land value', 'property assessment', 'urban evaluation approach', 'urban evaluation', 'property value', 'visual urban scene', 'urban characteristic', 'urban attribute', 'valuation estimation', 'street scene perception', 'convolutional neural network', 'urban planner', 'valuation', 'city level', 'urban scene', 'city decision optimization', 'neighborhood', 'property', 'scene data', 'city', 'land', 'city decision', 'scene perception', 'street', 'Social data', 'street scene', 'neural network', 'perception', 'value', 'data', 'view', 'accurate perspective', 'perspective', 'attribute', 'evaluation approach', 'characteristic', 'evaluation', 'environment', 'correlation', 'image', 'network', 'planner', 'decision optimization', 'Citizen', 'detail', 'quality', 'trait', 'important decision', 'estimation', 'algorithm', 'decision', 'assessment', 'piece', 'optimization', 'available image', 'cost', 'opportunity', 'information', 'level', 'contribution', 'work', 'profile', 'various angle', 'main contribution', 'impact', 'significant impact', 'feedback', 'angle', 'scene', 'scenarized profile', 'result', 'source', 'paper', 'scattered source', 'issue', 'unprecedented opportunity', 'method', 'approach', 'implanting']"
1,449,"['nature photographs', 'manual classification', 'urban planning', 'cultural ecosystem service', 'vegetation cover']",64,"['nature photographs', 'cultural ecosystem service', 'cultural ecosystem', 'ecosystem service assessment', 'manual classification', 'social medium photographs', 'image recognition', 'ecosystem service', 'vegetation cover', 'classification', 'urban planning', 'vegetation', 'high vegetation cover', 'ecosystem', 'photograph', 'high vegetation', 'photographs', 'mapping', 'manual content analysis', 'nature', 'content analysis', 'large area', 'medium photographs', 'recognition', 'image', 'area', 'cultural use', 'service assessment', 'plant', 'park', 'social medium', 'content', 'group', 'assessment', 'animal', 'analysis', 'Data', 'service', 'natural attraction', 'manual work', 'planning', 'manual content', 'intangibility', 'particular natural attraction', 'attraction', 'accuracy', 'appreciation', 'use', 'work', 'time', 'machine', 'cover', 'method', 'comparison', 'online machine', 'indicator', 'novel method', 'study', 'large number', 'distribution', 'h', 'number', 'approach', 'medium']"
1,455,"['scenic beauty', 'social metadata', 'Paris dataset', 'Flickr image', 'rating']",39,"['scenic beauty', 'aesthetic rating', 'social metadata', 'Paris dataset', 'Flickr image', 'Flickr photo', 'urban planning', 'equal aesthetic rating', 'aesthetic score', 'Rome dataset', 'beauty', 'tour planning', 'city', 'photo', 'rating', 'dataset', 'datasets', 'metadata', 'tour', 'image', 'different city', 'accuracy', 'location', 'planning', 'path', 'class', 'build datasets', 'model', 'score', 'idea', 'technique', 'recall', 'user', 'work', 'novel', 'precision', 'machine', 'novel technique', 'set']"
