term,score,freq,num_docs,doc_ids,tf-score,idf-score
early design,0.1350549081555647,2,3,"[287, 322, 512]",0.058823529411764705,2.2959334386446
design stage,0.1350549081555647,2,3,"[287, 322, 512]",0.058823529411764705,2.2959334386446
urban designer,0.1350549081555647,2,3,"[271, 287, 340]",0.058823529411764705,2.2959334386446
designer,0.10565792958808141,5,17,"[2, 35, 47, 54, 160, 201, 268, 269, 271, 287, 322, 340, 414, 481, 512, 534, 595]",0.0684931506849315,1.5426057719859887
scale plan,0.08156043215777242,1,1,[287],0.029411764705882353,2.7730546933642626
different characteristic,0.08156043215777242,1,1,[287],0.029411764705882353,2.7730546933642626
model frame,0.08156043215777242,1,1,[287],0.029411764705882353,2.7730546933642626
design plan,0.08156043215777242,1,1,[287],0.029411764705882353,2.7730546933642626
predicted detail,0.08156043215777242,1,1,[287],0.029411764705882353,2.7730546933642626
building configuration,0.08156043215777242,1,1,[287],0.029411764705882353,2.7730546933642626
