Cluster,Score,NumDocs,Percent,DocIds,Terms
1,-0.4262969418,37,0.06239460370994941,"[3, 4, 13, 22, 30, 32, 83, 84, 97, 104, 110, 117, 133, 146, 156, 184, 210, 211, 257, 272, 273, 281, 295, 309, 311, 343, 345, 384, 388, 430, 468, 503, 516, 522, 537, 543, 561]","flow prediction, spatial correlation, terrorist attack, spatial familiarity, trip generation, eye movement, commercial district, varying impact, railway station, opportunistic criminal"
2,0.7639679511,24,0.04047217537942664,"[191, 200, 235, 258, 336, 364, 410, 412, 417, 459, 467, 486, 493, 504, 510, 542, 544, 550, 560, 562, 571, 573, 574, 584]","mobile phone, phone data, placeness, leisure, retail store, health outcome, leisure activity, public record, predictive analytics, mobility flow"
3,0.9150015773,23,0.0387858347386172,"[38, 155, 220, 240, 298, 304, 319, 321, 334, 346, 359, 392, 407, 422, 423, 439, 499, 519, 526, 530, 536, 555, 587]","traffic, traffic congestion, mode, traffic flow, transportation mode, traffic volume, intelligent transportation, citywide traffic, travel speed, mode recognition"
4,0.7885867554,12,0.02023608768971332,"[145, 243, 264, 291, 300, 387, 394, 432, 434, 451, 502, 527]","smart city, air quality, urban governance, large data, traffic control, delivery system, traffic load, traffic system, security protocol, ambient intelligence"
5,0.6371890009,14,0.023608768971332208,"[134, 249, 261, 296, 326, 337, 358, 362, 373, 395, 425, 428, 545, 546]","travel, human mobility, travel pattern, smart card, card data, pedestrian activity, truck driver, geographical area, special event, socioeconomic status"
6,0.7255807228000001,16,0.026981450252951095,"[55, 124, 125, 139, 194, 202, 244, 324, 353, 355, 375, 415, 438, 485, 491, 511]","social medium, functional region, positive deviance, support system, tweet, civic query, analysis method, medium data, image dimension, sentiment analysis"
7,0.6991639521,16,0.026981450252951095,"[63, 69, 127, 138, 209, 233, 307, 356, 363, 370, 382, 433, 435, 450, 461, 466]","traffic, traffic flow, traffic light, mobility pattern, route planning, dynamic routing, travel demand, transit mobility, mobility structure, flow forecasting"
8,-0.2297408058,23,0.0387858347386172,"[2, 35, 48, 49, 51, 52, 86, 154, 157, 206, 268, 277, 287, 325, 367, 376, 411, 474, 477, 523, 529, 534, 595]","street, perception, street view, greenery, street greenery, view imagery, housing price, street quality, visual quality, objective indicator"
9,0.6180727494,11,0.01854974704890388,"[31, 77, 170, 269, 271, 280, 313, 340, 429, 472, 489]","perception, human perception, perceptual quality, view index, subjective measure, visual quality, psychological perception, urban perception, street vitality, evaluation model"
10,0.7055477074000001,10,0.016863406408094434,"[116, 177, 196, 341, 404, 416, 488, 492, 505, 533]","public space, perception, human perception, identity, urban identity, online review, visitor experience, important feature, design problem, heterogeneous perception"
11,0.9821675481000001,37,0.06239460370994941,"[9, 16, 23, 37, 46, 66, 73, 87, 93, 118, 128, 141, 161, 165, 169, 183, 188, 226, 231, 234, 237, 254, 259, 314, 330, 389, 398, 418, 460, 462, 463, 469, 473, 490, 525, 547, 548]","deep learning, segmentation, semantic segmentation, object detection, building detection, building extraction, aerial image, building footprint, change detection, overhead imagery"
12,-0.1741013421,17,0.02866779089376054,"[8, 74, 92, 113, 137, 158, 283, 285, 289, 312, 378, 437, 443, 444, 452, 476, 531]","land cover, training sample, road centerline, road extraction, green area, optical data, cloud omission, omission error, unreinforced masonry, decision level"
13,0.3696657951,18,0.03035413153456998,"[59, 78, 96, 130, 144, 186, 193, 212, 245, 251, 260, 282, 328, 368, 393, 427, 479, 559]","land cover, urban land, cover classification, use category, contextual feature, land growth, population spatialization, deep highway, highway unit, unit network"
14,0.3659226226,18,0.03035413153456998,"[89, 106, 129, 153, 162, 236, 301, 327, 333, 405, 478, 496, 507, 528, 552, 557, 563, 592]","cloud, point cloud, geometric feature, lidar point, data fusion, urban point, cloud data, area extraction, packed building, water type"
15,-0.5770370976,18,0.03035413153456998,"[42, 90, 119, 135, 190, 208, 213, 225, 293, 302, 303, 316, 317, 344, 347, 524, 572, 589]","urban development, land cover, urban growth, urban land, development pattern, stream water, water quality, urban forest, land expansion, slum area"
16,0.9420474307000001,23,0.0387858347386172,"[6, 100, 114, 175, 182, 256, 288, 299, 310, 348, 352, 420, 426, 436, 464, 494, 509, 553, 554, 570, 582, 593, 594]","land use, expansion, urban growth, urban expansion, residential land, use policy, building height, land price, urban footprint, urban change"
17,0.9605302144000001,23,0.0387858347386172,"[11, 72, 120, 167, 171, 230, 252, 320, 331, 361, 374, 391, 458, 475, 497, 515, 551, 565, 569, 576, 578, 588, 590]","land, cover, land cover, image classification, cover change, urban land, change detection, cover classification, detection analysis, cover mapping"
18,-0.4334374485,33,0.05564924114671164,"[7, 15, 34, 43, 95, 99, 126, 147, 160, 163, 164, 180, 185, 197, 204, 219, 241, 262, 263, 270, 276, 286, 290, 318, 365, 397, 401, 402, 413, 513, 535, 577, 591]","address, address record, deprivation, pocket, urban poverty, deprivation pocket, prenatal care, infill development, similarity analysis, architectural color"
