Cluster,Score,NumDocs,DocIds,Terms,Dimension,Min_Samples,Min_Cluster_Size
1,0.9150015773,23,"[38, 155, 220, 240, 298, 304, 319, 321, 334, 346, 359, 392, 407, 422, 423, 439, 499, 519, 526, 530, 536, 555, 587]","traffic, traffic congestion, mode, traffic flow, transportation mode, traffic volume, intelligent transportation, citywide traffic, travel speed, mode recognition",60,30,20
2,0.7885867554,12,"[145, 243, 264, 291, 300, 387, 394, 432, 434, 451, 502, 527]","smart city, air quality, urban governance, large data, traffic control, delivery system, traffic load, traffic system, security protocol, ambient intelligence",85,15,10
3,0.7639679511,24,"[191, 200, 235, 258, 336, 364, 410, 412, 417, 459, 467, 486, 493, 504, 510, 542, 544, 550, 560, 562, 571, 573, 574, 584]","mobile phone, phone data, placeness, leisure, retail store, health outcome, leisure activity, public record, predictive analytics, mobility flow",60,30,20
4,0.7255807228000001,16,"[55, 124, 125, 139, 194, 202, 244, 324, 353, 355, 375, 415, 438, 485, 491, 511]","social medium, functional region, positive deviance, support system, tweet, civic query, analysis method, medium data, image dimension, sentiment analysis",25,10,15
5,0.6991639521,16,"[63, 69, 127, 138, 209, 233, 307, 356, 363, 370, 382, 433, 435, 450, 461, 466]","traffic, traffic flow, traffic light, mobility pattern, route planning, dynamic routing, travel demand, transit mobility, mobility structure, flow forecasting",25,10,15
6,0.6371890009,14,"[134, 249, 261, 296, 326, 337, 358, 362, 373, 395, 425, 428, 545, 546]","travel, human mobility, travel pattern, smart card, card data, pedestrian activity, truck driver, geographical area, special event, socioeconomic status",85,15,10
7,-0.4262969418,37,"[3, 4, 13, 22, 30, 32, 83, 84, 97, 104, 110, 117, 133, 146, 156, 184, 210, 211, 257, 272, 273, 281, 295, 309, 311, 343, 345, 384, 388, 430, 468, 503, 516, 522, 537, 543, 561]","flow prediction, spatial correlation, terrorist attack, spatial familiarity, trip generation, eye movement, commercial district, varying impact, railway station, opportunistic criminal",25,10,15
8,0.7055477074000001,10,"[116, 177, 196, 341, 404, 416, 488, 492, 505, 533]","public space, perception, human perception, identity, urban identity, online review, visitor experience, important feature, design problem, heterogeneous perception",25,5,10
9,0.6180727494,11,"[31, 77, 170, 269, 271, 280, 313, 340, 429, 472, 489]","perception, human perception, perceptual quality, view index, subjective measure, visual quality, psychological perception, urban perception, street vitality, evaluation model",25,5,10
10,-0.2297408058,23,"[2, 35, 48, 49, 51, 52, 86, 154, 157, 206, 268, 277, 287, 325, 367, 376, 411, 474, 477, 523, 529, 534, 595]","street, perception, street view, greenery, street greenery, view imagery, housing price, street quality, visual quality, objective indicator",25,5,10
