ArticleCluster,KeywordClusters,score,keywords,coverage,Article_num,ArticlePerKeywordCluster
1,5,0.38362581762000003,112,0.6869565217391305,23,15.8
2,3,0.5012595983,54,0.9166666666666666,12,11.0
3,5,0.37193658898,112,0.7166666666666667,24,17.2
4,3,0.4306896793333334,75,0.8333333333333334,16,13.333333333333334
5,5,0.29646100556,79,0.6875,16,11.0
6,3,0.3933713452,68,0.8095238095238095,14,11.333333333333334
7,5,0.40302335616,180,0.6594594594594594,37,24.4
8,6,0.48659609805,168,0.6531531531531531,37,24.166666666666668
9,6,0.5431240042500001,101,0.6231884057971014,23,14.333333333333334
10,7,0.28623353801428575,112,0.5341614906832298,23,12.285714285714286
11,4,0.48448526234999995,85,0.8333333333333334,18,15.0
12,3,0.5920752481666667,83,0.925925925925926,18,16.666666666666668
13,3,0.4932824119333334,79,0.9019607843137255,17,15.333333333333334
14,4,0.43338092175000004,86,0.7361111111111112,18,13.25
15,3,0.5242841770333333,48,0.9333333333333333,10,9.333333333333334
16,3,0.4431100169333333,53,0.8787878787878788,11,9.666666666666666
17,5,0.5916594638999999,109,0.7130434782608696,23,16.4
18,3,0.3398588045,53,1.0,12,12.0
19,3,0.37881859149999997,68,0.8222222222222223,15,12.333333333333334
20,3,0.5173335192333334,50,0.8333333333333334,10,8.333333333333334
21,5,0.3917187011,79,0.7294117647058824,17,12.4
22,5,0.46813099762,100,0.6857142857142857,21,14.4
23,3,0.46616541656666666,85,0.9074074074074073,18,16.333333333333332
24,3,0.46140782216666665,59,0.8888888888888888,12,10.666666666666666
25,5,0.34046909386000007,87,0.6111111111111112,18,11.0
26,4,0.4706078985249999,69,0.7142857142857143,14,10.0
27,3,0.4755196792333334,77,0.8958333333333334,16,14.333333333333334
28,3,0.4750898616333334,63,0.9487179487179488,13,12.333333333333334
29,4,0.638768832675,98,0.7625,20,15.25
30,8,0.4517652109875,162,0.47058823529411764,34,16.0
31,10,0.46565277354,155,0.4212121212121212,33,13.9
