ArticleCluster,score,KeywordGroups,keywords,coverage,Article_num,ArticlePerKeywordCluster
1,0.9150015773,3,112,0.855072463768116,23,19.666666666666668
2,0.7639679511,3,112,0.8472222222222222,24,20.333333333333332
3,0.7885867554,3,54,0.9166666666666666,12,11.0
4,0.6371890009,3,68,0.7857142857142857,14,11.0
5,0.7255807228000001,3,75,0.8958333333333334,16,14.333333333333334
6,0.6991639521,2,79,0.9375,16,15.0
7,-0.4262969418,3,180,0.8468468468468469,37,31.333333333333332
8,0.9821675481000001,3,168,0.8198198198198198,37,30.333333333333332
9,0.9605302144000001,3,101,0.9275362318840579,23,21.333333333333332
10,0.9420474307000001,3,112,0.6956521739130435,23,16.0
11,-0.5770370976,2,86,0.9722222222222222,18,17.5
12,0.3696657951,4,85,0.7777777777777778,18,14.0
13,0.3659226226,4,83,0.8055555555555556,18,14.5
14,-0.1741013421,4,79,0.7941176470588235,17,13.5
15,0.7055477074000001,3,48,0.9666666666666666,10,9.666666666666666
16,0.6180727494,3,53,0.8787878787878788,11,9.666666666666666
17,-0.2297408058,4,109,0.7065217391304348,23,16.25
18,0.8743251776000001,2,79,1.0,17,17.0
19,0.9650078855,2,50,1.0,10,10.0
20,0.3197707798,3,77,0.8958333333333334,16,14.333333333333334
21,-0.4334374485,4,155,0.7196969696969697,33,23.75
22,0.8341693870000001,3,100,0.8412698412698413,21,17.666666666666668
23,0.8018109242,3,85,0.9074074074074073,18,16.333333333333332
24,0.6515042403,3,59,0.8333333333333334,12,10.0
25,0.9688758878,2,68,1.0,15,15.0
26,0.6157260256,5,87,0.5888888888888889,18,10.6
27,0.9881237136000001,4,53,0.9166666666666666,12,11.0
28,0.3657730719,3,69,0.880952380952381,14,12.333333333333334
29,0.2626563342,3,63,0.8205128205128205,13,10.666666666666666
30,-0.0044508176,4,98,0.7375,20,14.75
31,-0.1418404986,3,162,0.8431372549019608,34,28.666666666666668
