Cluster,Group No,Topic Coherence Score,Silhouette Score
1,Group1,0.3253764299684944,0.8864096128000001
1,Group2,0.20808400565752508,0.6566707877
1,Group3,0.1489196643245071,-0.10628077550000001
2,Group1,0.2555974711574948,0.7190588171000001
2,Group2,0.19942635082319518,0.5952930961
2,Group3,0.15366052162671742,-0.039750765800000004
3,Group1,0.29945183025675653,0.6593651265
3,Group2,0.3548911567661154,0.6278618242
3,Group3,0.19466425049776434,0.2444342679
4,Group1,0.35168799142258156,0.8909620756000001
4,Group2,0.24793394824508874,0.5689160320000001
4,Group3,0.21751016841773155,-0.40790048440000004
5,Group1,0.25469279656833327,0.8700371128000001
5,Group2,0.31746681766508994,0.8347237684000001
5,Group3,0.14807564007166366,-0.2502389423
6,Group1,0.1891682980727101,0.8359090676
6,Group2,0.2268412071519051,0.8108805404
7,Group1,0.24114678744818435,0.49309802
7,Group2,0.18799603572053725,0.49038958330000004
7,Group3,0.13005011116900472,-0.2299008583
8,Group1,0.31731675113057,0.8933044664
8,Group2,0.2574558758239003,0.5023501132
8,Group3,0.09947078688041211,-0.41819077600000004
9,Group1,0.2834558163731243,0.9244569712
9,Group2,0.2507499103916356,0.8340378424
9,Group3,0.30544198869147976,0.5835778416
10,Group1,0.22058313030417703,0.9202134405
10,Group2,0.23428365168324936,0.8896612399
10,Group3,0.18459392390898313,-0.9421440563000001
11,Group1,0.2151416119523077,0.8912898912
11,Group2,0.15456043087261873,0.6685791217
12,Group1,0.31442444368401107,0.7586908527
12,Group2,0.2510678636592678,0.7339416357
12,Group3,0.2592608952391332,0.6666639102
12,Group4,0.21847814421160774,-0.3436807496
13,Group1,0.3828064145723024,0.9344901739
13,Group2,0.3074312041425691,0.7624232664
13,Group3,0.28319996969081807,0.49492916900000006
13,Group4,0.11997822627699907,-0.3775514271
14,Group1,0.27091812496267115,0.7442499632
14,Group2,0.270847495154067,0.7318073001000001
14,Group3,0.24598133471356792,0.5011003616
14,Group4,0.18229410543533525,-0.08069098620000001
15,Group1,0.3817600595566483,0.8464569791000001
15,Group2,0.27683083116909646,0.7361853784
15,Group3,0.18829137740781493,0.0702141126
16,Group1,0.4635299572034285,0.8131154821000001
16,Group2,0.2558785229420655,0.6544645364
16,Group3,0.1320039439647588,0.15606688430000001
17,Group1,0.19233184328058123,0.7948748052
17,Group2,0.19322923998131636,0.6563805101
17,Group3,0.24968491504698034,0.2884045565
17,Group4,0.1462522888687309,-0.3483754652
18,Group1,0.2594276598591246,0.9722766928000001
18,Group2,0.14079244956688733,0.592149107
19,Group1,0.28020060521100026,0.9681000948
19,Group2,0.21568666189600835,0.844417602
20,Group1,0.3138078148986721,0.8044490703
20,Group2,0.21479117559147262,0.6326579302
20,Group3,0.1370810840716855,-0.0854784717
21,Group1,0.26467606885350053,0.8746530459
21,Group2,0.17708970517513017,0.8242810808000001
21,Group3,0.2665791112580464,0.4229381794
21,Group4,0.13099038931023035,-0.4553400052
22,Group1,0.412499152375511,0.8381267529
22,Group2,0.36561263536324595,0.8350949044
22,Group3,0.12852525186526145,0.2696437419
23,Group1,0.2989410904519963,0.6728657568
23,Group2,0.19843850509872626,0.6169007248
23,Group3,0.22721679027737257,0.3626170456
24,Group1,0.2784806364188372,0.9503092385
24,Group2,0.24683584417891707,0.7651886405
24,Group3,0.20237545305947824,0.0715025277
25,Group1,0.2674449406194646,0.8545466770000001
25,Group2,0.1895274339778478,0.7657855621
26,Group1,0.31076315759606205,0.8167549714000001
26,Group2,0.19074580786247958,0.7621614751
26,Group3,0.26975415313196505,0.714769466
26,Group4,0.25440788742285486,0.6796450925
26,Group5,0.18755639055575868,-0.6096502257
27,Group1,0.3142541302021835,0.804233152
27,Group2,0.24957794499342548,0.5492798933
27,Group3,0.30688749728170805,0.2903556211
27,Group4,0.25973899956716284,-0.0745183728
28,Group1,0.20663405264672285,0.6422647663000001
28,Group2,0.1733943970017439,0.4471866054
28,Group3,0.23516192970541164,0.32760875910000004
29,Group1,0.37284942682484584,0.8107280595
29,Group2,0.21813790784318612,0.5040985632
29,Group3,0.14101443917812717,0.14530571520000002
30,Group1,0.34914215915882607,0.9186056256
30,Group2,0.2856744765917583,0.5178466154
30,Group3,0.18241793388920546,0.4621617001
30,Group4,0.11579572100284448,-0.3453867125
31,Group1,0.23976425383587682,0.876532135
31,Group2,0.262489824835462,0.7188190088
31,Group3,0.10327499715324627,-0.0601876635
