cluster,count,score,total,kp_cluster#1,kp_cluster#2,kp_cluster#3,kp_cluster#4,kp_cluster#5
1,5,0.9055000000000001,168,31,35,31.0,50.0,21.0
2,3,0.9202,103,36,46,21.0,,
3,3,0.9736,109,7,68,34.0,,
4,3,0.8701000000000001,55,22,16,17.0,,
5,3,0.9433,70,9,47,14.0,,
6,3,0.9547,74,13,43,18.0,,
7,3,0.9681000000000001,77,17,44,16.0,,
8,3,0.9512,101,15,58,28.0,,
9,2,0.9819,50,38,12,,,
10,3,0.9440000000000001,45,5,29,11.0,,
11,4,0.9638000000000001,156,27,64,35.0,30.0,
12,4,0.9812000000000001,76,5,19,24.0,28.0,
13,4,0.9607,78,5,17,17.0,39.0,
14,3,0.966,76,4,21,51.0,,
15,4,0.9597,84,7,26,35.0,16.0,
16,3,0.9932000000000001,106,29,48,29.0,,
17,3,0.9876,95,36,35,24.0,,
18,4,0.9526,148,48,44,24.0,32.0,
19,2,0.9911000000000001,44,36,8,,,
20,3,0.9555,72,9,27,36.0,,
21,3,0.9877,79,8,32,39.0,,
22,3,0.9224,83,34,25,24.0,,
23,2,0.9943000000000001,57,26,31,,,
24,4,0.9717,97,13,29,38.0,17.0,
25,2,0.8612000000000001,87,70,17,,,
26,3,0.9561000000000001,61,23,18,20.0,,
27,3,0.9059,69,25,24,20.0,,
28,3,0.9076000000000001,54,9,26,19.0,,
29,4,0.9357000000000001,156,50,48,25.0,33.0,
30,3,0.9581000000000001,95,6,36,53.0,,
31,3,0.7808,63,29,18,16.0,,
