Cluster,DocId,Key-phrases,Candidate-count,Phrase-candidates
10,116,"['urban space', 'safety perception', 'machine learning', 'heterogeneous perception', 'habitual mobility choice']",27,"['urban space', 'urban planning', 'street imagery data', 'street imagery', 'large street imagery', 'public space', 'heterogeneous perception', 'safety perception', 'map', 'urban planning process', 'sociodemographic information', 'sociodemographic characteristic', 'perception', 'landscape', 'habitual mobility choice', 'large street', 'machine learning', 'city', 'segmentation', 'imagery data', 'social science', 'imagery', 'mobility choice', 'imagery data set', 'habitual mobility', 'street', 'semantic segmentation']"
10,177,"['soundscapes', 'participatory planning process', 'urban area', 'crowdsourcing', 'sonic experience']",13,"['soundscapes', 'soundscape', 'participatory planning', 'participatory planning process', 'city planning', 'Sonic environment', 'city planning process', 'city planning professional', 'crowdsourcing', 'utilize crowdsourcing', 'city context', 'urban area', 'sonic experience']"
10,196,"['visitor experience', 'Strip sidewalk', 'machine learning approach', 'sentiment', 'urban public life']",26,"['visitor experience', 'urban design', 'urban public life', 'public space management', 'Public space', 'urban design strategy', 'sentiment', 'guide redevelopment', 'Tripadvisor user', 'guide redevelopment effort', 'hotel', 'redevelopment effort', 'redevelopment', 'urban planner', 'machine learning approach', 'place', 'different hotel', 'machine learning', 'built environment', 'landscape architect', 'perception', 'built environment project', 'environment', 'evaluation', 'Strip sidewalk', 'review']"
10,341,"['public space', 'Machine learning model', 'city census information', 'architectural beauty', 'human perception']",15,"['public space', 'architectural beauty', 'classification', 'city census', 'Machine learning model', 'Machine learning', 'city', 'city census information', 'human perception', 'public place', 'place', 'census dataset', 'perception', 'architectural value', 'pollution']"
10,404,"['urban public space', 'machine learning', 'social analysis', 'urban analysis', 'urban planning']",12,"['urban public space', 'urban analysis', 'urban planning', 'urban research', 'public space', 'urban research method', 'urban location', 'established urban research', 'different urban location', 'social analysis', 'urban', 'machine learning']"
10,416,"['public space', 'machine learning algorithms', 'environment influence', 'Place Pulse dataset', 'subjective perception']",17,"['public space', 'machine learning', 'subjective perception', 'landscape', 'perception', 'machine learning algorithms', 'perceptual variable', 'built environment', 'city', 'environment', 'segmentation', 'Place Pulse dataset', 'learning algorithms', 'semantic segmentation', 'dataset', 'environment influence', 'choice model']"
10,488,"['Urban multisensory laboratory', 'design thinking', 'machine learning', 'qualitative analysis', 'human perception']",17,"['Urban multisensory laboratory', 'Urban multisensory', 'urban sensory lab', 'urban sensory', 'urban space', 'multisensory laboratory', 'sensory lab', 'human perception', 'urban knowledge', 'multisensory', 'perception', 'machine learning', 'sensory', 'data analysis', 'urbanists', 'design thinking', 'qualitative analysis']"
10,492,"['urban perception', 'crowdsourcing game', 'sociodemographics', 'personalized recommendation', 'Brazilian city']",16,"['urban perception', 'urban design', 'urban space', 'city life', 'sociodemographics', 'urban sociology', 'crowdsourcing game', 'urban scene', 'urbanists', 'urban form', 'city', 'human perception', 'public space', 'urban planner', 'Brazilian city', 'personalized recommendation']"
10,505,"['urban space', 'Feature extraction', 'design process', 'Space Syntax theory', 'new urban pattern']",13,"['urban space', 'urban design', 'urban identity', 'new urban pattern', 'urban pattern', 'city', 'Feature extraction', 'public space', 'Zürich city', 'Space Syntax theory', 'design process', 'design', 'space']"
10,533,"['human design process', 'interactive machine learning', 'urban design problem', 'decision analysis', 'interactive design loop']",14,"['human design process', 'urban design problem', 'interactive design', 'urban design', 'interactive machine learning', 'human design', 'design process', 'interactive design loop', 'design space', 'machine learning', 'design goal', 'decision analysis', 'interactive machine', 'design problem']"
