term,score,freq,doc_ids
condition,0.03946326465920159,4,"[48, 268, 287, 376]"
designer,0.03789458348272397,5,"[2, 35, 268, 287, 534, 595]"
stage,0.035369554182275144,2,[287]
GAN,0.035369554182275144,2,[287]
building,0.02959744849440119,3,"[2, 157, 287, 534]"
configuration,0.02755059325593797,2,"[287, 474]"
design,0.025686053633633462,7,"[2, 35, 49, 52, 268, 287, 325, 367, 474, 477, 523, 595]"
plan,0.022976794319426768,2,"[2, 268, 287]"
time,0.022976794319426768,2,"[52, 277, 287]"
position,0.017684777091137572,1,[287]
shape,0.017684777091137572,1,[287]
lot,0.017684777091137572,1,[287]
sketch,0.017684777091137572,1,[287]
generative,0.017684777091137572,1,[287]
adversarial,0.017684777091137572,1,[287]
frame,0.017684777091137572,1,[287]
pair,0.017684777091137572,1,[287]
road,0.017684777091137572,1,[287]
river,0.017684777091137572,1,[287]
load,0.017684777091137572,1,[287]
preview,0.017684777091137572,1,[287]
inspires,0.017684777091137572,1,[287]
city,0.0166407870576295,4,"[2, 48, 52, 86, 154, 157, 287, 325, 376, 411, 477]"
tool,0.015157833393089591,2,"[287, 325, 376, 411, 474, 595]"
characteristic,0.013775296627968985,1,"[277, 287]"
detail,0.013775296627968985,1,"[287, 477]"
site,0.013775296627968985,1,"[48, 287]"
solution,0.013775296627968985,1,"[157, 287]"
task,0.013775296627968985,1,"[287, 477]"
strategy,0.013775296627968985,1,"[49, 287]"
field,0.011488397159713384,1,"[154, 287, 523]"
image,0.010584034456578389,2,"[2, 35, 52, 268, 287, 367, 376, 411, 477]"
network,0.009865816164800397,1,"[268, 287, 325, 367]"
land,0.009865816164800397,1,"[2, 86, 287, 595]"
learning,0.009653940923795692,3,"[2, 51, 52, 86, 154, 157, 206, 268, 277, 287, 367, 376, 534]"
relationship,0.00860724456729317,1,"[206, 268, 287, 529, 595]"
scale,0.007578916696544796,1,"[2, 48, 86, 287, 411, 523]"
process,0.007578916696544796,1,"[2, 35, 157, 287, 523, 595]"
model,0.0055999948140092164,2,"[2, 35, 49, 52, 157, 206, 268, 277, 287, 376, 411, 477, 529, 595]"
machine,0.00553014706048243,4,"[2, 49, 51, 86, 154, 157, 206, 268, 277, 287, 325, 367, 376, 474, 477, 523, 534, 595]"
data,0.004821729271737966,2,"[2, 49, 51, 52, 86, 157, 206, 268, 277, 287, 367, 411, 523, 529, 595]"
research,0.004697764104124582,1,"[48, 49, 51, 52, 86, 268, 277, 287, 367, 523]"
analysis,0.004697764104124582,1,"[86, 154, 206, 277, 287, 325, 474, 477, 523, 595]"
feature,0.004160196764407375,1,"[2, 52, 157, 206, 277, 287, 367, 376, 411, 523, 529]"
result,0.003669436233376209,1,"[35, 48, 49, 154, 206, 268, 287, 376, 411, 523, 529, 595]"
