Group,score,NumPhrases,Key-phrases,NumDocs,DocIds,dimension,min_samples,min_cluster_size,x,y
1,0.7701888338104019,13,"['barcelona', 'Brooklyn neighborhood', 'French neighbourhood', 'residential segregation', 'residential status', 'university campus', 'urban area', 'urban dweller', 'urban environment', 'urban job housing pattern', 'urban poverty', 'urban setting', 'walkability']",12,"[34, 99, 126, 164, 185, 197, 204, 219, 270, 286, 401, 577]",12,2,13,"[0.7200000286102295, 0.8100000023841858, 0.8100000023841858, 0.7200000286102295, 0.7200000286102295, 0.6000000238418579, 0.9900000095367432, 1.0199999809265137, 0.7300000190734863, 1.059999942779541, 0.8100000023841858, 0.5699999928474426, 0.7400000095367432]","[4.489999771118164, 4.570000171661377, 4.409999847412109, 4.610000133514404, 4.559999942779541, 4.789999961853027, 4.460000038146973, 4.409999847412109, 4.489999771118164, 4.25, 4.420000076293945, 4.679999828338623, 4.5]"
2,0.7532709764565428,13,"['automatic algorithm', 'Automation tool use machine learning classification model', 'ensemble machine learning building classification model', 'extreme learning machine classification algorithm', 'machine learning', 'machine learning algorithm', 'machine learning approach', 'machine learning method Random Forests', 'machine learning model', 'machine learning technique', 'outlier detection problem', 'random forest', 'random forests classifier']",14,"[7, 99, 126, 163, 164, 180, 197, 204, 219, 262, 276, 365, 397, 513]",16,2,12,"[4.260000228881836, 4.260000228881836, 4.329999923706055, 4.059999942779541, 3.8299999237060547, 4.099999904632568, 4.230000019073486, 4.03000020980835, 4.289999961853027, 4.010000228881836, 4.269999980926514, 4.389999866485596, 4.300000190734863]","[2.380000114440918, 2.75, 2.759999990463257, 2.5999999046325684, 2.490000009536743, 2.5, 2.359999895095825, 2.509999990463257, 2.7100000381469727, 2.559999942779541, 2.3399999141693115, 2.6600000858306885, 2.380000114440918]"
3,0.6747318130798878,13,"['big data method', 'BUFA estimation', 'descriptive data', 'GDP contribution', 'large dataset', 'limited training data', 'methodological approach', 'mobile edge streaming medium data processing', 'stram data', 'Structural equation modeling', 'traditional survey', 'uncertainty analysis', 'various trend view']",11,"[34, 164, 197, 262, 270, 276, 286, 290, 318, 577, 591]",16,2,12,"[4.980000019073486, 5.190000057220459, 5.269999980926514, 5.320000171661377, 5.03000020980835, 4.800000190734863, 4.840000152587891, 4.949999809265137, 4.909999847412109, 5.059999942779541, 4.739999771118164, 4.860000133514404, 4.869999885559082]","[2.4800000190734863, 2.740000009536743, 2.690000057220459, 2.7200000286102295, 2.7200000286102295, 2.799999952316284, 2.759999990463257, 2.5999999046325684, 2.7200000286102295, 2.6600000858306885, 2.8299999237060547, 2.7300000190734863, 2.6700000762939453]"
4,0.6267893828301044,10,"['Belo Horizonte', 'BOSSA representation', 'central green axis', 'Figure ground', 'high resolution satellite image', 'high resolution satellite imagery', 'image interpretation', 'plot shape', 'satellite image', 'such sign']",10,"[95, 99, 147, 204, 270, 290, 318, 397, 401, 577]",10,2,10,"[5.289999961853027, 4.949999809265137, 4.949999809265137, 5.099999904632568, 5.050000190734863, 5.090000152587891, 5.039999961853027, 4.889999866485596, 4.639999866485596, 4.860000133514404]","[5.900000095367432, 5.909999847412109, 5.900000095367432, 6.139999866485596, 5.889999866485596, 5.980000019073486, 6.090000152587891, 5.760000228881836, 5.869999885559082, 5.889999866485596]"
5,0.32883697870492523,25,"['Address matching', 'big data technology', 'centrality measure', 'city feature extraction', 'colossal migration', 'complete and detailed property information', 'dense traffic network', 'footprint and label data', 'geographical cluster', 'historical distribution', 'marital status and income inequality', 'multiple feature', 'Natural Movement postulates', 'POI data source', 'procedural logic', 'racial data', 'rail transit accessibility', 'schema standardisation', 'socioeconomic data', 'source city data', 'taxonomy mapping', 'traffic road network', 'urban data', 'Urban morphological feature extraction', 'urban place detection']",19,"[7, 15, 34, 43, 95, 126, 147, 160, 163, 164, 180, 185, 197, 204, 241, 263, 365, 413, 513]",10,2,10,"[4.010000228881836, 4.389999866485596, 4.300000190734863, 4.320000171661377, 4.460000038146973, 4.260000228881836, 4.409999847412109, 3.9700000286102295, 4.230000019073486, 4.550000190734863, 3.930000066757202, 4.059999942779541, 4.090000152587891, 4.53000020980835, 4.28000020980835, 4.019999980926514, 4.039999961853027, 4.650000095367432, 4.090000152587891, 4.550000190734863, 4.619999885559082, 4.010000228881836, 4.079999923706055, 4.25, 4.0]","[5.78000020980835, 6.130000114440918, 5.46999979019165, 6.010000228881836, 6.110000133514404, 5.829999923706055, 6.260000228881836, 6.320000171661377, 5.769999980926514, 6.269999980926514, 5.960000038146973, 5.769999980926514, 6.190000057220459, 6.349999904632568, 6.239999771118164, 5.820000171661377, 5.920000076293945, 6.050000190734863, 5.849999904632568, 6.139999866485596, 6.019999980926514, 6.070000171661377, 6.079999923706055, 5.829999923706055, 5.679999828338623]"
6,0.3198053002734382,30,"['advertising construction', 'architectural color icon creation', 'Beppu census ward', 'building level', ""city's authority"", 'current digital landscape model', 'different urban structure type', 'intelligent urban planning decision making', 'landscape architecture system', 'landscape conservation', 'local urban planning department', 'mapping rooftop footprint', 'regional and urban planning', 'residential infill development', 'sustainable urban development', 'Urban Data Mining', 'urban design', 'urban design decision making', 'urban ecosystem', ""urban form's modeling"", 'urban hotel development scale', 'urban morphological research', 'urban pattern and regularity', 'urban planning', 'urban planning and management', 'urban planning and transportation management', 'urban planning machine learning model', 'urban space generation design method', 'urban sprawl', 'virtual urban planning model']",23,"[7, 15, 43, 95, 147, 160, 163, 164, 180, 204, 219, 241, 263, 270, 276, 286, 290, 318, 397, 402, 413, 535, 591]",12,2,13,"[0.6800000071525574, 0.7699999809265137, 0.5899999737739563, 0.699999988079071, 0.5799999833106995, 0.5099999904632568, 0.8500000238418579, 0.75, 0.8199999928474426, 0.8100000023841858, 0.8700000047683716, 0.7799999713897705, 1.0, 0.9900000095367432, 0.6600000262260437, 0.949999988079071, 0.699999988079071, 1.0099999904632568, 1.0499999523162842, 0.5699999928474426, 1.1399999856948853, 0.6899999976158142, 1.0700000524520874, 0.5899999737739563, 0.7400000095367432, 0.9900000095367432, 1.1699999570846558, 0.7799999713897705, 0.9900000095367432, 0.6499999761581421]","[4.5, 4.5, 4.690000057220459, 4.550000190734863, 4.590000152587891, 4.849999904632568, 4.519999980926514, 4.96999979019165, 4.46999979019165, 4.710000038146973, 4.679999828338623, 4.690000057220459, 4.400000095367432, 4.25, 4.949999809265137, 4.579999923706055, 4.679999828338623, 4.630000114440918, 4.150000095367432, 4.789999961853027, 4.139999866485596, 4.75, 4.360000133514404, 4.860000133514404, 4.710000038146973, 4.480000019073486, 4.170000076293945, 4.760000228881836, 4.300000190734863, 4.800000190734863]"
7,0.21900827666163425,16,"['change detection', 'cognitive perception', 'convolutional autoencoder model', 'convolutional neural network', 'deep learning', 'deep learning algorithm', 'deep learning approach', 'deep learning method', 'Denoising Autoencoder', 'Neighbor and Naïve Bayes', 'Neural Networks', 'scene classification', 'sufficient neighborhood information', 'Tensorflow Segmentation', 'transfer learning technique', 'unsupervised artificial neural network']",16,"[15, 95, 147, 160, 163, 185, 241, 263, 270, 290, 318, 365, 402, 413, 535, 577]",16,2,12,"[4.639999866485596, 4.789999961853027, 4.690000057220459, 4.690000057220459, 4.440000057220459, 4.860000133514404, 4.860000133514404, 4.980000019073486, 4.940000057220459, 4.909999847412109, 4.630000114440918, 4.800000190734863, 4.849999904632568, 4.880000114440918, 4.739999771118164, 4.630000114440918]","[2.7300000190734863, 2.4800000190734863, 2.390000104904175, 2.619999885559082, 2.619999885559082, 2.799999952316284, 2.2699999809265137, 2.2799999713897705, 2.309999942779541, 2.430000066757202, 2.7699999809265137, 2.490000009536743, 2.359999895095825, 2.4600000381469727, 2.25, 2.3499999046325684]"
8,0.19475760375060053,15,"['criteria spatial evaluation', 'geographic information system', 'GIS visualisation', 'Google Map Platform', 'historical site', 'historical topographic map', 'land use type', 'location decision making', 'open urban area', 'protection and development', 'real estate search', 'spatial concept', 'street functionality classification', 'street view image', 'street view map']",12,"[185, 219, 241, 262, 286, 290, 397, 401, 402, 413, 513, 535]",12,2,13,"[1.2000000476837158, 0.5, 0.8199999928474426, 1.2699999809265137, 1.0800000429153442, 0.8500000238418579, 1.1200000047683716, 1.3300000429153442, 1.2799999713897705, 0.9700000286102295, 1.3200000524520874, 1.2999999523162842, 0.8700000047683716, 0.8899999856948853, 1.1799999475479126]","[4.5, 4.550000190734863, 4.889999866485596, 4.150000095367432, 4.329999923706055, 4.21999979019165, 4.159999847412109, 4.170000076293945, 4.460000038146973, 4.179999828338623, 4.289999961853027, 4.21999979019165, 4.239999771118164, 4.380000114440918, 4.340000152587891]"
9,0.09846624469524522,9,"['air pollutant concentration', 'Chinese author', 'deprivation mapping', 'environmental evaluation', 'Jiangxia and Huangpi', 'prenatal care', 'several domain', 'Systematic Reviews and Meta Analyses', 'usable floor area']",7,"[15, 34, 99, 160, 197, 318, 401]",10,2,10,"[4.730000019073486, 4.889999866485596, 4.829999923706055, 4.760000228881836, 4.909999847412109, 4.769999980926514, 4.960000038146973, 4.440000057220459, 4.789999961853027]","[5.289999961853027, 5.610000133514404, 5.269999980926514, 5.800000190734863, 5.840000152587891, 5.789999961853027, 5.809999942779541, 6.039999961853027, 5.599999904632568]"
10,0.08713566931340738,11,"['appropriate attribute feature', 'dimensional similarity analysis', 'gray level cooccurrence matrix', 'knowledge conversion', 'literal similarity', 'matching accuracy', 'novel semantic model', 'SAR ground object classification', 'scheme and kernel', 'space syntax Theory', 'word2vec model']",10,"[43, 95, 99, 180, 263, 365, 513, 535, 577, 591]",16,2,12,"[5.110000133514404, 5.0, 5.199999809265137, 4.489999771118164, 4.900000095367432, 5.019999980926514, 4.769999980926514, 4.909999847412109, 4.449999809265137, 4.679999828338623, 4.690000057220459]","[2.4700000286102295, 2.4800000190734863, 2.2300000190734863, 2.2300000190734863, 2.0999999046325684, 2.319999933242798, 2.1500000953674316, 2.180000066757202, 2.5799999237060547, 2.4200000762939453, 2.430000066757202]"
