Group,TopicWords,NumPhrases,Key-phrases,NumDocs,DocIds,score,dimension,min_samples,min_cluster_size
1,"['urban', 'feature extraction', 'information', 'address matching', 'label data']",11,"['Address matching', 'city feature extraction', 'complete and detailed property information', 'footprint and label data', 'several domain', 'street functionality classification', 'sufficient neighborhood information', 'taxonomy mapping', 'urban data', 'Urban morphological feature extraction', 'urban place detection']",12,"[15, 43, 95, 126, 160, 163, 185, 197, 204, 241, 263, 365]",0.5122,34,2,11
2,"['data', 'pollutant concentration', 'bufa estimation', 'environmental evaluation', 'gdp contribution']",11,"['air pollutant concentration', 'BUFA estimation', 'environmental evaluation', 'GDP contribution', 'historical distribution', 'marital status and income inequality', 'POI data source', 'racial data', 'socioeconomic data', 'source city data', 'Systematic Reviews and Meta Analyses']",10,"[15, 34, 43, 126, 163, 185, 197, 262, 401, 413]",0.5122,34,2,11
3,"['image', 'traffic', 'satellite', 'belo horizonte', 'bossa representation']",19,"['Belo Horizonte', 'BOSSA representation', 'central green axis', 'Chinese author', 'colossal migration', 'dense traffic network', 'high resolution satellite imagery', 'image interpretation', 'Jiangxia and Huangpi', 'Natural Movement postulates', 'plot shape', 'prenatal care', 'procedural logic', 'rail transit accessibility', 'satellite image', 'space syntax Theory', 'street view image', 'such sign', 'traffic road network']",15,"[7, 15, 34, 95, 99, 147, 164, 185, 204, 241, 290, 397, 401, 513, 577]",0.5122,34,2,11
4,"['data', 'similarity', 'analysis', 'attribute feature', 'knowledge conversion']",19,"['appropriate attribute feature', 'big data method', 'big data technology', 'descriptive data', 'dimensional similarity analysis', 'knowledge conversion', 'large dataset', 'literal similarity', 'matching accuracy', 'methodological approach', 'mobile edge streaming medium data processing', 'novel semantic model', 'schema standardisation', 'scheme and kernel', 'stram data', 'Structural equation modeling', 'traditional survey', 'uncertainty analysis', 'various trend view']",15,"[34, 43, 95, 164, 180, 262, 263, 270, 276, 286, 290, 365, 535, 577, 591]",0.5119,28,2,13
5,"['machine', 'algorithm', 'random', 'naïve bayes', 'detection problem']",13,"['automatic algorithm', 'Automation tool use machine learning classification model', 'ensemble machine learning building classification model', 'extreme learning machine classification algorithm', 'machine learning algorithm', 'machine learning approach', 'machine learning method Random Forests', 'machine learning model', 'machine learning technique', 'Neighbor and Naïve Bayes', 'outlier detection problem', 'random forest', 'random forests classifier']",13,"[7, 99, 126, 163, 164, 180, 197, 204, 219, 262, 276, 365, 513]",0.5119,28,2,13
6,"['deep', 'neural', 'convolutional', 'classification', 'change detection']",14,"['change detection', 'cognitive perception', 'convolutional autoencoder model', 'convolutional neural network', 'deep learning', 'deep learning algorithm', 'deep learning approach', 'deep learning method', 'Denoising Autoencoder', 'Neural Networks', 'SAR ground object classification', 'scene classification', 'Tensorflow Segmentation', 'unsupervised artificial neural network']",16,"[15, 95, 147, 160, 180, 185, 241, 263, 270, 290, 318, 365, 402, 413, 535, 577]",0.5119,28,2,13
7,"['learning', 'cooccurrence matrix', 'training data', 'multiple feature', 'word2vec model']",6,"['gray level cooccurrence matrix', 'limited training data', 'machine learning', 'multiple feature', 'transfer learning technique', 'word2vec model']",6,"[99, 163, 180, 263, 318, 397]",0.5119,28,2,13
8,"['urban', 'type', 'advertising construction', 'building level', 'city authority']",20,"['advertising construction', 'building level', ""city's authority"", 'different urban structure type', 'intelligent urban planning decision making', 'land use type', 'regional and urban planning', 'sustainable urban development', 'urban design decision making', 'urban ecosystem', ""urban form's modeling"", 'urban hotel development scale', 'urban morphological research', 'urban pattern and regularity', 'urban planning', 'urban planning and management', 'urban planning and transportation management', 'urban planning machine learning model', 'urban space generation design method', 'virtual urban planning model']",21,"[7, 15, 43, 95, 147, 160, 163, 164, 180, 204, 219, 241, 263, 270, 276, 286, 397, 413, 513, 535, 591]",0.46140000000000003,32,3,18
9,"['landscape', 'map', 'spatial', 'mapping', 'system']",18,"['architectural color icon creation', 'centrality measure', 'criteria spatial evaluation', 'current digital landscape model', 'deprivation mapping', 'Figure ground', 'geographic information system', 'geographical cluster', 'GIS visualisation', 'Google Map Platform', 'high resolution satellite image', 'historical topographic map', 'landscape architecture system', 'landscape conservation', 'location decision making', 'mapping rooftop footprint', 'spatial concept', 'street view map']",13,"[126, 241, 270, 276, 286, 290, 318, 397, 401, 402, 413, 513, 535]",0.46140000000000003,32,3,18
10,"['urban', 'area', 'residential', 'development', 'census ward']",24,"['barcelona', 'Beppu census ward', 'Brooklyn neighborhood', 'French neighbourhood', 'historical site', 'local urban planning department', 'open urban area', 'protection and development', 'real estate search', 'residential infill development', 'residential segregation', 'residential status', 'university campus', 'urban area', 'Urban Data Mining', 'urban design', 'urban dweller', 'urban environment', 'urban job housing pattern', 'urban poverty', 'urban setting', 'urban sprawl', 'usable floor area', 'walkability']",18,"[7, 34, 99, 126, 164, 185, 197, 204, 219, 262, 270, 286, 318, 401, 402, 535, 577, 591]",0.46140000000000003,32,3,18
