0,1
crime analysis,{-1}
statistical method,"{0, 2, 4, 7, -1}"
contextual model,{-1}
american city,"{2, -1}"
census tract,"{0, 2, 3, 8, -1}"
structural characteristic,{-1}
violent crime,{-1}
concentrated disadvantage,{-1}
residential stability,{-1}
ethnic heterogeneity,{-1}
total population,{-1}
spatial lag,{-1}
important variable,"{2, 3, 4, -1}"
professional occupation,{-1}
proportion population,{-1}
college degree,{-1}
lag term,{-1}
college education,{-1}
owner occupancy,{-1}
property crime,{-1}
significant predictor,"{10, -1}"
traditional regression,{-1}
regression model,"{0, 1, 2, 4, 5, 7, 8, 10, -1}"
housing unit,{-1}
concentrated immigration,{-1}
urban planner,"{0, 1, 2, 3, 4, 5, 6, 7, 8, -1}"
nearby crime,{-1}
high crime,{-1}
crime level,"{0, -1}"
responsive policy,{-1}
local context,{-1}
stability matter,{-1}
urban policy,"{0, 2, 3, -1}"
social disorganization,{-1}
disorganization indicator,{-1}
urban planning,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, -1}"
close proximity,{-1}
urban space,"{0, 1, 2, 3, 4, 8, -1}"
main concern,{-1}
widespread adoption,{-1}
building geometry,"{4, -1}"
flow field,"{4, -1}"
urban setup,{-1}
isolated building,{-1}
potential impact,{-1}
uas operation,{-1}
wind gust,{-1}
flow condition,{-1}
condition prevalent,{-1}
various structure,{-1}
significant challenge,"{0, 2, -1, 6}"
urban environment,"{0, 1, 2, 3, 4, 5, 7, 10, 11, -1}"
coherent turbulent,{-1}
turbulent flow,{-1}
flow structure,{-1}
atmospheric boundary,{-1}
boundary layer,"{2, -1}"
layer flow,{-1}
navigation system,"{0, 2, 11, -1}"
first step,"{8, -1}"
step towards,"{9, -1}"
aerial infrastructure,{-1}
land policy,{-1}
urban form,"{1, 3, 4, 5, 6, 8, 10, -1}"
urban structure,"{2, 3, 7, 8, -1}"
many country,"{1, -1}"
obstacle remain,{-1}
geoinformation technology,{-1}
wide range,"{0, 2, -1}"
spatial analysis,"{0, 2, -1, 7}"
machine learning,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, -1}"
policy perspective,{-1}
land readjustment,{-1}
readjustment policy,{-1}
spatial level,{-1}
formulate hypothesis,{-1}
causal relation,{-1}
building stock,"{10, -1, 6}"
residential area,"{2, 5, 7, 8, -1}"
next step,{-1}
random forest,"{0, 1, 2, 3, 5, 7, 8, 9, 10, -1}"
variable importance,{-1}
importance measure,{-1}
morphological difference,{-1}
openstreetmap data,{-1}
significant difference,"{8, -1}"
building coverage,"{8, 10, -1, 7}"
coverage ratio,"{8, 10, -1, 7}"
french policy,{-1}
policy favour,{-1}
strong actor,{-1}
applied algorithm,{-1}
data heterogeneity,{-1}
high level,"{0, 3, 4, 9, -1}"
visuospatial configuration,{-1}
stress sensing,{-1}
data mining,"{0, 2, 3, 8, -1}"
fundamental question,{-1}
active ageing,{-1}
perceived element,{-1}
environment differs,{-1}
average person,{-1}
environment influence,"{1, -1}"
environmental demand,{-1}
functional capability,{-1}
influence stress,{-1}
environment walk,{-1}
physiological response,{-1}
wearable sensor,{-1}
perceived stress,{-1}
stress response,{-1}
spatial clustering,"{0, -1}"
hot spot,"{8, 3, -1}"
spot analysis,"{8, -1}"
spatial factor,"{2, -1}"
visual element,"{1, -1}"
isovist analysis,{-1}
principal component,"{0, 9, -1}"
component analysis,"{0, 2, 8, 9, -1}"
learning algorithms,"{0, 1, 2, 3, 4, 7, 8, -1}"
result demonstrate,"{0, 2, 5, 10, -1}"
minimum visibility,{-1}
isovist area,{-1}
influential determinant,{-1}
physiological stress,{-1}
urban configuration,"{4, -1}"
urban design,"{0, 1, 2, 3, 4, 6, 7, 10, -1}"
demand matrix,{-1}
essential role,"{8, 2, -1}"
travel modeling,{-1}
transport planning,"{3, -1}"
od matrix,{-1}
laborious traffic,{-1}
traffic count,{-1}
combined methodology,{-1}
urban mobility,"{0, -1, 6}"
socioeconomic variable,"{0, -1}"
málaga region,{-1}
case study,"{0, 1, 2, 3, 6, 7, 8, 9, 10, -1}"
automatic feature,"{2, -1}"
feature selection,"{0, 2, 3, 5, -1}"
selection procedure,"{3, -1}"
irrelevant one,{-1}
several feature,{-1}
selection technique,{-1}
neural network,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, -1}"
support vector,"{0, 2, 3, 5, 9, 10, 11, -1}"
vector regression,"{2, 10, -1}"
relevant variable,{-1}
experimental result,"{0, 2, 3, 5, 8, 11, -1}"
result show,"{0, 1, 2, 3, 4, 5, 7, 8, 9, -1}"
combined model,{-1}
traditional method,"{0, 2, 3, -1}"
ml model,"{0, 1, 2, 5, 9, -1}"
alternative method,{-1}
lead time,{-1}
urban transport,{-1}
aggregated building,{-1}
building energy,"{10, -1}"
energy demand,"{2, 10, 4, -1}"
useful indicator,{-1}
urban energy,"{10, -1}"
energy planning,{-1}
high energy,{-1}
urban area,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, -1}"
district heating,{-1}
heating network,{-1}
various data,"{0, -1}"
data source,"{0, 1, 2, 3, 4, 5, 7, 8, -1}"
land use,"{0, 1, 2, 3, 4, 5, 7, 8, 9, 10, -1}"
built area,"{-1, 7}"
statistical data,{-1}
previous research,"{1, 2, 3, -1}"
energy performance,"{10, 4, -1}"
hectare level,{-1}
engineering assumption,{-1}
annual building,{-1}
previous engineering,{-1}
engineering model,{-1}
preliminary method,{-1}
spatial resolution,"{0, 1, 2, 4, 7, -1}"
annual heating,{-1}
heating demand,{-1}
aggregation tile,{-1}
mean error,{-1}
linear model,"{0, 2, 5, -1}"
similar result,{-1}
