,parent,child,lambda_val,child_size
0,177,40,1717.041858561048,1
1,177,12,1764.5368111064367,1
2,177,92,1880.4321900919076,1
3,177,56,1886.1400786958966,1
4,177,98,1890.6035609646158,1
5,177,158,1998.953413558918,1
6,177,96,2019.8911630146881,1
7,177,115,2164.522771255322,1
8,177,100,2304.879241654073,1
9,177,106,2312.5039283252927,1
10,177,156,2322.748996261941,1
11,177,46,2340.5714285714284,1
12,177,2,2357.6750983698707,1
13,177,113,2369.9980223195366,1
14,177,107,2384.143242859173,1
15,177,18,2422.3528732313025,1
16,177,170,2453.8856223489834,1
17,177,144,2473.421200058971,1
18,177,159,2485.1453118056584,1
19,177,51,2515.701904333483,1
20,177,134,2550.8918960012165,1
21,177,168,2563.755501222494,1
22,177,128,2575.562787841572,1
23,177,34,2614.495247000156,1
24,177,114,2737.7963446475196,1
25,177,15,2812.6095557418275,1
26,177,69,2825.874347313458,1
27,177,160,2830.1646423751686,1
28,177,52,2836.384784446323,1
29,177,70,2848.9074545763287,1
30,177,16,2886.6510667584307,1
31,177,25,2894.1204071071243,1
32,177,171,2936.159607980399,1
33,177,8,2955.816772374912,1
34,177,120,2974.6836879432626,1
35,177,10,3013.690677204958,1
36,177,167,3016.9422765689624,1
37,177,59,3016.9422765689624,1
38,177,116,3032.757772957339,1
39,177,105,3039.9014314187352,1
40,177,153,3041.5547498187093,1
41,177,118,3049.8483912015995,1
42,177,130,3056.515940972855,1
43,177,101,3058.7449407474933,1
44,177,138,3066.572107475781,1
45,177,122,3066.572107475781,1
46,177,43,3106.316608035549,1
47,177,143,3106.8918518518517,1
48,177,62,3116.703696823333,1
49,177,45,3120.1815138553097,1
50,177,0,3142.9778943424503,1
51,177,22,3147.104858375539,1
52,177,65,3159.551035781544,1
53,177,7,3169.6988475344797,1
54,177,32,3194.4432597105865,1
55,177,129,3205.429117309897,1
56,177,132,3205.429117309897,1
57,177,169,3207.2674440833493,1
58,177,135,3211.5650842266464,1
59,177,24,3225.1472510572858,1
60,177,72,3226.3876923076923,1
61,177,86,3227.629088110812,1
62,177,80,3286.428207639569,1
63,177,33,3293.524931291716,1
64,177,166,3300.0031471282455,1
65,177,66,3310.4214680347277,1
66,177,139,3315.6553359683794,1
67,177,124,3322.22099009901,1
68,177,30,3342.7407850169357,1
69,177,31,3371.627009646302,1
70,177,26,3372.982710092481,1
71,177,176,3375.01830617582,1
72,177,121,3375.697384305835,1
73,177,119,3376.3767357617226,1
74,177,131,3387.9676898222942,1
