iteration,total_papers,dimension,min_samples,min_cluster_size,score,Cluster,NumDocs,Percent,DocIds
0,593,150,30.0,40.0,0.8474074602,-1,253,0.4266441821,"[1, 5, 7, 10, 12, 14, 15, 17, 18, 19, 20, 21, 24, 25, 26, 27, 28, 29, 33, 34, 36, 39, 40, 41, 43, 44, 45, 47, 50, 53, 54, 56, 57, 58, 60, 61, 62, 64, 65, 67, 68, 70, 71, 75, 76, 79, 80, 81, 82, 85, 88, 91, 94, 95, 98, 99, 101, 102, 103, 105, 107, 108, 109, 111, 112, 115, 121, 122, 123, 126, 131, 132, 136, 140, 142, 143, 147, 148, 149, 150, 151, 152, 159, 160, 163, 164, 166, 168, 172, 173, 174, 176, 178, 179, 180, 181, 185, 189, 192, 195, 197, 198, 199, 201, 203, 204, 205, 207, 214, 215, 216, 217, 218, 219, 221, 222, 223, 224, 227, 228, 229, 232, 238, 239, 241, 242, 246, 247, 248, 250, 253, 255, 262, 263, 265, 266, 267, 270, 274, 275, 276, 278, 279, 284, 286, 290, 292, 294, 297, 305, 306, 308, 315, 318, 322, 323, 329, 332, 335, 338, 339, 349, 350, 351, 354, 357, 360, 365, 366, 369, 371, 372, 377, 379, 380, 381, 383, 385, 386, 390, 396, 397, 399, 400, 401, 402, 403, 406, 408, 409, 413, 414, 419, 421, 424, 431, 440, 441, 442, 445, 446, 447, 448, 449, 453, 454, 455, 456, 457, 465, 470, 471, 480, 481, 482, 483, 484, 487, 495, 498, 500, 501, 506, 508, 512, 513, 514, 517, 518, 520, 521, 532, 535, 538, 540, 541, 556, 558, 564, 566, 567, 568, 575, 577, 579, 580, 581, 583, 585, 586, 591, 596, 597]"
0,593,150,30.0,40.0,0.8474074602,0,142,0.239460371,"[3, 4, 13, 22, 30, 32, 38, 55, 63, 69, 83, 84, 97, 104, 110, 117, 124, 125, 127, 133, 134, 138, 139, 145, 146, 155, 156, 184, 191, 194, 200, 202, 209, 210, 211, 220, 233, 235, 240, 243, 244, 249, 257, 258, 261, 264, 272, 273, 281, 291, 295, 296, 298, 300, 304, 307, 309, 311, 319, 321, 324, 326, 334, 336, 337, 343, 345, 346, 353, 355, 356, 358, 359, 362, 363, 364, 370, 373, 375, 382, 384, 387, 388, 392, 394, 395, 407, 410, 412, 415, 417, 422, 423, 425, 428, 430, 432, 433, 434, 435, 438, 439, 450, 451, 459, 461, 466, 467, 468, 485, 486, 491, 493, 499, 502, 503, 504, 510, 511, 516, 519, 522, 526, 527, 530, 536, 537, 542, 543, 544, 545, 546, 550, 555, 560, 561, 562, 571, 573, 574, 584, 587]"
0,593,150,30.0,40.0,0.8474074602,1,44,0.0741989882,"[2, 31, 35, 48, 49, 51, 52, 77, 86, 116, 154, 157, 170, 177, 196, 206, 268, 269, 271, 277, 280, 287, 313, 325, 340, 341, 367, 376, 404, 411, 416, 429, 472, 474, 477, 488, 489, 492, 505, 523, 529, 533, 534, 595]"
0,593,150,30.0,40.0,0.8474074602,2,154,0.2596964587,"[6, 8, 9, 11, 16, 23, 37, 42, 46, 59, 66, 72, 73, 74, 78, 87, 89, 90, 92, 93, 96, 100, 106, 113, 114, 118, 119, 120, 128, 129, 130, 135, 137, 141, 144, 153, 158, 161, 162, 165, 167, 169, 171, 175, 182, 183, 186, 188, 190, 193, 208, 212, 213, 225, 226, 230, 231, 234, 236, 237, 245, 251, 252, 254, 256, 259, 260, 282, 283, 285, 288, 289, 293, 299, 301, 302, 303, 310, 312, 314, 316, 317, 320, 327, 328, 330, 331, 333, 344, 347, 348, 352, 361, 368, 374, 378, 389, 391, 393, 398, 405, 418, 420, 426, 427, 436, 437, 443, 444, 452, 458, 460, 462, 463, 464, 469, 473, 475, 476, 478, 479, 490, 494, 496, 497, 507, 509, 515, 524, 525, 528, 531, 547, 548, 551, 552, 553, 554, 557, 559, 563, 565, 569, 570, 572, 576, 578, 582, 588, 589, 590, 592, 593, 594]"
1,253,70,30.0,15.0,0.8613670192,-1,177,0.6996047431,"[1, 5, 12, 14, 17, 18, 19, 20, 21, 24, 25, 26, 27, 28, 29, 33, 36, 39, 40, 41, 44, 45, 47, 50, 53, 54, 56, 57, 58, 60, 61, 64, 67, 68, 70, 71, 75, 76, 79, 80, 81, 82, 85, 88, 94, 98, 101, 103, 105, 108, 109, 111, 112, 115, 121, 123, 131, 132, 142, 143, 148, 149, 150, 151, 152, 159, 166, 168, 172, 173, 174, 176, 179, 181, 192, 195, 198, 199, 203, 205, 207, 214, 215, 216, 217, 218, 221, 222, 223, 224, 227, 229, 232, 238, 239, 242, 246, 247, 248, 250, 253, 255, 265, 266, 274, 275, 278, 279, 284, 292, 294, 297, 306, 308, 322, 329, 332, 335, 349, 350, 351, 354, 357, 360, 366, 369, 372, 377, 380, 381, 385, 386, 390, 399, 400, 403, 406, 408, 409, 414, 419, 424, 440, 441, 442, 446, 447, 448, 456, 457, 465, 471, 481, 487, 498, 501, 506, 508, 514, 517, 518, 521, 532, 540, 541, 556, 558, 564, 566, 568, 580, 581, 583, 585, 586, 596, 597]"
1,253,70,30.0,15.0,0.8613670192,0,59,0.23320158100000002,"[7, 15, 34, 43, 65, 91, 95, 99, 107, 122, 126, 136, 140, 147, 160, 163, 164, 180, 185, 189, 197, 204, 219, 241, 262, 263, 267, 270, 276, 286, 290, 305, 315, 318, 323, 339, 365, 383, 396, 397, 401, 402, 413, 445, 449, 455, 470, 480, 482, 483, 484, 513, 535, 538, 567, 575, 577, 579, 591]"
1,253,70,30.0,15.0,0.8613670192,1,17,0.0671936759,"[10, 62, 102, 178, 201, 228, 338, 371, 379, 421, 431, 453, 454, 495, 500, 512, 520]"
2,177,35,15.0,10.0,0.8225176858000001,-1,126,0.7118644068000001,"[1, 12, 19, 20, 21, 24, 25, 27, 33, 36, 40, 45, 47, 53, 54, 56, 58, 61, 64, 67, 68, 70, 75, 76, 80, 81, 88, 98, 101, 103, 108, 109, 111, 112, 121, 123, 131, 132, 143, 148, 149, 150, 151, 152, 159, 166, 173, 174, 176, 179, 181, 192, 195, 199, 205, 207, 214, 217, 221, 223, 224, 227, 232, 239, 246, 248, 250, 253, 255, 266, 275, 278, 279, 284, 297, 306, 308, 322, 329, 332, 335, 349, 350, 351, 354, 357, 366, 369, 377, 380, 381, 385, 386, 390, 399, 400, 403, 406, 408, 409, 414, 424, 441, 442, 446, 448, 471, 481, 487, 506, 508, 514, 517, 518, 521, 532, 541, 558, 564, 566, 568, 580, 581, 583, 596, 597]"
2,177,35,15.0,10.0,0.8225176858000001,0,18,0.10169491530000001,"[5, 14, 17, 26, 41, 50, 82, 94, 105, 142, 218, 229, 238, 292, 294, 447, 498, 501]"
2,177,35,15.0,10.0,0.8225176858000001,1,12,0.0677966102,"[18, 85, 203, 242, 360, 419, 440, 457, 465, 540, 556, 586]"
