dimension,min_samples,min_cluster_size,epsilon,total_groups,outliers,score,group_results,group_labels,parent_group
100,50,30,0.0,3,121,0.5442,"[{'group': 1, 'count': 51}, {'group': -1, 'count': 121}, {'group': 0, 'count': 126}]","[-1, 0, 0, -1, 0, -1, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, -1, 1, 0, -1, -1, 0, 0, -1, 0, -1, 0, 1, -1, 0, 0, 0, 0, 0, 0, -1, 1, -1, 0, -1, 1, -1, 0, -1, -1, 0, 0, 0, 1, 1, 1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1, 0, 0, -1, -1, -1, 0, -1, 0, -1, 0, 0, -1, -1, 1, 1, 0, -1, 0, -1, 0, 0, -1, 0, -1, 1, -1, 0, 1, 0, -1, 0, 0, 0, 0, -1, 1, 0, -1, 0, 0, 0, 0, -1, -1, 0, -1, 1, 0, 0, -1, 1, 0, 1, 0, -1, 1, 1, -1, 1, -1, 1, -1, -1, -1, 1, -1, -1, -1, -1, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0, -1, 1, 0, -1, 0, -1, -1, 0, -1, -1, -1, -1, -1, 0, -1, 0, 0, 0, 0, -1, 1, 0, -1, 1, 0, -1, 1, 1, 0, -1, 0, -1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, -1, -1, 1, -1, -1, -1, 1, -1, 1, 1, 1, 0, 1, 0, 1, 1, 0, -1, -1, 0, -1, -1, -1, 0, 0, 0, -1, 1, 0, 0, 1, 0, -1, 0, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0, 0, -1, 0, 0, 0, -1, 0, 1, 0, -1, -1, -1, 0, -1, 0, 1, 0, 0, -1, 1, 1, 1, -1, -1, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, -1, -1, 0, 1, 1, 1, 0, 0, -1, -1, 0, -1, 0, -1, -1, -1, 0, -1, -1, -1, -1, -1]",root
100,50,29,0.0,3,121,0.5442,"[{'group': 1, 'count': 51}, {'group': -1, 'count': 121}, {'group': 0, 'count': 126}]","[-1, 0, 0, -1, 0, -1, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, -1, 1, 0, -1, -1, 0, 0, -1, 0, -1, 0, 1, -1, 0, 0, 0, 0, 0, 0, -1, 1, -1, 0, -1, 1, -1, 0, -1, -1, 0, 0, 0, 1, 1, 1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1, 0, 0, -1, -1, -1, 0, -1, 0, -1, 0, 0, -1, -1, 1, 1, 0, -1, 0, -1, 0, 0, -1, 0, -1, 1, -1, 0, 1, 0, -1, 0, 0, 0, 0, -1, 1, 0, -1, 0, 0, 0, 0, -1, -1, 0, -1, 1, 0, 0, -1, 1, 0, 1, 0, -1, 1, 1, -1, 1, -1, 1, -1, -1, -1, 1, -1, -1, -1, -1, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0, -1, 1, 0, -1, 0, -1, -1, 0, -1, -1, -1, -1, -1, 0, -1, 0, 0, 0, 0, -1, 1, 0, -1, 1, 0, -1, 1, 1, 0, -1, 0, -1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, -1, -1, 1, -1, -1, -1, 1, -1, 1, 1, 1, 0, 1, 0, 1, 1, 0, -1, -1, 0, -1, -1, -1, 0, 0, 0, -1, 1, 0, 0, 1, 0, -1, 0, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0, 0, -1, 0, 0, 0, -1, 0, 1, 0, -1, -1, -1, 0, -1, 0, 1, 0, 0, -1, 1, 1, 1, -1, -1, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, -1, -1, 0, 1, 1, 1, 0, 0, -1, -1, 0, -1, 0, -1, -1, -1, 0, -1, -1, -1, -1, -1]",root
100,50,28,0.0,3,121,0.5442,"[{'group': 1, 'count': 51}, {'group': -1, 'count': 121}, {'group': 0, 'count': 126}]","[-1, 0, 0, -1, 0, -1, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, -1, 1, 0, -1, -1, 0, 0, -1, 0, -1, 0, 1, -1, 0, 0, 0, 0, 0, 0, -1, 1, -1, 0, -1, 1, -1, 0, -1, -1, 0, 0, 0, 1, 1, 1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1, 0, 0, -1, -1, -1, 0, -1, 0, -1, 0, 0, -1, -1, 1, 1, 0, -1, 0, -1, 0, 0, -1, 0, -1, 1, -1, 0, 1, 0, -1, 0, 0, 0, 0, -1, 1, 0, -1, 0, 0, 0, 0, -1, -1, 0, -1, 1, 0, 0, -1, 1, 0, 1, 0, -1, 1, 1, -1, 1, -1, 1, -1, -1, -1, 1, -1, -1, -1, -1, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0, -1, 1, 0, -1, 0, -1, -1, 0, -1, -1, -1, -1, -1, 0, -1, 0, 0, 0, 0, -1, 1, 0, -1, 1, 0, -1, 1, 1, 0, -1, 0, -1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, -1, -1, 1, -1, -1, -1, 1, -1, 1, 1, 1, 0, 1, 0, 1, 1, 0, -1, -1, 0, -1, -1, -1, 0, 0, 0, -1, 1, 0, 0, 1, 0, -1, 0, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0, 0, -1, 0, 0, 0, -1, 0, 1, 0, -1, -1, -1, 0, -1, 0, 1, 0, 0, -1, 1, 1, 1, -1, -1, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, -1, -1, 0, 1, 1, 1, 0, 0, -1, -1, 0, -1, 0, -1, -1, -1, 0, -1, -1, -1, -1, -1]",root
100,50,27,0.0,3,121,0.5442,"[{'group': 1, 'count': 51}, {'group': -1, 'count': 121}, {'group': 0, 'count': 126}]","[-1, 0, 0, -1, 0, -1, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, -1, 1, 0, -1, -1, 0, 0, -1, 0, -1, 0, 1, -1, 0, 0, 0, 0, 0, 0, -1, 1, -1, 0, -1, 1, -1, 0, -1, -1, 0, 0, 0, 1, 1, 1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1, 0, 0, -1, -1, -1, 0, -1, 0, -1, 0, 0, -1, -1, 1, 1, 0, -1, 0, -1, 0, 0, -1, 0, -1, 1, -1, 0, 1, 0, -1, 0, 0, 0, 0, -1, 1, 0, -1, 0, 0, 0, 0, -1, -1, 0, -1, 1, 0, 0, -1, 1, 0, 1, 0, -1, 1, 1, -1, 1, -1, 1, -1, -1, -1, 1, -1, -1, -1, -1, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0, -1, 1, 0, -1, 0, -1, -1, 0, -1, -1, -1, -1, -1, 0, -1, 0, 0, 0, 0, -1, 1, 0, -1, 1, 0, -1, 1, 1, 0, -1, 0, -1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, -1, -1, 1, -1, -1, -1, 1, -1, 1, 1, 1, 0, 1, 0, 1, 1, 0, -1, -1, 0, -1, -1, -1, 0, 0, 0, -1, 1, 0, 0, 1, 0, -1, 0, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0, 0, -1, 0, 0, 0, -1, 0, 1, 0, -1, -1, -1, 0, -1, 0, 1, 0, 0, -1, 1, 1, 1, -1, -1, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, -1, -1, 0, 1, 1, 1, 0, 0, -1, -1, 0, -1, 0, -1, -1, -1, 0, -1, -1, -1, -1, -1]",root
100,50,26,0.0,3,121,0.5442,"[{'group': 1, 'count': 51}, {'group': -1, 'count': 121}, {'group': 0, 'count': 126}]","[-1, 0, 0, -1, 0, -1, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, -1, 1, 0, -1, -1, 0, 0, -1, 0, -1, 0, 1, -1, 0, 0, 0, 0, 0, 0, -1, 1, -1, 0, -1, 1, -1, 0, -1, -1, 0, 0, 0, 1, 1, 1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1, 0, 0, -1, -1, -1, 0, -1, 0, -1, 0, 0, -1, -1, 1, 1, 0, -1, 0, -1, 0, 0, -1, 0, -1, 1, -1, 0, 1, 0, -1, 0, 0, 0, 0, -1, 1, 0, -1, 0, 0, 0, 0, -1, -1, 0, -1, 1, 0, 0, -1, 1, 0, 1, 0, -1, 1, 1, -1, 1, -1, 1, -1, -1, -1, 1, -1, -1, -1, -1, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0, -1, 1, 0, -1, 0, -1, -1, 0, -1, -1, -1, -1, -1, 0, -1, 0, 0, 0, 0, -1, 1, 0, -1, 1, 0, -1, 1, 1, 0, -1, 0, -1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, -1, -1, 1, -1, -1, -1, 1, -1, 1, 1, 1, 0, 1, 0, 1, 1, 0, -1, -1, 0, -1, -1, -1, 0, 0, 0, -1, 1, 0, 0, 1, 0, -1, 0, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0, 0, -1, 0, 0, 0, -1, 0, 1, 0, -1, -1, -1, 0, -1, 0, 1, 0, 0, -1, 1, 1, 1, -1, -1, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, -1, -1, 0, 1, 1, 1, 0, 0, -1, -1, 0, -1, 0, -1, -1, -1, 0, -1, -1, -1, -1, -1]",root
100,50,25,0.0,3,121,0.5442,"[{'group': 1, 'count': 51}, {'group': -1, 'count': 121}, {'group': 0, 'count': 126}]","[-1, 0, 0, -1, 0, -1, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, -1, 1, 0, -1, -1, 0, 0, -1, 0, -1, 0, 1, -1, 0, 0, 0, 0, 0, 0, -1, 1, -1, 0, -1, 1, -1, 0, -1, -1, 0, 0, 0, 1, 1, 1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1, 0, 0, -1, -1, -1, 0, -1, 0, -1, 0, 0, -1, -1, 1, 1, 0, -1, 0, -1, 0, 0, -1, 0, -1, 1, -1, 0, 1, 0, -1, 0, 0, 0, 0, -1, 1, 0, -1, 0, 0, 0, 0, -1, -1, 0, -1, 1, 0, 0, -1, 1, 0, 1, 0, -1, 1, 1, -1, 1, -1, 1, -1, -1, -1, 1, -1, -1, -1, -1, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0, -1, 1, 0, -1, 0, -1, -1, 0, -1, -1, -1, -1, -1, 0, -1, 0, 0, 0, 0, -1, 1, 0, -1, 1, 0, -1, 1, 1, 0, -1, 0, -1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, -1, -1, 1, -1, -1, -1, 1, -1, 1, 1, 1, 0, 1, 0, 1, 1, 0, -1, -1, 0, -1, -1, -1, 0, 0, 0, -1, 1, 0, 0, 1, 0, -1, 0, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0, 0, -1, 0, 0, 0, -1, 0, 1, 0, -1, -1, -1, 0, -1, 0, 1, 0, 0, -1, 1, 1, 1, -1, -1, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, -1, -1, 0, 1, 1, 1, 0, 0, -1, -1, 0, -1, 0, -1, -1, -1, 0, -1, -1, -1, -1, -1]",root
100,50,24,0.0,3,121,0.5442,"[{'group': 1, 'count': 51}, {'group': -1, 'count': 121}, {'group': 0, 'count': 126}]","[-1, 0, 0, -1, 0, -1, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, -1, 1, 0, -1, -1, 0, 0, -1, 0, -1, 0, 1, -1, 0, 0, 0, 0, 0, 0, -1, 1, -1, 0, -1, 1, -1, 0, -1, -1, 0, 0, 0, 1, 1, 1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1, 0, 0, -1, -1, -1, 0, -1, 0, -1, 0, 0, -1, -1, 1, 1, 0, -1, 0, -1, 0, 0, -1, 0, -1, 1, -1, 0, 1, 0, -1, 0, 0, 0, 0, -1, 1, 0, -1, 0, 0, 0, 0, -1, -1, 0, -1, 1, 0, 0, -1, 1, 0, 1, 0, -1, 1, 1, -1, 1, -1, 1, -1, -1, -1, 1, -1, -1, -1, -1, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0, -1, 1, 0, -1, 0, -1, -1, 0, -1, -1, -1, -1, -1, 0, -1, 0, 0, 0, 0, -1, 1, 0, -1, 1, 0, -1, 1, 1, 0, -1, 0, -1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, -1, -1, 1, -1, -1, -1, 1, -1, 1, 1, 1, 0, 1, 0, 1, 1, 0, -1, -1, 0, -1, -1, -1, 0, 0, 0, -1, 1, 0, 0, 1, 0, -1, 0, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0, 0, -1, 0, 0, 0, -1, 0, 1, 0, -1, -1, -1, 0, -1, 0, 1, 0, 0, -1, 1, 1, 1, -1, -1, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, -1, -1, 0, 1, 1, 1, 0, 0, -1, -1, 0, -1, 0, -1, -1, -1, 0, -1, -1, -1, -1, -1]",root
100,50,23,0.0,3,121,0.5442,"[{'group': 1, 'count': 51}, {'group': -1, 'count': 121}, {'group': 0, 'count': 126}]","[-1, 0, 0, -1, 0, -1, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, -1, 1, 0, -1, -1, 0, 0, -1, 0, -1, 0, 1, -1, 0, 0, 0, 0, 0, 0, -1, 1, -1, 0, -1, 1, -1, 0, -1, -1, 0, 0, 0, 1, 1, 1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1, 0, 0, -1, -1, -1, 0, -1, 0, -1, 0, 0, -1, -1, 1, 1, 0, -1, 0, -1, 0, 0, -1, 0, -1, 1, -1, 0, 1, 0, -1, 0, 0, 0, 0, -1, 1, 0, -1, 0, 0, 0, 0, -1, -1, 0, -1, 1, 0, 0, -1, 1, 0, 1, 0, -1, 1, 1, -1, 1, -1, 1, -1, -1, -1, 1, -1, -1, -1, -1, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0, -1, 1, 0, -1, 0, -1, -1, 0, -1, -1, -1, -1, -1, 0, -1, 0, 0, 0, 0, -1, 1, 0, -1, 1, 0, -1, 1, 1, 0, -1, 0, -1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, -1, -1, 1, -1, -1, -1, 1, -1, 1, 1, 1, 0, 1, 0, 1, 1, 0, -1, -1, 0, -1, -1, -1, 0, 0, 0, -1, 1, 0, 0, 1, 0, -1, 0, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0, 0, -1, 0, 0, 0, -1, 0, 1, 0, -1, -1, -1, 0, -1, 0, 1, 0, 0, -1, 1, 1, 1, -1, -1, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, -1, -1, 0, 1, 1, 1, 0, 0, -1, -1, 0, -1, 0, -1, -1, -1, 0, -1, -1, -1, -1, -1]",root
100,50,22,0.0,3,121,0.5442,"[{'group': 1, 'count': 51}, {'group': -1, 'count': 121}, {'group': 0, 'count': 126}]","[-1, 0, 0, -1, 0, -1, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, -1, 1, 0, -1, -1, 0, 0, -1, 0, -1, 0, 1, -1, 0, 0, 0, 0, 0, 0, -1, 1, -1, 0, -1, 1, -1, 0, -1, -1, 0, 0, 0, 1, 1, 1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1, 0, 0, -1, -1, -1, 0, -1, 0, -1, 0, 0, -1, -1, 1, 1, 0, -1, 0, -1, 0, 0, -1, 0, -1, 1, -1, 0, 1, 0, -1, 0, 0, 0, 0, -1, 1, 0, -1, 0, 0, 0, 0, -1, -1, 0, -1, 1, 0, 0, -1, 1, 0, 1, 0, -1, 1, 1, -1, 1, -1, 1, -1, -1, -1, 1, -1, -1, -1, -1, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0, -1, 1, 0, -1, 0, -1, -1, 0, -1, -1, -1, -1, -1, 0, -1, 0, 0, 0, 0, -1, 1, 0, -1, 1, 0, -1, 1, 1, 0, -1, 0, -1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, -1, -1, 1, -1, -1, -1, 1, -1, 1, 1, 1, 0, 1, 0, 1, 1, 0, -1, -1, 0, -1, -1, -1, 0, 0, 0, -1, 1, 0, 0, 1, 0, -1, 0, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0, 0, -1, 0, 0, 0, -1, 0, 1, 0, -1, -1, -1, 0, -1, 0, 1, 0, 0, -1, 1, 1, 1, -1, -1, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, -1, -1, 0, 1, 1, 1, 0, 0, -1, -1, 0, -1, 0, -1, -1, -1, 0, -1, -1, -1, -1, -1]",root
100,50,21,0.0,3,121,0.5442,"[{'group': 1, 'count': 51}, {'group': -1, 'count': 121}, {'group': 0, 'count': 126}]","[-1, 0, 0, -1, 0, -1, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, -1, 1, 0, -1, -1, 0, 0, -1, 0, -1, 0, 1, -1, 0, 0, 0, 0, 0, 0, -1, 1, -1, 0, -1, 1, -1, 0, -1, -1, 0, 0, 0, 1, 1, 1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1, 0, 0, -1, -1, -1, 0, -1, 0, -1, 0, 0, -1, -1, 1, 1, 0, -1, 0, -1, 0, 0, -1, 0, -1, 1, -1, 0, 1, 0, -1, 0, 0, 0, 0, -1, 1, 0, -1, 0, 0, 0, 0, -1, -1, 0, -1, 1, 0, 0, -1, 1, 0, 1, 0, -1, 1, 1, -1, 1, -1, 1, -1, -1, -1, 1, -1, -1, -1, -1, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0, -1, 1, 0, -1, 0, -1, -1, 0, -1, -1, -1, -1, -1, 0, -1, 0, 0, 0, 0, -1, 1, 0, -1, 1, 0, -1, 1, 1, 0, -1, 0, -1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, -1, -1, 1, -1, -1, -1, 1, -1, 1, 1, 1, 0, 1, 0, 1, 1, 0, -1, -1, 0, -1, -1, -1, 0, 0, 0, -1, 1, 0, 0, 1, 0, -1, 0, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0, 0, -1, 0, 0, 0, -1, 0, 1, 0, -1, -1, -1, 0, -1, 0, 1, 0, 0, -1, 1, 1, 1, -1, -1, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, -1, -1, 0, 1, 1, 1, 0, 0, -1, -1, 0, -1, 0, -1, -1, -1, 0, -1, -1, -1, -1, -1]",root
