Cluster,Parent,Group,NumPhrases,Key-phrases,NumDocs,DocIds,score,dimension,min_samples,min_cluster_size
2,root_-1,-1,79,"['urban point cloud', 'resolution multispectral data', 'pollutant concentration data', 'point cloud labelling', 'point cloud classification', 'optical data', 'natural disaster detection', 'multispectral data', 'LULC change detection', 'LiDAR point cloud', 'LiDAR data fusion', 'LiDAR data', 'LandUse data set', 'Landsat data stack', 'Landsat data', 'DEM data', 'damage detection', 'composite change detection', 'cloud siamese network', 'cloud omission error', 'cloud mask', 'cloud coverage', 'cloud classification', 'change detection analysis', 'change detection algorithm', 'change detection', 'area change detection', 'airborne LIDAR data', 'air quality data', 'wave signature', 'spectral information', 'small object', 'shape descriptor', 'segmentation approach', 'scene object', 'satellite image segmentation', 'Riegl Terrestrial laser', 'precision agriculture', 'object', 'natural disaster prediction', 'natural disaster evaluation', 'multitemporal satellite image', 'multispectral satellite image', 'multispectral image', 'many visual descriptor', 'LULC classification', 'LiDAR imagery', 'learning LU classification', 'LCLU classification', 'large earthquake', 'Landsat satellite imagery', 'Landsat imagery archive', 'Landsat imagery', 'Landsat image', 'land use dynamic', 'land expansion', 'image segmentation optimization', 'hydrologic risk', 'hierarchical farmland', 'fractal net evolution', 'flood loss assessment', 'fish swarm algorithm', 'expansion cell', 'Ensemble method', 'ensemble learning', 'ensemble classifier', 'dynamic land use', 'disaster risk management', 'disaster risk assessment', 'descriptor extraction', 'croplands', 'cellular automaton model', 'cellular automaton', 'cellular automata', 'appearance object', 'annual air pollution', 'airborne lidar', 'accelerated land use', 'abundant spectral signature']",64,"[9, 37, 72, 74, 89, 90, 93, 96, 113, 118, 119, 128, 129, 130, 137, 144, 165, 167, 169, 182, 186, 208, 230, 231, 236, 245, 254, 259, 260, 282, 283, 301, 312, 317, 327, 328, 330, 348, 374, 391, 393, 418, 427, 436, 443, 460, 462, 473, 475, 476, 478, 494, 496, 497, 525, 528, 547, 548, 557, 563, 572, 578, 590, 592]",0.9322,80,30,30
2,root_-1,0,91,"['vehicle detection', 'urban land prediction', 'urban feature extraction', 'urban change detection', 'urban area extraction', 'single vehicle extraction', 'shadow detection', 'road network detection', 'road infrastructure extraction', 'road edge detection', 'Road detection', 'Road centerline extraction', 'Precise object detection', 'object detection method', 'natural feature detection', 'multiscale rapid detection', 'light detection', 'landcover classification', 'land use evolution', 'land use classification', 'land use change', 'land price prediction', 'land cover classification', 'land cover change', 'land change science', 'land change model', 'industrial land recognition', 'future land use', 'future land management', 'future land change', 'fast building detection', 'edge detection', 'contour extraction', 'classification road extraction', 'centerline extraction method', 'building extraction method', 'building extraction accuracy', 'building extraction', 'building detection', 'building change detection', 'Automatic building extraction', 'automatic building detection', 'Accurate road extraction', 'USI map', 'use change modeling', 'urban expansion trend', 'unreinforced masonry building', 'unchanged data', 'transition rule mining', 'transition map', 'terrain character', 'Systematic data mining', 'system adaptation planning', 'spatial trend', 'site transformation', 'road system', 'predicted urban expansion', 'nonlinear feature space', 'new data fusion', 'natural image field', 'Multiscale road centerline', 'multiscale prediction', 'multiscale Gabor filter', 'multiscale feature', 'multiple feature space', 'mapping', 'map', 'integrated monitoring', 'integrated model', 'infrastructure classification framework', 'hierarchic feature representation', 'future urban extent', 'feature fusion', 'facing sustainability threat', 'extracted knowledge', 'environmental change', 'elevation model', 'elevation', 'ecosystem service', 'digital map', 'detected building', 'data fusion', 'cover classification', 'cover change analysis', 'complex map production', 'combinatory trend', 'change modeling', 'change map', 'building size prediction', 'building height', 'automatic mapping']",81,"[8, 9, 11, 16, 23, 37, 42, 46, 66, 72, 78, 87, 92, 93, 96, 106, 114, 118, 120, 128, 129, 137, 141, 153, 158, 161, 162, 171, 182, 225, 226, 230, 237, 259, 282, 288, 289, 303, 310, 316, 317, 328, 352, 361, 374, 378, 391, 405, 418, 420, 426, 427, 436, 443, 460, 463, 464, 469, 473, 476, 479, 494, 496, 507, 509, 515, 524, 525, 547, 553, 554, 557, 559, 563, 569, 570, 572, 578, 588, 589, 593]",0.9322,80,30,30
2,root_-1,1,39,"['RS image classification', 'OLI image classification', 'image classification task', 'image classification method', 'image classification approach', 'image classification', 'tree specie classification', 'specie classification', 'scene image classifier', 'scene classification task', 'residual network', 'object classification result', 'multilabel classification', 'highway unit network', 'convolutional neural network', 'convolutional network', 'convolution neural network', 'CNN classification', 'classification tree', 'basis function network', 'XGBoost algorithm', 'semantic representation', 'semantic net', 'semantic labelling', 'secondary task', 'regression tree', 'receptive field', 'new deep learning', 'meaningful semantic class', 'logic', 'labeled data', 'deep learning scheme', 'deep learning method', 'decision tree', 'CNNs parameter', 'CNN architecture', 'classify LiDAR point', 'boosted regression tree', 'attention']",46,"[16, 23, 37, 73, 87, 92, 100, 129, 137, 144, 162, 183, 188, 230, 231, 234, 254, 282, 285, 288, 301, 312, 314, 317, 320, 327, 331, 344, 378, 398, 436, 437, 462, 469, 475, 479, 507, 528, 531, 547, 548, 553, 570, 576, 588, 590]",0.9322,80,30,30
2,root_-1,2,35,"['spatial feature', 'volunteered geographic information', 'temporal information', 'spatiotemporal neighborhood feature', 'spatial transformation rule', 'spatial pattern', 'spatial modeling', 'spatial logistic regression', 'spatial characteristic', 'spatial attribute', 'spatial', 'location contextual information', 'information entropy', 'geospatial variable', 'geospatial application', 'geographic information', 'feature importance', 'contextual feature', 'time series', 'spatiotemporal uncertainty', 'Spatiotemporal modeling', 'significant accuracy', 'RMSE value', 'prediction error', 'overestimation', 'new GeoAI research', 'Logistic regression analysis', 'local contextual cue', 'learned uncertainty estimate', 'GIS modelling', 'GIS functionality', 'GIS approach', 'Geographic Information system', 'accurate prediction', 'accuracy']",32,"[6, 42, 46, 59, 100, 128, 182, 183, 193, 213, 225, 234, 237, 245, 283, 293, 299, 310, 316, 331, 393, 420, 444, 515, 524, 548, 553, 570, 582, 590, 593, 594]",0.9322,80,30,30
2,root_0,-1,5,"['hyperspectral image classification', 'hyperspectral system', 'hyperspectral reflectance', 'Hyperspectral image', 'hyperspectral data']",6,"[118, 162, 427, 437, 462, 531]",0.9257000000000001,15,5,10
2,root_0,0,50,"['satellite imagery', 'IKONOS satellite imagery', 'unlabeled overhead imagery', 'satellite image need', 'satellite image fusion', 'satellite image', 'resolution satellite image', 'resolution aerial imagery', 'remote sensing imagery', 'Pléiades satellite image', 'infrared imagery', 'aerial imagery', 'UAV image', 'street view image', 'Spark RDD image', 'single satellite', 'Sentinel image', 'satellite data', 'satellite big data', 'SAR image classification', 'SAR image', 'remote sensing image', 'image SR method', 'Copernicus mission satellite', 'aerial image dataset', 'aerial image', 'unmanned aerial vehicle', 'UAV photogrammetry', 'UAV datasets', 'synthetic aperture radar', 'supervoxels', 'subsampled orthophoto', 'SAR mapping', 'SAR feature', 'sar data', 'remote sensing', 'Planet database', 'high spatial resolution', 'high resolution earth', 'GEE publication', 'Earth Observation datasets', 'earth observation', 'Earth Engine platform', 'earth', 'drone', 'different street object', 'big geo data', 'big data', 'aerial orthophotos', 'aerial building dataset']",68,"[8, 9, 11, 46, 59, 66, 72, 73, 78, 90, 92, 93, 96, 106, 113, 120, 128, 135, 141, 144, 153, 158, 161, 162, 169, 171, 175, 183, 188, 193, 226, 230, 231, 234, 237, 252, 282, 285, 301, 303, 314, 317, 330, 333, 347, 361, 389, 393, 398, 405, 444, 458, 463, 464, 469, 473, 476, 479, 496, 507, 525, 528, 531, 548, 559, 565, 569, 590]",0.9257000000000001,15,5,10
2,root_0,1,10,"['training dataset', 'Sentinel datasets', 'large training dataset', 'large datasets', 'datasets', 'training pixel', 'test dataset', 'large annotated dataset', 'developed dataset', 'pixel level']",10,"[8, 74, 144, 285, 320, 331, 398, 469, 547, 552]",0.9257000000000001,15,5,10
2,root_1,-1,120,"['urban slum area', 'urban land use', 'urban land market', 'urban land cover', 'urban area', 'sustainable urban land', 'OSM urban area', 'optimal urban land', 'green urban area', 'complex urban area', 'urbanization rate', 'urban water type', 'urban water infrastructure', 'urban structure type', 'urban stormwater management', 'urban sprawl', 'urban neighborhood', 'urban hydrologic modelling', 'urban growth planning', 'urban growth map', 'urban growth', 'urban greenery information', 'urban environment', 'urban data', 'Urban Atlas land', 'truth land use', 'sustainable urbanization', 'sustainable urban planning', 'surface urban heat', 'smart urban planning', 'slum area', 'sensed urban data', 'residential land growth', 'residential land', 'Rapid urban growth', 'populated urban region', 'planning coastal area', 'planned urban zone', 'new urban growth', 'large urban scene', 'land use policy', 'land use master', 'land use class', 'land use category', 'land use', 'land parcel', 'land owner', 'land cover class', 'land consumption', 'land classification dataset', 'inefficient industrial land', 'digital urban data', 'complex urban study', 'catchment area', 'binary urban footprint', 'Athens area', 'annual urbanization', 'water body', 'Various graph measure', 'use planning', 'Urban population distribution', 'touristic development', 'Taliban regime', 'surface openness', 'stream water quality', 'storm water management', 'spatial heterogeneity', 'spatial distribution', 'spatial data quality', 'spatial data', 'socioeconomic inequality', 'smart city growth', 'smart city', 'small polish city', 'slum mapping', 'settlement pattern', 'sensed activity data', 'scene Biome dataset', 'sand consumption', 'roofs', 'roof superstructure classification', 'roof diaphragms', 'residential low impact', 'regional planning relies', 'Regional mapping', 'Population spatialization', 'population mapping', 'population forecasting', 'population density', 'populated emirate', 'perennial drainage', 'multivariate municipality data', 'monetary poverty', 'Lahore city', 'Interregional comparison', 'intermediate city', 'individual building', 'impervious surface', 'housing dispersal', 'Historical Cityscape', 'growth simulation', 'growth modeling', 'grey development', 'green roofs', 'green infrastructure', 'distribution map', 'development zone construction', 'conflict zone', 'common building typology', 'Coastal development', 'cluster mean', 'climate zone mapping', 'climate analysis', 'city worldwide', 'census tract', 'census population', 'census data', 'cadastral parcel layer', 'building footprint', 'bathymetry estimation']",87,"[6, 11, 42, 59, 66, 73, 74, 78, 87, 89, 90, 100, 114, 119, 130, 135, 137, 153, 161, 165, 167, 169, 171, 175, 182, 186, 190, 193, 208, 212, 213, 225, 230, 236, 245, 251, 254, 256, 259, 260, 283, 285, 299, 302, 303, 310, 312, 316, 317, 327, 328, 333, 344, 347, 348, 352, 361, 368, 405, 418, 420, 426, 452, 458, 460, 464, 469, 475, 476, 490, 509, 515, 531, 551, 552, 554, 557, 559, 565, 569, 570, 572, 578, 582, 588, 589, 590]",0.9748,40,30,14
2,root_1,0,33,"['shrubland coverage', 'sensed land cover', 'landcover map', 'land use mapping', 'land use map', 'land use datasets', 'land use data', 'land cover mapping', 'land cover extraction', 'land cover', 'greenery land cover', 'urban forest cover', 'natural land', 'landscape diversity', 'Land cover map', 'land boundary data', 'water demand modeling', 'water consumption data', 'vegetation specie mapping', 'vegetation', 'urban vegetation mapping', 'urban tree classification', 'tree', 'suitability index', 'nonroad area removing', 'material consumption analysis', 'Jaccard index', 'greenery auto extraction', 'green space analysis', 'forest', 'difference vegetation index', 'deciduous tree', 'area geospatial data']",36,"[72, 92, 120, 135, 141, 162, 167, 190, 208, 237, 252, 288, 289, 293, 301, 302, 312, 316, 320, 328, 330, 331, 333, 347, 374, 426, 437, 452, 458, 479, 497, 524, 551, 565, 570, 576]",0.9748,40,30,14
2,root_1,1,14,"['urbanization lead', 'urbanization', 'urban planning sector', 'urban planning model', 'urban planning decision', 'urban planning', 'urban transition rule', 'urban intelligent navigator', 'urban growth simulation', 'urban development', 'urban city modelling', 'effective urban policy', 'accurate urban mapping', 'Urbanization process']",43,"[59, 73, 87, 89, 106, 113, 118, 129, 130, 135, 158, 175, 186, 190, 193, 212, 245, 251, 254, 288, 293, 301, 302, 310, 314, 327, 330, 333, 352, 368, 391, 426, 436, 443, 463, 494, 497, 509, 528, 547, 563, 593, 594]",0.9748,40,30,14
