Cluster,Group,SubGroup,TitleWords,NumPhrases,Key-phrases,NumDocs,DocIds
3,-1,0,"['landscape', 'residential', 'urban']",35,"['urban segregation', 'urban poverty', 'residential segregation', 'residential plot', 'residential location choice', 'residential infill development', 'landscape ecology', 'landscape design', 'landscape conservation', 'environmental landscape attribute', 'digital landscape model', 'vulnerable population', 'vegetation cover', 'spatial justice', 'multidimensional livability', 'maternal mental health', 'market force', 'inequity', 'immigrant assimilation', 'housing supply', 'housing inequality', 'historical preservation', 'geographical accessibility model', 'GDP contribution', 'environmental evaluation', 'Electronic health', 'economic mobility', 'economic assessment', 'disaster risk', 'Deprived community', 'cultural ecosystem service', 'community life circle', 'clinic access', 'built environment factor', 'Brooklyn neighborhood']",23,"[7, 34, 65, 91, 95, 99, 126, 136, 140, 219, 262, 276, 323, 339, 401, 402, 413, 449, 470, 480, 483, 484, 567]"
3,-1,1,"['data', 'spatial', 'map']",27,"['spatial data', 'geospatial datasets', 'urban data', 'taxonomy mapping', 'spatial information system', 'Paris dataset', 'map', 'local spatial scale', 'LiDAR data', 'joint spatial score', 'historical topographic map', 'GPS data', 'google map platform', 'footprint data', 'urban population', 'semantic address matching', 'real estate search', 'POI conflation', 'neighborhood information', 'localization decision', 'GIS workflow', 'GIS visualisation', 'Geosilhouettes', 'geocoding', 'diagrammatic image', 'decadal historical pattern', 'address record']",23,"[15, 43, 126, 136, 140, 160, 164, 185, 197, 204, 263, 270, 286, 383, 401, 402, 413, 455, 480, 484, 513, 535, 567]"
3,-1,2,"['urban', 'street', 'network']",23,"['urban street network', 'visual urban scene', 'urban visual environment', 'urban place detection', 'urban morphology', 'urban morphological research', 'urban form indicator', 'urban form classification', 'urban development classification', 'traffic road network', 'street view image', 'street imagery', 'street functionality prediction', 'street context classification', 'relabel street', 'dense traffic network', 'Urban morphological feature', 'principal arterial road', 'parking lot pixel', 'morphological characteristic', 'georeferenced image', 'city feature extraction', 'architectural color icon']",21,"[95, 126, 147, 160, 163, 164, 185, 241, 270, 315, 397, 402, 413, 445, 482, 483, 513, 538, 567, 575, 577]"
3,-1,3,"['learning', 'deep', 'technique']",21,"['transfer learning technique', 'deep learning approach', 'deep learning algorithm', 'deep learning', 'machine learning approach', 'knowledge discovery technique', 'variable selection procedure', 'similarity analysis', 'ML algorithms', 'manifold alignment', 'knowledge discovery', 'intercity comparison', 'geographical cluster', 'decomposition method', 'convolutional neural network', 'convolutional autoencoder', 'CNN model', 'clustering', 'cluster dynamic analysis', 'city similarity measurement', 'autoencoder']",22,"[7, 95, 99, 107, 122, 126, 147, 160, 163, 185, 189, 241, 263, 270, 315, 318, 396, 445, 484, 535, 579, 591]"
3,-1,4,"['classification', 'neighborhood', 'semantic']",18,"['semantic image classification', 'zone classification approach', 'scene classification algorithms', 'scene classification', 'neighborhood space form', 'neighborhood average education', 'neighborhood', 'level semantic information', 'area intelligent classification', 'syntactic blueprint', 'survey', 'Starbucks coffee shop', 'slum', 'schema standardisation', 'rating', 'French neighbourhood', 'class', 'campus context']",16,"[34, 43, 147, 270, 286, 305, 318, 365, 383, 445, 455, 470, 482, 513, 538, 577]"
3,-1,5,"['image', 'satellite', 'imagery']",10,"['satellite imagery', 'satellite image', 'RGB satellite image', 'image interpretation', 'image', 'Flickr image', 'shape', 'scenic beauty', 'SAR ground object', 'nature photographs']",10,"[99, 180, 204, 219, 267, 290, 318, 402, 449, 455]"
3,-1,6,"['feature', 'generic', 'image']",3,"['generic image feature', 'feature descriptor', 'appropriate attribute feature']",3,"[482, 535, 538]"
3,0,0,"['urban', 'planning', 'development']",13,"['urban planning machine', 'urban planning', 'urban development potential', 'local urban planning', 'urban valuation estimation', 'urban study', 'urban management', 'urban design', 'hotel development', 'city development', 'infrastructure information', 'façade condition', 'building type information']",30,"[15, 34, 43, 65, 91, 95, 122, 136, 140, 163, 164, 180, 185, 241, 263, 267, 286, 305, 315, 318, 339, 365, 397, 445, 449, 482, 484, 535, 567, 591]"
3,0,1,"['urban', 'environment', 'city']",12,"['urban environment', 'large urban environment', 'complex urban environment', 'urban sprawl', 'urban space', 'urban phenomenon', 'urban ecosystem', 'urban attribute', 'Safe city', 'city', 'public transit', 'perceived walkability']",12,"[7, 122, 197, 276, 290, 323, 396, 401, 445, 575, 577, 591]"
3,0,2,"['urban', 'policy', 'making']",11,"['urban policy', 'urban decision making', 'policy making', 'urban computing', 'world airport', 'smart city', 'Shanghai city', 'Rational planning', 'edge computing', 'Chinese author', 'aviation case study']",10,"[15, 107, 189, 262, 267, 276, 323, 396, 401, 470]"
