Cluster,Parent,Group,NumPhrases,Key-phrases,NumDocs,DocIds,score,dimension,min_samples,min_cluster_size
3,root_-1_-1,-1,31,"['semantic image classification', 'satellite imagery', 'satellite image', 'RGB satellite image', 'zone classification approach', 'scene classification algorithms', 'scene classification', 'image interpretation', 'image', 'generic image feature', 'Flickr image', 'area intelligent classification', 'syntactic blueprint', 'survey', 'Starbucks coffee shop', 'slum', 'shape', 'schema standardisation', 'scenic beauty', 'SAR ground object', 'rating', 'neighborhood space form', 'neighborhood average education', 'neighborhood', 'nature photographs', 'level semantic information', 'French neighbourhood', 'feature descriptor', 'class', 'campus context', 'appropriate attribute feature']",25,"[34, 43, 99, 147, 180, 204, 219, 267, 270, 286, 290, 305, 318, 365, 383, 402, 445, 449, 455, 470, 482, 513, 535, 538, 577]",0.9719000000000001,40,15,21
3,root_-1_-1,0,23,"['urban street network', 'urban form classification', 'urban development classification', 'street context classification', 'visual urban scene', 'urban visual environment', 'urban place detection', 'urban morphology', 'urban morphological research', 'urban form indicator', 'street view image', 'street imagery', 'street functionality prediction', 'relabel street', 'Urban morphological feature', 'traffic road network', 'principal arterial road', 'parking lot pixel', 'morphological characteristic', 'georeferenced image', 'dense traffic network', 'city feature extraction', 'architectural color icon']",21,"[95, 126, 147, 160, 163, 164, 185, 241, 270, 315, 397, 402, 413, 445, 482, 483, 513, 538, 567, 575, 577]",0.9719000000000001,40,15,21
3,root_-1_-1,1,21,"['transfer learning technique', 'deep learning approach', 'deep learning algorithm', 'deep learning', 'machine learning approach', 'knowledge discovery technique', 'variable selection procedure', 'similarity analysis', 'ML algorithms', 'manifold alignment', 'knowledge discovery', 'intercity comparison', 'geographical cluster', 'decomposition method', 'convolutional neural network', 'convolutional autoencoder', 'CNN model', 'clustering', 'cluster dynamic analysis', 'city similarity measurement', 'autoencoder']",22,"[7, 95, 99, 107, 122, 126, 147, 160, 163, 185, 189, 241, 263, 270, 315, 318, 396, 445, 484, 535, 579, 591]",0.9719000000000001,40,15,21
3,root_-1_0,-1,35,"['urban segregation', 'urban poverty', 'residential segregation', 'residential plot', 'residential location choice', 'residential infill development', 'landscape ecology', 'landscape design', 'landscape conservation', 'environmental landscape attribute', 'digital landscape model', 'vulnerable population', 'vegetation cover', 'spatial justice', 'multidimensional livability', 'maternal mental health', 'market force', 'inequity', 'immigrant assimilation', 'housing supply', 'housing inequality', 'historical preservation', 'geographical accessibility model', 'GDP contribution', 'environmental evaluation', 'Electronic health', 'economic mobility', 'economic assessment', 'disaster risk', 'Deprived community', 'cultural ecosystem service', 'community life circle', 'clinic access', 'built environment factor', 'Brooklyn neighborhood']",23,"[7, 34, 65, 91, 95, 99, 126, 136, 140, 219, 262, 276, 323, 339, 401, 402, 413, 449, 470, 480, 483, 484, 567]",-1.0,25,50,30
3,root_0_-1,-1,10,"['land use type', 'land use mapping', 'land use information', 'land use analysis', 'sustainable urban planning', 'sustainable urban development', 'sustainable city', 'Sustainable development scale', 'detailed property information', 'deprivation mapping']",10,"[7, 91, 164, 197, 318, 339, 396, 413, 513, 538]",0.9666,30,5,10
3,root_0_-1,0,10,"['open urban area', 'urban functional area', 'open space area', 'usable floor area', 'urban park access', 'urban functional zone', 'open map', 'rooftop footprint', 'Pampulha region', 'Beppu census ward']",10,"[189, 197, 219, 290, 339, 383, 396, 401, 483, 535]",0.9666,30,5,10
3,root_0_-1,1,10,"['urban building', 'urban space generation', 'Outdoor advertising', 'detected advertising object', 'building function', 'building', 'sidewalk design', 'modern city planning', 'manufacturing industry', 'company creation']",7,"[147, 160, 204, 397, 402, 480, 575]",0.9666,30,5,10
3,root_0_-1,2,11,"['urban policy', 'urban decision making', 'policy making', 'urban computing', 'world airport', 'smart city', 'Shanghai city', 'Rational planning', 'edge computing', 'Chinese author', 'aviation case study']",10,"[15, 107, 189, 262, 267, 276, 323, 396, 401, 470]",0.9666,30,5,10
3,root_1_0,0,16,"['machine learning capability', 'machine learning', 'extreme learning machine', 'XGBoost classification', 'support vector machine', 'Decision tree classification', 'consistent classification result', 'classification accuracy', 'trained SVM classifier', 'shap tree explainer', 'random forest classifier', 'random forest', 'prediction', 'overall accuracy', 'decision tree method', 'decision support system']",23,"[65, 91, 107, 122, 140, 160, 180, 189, 204, 219, 262, 267, 305, 365, 383, 397, 480, 482, 483, 538, 567, 575, 579]",0.9656,10,5,16
3,root_1_0,1,20,"['video surveillance system', 'various classification', 'several classifier', 'object classification', 'multiple classifier', 'manual classification', 'local classification', 'human video data', 'geodemographic classification development', 'classification model', 'Visual gaze analysis', 'social metadata', 'social detection', 'many application', 'logistic regression', 'Hough transform', 'computer vision', 'cognitive perception', 'autonomous humanoid robot', 'Automatic identification']",18,"[15, 99, 107, 136, 164, 180, 185, 197, 276, 286, 290, 305, 365, 383, 449, 455, 575, 579]",0.9656,10,5,16
