Cluster,DocId,Cited by,Title,Author Keywords,Abstract,Year,Source title,Authors,DOI,Document Type,x,y
1,184,,"AVI 2020 Workshop on Road Mapping Infrastructures for Artificial Intelligence Supporting Advanced Visual Big Data Analysis, AVI-BDA 2020 and 2nd Italian Workshop on Visualization and Visual Analytics, ITAVIS 2020",,The proceedings contain 14 papers. The special focus in this conference is on Road Mapping Infrastructures for Artificial Intelligence Supporting Advanced Visual Big Data Analysis. The topics include: An Experience on Cooperative Development of Interactive Visualizations for the Analysis of Urban Data; Explaining AI Through Critical Reflection Artifacts: On the Role of Communication Design Within XAI; Information Visualization and Visual Analytics at IVU Lab; visual Analytics for Financial Crime Detection at the University of Perugia; a Visual Analytics Technique to Compare the Performance of Predictive Models; affective Analytics and Visualization for Ensemble Event-Driven Stock Market Forecasting; understanding the Role of (Advanced) Machine Learning in Metagenomic Workflows; intelligent Advanced User Interfaces for Monitoring Mental Health Wellbeing; Towards Explainable Artificial Intelligence and Explanation User Interfaces to Open the ‘Black Box’ of Automated ECG Interpretation; recognition and Visualization of Facial Expression and Emotion in Healthcare; machine Learning in Healthcare: Breast Cancer and Diabetes Cases; AI2VIS4BigData: Qualitative Evaluation of an AI-Based Big Data Analysis and Visualization Reference Model.,2021,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),[No author name available],,Conference Review,7.5833830833,5.3538498878
1,291,,"5th EAI International Smart City 360 Summit, 2019",,The proceedings contain 38 papers. The special focus in this conference is on Smart City 360 Summit. The topics include: On the use of smartphone sensors for developing advanced driver assistance systems; characterizing air quality in urban areas with mobile measurement and high resolution open spatial data: Comparison of different machine-learning approaches using a visual interface; neuralio: Indoor outdoor detection via multimodal sensor data fusion on smartphones; a low-cost video-based solution for city-wide bicycle counting in starter cities; assessing urban critical infrastructure using online gis and ann: An empirical study of bucharest city (romania); a unified reference model for smart cities; a review of measures to evaluate smart sustainable cities; well-being indexes - privileged tools for smart cities governance; implementation of gdpr: Learning with a local administration case study; megasense: 5g and ai for air quality monitoring; a paired conceptual framework integrating information systems research and democracy theory; an investigation of citizen’s e-participation within oman’s police department facebook page; cognitive systems for urban planning: A literature review; analysis of building management systems to ensure optimal working environment; context-based analysis of urban air quality using an opportunistic mobile sensor network; real-time monitoring of electric motors for detection of operating anomalies and predictive maintenance; a cost-effective real-time monitoring system for water quality management based on internet of things; person tracking in heavy industry environments with camera images; yet a smarter irrigation system; robot creativity: Humanlike behaviour in the robot-robot interaction; potentialities of the internet of things in the health area in brazil.,2020,"Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering, LNICST",[No author name available],,Conference Review,7.5480847359,5.3750152588
1,306,,"2nd Ibero-American Congress of Smart Cities, ICSC-CITIES 2019",,"The proceedings contain 22 papers. The special focus in this conference is on Smart Cities. The topics include: Control of a Bidirectional Single-Phase Grid Interface for Electric Vehicles; multiobjective Household Energy Planning Using Evolutionary Algorithms; noise and Ozone Continuous Monitoring in an Industrial Urban Area of Northeastern Portugal; energy Storage Systems for Power Supply of Ultrahigh Speed Hyperloop Trains; designing a Backbone Trunk for the Public Transportation Network in Montevideo, Uruguay; bus Stops as a Tool for Increasing Social Inclusiveness in Smart Cities; urban Data Analysis for the Public Transportation System of Montevideo, Uruguay; Monthly Characterization of the Generation of Photovoltaic Arrays. Microgrid Case CEDER, Soria, Spain; Electric Microgrid in Smart Cities: CEDER-CIEMAT a Case Study; potential for Thermal Water Desalination Using Microgrid and Solar Thermal Field Energy Surpluses in an Isolated Community; short Term Load Forecasting of Industrial Electricity Using Machine Learning; implementation of a Smart Microgrid in a Small Museum: The Silk House; general Purpose I-V Tester Developed to Measure a Wide Range of Photovoltaic Systems; segmentation of Thermography Image of Solar Cells and Panels; preface; assessing the Environmental Impact of Car Restrictions Policies: Madrid Central Case; IPN Sustainability Program: Solar Photovoltaic Electricity Generation and Consumption Reduction; sustainable Mobility in the Public Transportation of Montevideo, Uruguay; loRa-Based IoT Data Monitoring and Collecting Platform; a Hybrid Energy Storage System for Renewable-Based Power Plants.",2020,Communications in Computer and Information Science,[No author name available],,Conference Review,7.5906848907,5.3572850227
1,309,,"4th Future Technologies Conference, FTC 2019",,"The proceedings contain 73 papers. The special focus in this conference is on Future Technologies. The topics include: Efficient Bayesian Expert Models for Fever in Neutropenia and Fever in Neutropenia with Bacteremia; preventing Overfitting by Training Derivatives; machine Learning for the Identification and Classification of Key Phrases from Clinical Documents in Spanish; automatic Grasping Using Tactile Sensing and Deep Calibration; an Emotion-Based Search Engine; internet Memes: A Novel Approach to Distinguish Humans and Bots for Authentication; estimating the Ground Temperature Around Energy Piles Using Artificial Neural Networks; emerging Technology of Man’s Life-Long Partnership with Artificial Intelligence; making Food with the Mind: Integrating Brain-Computer Interface and 3D Food Fabrication; AI Embedded Transparent Health and Medicine System; neuroscience of Creativity in Human Computer Interaction; optimal Mapping Function for Predictions of the Subjective Quality Evaluation Using Artificial Intelligence; negative Log Likelihood Ratio Loss for Deep Neural Network Classification; when Inclusion Means Smart City: Urban Planning Against Poverty; AntiOD: A Smart City Initiative to Fight the Opioid Crisis; common Data Format in Visual Assembling Guidance Using Augmented Reality; determining a Framework for the Generation and Evaluation of Ambient Intelligent Agent System Designs; virtual Reality Rendered Video Precognition with Deep Learning for Crowd Management; Food, Energy and Water (FEW) Nexus Modeling Framework; End-to-End Drive By-Wire PID Lateral Control of an Autonomous Vehicle; image Segmentation Based on Cumulative Residual Entropy; cryptography in Quantum Computing; a Stealth Migration Approach to Moving Target Defense in Cloud Computing; low Power High Performance Computing on Arm System-on-Chip in Astrophysics.",2020,Advances in Intelligent Systems and Computing,[No author name available],,Conference Review,7.5693101883,5.3572416306
1,394,,"15th European Conference on Ambient Intelligence, AmI 2019",,"The proceedings contain 30 papers. The special focus in this conference is on Ambient Intelligence. The topics include: Enabling machine learning across heterogeneous sensor networks with graph autoencoders; development of an acoustically adaptive modular system for near real-time clarity-enhancement; Experiences from using lora and IEEE 802.15.4 for IoT-enabled classrooms; adaptive service selection for enabling the mobility of autonomous vehicles; discovering user location semantics using mobile notification handling behaviour; data-driven intrusion detection for ambient intelligence; spoken language identification using convNets; Indoor air quality and wellbeing - Enabling awareness and sensitivity with ambient IOT displays; ATHsENSe: An experiment in translating urban data to multisensory immersive artistic experiences in public space; power efficient clock synchronization in bluetooth-based mesh networks; characterization of individual mobility for non-routine scenarios from crowd sensing and clustered data; a flexible and scalable architecture for human-robot interaction; toward supporting food journaling using air quality data mining and a social robot; viewing experience of augmented reality objects as ambient media - A comparison of multimedia devices; ranking robot-assisted surgery skills using kinematic sensors; UAQE: Urban air quality evaluator; enhancing an eco-driving gamification platform through wearable and vehicle sensor data integration; a distributed multi-agent system (mas) application for continuous and integrated big data processing; human activities recognition using accelerometer and gyroscope; towards habit recognition in smart homes for people with dementia; classifying teachers’ self-reported productivity, stress and indoor environmental quality using environmental sensors; Ambient explanations: ambient intelligence and explainable AI; user requirements for the design of smart homes: dimensions and goals.",2019,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),[No author name available],,Conference Review,7.5669002533,5.3621497154
1,403,,"18th International Conference on Computer-Aided Architectural Design Futures, CAAD Futures 2019",,The proceedings contain 34 papers. The special focus in this conference is on Computer-Aided Architectural Design Futures. The topics include: Oriole: A Parametric Solution for Animation-Based Robotic Motion Design; a Method of Mesh Simplification for Drone 3D Modeling with Architectural Feature Extraction; citizen Visual Search Engine: Detection and Curation of Urban Objects; computing and Visualizing Taxi Cab Dynamics as Proxies for Autonomous Mobility on Demand Systems: The Case of the Chicago Taxi Cab System; an Ecology of Conflicts: Using Network Analytics to Explore the Data of Building Design; high-Rise Building Group Morphology Generation Approach Based on Wind Environmental Performance; encoding Design Process Using Interactive Data Visualization; Examining Potential Socio-economic Factors that Affect Machine Learning Research in the AEC Industry; investigating the Social Impacts of High-Density Neighbourhoods Through Spatial Analysis; environmental Performance-Driven Urban Design: Parametric Design Method for the Integration of Daylight and Urban Comfort Analysis in Cold Climates; joint Parametric Modeling of Buildings and Crowds for Human-Centric Simulation and Analysis; the Social Life of Small Urban Spaces 2.0: Three Experiments in Computational Urban Studies; visualization of Occupant Behavior in an Open Academic Space Through Image Analysis; pneumatic Origami Joints: A 3D Printed Flexible Joint; robot-Aided Fabrication of Light-Weight Structures with Sheet Metal Expansion; soft Additive Fabrication Processes: Material Indeterminacy in 3D Printing; the Effect of Hygroscopic Design Parameters on the Programmability of Laminated Wood Composites for Adaptive Façades; tooling Cardboard for Smart Reuse: A Digital and Analog Workflow for Upcycling Waste Corrugated Cardboard as a Building Material.,2019,Communications in Computer and Information Science,[No author name available],,Conference Review,7.5641222,5.3659858704
1,419,,ACM International Conference Proceeding Series,,The proceedings contain 66 papers. The topics discussed include: norm-based enterprise agent intelligence design; application of sparse auto-encoder in handwritten digit recognition; a texture analysis method based on statistical contourlet coefficient applied to the classification of pancreatic cancer and normal pancreas; study on the wind induced response in along wind of the high-rise building; machine learning hyperparameter fine tuning service on dynamic cloud resource allocation system – taking heart sounds as an example; numerical simulation on air-decking charge in the fragmentation of concrete; and considerations of the paradigms of urban design teaching application about big data.,2018,ACM International Conference Proceeding Series,[No author name available],,Conference Review,7.5826854705999995,5.3495082855
1,432,,"Proceedings of the 1st ACM SIGSPATIAL International Workshop on Advances in Resilient and Intelligent Cities, ARIC 2018",,"The proceedings contain 8 papers. The topics discussed include: multiple evaluation in future population distribution for sustainable city; detecting street signs in cities based on object recognition with machine learning and GIS spatial analysis; D-record: disaster response and relief coordination pipeline; analysis, integration and visualization of urban data from multiple heterogeneous sources; SCOUTS: a smart community centric urban heat monitoring framework; real-time traffic light detection from videos with inertial sensor fusion; and an integrated visual analytics framework for spatiotemporal data.",2018,"Proceedings of the 1st ACM SIGSPATIAL International Workshop on Advances in Resilient and Intelligent Cities, ARIC 2018",[No author name available],,Conference Review,7.611872673,5.3490414619
1,501,,"ESANN 2017 - Proceedings, 25th European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning",,"The proceedings contain 98 papers. The topics discussed include: environmental signal processing: new trends and applications; biomedical data analysis in translational research: integration of expert knowledge and interpretable models; processing, mining and visualizing massive urban data; algorithmic challenges in big data analytics; distance metric learning: a two-phase approach; learning null space projections fast; a multi-criteria meta-learning method to select under-sampling algorithms for imbalanced datasets; and a novel principle for causal inference in data with small error variance.",2017,"ESANN 2017 - Proceedings, 25th European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning",[No author name available],,Conference Review,7.6117582321,5.3467350006
1,510,,"1st Asia-Pacific Web and Web-Age Information Management Joint Conference on Web and Big Data, APWeb-WAIM 2017 held in Conjuction with the International Workshop on Mobile Web Data Analytics, MWDA 2017, International Workshop on Hot Topics in Big Spatial Data and Urban Computing, HotSpatial 2017, International Workshop on Graph Data Management and Analysis, GDMA 2017, 2nd International Workshop on Data Driven Crowdsourcing, DDC 2017, 2nd International Workshop on Spatio-temporal Data Management and Analytics, SDMA 2017 and International Workshop on Mobility Analytics from Spatial and Social Data, MASS 2017",,The proceedings contain 25 papers. The special focus in this conference is on Web and Web-Age Information Management. The topics include: Smooth representation clustering based on kernelized random walks; a joint model for water scarcity evaluation; efficient stance detection with latent feature; an adversarial machine learning model against android malware evasion attacks; word similarity computation with extreme-similar method; using jaccard distance measure for unsupervised activity recognition with Smartphone accelerometers; speech emotion recognition using multiple classifiers; intelligent taxi dispatching based on improved artificial fish swarm algorithm; correction of telecom localization errors by context knowledge; inferring unmet human mobility demand with multi-source urban data; graph summarization based on attribute-connected network; timely detection of temporal relations in RDF stream processing scenario; taxi call prediction for online taxicab platforms; automatic text generation via text extraction based on submodular; collaborative heterogeneous information embedding for recommender systems and comparative research for social recommendations on VK.,2017,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),[No author name available],,Conference Review,7.5748705864,5.3578042984
