iteration,cluster,score,count,doc_ids,group
1,1,0.9882780125,16,"[184, 291, 306, 309, 394, 403, 419, 432, 501, 510, 532, 540, 543, 586, 587, 596]",0
1,2,0.8762496390000001,21,"[39, 44, 56, 60, 79, 115, 119, 201, 215, 216, 222, 228, 229, 247, 371, 372, 431, 453, 454, 456, 515]",0
1,3,0.7421682221,38,"[4, 31, 33, 48, 49, 52, 77, 116, 154, 170, 196, 206, 244, 269, 280, 313, 325, 340, 341, 367, 376, 381, 397, 401, 416, 429, 445, 449, 455, 477, 488, 489, 492, 523, 529, 534, 575, 595]",0
1,4,0.6920690879,31,"[17, 57, 90, 99, 100, 102, 109, 114, 123, 130, 182, 186, 212, 238, 239, 245, 251, 256, 260, 293, 310, 339, 347, 348, 350, 383, 421, 426, 436, 521, 570]",0
1,5,0.5128298402,31,"[85, 125, 139, 148, 152, 160, 179, 192, 194, 202, 243, 266, 272, 294, 343, 387, 396, 415, 434, 438, 440, 487, 493, 502, 504, 527, 550, 556, 584, 591, 593]",0
2,6,0.8806417803000001,22,"[62, 104, 127, 233, 281, 296, 326, 337, 358, 373, 395, 410, 425, 459, 491, 516, 522, 536, 541, 542, 571, 574]",1
2,7,0.7690388728,20,"[63, 155, 209, 220, 261, 300, 307, 334, 346, 356, 359, 422, 435, 439, 450, 461, 499, 519, 526, 597]",1
2,8,-0.2333088884,20,"[30, 38, 110, 134, 138, 143, 240, 249, 273, 298, 304, 321, 355, 370, 392, 407, 423, 433, 530, 555]",1
2,9,0.9275002153,30,"[59, 72, 82, 92, 120, 171, 208, 232, 252, 283, 303, 316, 317, 318, 331, 374, 380, 391, 458, 464, 475, 497, 551, 565, 569, 572, 576, 578, 588, 590]",2
2,10,0.8374301382,38,"[9, 16, 46, 87, 89, 106, 132, 137, 141, 161, 165, 183, 188, 226, 234, 236, 259, 289, 330, 378, 389, 398, 418, 460, 462, 463, 469, 473, 478, 496, 507, 525, 528, 547, 548, 557, 563, 592]",2
2,11,-0.5106257243,39,"[8, 23, 37, 66, 73, 74, 93, 96, 118, 129, 135, 144, 153, 162, 169, 204, 230, 231, 237, 282, 301, 302, 312, 314, 320, 327, 393, 405, 427, 437, 443, 444, 452, 476, 479, 490, 531, 559, 567]",2
2,12,0.8370102135,14,"[3, 22, 43, 69, 185, 258, 262, 263, 274, 311, 353, 362, 364, 388]",3
2,13,0.8360575403,16,"[13, 145, 146, 151, 264, 319, 354, 360, 384, 451, 467, 468, 485, 545, 546, 560]",3
3,14,0.9089496096,14,"[25, 112, 159, 176, 190, 198, 217, 248, 328, 329, 351, 420, 514, 553]",3
3,15,0.3621664341,36,"[126, 147, 150, 164, 195, 200, 211, 214, 224, 242, 267, 276, 287, 297, 308, 336, 390, 402, 404, 408, 413, 414, 417, 441, 457, 465, 474, 483, 484, 495, 505, 511, 533, 535, 544, 554]",3
4,16,0.7177782711,10,"[1, 7, 65, 103, 299, 365, 366, 430, 513, 562]",3
4,17,0.2938229714,11,"[28, 121, 172, 271, 290, 305, 344, 406, 482, 538, 594]",3
5,18,0.6393176176,11,"[98, 149, 284, 385, 466, 471, 518, 568, 573, 579, 583]",3
5,19,0.4049834782,21,"[45, 88, 122, 136, 177, 180, 189, 219, 227, 270, 324, 345, 368, 375, 412, 470, 472, 486, 508, 509, 520]",3
6,20,0.5172670416,11,"[5, 19, 26, 50, 94, 105, 292, 409, 447, 500, 512]",3
6,21,0.3754396285,14,"[6, 55, 58, 67, 140, 193, 241, 277, 286, 315, 369, 503, 582, 585]",3
6,22,0.3090495755,13,"[20, 53, 95, 128, 205, 207, 275, 285, 288, 333, 352, 379, 561]",3
7,23,0.8542322280000001,11,"[32, 111, 156, 221, 246, 278, 279, 400, 446, 448, 506]",3
7,24,0.16157773420000002,31,"[10, 15, 18, 34, 40, 75, 91, 108, 117, 142, 158, 166, 173, 178, 181, 191, 199, 203, 223, 250, 255, 322, 332, 338, 349, 399, 411, 428, 498, 517, 537]",3
8,25,0.39693781910000003,11,"[2, 29, 35, 76, 163, 174, 197, 210, 323, 357, 577]",3
8,26,0.1441628181,26,"[11, 21, 24, 27, 36, 41, 81, 101, 113, 167, 175, 213, 225, 253, 254, 257, 265, 361, 424, 442, 480, 494, 524, 552, 564, 589]",3
8,27,-0.0590808082,37,"[12, 14, 42, 47, 51, 54, 61, 64, 68, 70, 71, 78, 80, 83, 84, 86, 97, 107, 124, 131, 133, 157, 168, 218, 235, 268, 295, 335, 363, 377, 382, 386, 481, 558, 566, 580, 581]",3
