0,1
proceeding contain,{1}
special focus,"{1, 22}"
topic include,{1}
visual analytics,"{1, 3, 13, 6}"
crime detection,{1}
qualitative evaluation,{1}
smartphone sensor,{1}
advanced driver,{1}
driver assistance,{1}
assistance system,{1}
air quality,"{1, 2, 4, 5, 9, 20, 24, 27}"
urban area,"{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27}"
mobile measurement,"{1, 2, 20}"
high resolution,"{1, 3, 4, 9, 10, 11, 14, 19, 20, 21, 25}"
spatial data,"{1, 3, 11, 15, 20, 21, 26}"
visual interface,"{1, 20}"
multimodal sensor,{1}
sensor data,"{1, 2, 6, 10, 13, 15, 18, 20, 24}"
data fusion,"{1, 10, 11}"
bicycle counting,{1}
starter city,{1}
critical infrastructure,{1}
online gis,{1}
empirical study,"{1, 2, 10}"
unified reference,{1}
reference model,{1}
smart city,"{1, 4, 5, 6, 7, 8, 12, 13, 15, 23, 25, 27}"
sustainable city,"{1, 3, 4, 5, 6, 12, 15, 27}"
privileged tool,{1}
city governance,"{1, 5, 15}"
local administration,{1}
administration case,{1}
case study,"{1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 17, 21, 22, 24, 25, 26, 27}"
quality monitoring,"{1, 20}"
conceptual framework,{1}
information system,"{1, 4, 5, 9, 10, 11, 13, 14, 15, 17, 20, 22, 24, 25}"
system research,{1}
democracy theory,{1}
police department,"{24, 1}"
department facebook,{1}
facebook page,{1}
cognitive system,{1}
urban planning,"{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27}"
literature review,"{1, 5, 13, 17, 24}"
building management,{1}
management system,"{1, 15, 7}"
urban air,"{1, 2, 4, 20}"
opportunistic mobile,{1}
mobile sensor,"{1, 2, 15}"
sensor network,"{1, 5, 13, 15, 25, 27}"
electric motor,{1}
operating anomaly,{1}
predictive maintenance,{1}
monitoring system,"{1, 14}"
water quality,"{1, 2, 11, 9}"
quality management,{1}
heavy industry,{1}
industry environment,{1}
camera image,{1}
smarter irrigation,{1}
irrigation system,{1}
humanlike behaviour,{1}
health area,{1}
energy storage,{1}
small museum,{1}
sustainable mobility,{1}
internet meme,{1}
autonomous vehicle,"{1, 13}"
european conference,{1}
enabling machine,{1}
heterogeneous sensor,{1}
graph autoencoders,{1}
adaptive modular,{1}
modular system,{1}
adaptive service,{1}
service selection,{1}
user location,{1}
location semantics,"{1, 21}"
mobile notification,{1}
intrusion detection,"{24, 1}"
ambient intelligence,{1}
language identification,{1}
indoor air,"{1, 20}"
iot display,{1}
urban data,"{1, 3, 4, 5, 6, 7, 8, 10, 12, 15, 16, 17, 19, 21, 22, 24, 25, 27}"
artistic experience,{1}
public space,"{1, 3, 6, 15}"
power efficient,{1}
efficient clock,{1}
clock synchronization,{1}
mesh network,{1}
individual mobility,{1}
crowd sensing,{1}
scalable architecture,{1}
quality data,"{1, 9}"
data mining,"{1, 3, 5, 6, 8, 9, 13, 15, 16, 19, 22, 27}"
social robot,{1}
augmented reality,"{1, 10}"
ambient medium,{1}
multimedia device,{1}
surgery skill,{1}
kinematic sensor,{1}
quality evaluator,{1}
gamification platform,{1}
vehicle sensor,{1}
data integration,"{24, 1, 22}"
big data,"{1, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 15, 17, 19, 22, 24, 25, 27}"
data processing,"{1, 11, 15, 22, 24, 27}"
human activity,"{1, 6, 9, 11, 12, 14, 15, 16, 17, 20, 26, 27}"
activity recognition,{1}
smart home,"{1, 15}"
environmental quality,"{1, 4, 9, 17}"
environmental sensor,"{1, 3}"
ambient explanation,{1}
user requirement,{1}
enterprise agent,{1}
agent intelligence,{1}
intelligence design,{1}
digit recognition,{1}
texture analysis,"{1, 9}"
analysis method,"{1, 10, 5, 22}"
statistical contourlet,{1}
contourlet coefficient,{1}
pancreatic cancer,{1}
normal pancreas,{1}
induced response,{1}
along wind,{1}
