term,freq,range,score,doc_ids
proceeding contain,16,16,32,"[184, 291, 306, 309, 394, 403, 419, 432, 501, 510, 532, 540, 543, 586, 587, 596]"
special focus,10,10,20,"[184, 291, 306, 309, 394, 403, 510, 543, 587, 596]"
smart city,7,4,11,"[291, 532, 540, 543]"
urban data,6,5,11,"[394, 432, 501, 510, 543]"
machine learning,5,5,10,"[419, 432, 532, 540, 587]"
urban design,5,5,10,"[419, 532, 540, 586, 587]"
air quality,6,2,8,"[291, 394]"
management system,4,4,8,"[291, 586, 587, 596]"
visual analytics,3,3,6,"[184, 432, 543]"
sensor data,3,3,6,"[291, 394, 532]"
information system,3,3,6,"[291, 540, 596]"
big data,3,3,6,"[394, 419, 501]"
case study,3,2,5,"[291, 587]"
data mining,3,2,5,"[394, 543]"
control system,3,2,5,"[586, 587]"
sustainable city,2,2,4,"[291, 432]"
urban planning,2,2,4,"[291, 596]"
urban air,2,2,4,"[291, 394]"
sensor network,2,2,4,"[291, 394]"
autonomous vehicle,2,2,4,"[309, 394]"
european conference,2,2,4,"[394, 543]"
activity recognition,2,2,4,"[394, 510]"
recommender system,2,2,4,"[510, 543]"
interactive machine,2,2,4,"[532, 540]"
design problem,2,2,4,"[532, 540]"
city initiative,2,2,4,"[532, 540]"
time series,3,1,4,[543]
text collection,2,2,4,"[543, 596]"
ambient intelligence,2,1,3,[394]
smart home,2,1,3,[394]
social medium,2,1,3,[543]
complex material,2,1,3,[586]
public transit,2,1,3,[587]
transportation infrastructure,2,1,3,[587]
economic impact,2,1,3,[587]
index structure,2,1,3,[596]
topic include,1,1,2,[184]
crime detection,1,1,2,[184]
qualitative evaluation,1,1,2,[184]
smartphone sensor,1,1,2,[291]
advanced driver,1,1,2,[291]
driver assistance,1,1,2,[291]
assistance system,1,1,2,[291]
urban area,1,1,2,[291]
mobile measurement,1,1,2,[291]
high resolution,1,1,2,[291]
spatial data,1,1,2,[291]
visual interface,1,1,2,[291]
multimodal sensor,1,1,2,[291]
data fusion,1,1,2,[291]
bicycle counting,1,1,2,[291]
starter city,1,1,2,[291]
critical infrastructure,1,1,2,[291]
online gis,1,1,2,[291]
empirical study,1,1,2,[291]
unified reference,1,1,2,[291]
reference model,1,1,2,[291]
privileged tool,1,1,2,[291]
city governance,1,1,2,[291]
local administration,1,1,2,[291]
administration case,1,1,2,[291]
quality monitoring,1,1,2,[291]
conceptual framework,1,1,2,[291]
system research,1,1,2,[291]
democracy theory,1,1,2,[291]
police department,1,1,2,[291]
department facebook,1,1,2,[291]
facebook page,1,1,2,[291]
cognitive system,1,1,2,[291]
literature review,1,1,2,[291]
building management,1,1,2,[291]
opportunistic mobile,1,1,2,[291]
mobile sensor,1,1,2,[291]
