dimension,min_cluster_size,avg_score,total_clusters,outlier,cluster_results
55,10,0.4422481603725306,3,15,"[{'cluster': 1, 'doc_ids': [62, 104, 127, 233, 249, 281, 296, 337, 358, 373, 395, 410, 433, 459, 491, 516, 522, 536, 541, 542, 571, 574], 'count': 22, 'score': 0.9214511924642493}, {'cluster': 0, 'doc_ids': [30, 63, 110, 155, 209, 220, 240, 261, 300, 304, 307, 334, 346, 356, 359, 422, 435, 439, 450, 461, 499, 519, 526, 530, 597], 'count': 25, 'score': 0.6632073127848925}, {'cluster': -1, 'doc_ids': [38, 134, 138, 143, 273, 298, 321, 326, 355, 370, 392, 407, 423, 425, 555], 'count': 15, 'score': -0.2579140241315498}]"
55,15,0.41463240382013905,3,20,"[{'cluster': 1, 'doc_ids': [62, 104, 127, 233, 249, 281, 296, 326, 337, 358, 373, 395, 410, 423, 433, 459, 491, 516, 522, 536, 541, 542, 571, 574], 'count': 24, 'score': 0.9140533406021868}, {'cluster': 0, 'doc_ids': [155, 209, 220, 304, 307, 334, 346, 356, 359, 435, 439, 450, 461, 499, 519, 526, 530, 597], 'count': 18, 'score': 0.6487825844812954}, {'cluster': -1, 'doc_ids': [30, 38, 63, 110, 134, 138, 143, 240, 261, 273, 298, 300, 321, 355, 370, 392, 407, 422, 425, 555], 'count': 20, 'score': -0.3189387136230649}]"
50,10,0.32603300961282794,3,29,"[{'cluster': 1, 'doc_ids': [62, 104, 127, 233, 281, 296, 358, 373, 395, 410, 459, 491, 516, 522, 536, 541, 542, 571, 574], 'count': 19, 'score': 0.9636575733098048}, {'cluster': 0, 'doc_ids': [30, 220, 261, 346, 356, 359, 422, 425, 439, 450, 461, 499, 526, 530], 'count': 14, 'score': 0.5148243866265697}, {'cluster': -1, 'doc_ids': [38, 63, 110, 134, 138, 143, 155, 209, 240, 249, 273, 298, 300, 304, 307, 321, 326, 334, 337, 355, 370, 392, 407, 423, 433, 435, 519, 555, 597], 'count': 29, 'score': -0.5003829310978908}]"
50,15,0.36485947510939054,3,23,"[{'cluster': 1, 'doc_ids': [62, 104, 127, 233, 249, 281, 296, 326, 337, 358, 373, 395, 410, 425, 459, 491, 516, 522, 536, 541, 542, 571, 574], 'count': 23, 'score': 0.9057605195971444}, {'cluster': 0, 'doc_ids': [209, 220, 334, 346, 356, 359, 407, 422, 439, 450, 461, 499, 519, 526, 530, 597], 'count': 16, 'score': 0.6250123787242625}, {'cluster': -1, 'doc_ids': [30, 38, 63, 110, 134, 138, 143, 155, 240, 261, 273, 298, 300, 304, 307, 321, 355, 370, 392, 423, 433, 435, 555], 'count': 23, 'score': -0.43619447299323516}]"
45,10,0.4389874095163966,3,10,"[{'cluster': 1, 'doc_ids': [62, 104, 127, 233, 281, 296, 326, 337, 358, 373, 395, 410, 425, 459, 491, 516, 522, 536, 541, 542, 571, 574], 'count': 22, 'score': 0.8072737012649845}, {'cluster': 0, 'doc_ids': [30, 38, 63, 138, 155, 209, 220, 240, 261, 298, 300, 304, 307, 321, 334, 346, 356, 359, 370, 407, 422, 435, 439, 450, 461, 499, 519, 526, 530, 597], 'count': 30, 'score': 0.6981959265079165}, {'cluster': -1, 'doc_ids': [110, 134, 143, 249, 273, 355, 392, 423, 433, 555], 'count': 10, 'score': -0.18850739922371124}]"
40,10,0.43159433648539514,3,16,"[{'cluster': 1, 'doc_ids': [62, 104, 127, 233, 249, 281, 296, 326, 337, 358, 373, 395, 410, 425, 459, 491, 516, 522, 536, 541, 542, 571, 574], 'count': 23, 'score': 0.8803568416168922}, {'cluster': 0, 'doc_ids': [30, 63, 138, 155, 220, 240, 261, 300, 304, 307, 334, 346, 356, 359, 422, 435, 439, 450, 461, 499, 519, 526, 597], 'count': 23, 'score': 0.6276833768006712}, {'cluster': -1, 'doc_ids': [38, 110, 134, 143, 209, 273, 298, 321, 355, 370, 392, 407, 423, 433, 530, 555], 'count': 16, 'score': -0.2132572089613781}]"
40,15,0.458928591743382,3,23,"[{'cluster': 1, 'doc_ids': [62, 104, 127, 233, 249, 281, 296, 326, 337, 358, 373, 395, 410, 459, 491, 516, 522, 536, 541, 542, 571, 574], 'count': 22, 'score': 0.9495079011137739}, {'cluster': 0, 'doc_ids': [30, 155, 209, 220, 261, 307, 334, 346, 356, 359, 422, 435, 439, 499, 519, 526, 597], 'count': 17, 'score': 0.7349164377475034}, {'cluster': -1, 'doc_ids': [38, 63, 110, 134, 138, 143, 240, 273, 298, 300, 304, 321, 355, 370, 392, 407, 423, 425, 433, 450, 461, 530, 555], 'count': 23, 'score': -0.30763856363113123}]"
35,10,0.45191372376843225,3,15,"[{'cluster': 1, 'doc_ids': [62, 104, 127, 233, 281, 296, 337, 355, 358, 373, 395, 407, 410, 459, 491, 516, 522, 536, 541, 542, 571, 574], 'count': 22, 'score': 0.7744796284086856}, {'cluster': 0, 'doc_ids': [30, 63, 155, 209, 220, 261, 273, 300, 304, 307, 334, 346, 356, 359, 370, 422, 435, 439, 450, 461, 499, 519, 526, 530, 597], 'count': 25, 'score': 0.7169649627458172}, {'cluster': -1, 'doc_ids': [38, 110, 134, 138, 143, 240, 249, 298, 321, 326, 392, 423, 425, 433, 555], 'count': 15, 'score': -0.13570341984920592}]"
30,10,0.4439001768809663,3,14,"[{'cluster': 1, 'doc_ids': [62, 104, 127, 233, 249, 281, 296, 326, 337, 358, 373, 395, 410, 425, 433, 459, 491, 516, 522, 536, 541, 542, 571, 574], 'count': 24, 'score': 0.8797268586005438}, {'cluster': 0, 'doc_ids': [30, 63, 155, 220, 240, 261, 300, 304, 307, 334, 346, 356, 359, 370, 422, 435, 439, 450, 461, 499, 519, 526, 530, 597], 'count': 24, 'score': 0.64696968337727}, {'cluster': -1, 'doc_ids': [38, 110, 134, 138, 143, 209, 273, 298, 321, 355, 392, 407, 423, 555], 'count': 14, 'score': -0.194996011334915}]"
25,10,0.46008760602830706,3,14,"[{'cluster': 1, 'doc_ids': [62, 104, 127, 233, 249, 281, 296, 326, 337, 358, 373, 395, 410, 423, 459, 491, 516, 522, 536, 541, 542, 571, 574], 'count': 23, 'score': 0.8501295192398106}, {'cluster': 0, 'doc_ids': [30, 38, 63, 155, 209, 220, 240, 261, 300, 307, 334, 346, 356, 359, 370, 422, 435, 439, 450, 461, 499, 519, 526, 530, 597], 'count': 25, 'score': 0.672694275055186}, {'cluster': -1, 'doc_ids': [110, 134, 138, 143, 273, 298, 304, 321, 355, 392, 407, 425, 433, 555], 'count': 14, 'score': -0.14256097621007552}]"
