cluster,doc_id,keywords,candidates
15,54,"['specific artificial neural network', '3D geometry', 'basic generative ability', 'Machine learning', 'architectural design']","[{'candidate': 'specific artificial neural network', 'score': 0.6966148210804195}, {'candidate': 'neural network', 'score': 0.6918994082052307}, {'candidate': 'Machine learning', 'score': 0.6844148448164421}, {'candidate': 'machine learning model', 'score': 0.6809818272737844}, {'candidate': 'architectural design', 'score': 0.6571862841631952}, {'candidate': 'geometric design feature', 'score': 0.6551857969537102}, {'candidate': '3D geometry', 'score': 0.6545305498377123}, {'candidate': 'design data', 'score': 0.6539713019157924}, {'candidate': 'architectural form', 'score': 0.6529699279199185}, {'candidate': '3D model', 'score': 0.6335033620907822}, {'candidate': 'computational tool', 'score': 0.6328003677145846}, {'candidate': 'input and output data', 'score': 0.6323319900769984}, {'candidate': 'data structure', 'score': 0.6245438167213198}, {'candidate': 'additional input neuron', 'score': 0.6238995305005779}, {'candidate': 'design feature', 'score': 0.6203190045272597}, {'candidate': 'basic generative ability', 'score': 0.6202082124962993}, {'candidate': 'feature parameter', 'score': 0.6179926518201246}, {'candidate': 'engineering field', 'score': 0.6125135091243386}, {'candidate': 'different feature parameter', 'score': 0.6097170969128628}, {'candidate': 'computation speed', 'score': 0.6075054671153173}, {'candidate': '2D drawing', 'score': 0.6057104549946136}]"
15,58,"['city pattern image', 'low dimensional manifold', 'researcher and city developer', 'novel specialized dataset', 'unsupervised learning']","[{'candidate': 'city pattern image', 'score': 0.6613342829588238}, {'candidate': 'low dimensional manifold', 'score': 0.6584601492333364}, {'candidate': 'researcher and city developer', 'score': 0.6528375047448511}, {'candidate': 'city pattern', 'score': 0.6492000907102087}, {'candidate': 'machine learning technique', 'score': 0.6469098697647493}, {'candidate': 'latent manifold', 'score': 0.634844831362146}, {'candidate': 'data visualization', 'score': 0.6318531111472617}, {'candidate': 'novel specialized dataset', 'score': 0.6172509005312155}, {'candidate': 'urban environment', 'score': 0.6164925324485895}, {'candidate': 'artificial intelligence', 'score': 0.6083451921875236}, {'candidate': 'quantitative and qualitative test', 'score': 0.6066911720562818}, {'candidate': 'multiple manifold', 'score': 0.6054564957099209}, {'candidate': 'unsupervised learning', 'score': 0.6020074119882269}, {'candidate': 'multiple location', 'score': 0.5999598364290226}, {'candidate': 'data distribution', 'score': 0.5929683402401227}, {'candidate': 'many application', 'score': 0.5901022527410493}, {'candidate': 'natural pattern', 'score': 0.5882100878053264}, {'candidate': 'density estimation', 'score': 0.5821976856940339}, {'candidate': 'Recent development', 'score': 0.579937306830141}, {'candidate': 'high level structure', 'score': 0.5777479896917507}, {'candidate': 'several problem', 'score': 0.5611186174715979}, {'candidate': 'new insight', 'score': 0.5600133740818329}, {'candidate': 'powerful tool', 'score': 0.541928499024698}, {'candidate': 'common strategy', 'score': 0.5367440990090461}, {'candidate': 'essential task', 'score': 0.5353196978193251}]"
15,108,"['urbanization and climate', 'recurrent neural network algorithm', 'serious study', 'climate prediction', 'ecosystem scale']","[{'candidate': 'urbanization and climate', 'score': 0.6828800117709888}, {'candidate': 'Machine learning', 'score': 0.6586589127556146}, {'candidate': 'machine learning algorithm', 'score': 0.6567513080358959}, {'candidate': 'recurrent neural network algorithm', 'score': 0.6517358063377601}, {'candidate': 'climate prediction', 'score': 0.6484845592201399}, {'candidate': 'urban study', 'score': 0.6461699213844683}, {'candidate': 'Climate change', 'score': 0.6406755593486215}, {'candidate': 'climate and ecosystems', 'score': 0.6351275466795211}, {'candidate': 'urban planning', 'score': 0.6335247452037609}, {'candidate': 'computer science', 'score': 0.6215827036021221}, {'candidate': 'urban area', 'score': 0.6158299241281879}, {'candidate': 'extensive computational capacity', 'score': 0.6098687450940592}, {'candidate': 'big data', 'score': 0.6080049483559418}, {'candidate': 'complex network', 'score': 0.6013803781594526}, {'candidate': 'computational power', 'score': 0.6001519276202893}, {'candidate': 'information technology', 'score': 0.5979136792115104}, {'candidate': 'global ecosystem', 'score': 0.5904192661105041}, {'candidate': 'ecosystem scale', 'score': 0.5896553978828833}, {'candidate': 'serious study', 'score': 0.5870378495015426}, {'candidate': 'nonlinear behavior', 'score': 0.5849141055490161}, {'candidate': 'new data', 'score': 0.5670103626527333}, {'candidate': 'vast population', 'score': 0.5619171244158405}, {'candidate': 'significant effect', 'score': 0.5536568592392705}, {'candidate': 'significant advantage', 'score': 0.5508652085364095}, {'candidate': 'great importance', 'score': 0.5504669443902441}, {'candidate': 'possible effect', 'score': 0.5444126369370047}, {'candidate': 'useful tool', 'score': 0.536561558657131}, {'candidate': 'significant role', 'score': 0.5318758770643901}, {'candidate': 'small proportion', 'score': 0.5318198261193924}, {'candidate': 'individual organism', 'score': 0.5254929306482465}]"
15,147,"['urban space generation design method', 'deep learning', 'northern extension', 'traffic road network', 'basic concept']","[{'candidate': 'urban space generation design method', 'score': 0.7380392384689678}, {'candidate': 'machine learning algorithms', 'score': 0.6939621610534663}, {'candidate': 'deep learning algorithm', 'score': 0.6920829631556729}, {'candidate': 'deep learning', 'score': 0.6840174043133989}, {'candidate': 'urban design method', 'score': 0.6833988062665961}, {'candidate': 'machine learning', 'score': 0.6830108409459754}, {'candidate': 'urban space case', 'score': 0.6769149290353143}, {'candidate': 'urban space', 'score': 0.6640412844802871}, {'candidate': 'artificial intelligence', 'score': 0.6487884195500068}, {'candidate': 'traffic road network', 'score': 0.6478523785958532}, {'candidate': 'neighborhood space form', 'score': 0.6388266865842348}, {'candidate': 'innovative development', 'score': 0.6295989735398286}, {'candidate': 'northern extension', 'score': 0.6262657766088796}, {'candidate': 'application case', 'score': 0.6202940056509065}, {'candidate': 'function layout', 'score': 0.613322593954988}, {'candidate': 'central green axis', 'score': 0.6039988792716318}, {'candidate': 'new idea', 'score': 0.603147619873829}, {'candidate': 'procedural logic', 'score': 0.6008311446349057}, {'candidate': 'basic concept', 'score': 0.6006439191720029}, {'candidate': 'generation mode', 'score': 0.5886519333381625}]"
15,250,"['urban planning and management', 'machine learning model', 'complex UPM', ""People's livelihood"", ""China's urbanization process""]","[{'candidate': 'urban planning and management', 'score': 0.6475809031900868}, {'candidate': ""China's urbanization process"", 'score': 0.6369136095845429}, {'candidate': 'machine learning model', 'score': 0.6223474984249371}, {'candidate': 'artificial intelligence approach', 'score': 0.6091468131912043}, {'candidate': 'urban plan', 'score': 0.5975240538793889}, {'candidate': 'relevant UPM theory', 'score': 0.5883466340388337}, {'candidate': 'creative computing approach', 'score': 0.5880618281448885}, {'candidate': 'software model', 'score': 0.5832077189991873}, {'candidate': ""people's livelihood behavior"", 'score': 0.5815253905392119}, {'candidate': 'complex UPM', 'score': 0.581163388512232}, {'candidate': 'artificial intelligence', 'score': 0.5807420070819856}, {'candidate': 'KNN algorithm', 'score': 0.5793871949996147}, {'candidate': 'social governance', 'score': 0.5791702340379836}, {'candidate': 'government management', 'score': 0.5775696967574476}, {'candidate': 'Livelihood orientation', 'score': 0.5759905707039259}, {'candidate': 'architecture design', 'score': 0.5736279423453479}, {'candidate': 'optimization advice', 'score': 0.5730743933493021}, {'candidate': ""People's livelihood"", 'score': 0.5660299780483045}, {'candidate': 'first paper', 'score': 0.5623789568552052}, {'candidate': 'later machine', 'score': 0.558076521902362}, {'candidate': 'relevant theory', 'score': 0.5544400663181721}, {'candidate': 'related factor', 'score': 0.5464397059622106}, {'candidate': 'diverse living need', 'score': 0.5376513105110046}, {'candidate': 'function and connotation', 'score': 0.5373059783541798}, {'candidate': 'time and space', 'score': 0.5359949437970851}, {'candidate': 'great influence', 'score': 0.5357763234156081}, {'candidate': 'current contradiction', 'score': 0.5348292328231682}, {'candidate': 'way and method', 'score': 0.5323261462803184}, {'candidate': 'new period', 'score': 0.5263477300835946}, {'candidate': 'traditional method', 'score': 0.5165162836719929}]"
15,268,"['machine learning', 'urban vitality', 'behavioral heat distribution', 'potential application', 'subject activity']","[{'candidate': 'machine learning', 'score': 0.6562631642677644}, {'candidate': 'machine learning model', 'score': 0.6558135296133077}, {'candidate': 'urban vitality', 'score': 0.643522014878882}, {'candidate': 'behavioral heat distribution', 'score': 0.6352262624284201}, {'candidate': 'urban design', 'score': 0.6327874474885039}, {'candidate': 'heat map', 'score': 0.6259216266102396}, {'candidate': 'generative model', 'score': 0.6257221528338321}, {'candidate': 'neural network', 'score': 0.6235793094486415}, {'candidate': 'regional vitality', 'score': 0.6207128832465458}, {'candidate': 'model yield output', 'score': 0.6167368040245499}, {'candidate': 'big data', 'score': 0.6165908680729524}, {'candidate': 'subject activity', 'score': 0.6041280320952919}, {'candidate': 'potential application', 'score': 0.5942979517745954}, {'candidate': 'input image', 'score': 0.5887418423058323}, {'candidate': 'output image', 'score': 0.5882733742882063}, {'candidate': 'certain activity', 'score': 0.5835722016928557}, {'candidate': 'plan view', 'score': 0.5777342433450724}, {'candidate': 'behavior and aspect', 'score': 0.5769593157472639}, {'candidate': 'limitation and area', 'score': 0.5727232900687793}, {'candidate': 'new opportunity', 'score': 0.5660060883075165}, {'candidate': 'certain behavior', 'score': 0.5659394915149625}, {'candidate': 'level and condition', 'score': 0.5551245275440826}, {'candidate': 'acceptable level', 'score': 0.5342800645240455}, {'candidate': 'different interaction', 'score': 0.5330337138589862}, {'candidate': 'different section', 'score': 0.5292876090193577}]"
15,276,"['mobile edge streaming medium data processing', 'landscape design', 'video surveillance system', 'edge computing', 'experimental result']","[{'candidate': 'mobile edge streaming medium data processing', 'score': 0.6929407131814533}, {'candidate': 'landscape architecture system', 'score': 0.6738875830189067}, {'candidate': 'landscape design', 'score': 0.6620018511360736}, {'candidate': 'edge computing', 'score': 0.6352849449222069}, {'candidate': 'urban planning', 'score': 0.6290046378624041}, {'candidate': 'video surveillance system', 'score': 0.6258380960608565}, {'candidate': 'garden landscape', 'score': 0.6248012189464415}, {'candidate': 'urban ecosystem', 'score': 0.6146232583238815}, {'candidate': 'effective design method', 'score': 0.6025412809230589}, {'candidate': 'design method', 'score': 0.599671919820801}, {'candidate': 'machine learning model', 'score': 0.5986816607490892}, {'candidate': 'natural landscape', 'score': 0.5984124173535038}, {'candidate': 'ecological environment', 'score': 0.5918311032333365}, {'candidate': 'experimental result', 'score': 0.5864308295047902}, {'candidate': 'stram data', 'score': 0.5729409596892974}, {'candidate': 'many problem', 'score': 0.5492585021301535}, {'candidate': 'inner connection', 'score': 0.5434896658569802}, {'candidate': 'further processing', 'score': 0.5425771284209199}, {'candidate': 'relevant personnel', 'score': 0.5395466561811725}, {'candidate': 'difficult thing', 'score': 0.5382230958157246}, {'candidate': 'Different way', 'score': 0.5160121374520006}]"
15,287,"['urban design plan', 'Generative Adversarial Network', 'automatic design tool', 'much time', 'green land and river']","[{'candidate': 'urban design plan', 'score': 0.6430019079249779}, {'candidate': 'urban design task', 'score': 0.6407697077427755}, {'candidate': 'Generative Adversarial Network', 'score': 0.6398651325481255}, {'candidate': 'machine learning', 'score': 0.6320761126846182}, {'candidate': 'automatic design tool', 'score': 0.6282998525679473}, {'candidate': 'urban designer', 'score': 0.6257401242020966}, {'candidate': 'urban scale plan', 'score': 0.615224586430257}, {'candidate': 'different machine learning model', 'score': 0.6067892881251353}, {'candidate': 'early design stage', 'score': 0.5861983523312657}, {'candidate': 'design strategy', 'score': 0.580093648301392}, {'candidate': 'design solution', 'score': 0.5760009837832615}, {'candidate': 'image data', 'score': 0.5647040051017684}, {'candidate': 'green land and river', 'score': 0.5537539112461994}, {'candidate': 'image pair', 'score': 0.5530795181693222}, {'candidate': 'different city', 'score': 0.5509964862077796}, {'candidate': 'model frame', 'score': 0.5484296460639624}, {'candidate': 'many field', 'score': 0.5398890720192898}, {'candidate': 'heavy load', 'score': 0.5379566812622295}, {'candidate': 'site condition', 'score': 0.522252132850571}, {'candidate': 'much time', 'score': 0.5218937605914438}, {'candidate': 'distinct condition', 'score': 0.5123302539014579}]"
15,345,"['discovery and topic modeling extraction', 'Los Angeles', 'urban planning and design', 'scalability and transferability issue', 'novel framework']","[{'candidate': 'discovery and topic modeling extraction', 'score': 0.6905591598450168}, {'candidate': 'urban planning and design', 'score': 0.6603484936037268}, {'candidate': 'topic modeling', 'score': 0.6415214425823315}, {'candidate': 'design pattern', 'score': 0.6366945321610488}, {'candidate': 'latent Dirichlet allocation', 'score': 0.6350097740446368}, {'candidate': 'Los Angeles', 'score': 0.6198037559727674}, {'candidate': 'machine learning model', 'score': 0.6095160644124008}, {'candidate': 'metropolitan area', 'score': 0.6049677625713945}, {'candidate': 'general methodology', 'score': 0.6028187184892346}, {'candidate': 'scalability and transferability issue', 'score': 0.5997934771240487}, {'candidate': 'Functional region', 'score': 0.5985517923317212}, {'candidate': 'data quality', 'score': 0.5972927071565957}, {'candidate': 'significant agreement', 'score': 0.5925673743278714}, {'candidate': 'urban setting', 'score': 0.5910006629315565}, {'candidate': 'novel framework', 'score': 0.5909261257756746}, {'candidate': 'learning model', 'score': 0.5837407680513251}, {'candidate': 'particular functionality', 'score': 0.5824204173358603}, {'candidate': 'topic probability', 'score': 0.5804039126660244}, {'candidate': 'use case', 'score': 0.5770486411251675}, {'candidate': 'methodology face limitation', 'score': 0.5730619102718788}, {'candidate': 'expert knowledge', 'score': 0.5671157560674807}, {'candidate': 'similar region', 'score': 0.5647261292968737}, {'candidate': 'top down', 'score': 0.5536407935871599}, {'candidate': 'bottom up', 'score': 0.5513594231759429}, {'candidate': 'Result show', 'score': 0.5483280194375505}, {'candidate': 'different way', 'score': 0.5342352240837083}, {'candidate': 'smooth inaccuracy', 'score': 0.5331204472234958}]"
15,390,"['deep convolutional variational autoencoders', 'urban space', 'neural aggregation', 'generative urban network output', 'spatial computation and analytics']","[{'candidate': 'deep convolutional variational autoencoders', 'score': 0.7318405879362729}, {'candidate': 'convolutional network architecture', 'score': 0.6874549302922053}, {'candidate': 'deep convolutional network', 'score': 0.6806585610452605}, {'candidate': 'convolutional neural network', 'score': 0.6790416653516176}, {'candidate': 'generative urban network output', 'score': 0.6780919981769615}, {'candidate': 'variational encoding and decoding process', 'score': 0.6727405843955091}, {'candidate': 'convolutional neuron processes data', 'score': 0.6703749474998406}, {'candidate': 'neural network architecture', 'score': 0.6693764160442303}, {'candidate': 'Convolutional layer', 'score': 0.6537812539609709}, {'candidate': 'spatial computation and analytics', 'score': 0.650228157640812}, {'candidate': 'neural network', 'score': 0.648845202259819}, {'candidate': 'variational synthesis', 'score': 0.6344931714079047}, {'candidate': 'convolution operation', 'score': 0.6312692941476614}, {'candidate': 'unsupervised learning technique', 'score': 0.627492017251545}, {'candidate': 'Spatial network', 'score': 0.6236733612122998}, {'candidate': 'supervised image classification', 'score': 0.6236256607752477}, {'candidate': 'entire convolutional visual field', 'score': 0.6202009734636834}, {'candidate': 'complex spatial relation', 'score': 0.6190261777275737}, {'candidate': 'representation learning', 'score': 0.6150024752326937}, {'candidate': 'neural aggregation', 'score': 0.6138910135966411}, {'candidate': 'machine intuition', 'score': 0.6137885053081364}, {'candidate': 'basic spatial complexity', 'score': 0.6085742341611124}, {'candidate': 'real urban network', 'score': 0.6077095352962868}, {'candidate': 'urban space', 'score': 0.6023393138609594}, {'candidate': 'urban structure', 'score': 0.6012006582411955}, {'candidate': 'Artificial neuron', 'score': 0.5983296074728972}, {'candidate': 'linear clustering', 'score': 0.596078094437219}, {'candidate': 'internal spatial order', 'score': 0.5947329377249408}, {'candidate': 'knowledge representation', 'score': 0.5905055361303984}, {'candidate': 'visual cortex', 'score': 0.5892664548646446}, {'candidate': 'connectivity pattern', 'score': 0.5868822377108612}, {'candidate': 'urban fabric', 'score': 0.5846990900892728}, {'candidate': 'complete architecture', 'score': 0.5792097200027485}, {'candidate': 'multiple layer', 'score': 0.5751935782486448}, {'candidate': 'interesting result', 'score': 0.5705781859121278}, {'candidate': 'linear compression', 'score': 0.566071962801004}, {'candidate': 'intrinsic attribute', 'score': 0.5600009525679858}, {'candidate': 'visual field', 'score': 0.557623454492586}, {'candidate': 'biological process', 'score': 0.555575310656914}, {'candidate': 'next layer', 'score': 0.5551043578817649}, {'candidate': 'unique set', 'score': 0.5545197980300438}, {'candidate': 'subsequent reconstruction', 'score': 0.5481147609093742}, {'candidate': 'significant outcome', 'score': 0.5473007665230826}, {'candidate': 'receptive field', 'score': 0.5417260626146696}, {'candidate': 'complete different approach', 'score': 0.5359685021887489}]"
