cluster,dimension,min_samples,min_cluster_size,epsilon,total_groups,outliers,score,group_result,group_labels
#3,10,None,5,0.0,18,40,0.7987430614675454,"[{'group': 8, 'count': 6}, {'group': 11, 'count': 6}, {'group': 16, 'count': 6}, {'group': 14, 'count': 7}, {'group': 9, 'count': 8}, {'group': 1, 'count': 9}, {'group': 4, 'count': 10}, {'group': 6, 'count': 10}, {'group': 13, 'count': 10}, {'group': 5, 'count': 13}, {'group': 7, 'count': 13}, {'group': 15, 'count': 15}, {'group': 2, 'count': 16}, {'group': 0, 'count': 21}, {'group': 3, 'count': 21}, {'group': 12, 'count': 25}, {'group': 10, 'count': 29}, {'group': -1, 'count': 40}]","[-1, -1, -1, 3, 3, 5, 5, 5, 5, 5, 13, 10, 3, 13, 3, -1, 12, 3, 3, 4, 5, 11, 5, 11, -1, 0, 0, 1, 0, 1, 10, 10, -1, 14, 14, 1, 1, 0, 10, 0, 9, 9, 9, 9, 9, 0, 0, 0, 3, 3, 13, 10, 12, 13, 10, 7, 7, 7, 7, 7, 10, 8, 8, -1, 8, 0, 0, 0, 12, 12, 1, 1, 1, 12, 11, 2, 2, 2, 15, 2, 6, 6, 6, 3, 10, 0, 0, 0, 0, 2, 10, 10, 13, 13, 10, 11, -1, 12, 12, -1, -1, 12, -1, 5, 3, 15, -1, -1, -1, -1, -1, 16, 16, -1, 4, 10, 10, 15, 15, 10, 16, 5, 16, 2, 10, 3, -1, 15, -1, 4, -1, 3, 15, 3, -1, 15, 15, -1, 10, 10, 7, 7, 7, 7, 7, 2, 3, 2, 15, 3, 4, 12, 4, 4, 14, 5, 12, 11, -1, 2, 11, 10, 3, 10, 15, 0, 12, 12, -1, 15, 5, 5, 10, 5, 10, -1, 1, 6, -1, 1, 13, 3, 15, 3, 13, 12, 10, 12, -1, 6, -1, -1, 2, 6, 12, 0, 7, 7, -1, 0, -1, 8, 3, 12, 8, 0, 0, 0, 10, 10, 6, 6, 6, 6, 10, 9, 9, 10, 3, 10, -1, -1, -1, -1, -1, 2, 2, 2, 16, 2, 4, 12, 4, 4, 15, -1, 12, 13, 4, 3, 12, 12, 2, 12, -1, 10, 8, 16, 10, -1, 14, 14, 14, 13, 14, 9, 2, 15, -1, 15, 12, 12, 7, 12, 12]"
#3,10,None,6,0.0,16,42,0.7652889863482943,"[{'group': 9, 'count': 6}, {'group': 14, 'count': 7}, {'group': 1, 'count': 9}, {'group': 4, 'count': 10}, {'group': 12, 'count': 10}, {'group': 5, 'count': 11}, {'group': 6, 'count': 12}, {'group': 10, 'count': 13}, {'group': 7, 'count': 14}, {'group': 2, 'count': 16}, {'group': 0, 'count': 21}, {'group': 3, 'count': 21}, {'group': 13, 'count': 22}, {'group': 8, 'count': 23}, {'group': 11, 'count': 28}, {'group': -1, 'count': 42}]","[-1, -1, -1, 3, 3, 6, 6, 6, 6, 6, 12, 11, 3, 12, 3, -1, 8, 3, 3, 4, 6, 9, 5, 9, -1, 0, 0, 1, 0, 1, 11, 11, -1, 14, 14, 1, 1, 0, 11, 0, 10, 10, 10, 10, 10, 0, 0, 0, 3, 3, 12, 11, 8, 12, 11, 7, 7, 7, 7, 7, 11, -1, 7, -1, 10, 0, 0, 0, 8, 8, 1, 1, 1, 8, 9, 2, 2, 2, 13, 2, 5, 5, 5, 3, 11, 0, 0, 0, 0, 2, 11, 11, 12, 12, 11, -1, -1, 8, 8, -1, -1, 8, -1, 6, 3, 13, -1, 13, -1, -1, 13, -1, -1, -1, 4, 11, 11, 13, 13, 11, 13, 6, 13, 2, 11, 3, -1, 13, -1, 4, -1, 3, 13, 3, -1, 13, 13, -1, 11, 11, 7, 7, 7, 7, 7, 2, 3, 2, 13, 3, 4, 8, 4, 4, 14, 6, 8, 9, -1, 2, 9, 11, 3, 11, 13, 0, 8, 8, -1, 13, 6, 6, 11, 6, 11, -1, 1, 5, -1, 1, 12, 3, 13, 3, 12, 8, 11, 8, -1, 5, -1, -1, 2, 5, 8, 0, 7, 7, -1, 0, 10, 10, 3, -1, 10, 0, 0, 0, 11, 11, 5, 5, 5, 5, 11, 10, 10, 11, 3, -1, -1, -1, -1, -1, -1, 2, 2, 2, 13, 2, 4, 8, 4, 4, 13, 9, -1, 12, 4, 3, 8, 8, 2, 8, -1, 11, 10, 13, 11, -1, 14, 14, 14, 12, 14, 10, 2, 13, 13, 13, 8, 8, 7, 8, 8]"
#3,10,None,7,0.0,13,53,0.8347593772611314,"[{'group': 1, 'count': 10}, {'group': 5, 'count': 10}, {'group': 11, 'count': 10}, {'group': 8, 'count': 11}, {'group': 6, 'count': 13}, {'group': 3, 'count': 16}, {'group': 10, 'count': 19}, {'group': 0, 'count': 20}, {'group': 4, 'count': 21}, {'group': 7, 'count': 26}, {'group': 2, 'count': 28}, {'group': 9, 'count': 28}, {'group': -1, 'count': 53}]","[-1, -1, -1, 4, 4, 2, 2, 2, 2, 2, 11, 9, 4, 11, 4, -1, 7, 4, 4, 5, 2, -1, 2, -1, -1, 1, 0, 1, 0, 1, 9, 9, -1, -1, -1, 1, 1, 0, 9, 0, 8, 8, 8, 8, 8, 0, 0, 0, 4, 4, 11, 9, 7, 11, 9, 6, 6, 6, 6, 6, 9, -1, -1, -1, -1, 0, 0, 0, 7, 7, 1, 1, 1, 7, -1, 3, 3, 3, 10, 3, 2, 2, 2, 4, 9, 0, 0, 0, 0, 3, 9, 9, 11, 11, 9, -1, -1, 7, 7, -1, 2, 7, 2, 2, 4, 10, -1, 10, -1, -1, 10, -1, -1, -1, 5, 9, 9, 10, 10, 9, -1, 2, -1, 3, 9, 4, -1, 10, -1, 5, 7, 4, 10, 4, -1, 10, 10, -1, 9, 9, 6, 6, 6, 6, 6, 3, 4, 3, 10, 4, 5, 7, 5, 5, 10, 2, 7, -1, 2, 3, -1, 9, 4, 9, 10, 0, 7, 7, -1, 10, 2, 2, 9, 2, 9, 2, 1, 2, 2, 1, 11, 4, 10, 4, 11, 7, 9, 7, -1, 2, -1, -1, 3, 2, 7, 0, 6, 6, -1, 0, 8, 8, 4, 7, 8, 0, 0, 0, 9, 9, 2, 2, 2, 2, 9, 8, 8, 9, 4, -1, -1, -1, -1, -1, -1, 3, 3, 3, -1, 3, 5, 7, 5, 5, 10, -1, 7, 11, 5, 4, 7, 7, 3, 7, -1, 9, -1, -1, 9, -1, -1, -1, -1, 11, -1, 8, 3, 10, 10, 10, 7, 7, 6, 7, 7]"
#3,10,None,8,0.0,12,51,0.7627593517062786,"[{'group': 1, 'count': 10}, {'group': 5, 'count': 10}, {'group': 9, 'count': 10}, {'group': 7, 'count': 14}, {'group': 3, 'count': 17}, {'group': 8, 'count': 18}, {'group': 0, 'count': 20}, {'group': 4, 'count': 21}, {'group': 2, 'count': 28}, {'group': 10, 'count': 28}, {'group': 6, 'count': 38}, {'group': -1, 'count': 51}]","[-1, -1, -1, 4, 4, 2, 2, 2, 2, 2, 9, 10, 4, 9, 4, -1, 6, 4, 4, 5, 2, -1, 2, -1, 6, 1, 0, 1, 0, 1, 10, 10, -1, -1, -1, 1, 1, 0, 10, 0, -1, -1, -1, -1, -1, 0, 0, 0, 4, 4, 9, 10, 6, 9, 10, 7, 7, 7, 7, 7, 10, -1, 7, 6, -1, 0, 0, 0, 6, 6, 1, 1, 1, 6, 6, 3, 3, 3, 8, 3, 2, 2, 2, 4, 10, 0, 0, 0, 0, 3, 10, 10, 9, 9, 10, 6, -1, 6, 6, -1, 2, 6, 2, 2, 4, 8, -1, -1, -1, -1, 8, -1, -1, -1, 5, 10, 10, 8, 8, 10, -1, 2, -1, 3, 10, 4, -1, 8, -1, 5, 6, 4, 8, 4, -1, 8, 8, -1, 10, 10, 7, 7, 7, 7, 7, 3, 4, 3, 8, 4, 5, 6, 5, 5, 8, 2, 6, 6, 2, 3, 6, 10, 4, 10, 8, 0, 6, 6, -1, 8, 2, 2, 10, 2, 10, 2, 1, 2, 2, 1, 9, 4, 8, 4, 9, 6, 10, 6, 6, 2, 3, 6, 3, 2, 6, 0, 7, 7, -1, 0, 6, -1, 4, 6, 6, 0, 0, 0, 10, 10, 2, 2, 2, 2, 10, 6, -1, 10, 4, -1, -1, -1, -1, -1, -1, 3, 3, 3, -1, 3, 5, 6, 5, 5, 8, 6, 6, 9, 5, 4, 6, 6, 3, 6, -1, 10, -1, -1, 10, -1, -1, -1, -1, 9, -1, -1, 3, 8, 8, 8, 6, 6, 7, 6, 6]"
#3,10,None,9,0.0,9,41,0.7224875717163523,"[{'group': 5, 'count': 14}, {'group': 2, 'count': 16}, {'group': 6, 'count': 17}, {'group': 3, 'count': 21}, {'group': 1, 'count': 28}, {'group': 0, 'count': 30}, {'group': 7, 'count': 40}, {'group': -1, 'count': 41}, {'group': 4, 'count': 58}]","[-1, -1, -1, 3, 3, 1, 1, 1, 1, 1, 7, 7, 3, 7, 3, -1, 4, 3, 3, 4, 1, 4, 1, 4, 4, 0, 0, 0, 0, 0, 7, 7, -1, -1, -1, 0, 0, 0, 7, 0, -1, 4, 4, 4, 4, 0, 0, 0, 3, 3, 7, 7, 4, 7, 7, 5, 5, 5, 5, 5, 7, -1, 5, 4, -1, 0, 0, 0, 4, 4, 0, 0, 0, 4, 4, 2, 2, 2, 6, 2, 1, 1, 1, 3, 7, 0, 0, 0, 0, 2, 7, 7, 7, 7, 7, 4, 4, 4, 4, 4, 1, 4, 1, 1, 3, 6, -1, -1, -1, -1, 6, -1, -1, 7, 4, 7, 7, 6, 6, 7, -1, 1, -1, 2, 7, 3, -1, 6, -1, 4, 4, 3, 6, 3, 4, 6, 6, -1, 7, 7, 5, 5, 5, 5, 5, 2, 3, 2, 6, 3, -1, 4, 4, -1, 6, 1, 4, 4, 1, 2, 4, 7, 3, 7, 6, 0, 4, 4, -1, 6, 1, 1, 7, 1, 7, 1, 0, 1, 1, 0, 7, 3, 6, 3, 7, 4, 7, 4, 4, 1, -1, 4, 2, 1, 4, 0, 5, 5, -1, 0, 4, 4, 3, 4, 4, 0, 0, 0, 7, 7, 1, 1, 1, 1, 7, 4, 4, 7, 3, -1, -1, -1, -1, -1, -1, 2, 2, 2, -1, 2, 4, 4, 4, 4, 6, 4, 4, 7, 4, 3, 4, 4, 2, 4, -1, 7, -1, -1, 7, -1, -1, -1, -1, 7, -1, 4, 2, 6, 7, 6, 4, 4, 5, 4, 4]"
#3,10,None,10,0.0,8,15,0.7393723394525453,"[{'group': 4, 'count': 13}, {'group': -1, 'count': 15}, {'group': 3, 'count': 17}, {'group': 6, 'count': 22}, {'group': 2, 'count': 28}, {'group': 0, 'count': 30}, {'group': 5, 'count': 52}, {'group': 1, 'count': 88}]","[1, 1, 1, 6, 6, 2, 2, 2, 2, 2, 1, 1, 6, 1, 6, 1, 5, 6, 6, 5, 2, 5, 2, 5, 5, 0, 0, 0, 0, 0, 1, 1, -1, 1, 1, 0, 0, 0, 1, 0, -1, 5, 5, 5, -1, 0, 0, 0, 6, 6, 1, 1, 5, 1, 1, 4, 4, 4, 4, 4, 1, -1, -1, 5, -1, 0, 0, 0, 5, 5, 0, 0, 0, 5, 5, 3, 3, 3, 1, 3, 2, 2, 2, 6, 1, 0, 0, 0, 0, 3, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 2, 5, 2, 2, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 2, 1, 3, 1, 6, 1, 1, 1, -1, 5, 6, 1, 6, 5, 1, 1, 1, 1, 1, 4, 4, 4, 4, 4, 3, 6, 3, 1, 6, -1, 5, -1, -1, 1, 2, 5, 5, 2, 3, 5, 1, 6, 1, 1, 0, 5, 5, 1, 1, 2, 2, 1, 2, 1, 2, 0, 2, 2, 0, 1, 6, 1, 6, 1, 5, 1, 5, 5, 2, 3, 5, 3, 2, 5, 0, 4, 4, 1, 0, 5, 5, 6, 5, 5, 0, 0, 0, 1, 1, 2, 2, 2, 2, 1, 5, 5, 1, 6, 1, 1, 1, 1, 1, 1, 3, 3, 3, 1, 3, 6, 5, -1, 5, 1, 5, 5, 1, 5, 6, 5, 5, 3, 5, -1, 1, -1, 1, 1, -1, 1, 1, 1, 1, 1, 5, 3, 1, 1, 1, 5, 5, 4, 5, 5]"
#3,10,None,11,0.0,8,21,0.761223937375548,"[{'group': 6, 'count': 14}, {'group': 3, 'count': 16}, {'group': -1, 'count': 21}, {'group': 4, 'count': 21}, {'group': 2, 'count': 28}, {'group': 0, 'count': 30}, {'group': 5, 'count': 47}, {'group': 1, 'count': 88}]","[1, 1, 1, 4, 4, 2, 2, 2, 2, 2, 1, 1, 4, 1, 4, 1, 5, 4, 4, -1, 2, 5, 2, 5, 5, 0, 0, 0, 0, 0, 1, 1, -1, 1, 1, 0, 0, 0, 1, 0, -1, 5, -1, -1, -1, 0, 0, 0, 4, 4, 1, 1, 5, 1, 1, 6, 6, 6, 6, 6, 1, -1, -1, 5, 5, 0, 0, 0, 5, 5, 0, 0, 0, 5, 5, 3, 3, 3, 1, 3, 2, 2, 2, 4, 1, 0, 0, 0, 0, 3, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 2, 5, 2, 2, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 2, 1, 3, 1, 4, 1, 1, 1, -1, 5, 4, 1, 4, 5, 1, 1, 1, 1, 1, 6, 6, 6, 6, 6, 3, 4, 3, 1, 4, -1, 5, -1, -1, 1, 2, 5, 5, 2, 3, 5, 1, 4, 1, 1, 0, 5, 5, 1, 1, 2, 2, 1, 2, 1, 2, 0, 2, 2, 0, 1, 4, 1, 4, 1, 5, 1, 5, 5, 2, -1, 5, 3, 2, 5, 0, 6, 6, 1, 0, 5, 5, 4, 5, 5, 0, 0, 0, 1, 1, 2, 2, 2, 2, 1, 5, -1, 1, 4, 1, 1, 1, 1, 1, 1, 3, 3, 3, 1, 3, -1, 5, -1, 5, 1, 5, 5, 1, -1, 4, 5, 5, 3, 5, -1, 1, -1, 1, 1, -1, 1, 1, 1, 1, 1, 6, 3, 1, 1, 1, 5, 5, 6, 5, 5]"
#3,10,None,12,0.0,8,25,0.7746941190661095,"[{'group': 6, 'count': 13}, {'group': 3, 'count': 16}, {'group': 4, 'count': 21}, {'group': -1, 'count': 25}, {'group': 2, 'count': 28}, {'group': 0, 'count': 30}, {'group': 5, 'count': 44}, {'group': 1, 'count': 88}]","[1, 1, 1, 4, 4, 2, 2, 2, 2, 2, 1, 1, 4, 1, 4, 1, 5, 4, 4, -1, 2, -1, 2, -1, 5, 0, 0, 0, 0, 0, 1, 1, -1, 1, 1, 0, 0, 0, 1, 0, -1, -1, -1, -1, -1, 0, 0, 0, 4, 4, 1, 1, 5, 1, 1, 6, 6, 6, 6, 6, 1, -1, -1, 5, 5, 0, 0, 0, 5, 5, 0, 0, 0, 5, 5, 3, 3, 3, 1, 3, 2, 2, 2, 4, 1, 0, 0, 0, 0, 3, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 2, 5, 2, 2, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 2, 1, 3, 1, 4, 1, 1, 1, -1, 5, 4, 1, 4, 5, 1, 1, 1, 1, 1, 6, 6, 6, 6, 6, 3, 4, 3, 1, 4, -1, 5, -1, -1, 1, 2, 5, 5, 2, 3, 5, 1, 4, 1, 1, 0, 5, 5, 1, 1, 2, 2, 1, 2, 1, 2, 0, 2, 2, 0, 1, 4, 1, 4, 1, 5, 1, 5, 5, 2, -1, 5, 3, 2, 5, 0, 6, 6, 1, 0, 5, 5, 4, 5, 5, 0, 0, 0, 1, 1, 2, 2, 2, 2, 1, 5, -1, 1, 4, 1, 1, 1, 1, 1, 1, 3, 3, 3, 1, 3, -1, 5, -1, 5, 1, 5, 5, 1, -1, 4, 5, 5, 3, 5, -1, 1, -1, 1, 1, -1, 1, 1, 1, 1, 1, -1, 3, 1, 1, 1, 5, 5, 6, 5, 5]"
#3,10,None,13,0.0,8,46,0.7619035135037046,"[{'group': 2, 'count': 16}, {'group': 4, 'count': 21}, {'group': 5, 'count': 27}, {'group': 1, 'count': 28}, {'group': 6, 'count': 29}, {'group': 0, 'count': 30}, {'group': -1, 'count': 46}, {'group': 3, 'count': 68}]","[-1, -1, -1, 4, 4, 1, 1, 1, 1, 1, -1, 6, 4, -1, 4, 5, 3, 4, 4, 3, 1, 3, 1, 3, 3, 0, 0, 0, 0, 0, 6, 6, -1, -1, 5, 0, 0, 0, 6, 0, 3, 3, 3, 3, 3, 0, 0, 0, 4, 4, -1, 6, 3, 5, 6, 3, -1, -1, -1, -1, 6, 3, 3, 3, 3, 0, 0, 0, 3, 3, 0, 0, 0, 3, 3, 2, 2, 2, 5, 2, 1, 1, 1, 4, 6, 0, 0, 0, 0, 2, 6, 6, -1, -1, 6, 3, 3, 3, 3, 3, 1, 3, 1, 1, 4, 5, 5, 5, -1, 5, 5, -1, -1, 6, -1, 6, 6, 5, 5, 6, -1, 1, 5, 2, 6, 4, -1, 5, -1, -1, 3, 4, 5, 4, 3, 5, 5, -1, 6, 6, 3, 3, 3, 3, 3, 2, 4, 2, 5, 4, -1, 3, -1, -1, 5, 1, 3, 3, 1, 2, 3, 6, 4, 6, 5, 0, 3, 3, -1, 5, 1, 1, 6, 1, 6, 1, 0, 1, 1, 0, -1, 4, 5, 4, 6, 3, 6, 3, 3, 1, -1, 3, 2, 1, 3, 0, 3, 3, -1, 0, 3, 3, 4, 3, 3, 0, 0, 0, 6, 6, 1, 1, 1, 1, -1, 3, 3, 6, 4, -1, -1, -1, -1, -1, -1, 2, 2, 2, 5, 2, -1, 3, -1, 3, 5, 3, 3, -1, -1, 4, 3, 3, 2, 3, 3, 6, 3, -1, 6, 3, -1, -1, -1, 5, -1, 3, 2, 5, 5, 5, 3, 3, 3, 3, 3]"
#3,10,None,14,0.0,7,16,0.7273427962530318,"[{'group': -1, 'count': 16}, {'group': 3, 'count': 16}, {'group': 5, 'count': 21}, {'group': 2, 'count': 28}, {'group': 0, 'count': 30}, {'group': 4, 'count': 66}, {'group': 1, 'count': 88}]","[1, 1, 1, 5, 5, 2, 2, 2, 2, 2, 1, 1, 5, 1, 5, 1, 4, 5, 5, 4, 2, 4, 2, 4, 4, 0, 0, 0, 0, 0, 1, 1, -1, 1, 1, 0, 0, 0, 1, 0, 4, 4, 4, 4, 4, 0, 0, 0, 5, 5, 1, 1, 4, 1, 1, 4, -1, -1, -1, -1, 1, 4, 4, 4, 4, 0, 0, 0, 4, 4, 0, 0, 0, 4, 4, 3, 3, 3, 1, 3, 2, 2, 2, 5, 1, 0, 0, 0, 0, 3, 1, 1, 1, 1, 1, 4, 4, 4, 4, 4, 2, 4, 2, 2, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 2, 1, 3, 1, 5, 1, 1, 1, -1, 4, 5, 1, 5, 4, 1, 1, 1, 1, 1, 4, 4, 4, 4, 4, 3, 5, 3, 1, 5, -1, 4, -1, -1, 1, 2, 4, 4, 2, 3, 4, 1, 5, 1, 1, 0, 4, 4, 1, 1, 2, 2, 1, 2, 1, 2, 0, 2, 2, 0, 1, 5, 1, 5, 1, 4, 1, 4, 4, 2, -1, 4, 3, 2, 4, 0, 4, 4, 1, 0, 4, 4, 5, 4, 4, 0, 0, 0, 1, 1, 2, 2, 2, 2, 1, 4, 4, 1, 5, 1, 1, 1, 1, 1, 1, 3, 3, 3, 1, 3, -1, 4, -1, 4, 1, 4, 4, 1, -1, 5, 4, 4, 3, -1, 4, 1, 4, 1, 1, 4, 1, 1, 1, 1, 1, 4, 3, 1, 1, 1, 4, 4, -1, 4, 4]"
