dimension,min_samples,min_cluster_size,epsilon,Silhouette_score,total_clusters,outliers,cluster_results,cluster_labels
250,None,5,0.0,0.5348578795053568,10,116,"[{'cluster_no': 5, 'count': 5}, {'cluster_no': 3, 'count': 7}, {'cluster_no': 4, 'count': 8}, {'cluster_no': 8, 'count': 9}, {'cluster_no': 7, 'count': 14}, {'cluster_no': 0, 'count': 22}, {'cluster_no': 6, 'count': 25}, {'cluster_no': 2, 'count': 28}, {'cluster_no': 1, 'count': 60}, {'cluster_no': -1, 'count': 116}]","[1, 0, 1, -1, 8, 1, 1, 5, 2, 1, 1, 1, 1, -1, 2, 0, 1, -1, 1, 1, -1, -1, -1, 6, 2, 7, -1, 1, 1, 1, 0, 1, -1, 7, -1, 3, -1, 6, 7, -1, 1, 3, 7, -1, 1, 1, -1, 0, 0, 6, 8, -1, -1, 0, -1, -1, 1, -1, -1, 1, 2, -1, 1, -1, 0, 1, 7, -1, -1, -1, -1, 0, -1, 6, 1, -1, -1, 1, 1, 8, -1, 2, 1, 5, 6, -1, 7, 4, 4, -1, -1, -1, -1, 1, -1, 6, -1, 2, -1, 2, 6, 0, 1, 1, 0, -1, 1, 0, -1, -1, 1, 2, 2, 3, 2, -1, -1, 6, 6, 1, 7, -1, -1, -1, -1, -1, -1, 4, 1, -1, 2, 2, -1, -1, -1, -1, 7, 8, 2, -1, 6, -1, 2, 2, -1, -1, 6, 0, 2, 3, -1, 1, -1, 4, 1, 2, 2, 2, 5, 1, 0, 5, -1, 1, 1, -1, -1, -1, 1, 6, 1, 6, 1, 1, -1, 7, -1, -1, -1, 8, 7, -1, -1, 0, 8, -1, -1, 6, 6, -1, 6, -1, 0, 1, -1, -1, 6, 4, -1, 7, 1, -1, 0, -1, 6, -1, 1, 5, 0, -1, 2, 1, 1, -1, 1, -1, 7, 0, -1, -1, -1, -1, 7, -1, 1, -1, -1, -1, 7, -1, 1, 1, 0, 4, 2, -1, 1, 6, -1, -1, -1, 1, -1, 8, 1, 2, 0, 3, -1, 2, -1, -1, 0, 6, 1, -1, -1, 1, -1, 3, 3, 1, 2, -1, 2, -1, -1, -1, 6, 1, -1, 8, -1, 4, -1, -1, -1, 6, 6, 8, -1, 1, -1, 6, 6, -1, 2, -1, 4, 1, 2, 0, 2, -1]"
250,None,6,0.0,0.552626719895956,8,132,"[{'cluster_no': 4, 'count': 7}, {'cluster_no': 3, 'count': 8}, {'cluster_no': 1, 'count': 19}, {'cluster_no': 6, 'count': 20}, {'cluster_no': 5, 'count': 23}, {'cluster_no': 0, 'count': 30}, {'cluster_no': 2, 'count': 55}, {'cluster_no': -1, 'count': 132}]","[2, 1, -1, -1, 5, 2, 2, -1, 0, 2, 2, 2, 2, -1, 0, 1, -1, -1, 2, 2, -1, -1, -1, 6, 0, -1, -1, 2, 2, -1, 1, 2, -1, 5, -1, 4, -1, 6, 5, -1, 2, 4, 5, -1, -1, 2, -1, 1, 1, 6, 5, -1, -1, 1, -1, -1, 2, -1, -1, 2, 0, 0, 2, -1, 1, 2, 5, -1, -1, -1, -1, 1, -1, 6, 2, -1, -1, 2, 2, 5, -1, 0, 2, -1, 6, -1, 5, 3, 3, -1, -1, -1, -1, 2, -1, 6, -1, 0, -1, 0, 6, 1, 2, 2, 1, 5, 2, 1, -1, -1, 2, 0, 0, 4, 0, -1, -1, 6, 6, 2, -1, -1, -1, -1, -1, 5, -1, 3, 2, -1, -1, 0, 0, -1, -1, -1, 5, -1, 0, -1, -1, -1, 0, 0, -1, -1, 6, -1, 0, 4, -1, -1, -1, -1, 2, 0, 0, 0, -1, 2, 1, -1, -1, 2, 2, 2, 6, -1, 2, 6, 2, 6, 2, 2, -1, -1, -1, -1, -1, 5, 5, -1, -1, 1, 5, -1, -1, -1, 6, -1, -1, -1, 1, -1, -1, -1, 6, 3, -1, 5, 2, -1, -1, -1, -1, -1, 2, -1, 1, -1, 0, 2, 2, -1, 2, -1, 5, 1, 2, -1, 5, -1, 5, -1, 2, -1, -1, -1, 5, -1, 2, 2, 1, 3, 0, 0, 2, 6, -1, -1, -1, 2, -1, 5, 2, 0, 1, 4, -1, 0, -1, -1, -1, 6, 2, -1, -1, 2, -1, 4, 4, 2, 0, 3, 0, -1, -1, -1, 6, 2, -1, 5, 5, 3, -1, -1, -1, 6, -1, 5, -1, 2, -1, 6, -1, -1, 0, -1, 3, -1, 0, 1, 0, -1]"
250,None,7,0.0,0.4017552919189243,6,112,"[{'cluster_no': 4, 'count': 8}, {'cluster_no': 0, 'count': 20}, {'cluster_no': 1, 'count': 25}, {'cluster_no': 2, 'count': 49}, {'cluster_no': 3, 'count': 80}, {'cluster_no': -1, 'count': 112}]","[-1, 0, -1, -1, 3, 2, 2, 3, 1, 2, 2, 2, 2, -1, 1, -1, -1, 3, 2, -1, -1, 3, -1, 3, 1, 3, -1, 2, 2, -1, 0, 2, -1, 3, -1, 3, -1, 3, 3, -1, 2, 3, 3, -1, -1, 2, 3, 0, 0, 3, 3, -1, -1, 0, -1, 3, 2, -1, -1, 2, 1, 1, 2, -1, 0, 2, 3, 3, 3, -1, -1, 0, -1, 3, 2, -1, -1, -1, 2, 3, -1, 1, 2, 3, 3, 3, 3, -1, 4, -1, -1, -1, -1, 2, -1, 3, -1, 1, -1, 1, 3, 0, 2, 2, 0, 3, 2, 0, 3, -1, 2, 1, 1, 3, 1, -1, 0, 3, 3, 2, 3, -1, -1, -1, -1, 3, -1, 4, 2, -1, -1, 1, -1, -1, -1, 3, 3, 3, -1, -1, 3, 3, 1, 1, -1, -1, 3, -1, 1, 3, -1, -1, -1, 4, -1, 1, -1, 1, 3, 2, 0, -1, -1, 2, 2, 2, 3, -1, 2, 3, 2, 3, 2, 2, -1, 3, -1, 3, -1, 3, 3, -1, -1, 0, 3, -1, -1, 3, 3, -1, 3, -1, 0, -1, -1, -1, 3, 4, -1, 3, 2, -1, -1, 3, -1, -1, 2, -1, 0, -1, 1, 2, -1, -1, 2, -1, 3, 0, -1, -1, 3, -1, 3, -1, 2, -1, -1, -1, 3, -1, 2, 2, 0, 4, -1, 1, 2, 3, 3, -1, 3, 2, 3, 3, 2, 1, 0, 3, -1, 1, -1, -1, 0, 3, 2, 3, 3, 2, -1, 3, 3, 2, -1, 4, 1, -1, -1, -1, 3, 2, -1, 3, 3, 4, -1, -1, 3, 3, 3, 3, -1, 2, -1, 3, 3, -1, 1, -1, 4, -1, 1, 0, 1, -1]"
250,None,8,0.0,0.6241615032882983,5,131,"[{'cluster_no': 0, 'count': 19}, {'cluster_no': 1, 'count': 28}, {'cluster_no': 2, 'count': 45}, {'cluster_no': 3, 'count': 71}, {'cluster_no': -1, 'count': 131}]","[-1, 0, -1, -1, 3, 2, 2, -1, 1, 2, 2, 2, 2, -1, 1, -1, -1, -1, 2, -1, -1, 3, -1, 3, 1, 3, -1, 2, 2, -1, 0, 2, -1, 3, -1, -1, -1, 3, 3, -1, 2, 3, 3, -1, -1, 2, -1, 0, 0, 3, 3, -1, -1, 0, -1, 3, 2, -1, -1, 2, 1, 1, 2, -1, 0, -1, 3, 3, 3, -1, -1, 0, -1, 3, 2, -1, -1, -1, 2, 3, -1, 1, 2, 3, 3, 3, 3, -1, -1, -1, -1, -1, -1, 2, -1, 3, -1, 1, -1, 1, 3, 0, 2, 2, 0, 3, 2, 0, 3, -1, 2, 1, 1, 3, 1, -1, -1, 3, 3, 2, -1, -1, -1, -1, -1, 3, -1, -1, 2, -1, -1, 1, -1, -1, -1, -1, 3, -1, -1, -1, 3, 3, 1, 1, -1, -1, 3, -1, 1, 3, -1, -1, -1, -1, -1, 1, -1, 1, 3, 2, 0, -1, -1, 2, 2, 3, 3, -1, 2, 3, 2, 3, 2, 2, -1, 3, -1, 3, -1, 3, 3, -1, -1, 0, 3, -1, -1, 3, 3, -1, 3, -1, 0, -1, -1, -1, 3, -1, -1, 3, 2, -1, -1, 3, -1, -1, 2, -1, 0, -1, 1, 2, -1, -1, -1, -1, 3, 0, -1, -1, 3, -1, 3, -1, 2, -1, -1, -1, 3, -1, -1, 2, 0, -1, 1, -1, 2, 3, 3, -1, -1, 2, 3, 3, 2, 1, 0, 3, -1, 1, -1, -1, 0, 3, 2, 3, -1, 2, -1, 3, 3, 2, 1, -1, 1, -1, -1, -1, 3, 2, -1, 3, 3, -1, -1, -1, -1, 3, 3, 3, -1, 2, -1, 3, 3, -1, 1, -1, -1, 1, 1, 0, 1, 1]"
250,None,9,0.0,0.593994644744724,5,125,"[{'cluster_no': 1, 'count': 18}, {'cluster_no': 0, 'count': 29}, {'cluster_no': 2, 'count': 51}, {'cluster_no': 3, 'count': 71}, {'cluster_no': -1, 'count': 125}]","[-1, 1, -1, 2, 3, -1, 2, -1, 0, 2, 2, 2, 2, 0, 0, -1, 2, -1, 2, -1, -1, 3, -1, 3, 0, 3, -1, 2, 2, 2, 1, 2, -1, 3, -1, -1, -1, 3, 3, -1, 2, -1, 3, -1, -1, 2, -1, 1, 1, 3, 3, -1, -1, 1, -1, 3, 2, -1, -1, 2, 0, 0, 2, -1, 1, -1, 3, 3, 3, -1, -1, 1, -1, 3, -1, -1, -1, -1, 2, 3, -1, 0, 2, -1, 3, 3, 3, -1, -1, -1, -1, -1, -1, 2, -1, 3, -1, 0, -1, 0, 3, 1, 2, 2, 1, 3, 2, 1, 3, -1, 2, 0, 0, -1, 0, -1, -1, 3, 3, 2, -1, -1, -1, -1, -1, 3, -1, 3, 2, -1, -1, 0, -1, -1, -1, -1, 3, -1, -1, -1, 3, -1, 0, 0, -1, 2, 3, -1, 0, 3, -1, -1, -1, 3, -1, 0, 0, 0, 3, 2, 1, -1, -1, 2, 2, 2, 3, -1, 2, 3, 2, 3, 2, 2, -1, 3, -1, 3, -1, 3, 3, -1, 3, 1, 3, -1, -1, 3, 3, -1, 3, -1, 1, -1, -1, -1, 3, -1, -1, 3, 2, -1, -1, 3, -1, -1, 2, -1, 1, -1, 0, 2, 2, -1, 3, -1, 3, 1, 2, -1, 3, -1, 3, -1, 2, -1, -1, -1, 3, -1, 2, 2, 1, 3, 0, -1, 2, 3, 3, -1, 3, 2, 3, 3, 2, 0, 1, 3, -1, 0, -1, -1, -1, 3, 2, 3, -1, 2, -1, 3, -1, 2, -1, -1, 0, -1, -1, -1, 3, 2, -1, 3, 3, -1, -1, -1, -1, 3, 3, 3, -1, 2, -1, 3, 3, -1, 0, -1, -1, 0, 0, 1, 0, 0]"
250,None,10,0.0,0.6540788077474345,5,147,"[{'cluster_no': 1, 'count': 18}, {'cluster_no': 0, 'count': 27}, {'cluster_no': 2, 'count': 41}, {'cluster_no': 3, 'count': 61}, {'cluster_no': -1, 'count': 147}]","[-1, 1, -1, -1, 3, -1, -1, -1, 0, 2, 2, 2, 2, -1, 0, -1, -1, -1, 2, -1, -1, 3, -1, 3, 0, -1, -1, 2, 2, -1, 1, 2, -1, 3, -1, -1, -1, 3, 3, -1, -1, -1, 3, -1, -1, 2, -1, 1, 1, 3, 3, -1, -1, 1, -1, -1, 2, -1, -1, -1, 0, -1, 2, -1, 1, -1, 3, 3, 3, 1, -1, 1, -1, 3, -1, -1, -1, 2, 2, 3, -1, 0, 2, -1, 3, 3, 3, -1, -1, -1, -1, -1, -1, 2, -1, 3, -1, 0, -1, 0, 3, 1, 2, 2, -1, 3, 2, 1, -1, -1, 2, 0, 0, 3, 0, -1, -1, 3, 3, 2, -1, -1, -1, -1, -1, -1, -1, -1, 2, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, 3, -1, 0, 0, -1, 2, 3, -1, 0, 3, -1, -1, -1, -1, -1, 0, 0, 0, -1, 2, 1, -1, -1, 2, 2, 3, 3, -1, 2, 3, 2, 3, 2, 2, -1, 3, -1, 3, -1, 3, 3, -1, 3, 1, -1, -1, -1, 3, 3, -1, 3, -1, 1, -1, -1, -1, 3, -1, -1, 3, 2, -1, -1, 3, -1, -1, -1, -1, 1, -1, 0, 2, -1, -1, -1, -1, 3, 1, 2, -1, 3, -1, 3, -1, 2, -1, -1, -1, 3, -1, -1, 2, 1, -1, 0, 0, 2, 3, 3, -1, 3, 2, 3, 3, 2, 0, 1, -1, -1, 0, -1, -1, -1, 3, 2, 3, -1, 2, -1, 3, -1, -1, -1, -1, 0, -1, -1, -1, 3, 2, -1, 3, 3, 0, -1, -1, -1, 3, 3, 3, -1, 2, -1, 3, 3, -1, 0, -1, -1, -1, 0, 1, 0, -1]"
250,None,11,0.0,0.22467920017112283,4,120,"[{'cluster_no': 0, 'count': 18}, {'cluster_no': 2, 'count': 24}, {'cluster_no': -1, 'count': 120}, {'cluster_no': 1, 'count': 132}]","[-1, 0, -1, 1, 1, 1, 1, -1, 2, 1, 1, 1, 1, -1, 2, -1, -1, 1, 1, 1, -1, 1, 1, 1, 2, 1, -1, 1, 1, 1, 0, 1, -1, 1, -1, -1, -1, 1, 1, -1, -1, -1, 1, 1, -1, 1, -1, 0, 0, 1, 1, -1, -1, 0, -1, 1, 1, -1, -1, 1, -1, -1, 1, -1, 0, -1, 1, 1, 1, 0, -1, 0, -1, 1, 1, -1, -1, 1, 1, 1, -1, 2, 1, -1, 1, 1, 1, -1, -1, -1, -1, 1, -1, 1, -1, 1, -1, 2, 1, 2, 1, 0, 1, 1, -1, 1, 1, 0, 1, -1, 1, 2, 2, 1, 2, -1, -1, 1, 1, 1, 1, -1, -1, -1, -1, 1, -1, -1, 1, -1, -1, 2, -1, -1, -1, -1, 1, 1, -1, -1, 1, -1, 2, 2, -1, 1, 1, -1, 2, -1, -1, 1, -1, -1, -1, 2, -1, 2, 1, 1, 0, -1, -1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, -1, 1, -1, 1, -1, 1, 1, 1, 1, 0, 1, -1, -1, -1, 1, -1, 1, -1, 0, -1, -1, -1, 1, -1, -1, 1, 1, -1, -1, 1, -1, -1, 1, -1, 0, -1, 2, 1, 1, -1, 1, -1, 1, 0, 1, -1, 1, -1, 1, -1, 1, -1, -1, -1, 1, -1, 1, 1, 0, -1, -1, 2, 1, 1, 1, -1, 1, 1, 1, 1, 1, 2, 0, 1, -1, 2, -1, -1, -1, 1, 1, 1, -1, 1, 1, -1, 1, 1, -1, 1, 2, -1, -1, -1, 1, 1, -1, 1, 1, 2, -1, -1, 1, 1, 1, 1, -1, 1, -1, 1, 1, -1, 2, -1, -1, -1, 2, 0, 2, -1]"
250,None,12,0.0,0.20249899320251857,3,74,"[{'cluster_no': 1, 'count': 26}, {'cluster_no': -1, 'count': 74}, {'cluster_no': 0, 'count': 194}]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, -1, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, -1, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, -1, 0, -1, 0, 0, 0, 0, 0, -1, 1, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, -1, -1, 0, 0, 0, -1, 0, -1, 0, -1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 1, 1, 0, 1, -1, 0, 0, 0, 0, 0, -1, 0, -1, -1, 0, -1, -1, 0, -1, -1, 1, -1, 0, -1, 0, 0, 0, 1, -1, 0, 0, 1, 1, 0, 0, 0, -1, 1, 0, -1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1, 0, -1, 0, 0, -1, -1, 0, -1, -1, 0, 0, -1, 0, 0, 0, -1, 0, 0, 0, -1, 1, 0, 0, -1, 0, -1, 0, 0, 0, -1, 0, -1, 0, -1, 0, -1, -1, -1, 0, 0, 0, 0, 0, 0, -1, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0, -1, 1, -1, -1, -1, 0, 0, 0, -1, 0, 0, 0, -1, 0, -1, 0, 1, 1, 0, -1, 0, 0, -1, 0, 0, -1, -1, -1, 0, 0, 0, 0, -1, 0, -1, 0, 0, -1, 1, 0, -1, 0, 1, 0, 1, -1]"
250,None,13,0.0,0.20934593837715085,3,82,"[{'cluster_no': 1, 'count': 24}, {'cluster_no': -1, 'count': 82}, {'cluster_no': 0, 'count': 188}]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, -1, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, -1, 0, 0, 0, -1, 0, -1, 0, -1, -1, 0, 0, 0, -1, 0, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, -1, 0, -1, 0, 0, 0, 0, 0, -1, -1, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, -1, -1, 0, 0, 0, -1, 0, -1, 0, -1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, -1, 0, 0, 0, 0, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, -1, 1, 0, 0, -1, 0, 0, 0, -1, -1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, -1, 0, 0, 0, 0, 1, 1, 1, -1, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1, 0, -1, 0, 0, -1, -1, 0, -1, -1, 0, 0, -1, 0, 0, 0, -1, 0, -1, 0, -1, 1, 0, 0, -1, 0, -1, 0, 0, 0, -1, 0, -1, 0, -1, 0, -1, -1, -1, 0, 0, 0, 0, 0, -1, -1, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0, -1, 1, -1, -1, -1, 0, 0, 0, -1, 0, 0, 0, -1, 0, -1, 0, 1, 1, -1, -1, 0, 0, -1, 0, 0, -1, -1, -1, 0, 0, 0, 0, -1, 0, -1, 0, 0, -1, 1, 0, -1, -1, 1, 0, 1, -1]"
250,None,14,0.0,0.23324695328488662,3,88,"[{'cluster_no': 1, 'count': 24}, {'cluster_no': -1, 'count': 88}, {'cluster_no': 0, 'count': 182}]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, -1, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, -1, 0, 0, 0, -1, 0, -1, 0, -1, -1, 0, 0, 0, -1, 0, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, -1, -1, -1, 0, 0, 0, 0, 0, -1, -1, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 0, -1, -1, 0, 0, 0, -1, 0, -1, 0, -1, 1, 0, 1, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, 0, 1, 1, 0, 1, -1, 0, 0, 0, 0, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, -1, 1, -1, 0, -1, 0, 0, 0, -1, -1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, -1, 0, 0, 0, 0, 1, 1, 1, -1, 0, -1, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1, 0, -1, -1, 0, -1, -1, 0, -1, -1, 0, 0, -1, 0, 0, 0, 0, 0, -1, -1, -1, 1, 0, 0, -1, 0, -1, 0, 0, 0, -1, 0, -1, 0, -1, 0, -1, -1, -1, 0, 0, 0, 0, 0, -1, -1, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, -1, -1, 1, -1, -1, -1, 0, 0, 0, -1, 0, 0, 0, -1, 0, -1, 0, 1, 1, 0, -1, 0, 0, -1, 0, 0, -1, -1, -1, 0, 0, 0, 0, -1, 0, -1, 0, 0, 0, 1, 0, -1, -1, 1, 0, 1, -1]"
