,parent,child,lambda_val,child_size
0,294,39,623.5260712825659,1
1,294,70,644.93026831706,1
2,294,270,647.944077549917,1
3,294,201,689.8526315789474,1
4,294,123,702.4752334296361,1
5,294,221,707.0044669195112,1
6,294,126,707.8098131038265,1
7,294,127,712.5293468104986,1
8,294,15,712.8926659301436,1
9,294,256,721.569652918154,1
10,294,88,743.3743630643803,1
11,294,138,771.8630842841369,1
12,294,96,772.6806981992355,1
13,294,233,780.4445271433224,1
14,294,285,781.3168164671913,1
15,294,167,785.4501872659176,1
16,294,174,796.6011110583543,1
17,294,282,799.6766444232602,1
18,294,219,806.8684653489155,1
19,294,30,810.6893452524764,1
20,294,46,812.8102320624001,1
21,294,251,817.5632766434385,1
22,294,189,817.5632766434385,1
23,294,87,825.4878960834482,1
24,294,234,829.7337289812067,1
25,294,60,829.9800138517859,1
26,294,20,833.3606199086032,1
27,294,223,840.6261148411664,1
28,294,193,842.483478959526,1
29,294,288,848.9634652363121,1
30,294,198,863.1587179091424,1
31,294,52,864.9832955248505,1
32,294,197,868.6107170592803,1
33,294,230,868.9256266832401,1
34,294,183,872.1326610178302,1
35,294,139,873.9954157116066,1
36,294,267,875.0895055288963,1
37,294,289,879.7701101206083,1
38,294,71,883.5228816683343,1
39,294,226,886.0425666754687,1
40,294,252,886.136164369091,1
41,294,176,887.8712955122777,1
42,294,194,901.1772036310898,1
43,294,61,902.0978599849446,1
44,294,213,902.631731855598,1
45,294,94,911.5079865261328,1
46,294,41,913.1451586567246,1
47,294,53,913.990847679233,1
48,294,239,916.53733952472,1
49,294,104,916.53733952472,1
50,294,47,917.4394925356811,1
51,294,185,925.1801036726591,1
52,294,101,931.6017546782165,1
53,294,113,933.311971517579,1
54,294,29,934.9763709317878,1
55,294,130,946.5818099751749,1
56,294,129,951.7907755148352,1
57,294,51,953.1425974321099,1
58,294,150,957.1119858520167,1
59,294,116,963.8200723846728,1
60,294,293,963.9308244757253,1
61,294,209,978.3774201073012,1
62,294,191,982.7904633589128,1
63,294,147,982.9632059995313,1
64,294,260,984.2318432476827,1
65,294,215,989.1060016507487,1
66,294,263,992.6172050644894,1
67,294,235,994.7359184157476,1
68,294,273,994.7359184157476,1
69,294,160,994.853889943074,1
70,294,158,1003.3019973687358,1
71,294,275,1008.79177439721,1
72,294,156,1009.3987124721738,1
73,294,225,1011.2848704038578,1
74,294,107,1017.4792892231185,1
75,294,132,1031.9995079042874,1
76,294,227,1037.4878486178961,1
77,294,40,1037.6803562592777,1
78,294,91,1044.0084629744865,1
79,294,54,1046.8095089536407,1
80,294,35,1062.8581564776687,1
81,294,149,1067.7283777763635,1
82,294,6,1085.833667723772,1
83,294,83,1086.4665198808445,1
84,294,274,1088.4401193719996,1
85,294,78,1089.0053226015839,1
86,294,250,1097.3390018967884,1
87,294,186,1104.7817726853682,1
88,294,121,1104.7817726853682,1
89,294,217,1108.431289640592,1
90,294,161,1109.457479169422,1
91,294,295,1111.0739072847682,179
92,294,296,1111.0739072847682,24
93,295,262,1111.0739072847682,1
94,296,75,1193.0888920494951,1
95,295,207,1114.9133439659756,1
96,296,265,1208.4719441043003,1
97,295,177,1116.62003327787,1
98,296,99,1287.5837298541826,1
99,295,16,1120.7225116900468,1
100,296,14,1380.8408230452676,1
101,295,236,1123.5746048754354,1
102,296,155,1506.3041838750225,1
103,295,141,1124.0262628969583,1
104,296,210,1532.7257445642244,1
105,295,259,1135.3600866211004,1
106,296,245,1609.634078480284,1
107,295,44,1141.773240778549,1
108,296,131,1632.0249027237355,1
109,295,92,1147.4739073934752,1
110,296,81,1857.5305580159434,1
111,295,195,1148.966990823175,1
112,296,24,1919.3703237615834,1
113,296,97,1919.3703237615834,1
114,296,292,1919.3703237615834,1
115,296,142,1919.3703237615834,1
116,296,264,1919.3703237615834,1
117,296,8,1919.3703237615834,1
118,296,290,1919.3703237615834,1
119,296,114,1919.3703237615834,1
120,296,286,1919.3703237615834,1
121,296,112,1919.3703237615834,1
122,296,143,1919.3703237615834,1
123,296,111,1919.3703237615834,1
124,296,157,1919.3703237615834,1
125,296,148,1919.3703237615834,1
126,296,249,1919.3703237615834,1
127,295,153,1155.6148229783716,1
128,295,124,1160.2500691562932,1
129,295,247,1161.6961639662097,1
130,295,248,1164.518359130978,1
131,295,258,1165.0844444444444,1
132,295,154,1167.5167710508003,1
133,295,115,1167.8418488096895,1
134,295,9,1177.0181001824049,1
135,295,291,1179.7493847127487,1
136,295,82,1182.5767251709312,1
137,295,240,1203.0127635164206,1
138,295,151,1204.827001795332,1
139,295,202,1204.827001795332,1
140,295,280,1211.1764366156513,1
141,295,89,1211.3513357400723,1
142,295,144,1216.35728267962,1
143,295,90,1225.2403417804717,1
144,295,98,1239.9095410538762,1
145,295,34,1241.4692911055201,1
146,295,135,1259.3616574087976,1
147,295,152,1268.2149822359968,1
148,295,206,1268.7904408984346,1
149,295,28,1277.4854184116348,1
150,295,208,1299.9547497288083,1
151,295,64,1299.9547497288083,1
152,295,192,1299.9547497288083,1
153,295,48,1299.9547497288083,1
154,295,246,1299.9547497288083,1
155,295,1,1299.9547497288083,1
156,295,232,1299.9547497288083,1
157,295,62,1299.9547497288083,1
158,295,137,1310.412871983129,1
159,295,136,1317.8238944309167,1
160,295,243,1321.8733060195398,1
161,295,76,1338.5364608265518,1
162,295,122,1347.5675502008032,1
163,295,218,1352.7830995000807,1
164,295,49,1352.8921861140232,1
165,295,100,1366.2228013029317,1
166,295,266,1368.1167740357173,1
167,295,200,1374.956236682511,1
168,295,102,1380.499958857895,1
169,295,297,1388.0380574170597,46
170,295,298,1388.0380574170597,81
171,297,36,1394.9626673318367,1
172,298,165,1388.0380574170597,1
173,297,5,1468.2082786383128,1
174,298,166,1388.727423226554,1
