Cluster,NumDocs,Percent,DocId,NumTopics,Score,LDATopics
-1,34,0.08600000000000001,"[1, 4, 11, 13, 17, 18, 27, 29, 32, 39, 49, 56, 60, 61, 73, 78, 83, 84, 92, 105, 110, 125, 135, 137, 146, 153, 157, 161, 194, 228, 235, 283, 289, 382]",5,-7.277263932,"[{'topic': ['event', 'festival', 'study', 'tourism', 'place', 'people', 'city', 'development', 'policy', 'work'], 'score': -0.7426045562}, {'topic': ['city', 'politics', 'planning', 'urban planning', 'history', 'mobility', 'article', 'culture', 'people', 'policy'], 'score': -0.8036821919}, {'topic': ['people', 'beauty', 'coordination', 'study', 'mobility', 'organisation', 'culture', 'paper', 'mechanism', 'city'], 'score': -5.7421000072}, {'topic': ['culture', 'people', 'life', 'space', 'TV', 'aborigine', 'street', 'town', 'new town', 'show'], 'score': -9.6644742927}, {'topic': ['youth', 'year', 'people', 'culture', 'group', 'identity', 'fever', 'use', 'drug', 'discussion'], 'score': -10.1048019562}]"
0,39,0.099,"[14, 20, 43, 54, 66, 86, 94, 98, 109, 113, 123, 124, 128, 131, 133, 141, 142, 154, 155, 165, 166, 167, 171, 175, 176, 190, 191, 192, 193, 213, 218, 280, 286, 292, 315, 321, 327, 337, 368]",10,-3.0294223814,"[{'topic': ['migrant', 'multicultural melting', 'main tourism cluster', 'majority', 'many country', 'many different culture', 'mediation', 'melting', 'melting pot', 'limited time'], 'score': -0.1694359774}, {'topic': ['migrant', 'multicultural melting', 'main tourism cluster', 'majority', 'many country', 'many different culture', 'mediation', 'melting', 'melting pot', 'limited time'], 'score': -0.1694359774}, {'topic': ['migrant', 'multicultural melting', 'main tourism cluster', 'majority', 'many country', 'many different culture', 'mediation', 'melting', 'melting pot', 'limited time'], 'score': -0.1694359774}, {'topic': ['migrant', 'multicultural melting', 'main tourism cluster', 'majority', 'many country', 'many different culture', 'mediation', 'melting', 'melting pot', 'limited time'], 'score': -0.1694359774}, {'topic': ['downtown', 'example', 'power', 'decade', 'imagery', 'barrio', 'museum', 'day', 'mass', 'revitalization'], 'score': -0.6693358423}, {'topic': ['study', 'city', 'people', 'music', 'globalization', 'part', 'book', 'culture', 'transformation', 'way'], 'score': -1.1069769249}, {'topic': ['city', 'tourism', 'activity', 'development', 'culture', 'community', 'area', 'time', 'space', 'center'], 'score': -1.6063357777}, {'topic': ['city', 'people', 'place', 'culture', 'community', 'process', 'space', 'movement', 'nationalism', 'work'], 'score': -3.4278840446}, {'topic': ['city', 'space', 'practice', 'cosmopolitanism', 'material', 'design', 'analysis', 'people', 'built environment', 'paper'], 'score': -4.5629588581}, {'topic': ['art', 'artist', 'hop', 'hip hop', 'actor', 'hip', 'people', 'practice', 'flow', 'hand'], 'score': -7.3902319643}]"
1,29,0.074,"[68, 91, 103, 121, 129, 201, 205, 226, 238, 244, 264, 268, 269, 294, 298, 302, 319, 324, 330, 344, 347, 349, 350, 361, 362, 365, 371, 384, 395]",10,-2.5637704058,"[{'topic': ['strong adaption', 'studied region', 'stair', 'stone masonry', 'stone wall', 'storage', 'store food', 'shale', 'tile', 'tile wall'], 'score': 0.0}, {'topic': ['strong adaption', 'studied region', 'stair', 'stone masonry', 'stone wall', 'storage', 'store food', 'shale', 'tile', 'tile wall'], 'score': 0.0}, {'topic': ['strong adaption', 'studied region', 'stair', 'stone masonry', 'stone wall', 'storage', 'store food', 'shale', 'tile', 'tile wall'], 'score': 0.0}, {'topic': ['change', 'market', 'place', 'culture', 'heritage', 'study', 'architecture', 'city', 'group', 'identity'], 'score': -0.7550238064}, {'topic': ['form', 'environment', 'space', 'study', 'pattern', 'culture', 'living', 'effect', 'paper', 'development'], 'score': -0.7965826465}, {'topic': ['people', 'care', 'society', 'older people', 'medical care', 'life', 'development', 'community', 'research', 'system'], 'score': -0.8688629709000001}, {'topic': ['system', 'identity', 'design', 'community', 'variety', 'tradition', 'modifier', 'region', 'urban design', 'concept'], 'score': -1.1571458558}, {'topic': ['city', 'architecture', 'culture', 'space', 'project', 'people', 'building', 'transformation', 'area', 'urban planning'], 'score': -1.5565578324}, {'topic': ['city', 'identity', 'factor', 'city identity', 'century', 'house', 'development', 'culture', 'relation', 'society'], 'score': -2.7665232565}, {'topic': ['street', 'conservation', 'city', 'area', 'modernization', 'action', 'stone', 'cubic stone', 'stone street', 'use'], 'score': -6.6405320158}]"
2,18,0.046,"[106, 118, 210, 214, 252, 253, 256, 259, 273, 276, 354, 359, 360, 364, 366, 376, 378, 391]",10,-3.2803485625,"[{'topic': ['livable city', 'sensing data', 'model', 'remote sensing data', 'representative', 'evaluation model', 'evaluation index', 'account', 'comprehensive evaluation model', 'reformation'], 'score': -0.0770163534}, {'topic': ['background', 'attempt', 'consequence', 'climate zone', 'climate', 'city urban environment', 'city issue', 'disease', 'Urban concept', 'Tripoli city'], 'score': -0.1386294361}, {'topic': ['risk', 'resilience', 'indicator', 'people', 'space', 'public space', 'urban public space', 'key indicator', 'kind', 'function'], 'score': -0.532070542}, {'topic': ['blight', 'urban environment', 'urban blight', 'approach', 'policy', 'system', 'identification', 'cause', 'Urban blight', 'phenomenon'], 'score': -0.5965290539}, {'topic': ['city', 'scenery', 'natural scenery', 'scenery city', 'construction', 'natural scenery city', 'problem', 'resort', 'rapid growth', 'growth'], 'score': -0.6978291196}, {'topic': ['city', 'space', 'research', 'data', 'index', 'evaluation', 'urban space', 'development', 'process', 'area'], 'score': -1.3699428585}, {'topic': ['city', 'protection', 'people', 'culture', 'development', 'traffic', 'space', 'planning', 'pollution', 'environment'], 'score': -2.6515479987}, {'topic': ['environment', 'city', 'residential environment', 'quality', 'factor', 'management', 'environmental quality', 'health', 'system', 'part'], 'score': -2.6668916307}, {'topic': ['city', 'design', 'concept', 'area', 'construction', 'problem', 'effect', 'value', 'rural design', 'relationship'], 'score': -4.4884591808}, {'topic': ['axis', 'urban space axis', 'space axis', 'dwelling', 'characteristic dwelling', 'nationality characteristic dwelling', 'traditional culture', 'nationality', 'architect', 'planner'], 'score': -15.9439740307}]"
3,18,0.046,"[15, 22, 24, 33, 48, 59, 79, 81, 96, 149, 184, 200, 211, 223, 281, 339, 342, 377]",10,-2.0072756089,"[{'topic': ['including experience', 'high quality product', 'internet research', 'internet', 'integral part', 'intangible element', 'innovative itinerary', 'increasing importance', 'itinerary', 'globalisation'], 'score': 0.0}, {'topic': ['including experience', 'high quality product', 'internet research', 'internet', 'integral part', 'intangible element', 'innovative itinerary', 'increasing importance', 'itinerary', 'globalisation'], 'score': 0.0}, {'topic': ['topic', 'knowledge', 'entrepreneurship', 'knowledge spillover', 'spillover', 'capacity', 'diversity', 'economic development', 'development', 'mechanism'], 'score': -0.43386015040000003}, {'topic': ['cluster', 'book', 'creative cluster', 'geography', 'contribution', 'investment', 'range', 'study', 'creative industry', 'interest'], 'score': -0.8564913571}, {'topic': ['planning', 'culture', 'place', 'branding', 'paper', 'practice', 'element', 'activity', 'place branding', 'cultural planning'], 'score': -1.0389450342}, {'topic': ['art', 'community', 'activity', 'heritage', 'research', 'participation', 'cultural participation', 'center', 'planner', 'sector'], 'score': -1.0805902904}, {'topic': ['urban design', 'design', 'development', 'city', 'area', 'cultural regeneration', 'regeneration', 'space', 'expression', 'art'], 'score': -1.3076299883}, {'topic': ['city', 'culture', 'place', 'development', 'economy', 'regeneration', 'people', 'product', 'approach', 'experience'], 'score': -1.3662069833000001}, {'topic': ['process', 'development', 'cultural production', 'production', 'economic development', 'research', 'creative activity', 'externality', 'agglomeration', 'art'], 'score': -3.2541188466}, {'topic': ['placemaking', 'Creative placemaking', 'creative placemaking', 'municipality', 'smart creative city', 'issue', 'new way', 'future', 'outcome', 'single art'], 'score': -7.794745337}]"
4,18,0.046,"[71, 75, 160, 172, 215, 239, 242, 284, 296, 297, 301, 303, 311, 313, 314, 345, 385, 394]",10,-3.1019714146,"[{'topic': ['main city', 'large number', 'monasticism', 'monastic production', 'monastic order', 'medium sized city', 'manage', 'major contribution', 'morality', 'key'], 'score': 0.0}, {'topic': ['main city', 'large number', 'monasticism', 'monastic production', 'monastic order', 'medium sized city', 'manage', 'major contribution', 'morality', 'key'], 'score': 0.0}, {'topic': ['church', 'method', 'wooden church', 'panorama', 'Cross wooden church', 'information', 'hill', 'village', 'nature', 'foundation'], 'score': -0.0398168771}, {'topic': ['condition', 'form', 'country', 'market', 'labour market', 'period', 'contribution', 'system', 'labour', 'integration'], 'score': -0.8595491955000001}, {'topic': ['city', 'space', 'development', 'people', 'culture', 'inhabitant', 'place', 'study', 'result', 'structure'], 'score': -0.9378947959}, {'topic': ['city', 'resident', 'ambition', 'desire', 'principle', 'form', 'example', 'perspective', 'democracy', 'thanks'], 'score': -1.0617966871}, {'topic': ['building', 'identity', 'culture', 'city', 'way', 'music', 'place', 'architecture', 'people', 'number'], 'score': -1.4030602778}, {'topic': ['town', 'empire', 'model', 'religion', 'system', 'culture', 'end', 'change', 'part', 'area'], 'score': -3.4736303527}, {'topic': ['monasticism', 'continent', 'effect', 'Écija', 'border', 'influence', 'mining', 'assembly', 'coal', 'deposit'], 'score': -11.0934985848}, {'topic': ['small town', 'bank', 'office', 'branch', 'branch office', 'office building', 'territory', 'branch office building', 'revitalization', 'programme'], 'score': -11.6842658032}]"
5,6,0.015,"[173, 185, 232, 285, 329, 348]",9,-1.1694392522000001,"[{'topic': ['impact', 'history', 'original concept', 'number', 'motivation', 'model', 'military compulsion', 'many city', 'local contexts', 'indirect impact'], 'score': 0.0}, {'topic': ['impact', 'history', 'original concept', 'number', 'motivation', 'model', 'military compulsion', 'many city', 'local contexts', 'indirect impact'], 'score': 0.0}, {'topic': ['impact', 'history', 'original concept', 'number', 'motivation', 'model', 'military compulsion', 'many city', 'local contexts', 'indirect impact'], 'score': 0.0}, {'topic': ['impact', 'history', 'original concept', 'number', 'motivation', 'model', 'military compulsion', 'many city', 'local contexts', 'indirect impact'], 'score': 0.0}, {'topic': ['impact', 'history', 'original concept', 'number', 'motivation', 'model', 'military compulsion', 'many city', 'local contexts', 'indirect impact'], 'score': 0.0}, {'topic': ['model', 'urban planning model', 'planning model', 'city', 'consequence', 'world', 'essay', 'plan', 'series', 'concept'], 'score': -0.2389012626}, {'topic': ['city', 'planning', 'policy', 'elasticity', 'challenge', 'governance', 'hence', 'urban governance', 'state', 'problem'], 'score': -0.6510140367}, {'topic': ['culture', 'planning', 'urban planning', 'informality', 'survey', 'study', 'development', 'space', 'research', 'people'], 'score': -1.653220083}, {'topic': ['city', 'space', 'Indian city', 'urbanisation', 'discourse', 'dystopian city', 'conglomeration', 'economic liberalisation', 'development policy', 'liberalisation'], 'score': -7.5621218814999995}]"
6,29,0.074,"[76, 82, 90, 122, 179, 222, 243, 246, 261, 270, 272, 279, 288, 295, 299, 312, 318, 326, 336, 338, 340, 343, 346, 352, 355, 358, 370, 375, 388]",10,-2.0227019662,"[{'topic': ['central region', 'chemical', 'cement', 'cement concrete', 'cement matrix', 'cement soil', 'central city', 'care', 'ceramic tile', 'chloride ion'], 'score': 0.0}, {'topic': ['central region', 'chemical', 'cement', 'cement concrete', 'cement matrix', 'cement soil', 'central city', 'care', 'ceramic tile', 'chloride ion'], 'score': 0.0}, {'topic': ['central region', 'chemical', 'cement', 'cement concrete', 'cement matrix', 'cement soil', 'central city', 'care', 'ceramic tile', 'chloride ion'], 'score': 0.0}, {'topic': ['central region', 'chemical', 'cement', 'cement concrete', 'cement matrix', 'cement soil', 'central city', 'care', 'ceramic tile', 'chloride ion'], 'score': 0.0}, {'topic': ['concrete', 'region', 'experimental study', 'strength', 'water', 'residential building', 'china', 'application', 'steel', 'cold region'], 'score': -0.1232261654}, {'topic': ['city', 'study', 'space', 'design', 'people', 'research', 'public space', 'life', 'development', 'area'], 'score': -0.6924781126}, {'topic': ['space', 'climate', 'behavior', 'method', 'factor', 'scale', 'comfort', 'criterion', 'mountainous climate', 'plant'], 'score': -1.0091812367}, {'topic': ['system', 'art', 'technology', 'information', 'people', 'culture', 'city', 'form', 'life', 'person'], 'score': -1.92646477}, {'topic': ['space', 'design', 'people', 'environment', 'process', 'urban space', 'bathroom', 'planning', 'culture', 'model'], 'score': -4.3604219005000004}, {'topic': ['study', 'building', 'design', 'property', 'architecture', 'material', 'society', 'time', 'paper', 'health'], 'score': -4.4434009331}]"
7,24,0.061,"[37, 42, 55, 70, 119, 139, 145, 158, 168, 178, 189, 196, 207, 230, 241, 247, 255, 266, 277, 322, 323, 331, 356, 390]",3,-2.8429622425,"[{'topic': ['city', 'place', 'environment', 'study', 'culture', 'vehicle', 'space', 'development', 'people', 'way'], 'score': -1.9643670326}, {'topic': ['rail', 'city', 'culture', 'transit', 'transport', 'development', 'service', 'environment', 'model', 'strategy'], 'score': -2.6833805513}, {'topic': ['city', 'design', 'space', 'concept', 'neighborhood', 'life', 'smart city', 'capital', 'paper', 'neighborhood design'], 'score': -3.5610946009}]"
8,15,0.038,"[2, 3, 8, 9, 12, 40, 53, 58, 63, 87, 95, 180, 203, 250, 310]",10,-4.7185656064,"[{'topic': ['square', 'behaviour', 'day', 'square design', 'public square', 'community social interaction', 'built environment', 'traditional square', 'pattern', 'behaviour pattern'], 'score': 0.0}, {'topic': ['treasure', 'toward old masonry', 'urban asset', 'understanding public perception', 'tree denoting synergy', 'tree', 'urban tree', 'stronger commitment', 'synergy', 'worth preserving'], 'score': 0.0}, {'topic': ['symbol', 'meaning', 'landscape symbol', 'experience', 'representation', 'audience', 'text', 'three type', 'three theory', 'theory'], 'score': -0.1386294361}, {'topic': ['tree', 'effect', 'function', 'resident', 'masonry', 'stonewall tree', 'wall', 'people', 'community', 'factor'], 'score': -0.40809408150000004}, {'topic': ['perception', 'space', 'specie', 'designing', 'plant', 'green space', 'user', 'preference', 'study', 'city'], 'score': -0.5723059526000001}, {'topic': ['landscape', 'type', 'people', 'nature', 'paper', 'relationship', 'image', 'preference', 'way', 'culture'], 'score': -0.8019810811}, {'topic': ['space', 'dimension', 'green space', 'people', 'open space', 'culture', 'study', 'sensory dimension', 'environment', 'design'], 'score': -2.5132852784}, {'topic': ['space', 'area', 'service', 'green space', 'park', 'activity', 'ecosystem', 'study', 'ecosystem service', 'sustainability'], 'score': -5.3337512047}, {'topic': ['landscape', 'concept', 'century', 'discipline', 'research', 'approach', 'paper', 'work', 'possibility', 'call'], 'score': -7.5697659528}, {'topic': ['tourist', 'brain', 'fMRI', 'attraction', 'site', 'landscape park', 'interdisciplinary effort', 'neuroscience method', 'neuroscience', 'effort'], 'score': -13.2922511546}]"
