Cluster,NumTopics,LDAScore,LDATopics
-1,3,-4.016,"[{'topic_words': ['culture', 'city', 'people', 'youth', 'planning', 'life', 'politics', 'use', 'practice', 'mobility'], 'score': -5.215}, {'topic_words': ['event', 'festival', 'people', 'study', 'group', 'place', 'culture', 'tourism', 'city', 'theory'], 'score': -3.149}, {'topic_words': ['people', 'year', 'study', 'fever', 'case', 'beauty', 'coordination', 'culture', 'typhoid fever', 'city'], 'score': -3.684}]"
0,3,-3.76,"[{'topic_words': ['city', 'tourism', 'study', 'culture', 'policy', 'art', 'politics', 'community', 'people', 'area'], 'score': -3.329}, {'topic_words': ['city', 'space', 'people', 'downtown', 'process', 'culture', 'place', 'music', 'study', 'development'], 'score': -4.057}, {'topic_words': ['city', 'people', 'culture', 'community', 'place', 'nationalism', 'space', 'identity', 'planning', 'way'], 'score': -3.895}]"
1,4,-2.92,"[{'topic_words': ['city', 'street', 'area', 'space', 'identity', 'value', 'place', 'study', 'culture', 'result'], 'score': -2.311}, {'topic_words': ['city', 'identity', 'culture', 'factor', 'building', 'space', 'people', 'form', 'place', 'design'], 'score': -3.02}, {'topic_words': ['city', 'architecture', 'culture', 'market', 'transformation', 'people', 'planning', 'value', 'urban planning', 'heritage'], 'score': -3.409}, {'topic_words': ['people', 'care', 'development', 'society', 'medical care', 'life', 'community', 'study', 'project', 'change'], 'score': -2.939}]"
2,4,-1.769,"[{'topic_words': ['blight', 'urban blight', 'system', 'identification', 'cause', 'Urban blight', 'study', 'approach', 'factor', 'development'], 'score': 1.352}, {'topic_words': ['environment', 'city', 'area', 'evaluation', 'development', 'people', 'index', 'data', 'research', 'residential environment'], 'score': -2.636}, {'topic_words': ['city', 'space', 'design', 'urban space', 'concept', 'area', 'people', 'culture', 'activity', 'environment'], 'score': -1.901}, {'topic_words': ['culture', 'protection', 'paper', 'traffic', 'development', 'axis', 'livable city', 'people', 'urban space axis', 'space axis'], 'score': -3.891}]"
3,3,-2.502,"[{'topic_words': ['city', 'place', 'planning', 'process', 'culture', 'regeneration', 'experience', 'product', 'art', 'development'], 'score': -2.013}, {'topic_words': ['art', 'culture', 'development', 'community', 'economic development', 'research', 'people', 'sector', 'city', 'participation'], 'score': -2.807}, {'topic_words': ['culture', 'place', 'paper', 'city', 'development', 'study', 'cluster', 'economy', 'branding', 'people'], 'score': -2.684}]"
4,5,-2.812,"[{'topic_words': ['city', 'space', 'place', 'bridge', 'people', 'culture', 'development', 'field', 'story', 'history'], 'score': -2.8}, {'topic_words': ['town', 'empire', 'development', 'culture', 'system', 'area', 'result', 'structure', 'change', 'part'], 'score': -2.071}, {'topic_words': ['culture', 'city', 'study', 'people', 'development', 'theatre', 'article', 'community', 'problem', 'world'], 'score': -3.909}, {'topic_words': ['building', 'church', 'city', 'small town', 'identity', 'music', 'place', 'people', 'architecture', 'number'], 'score': -1.856}, {'topic_words': ['identity', 'city', 'market', 'image', 'labour market', 'country', 'article', 'system', 'memory', 'heritage'], 'score': -3.428}]"
5,1,-1.773,"[{'topic_words': ['city', 'planning', 'culture', 'space', 'model', 'urban planning', 'study', 'survey', 'development', 'informality'], 'score': -1.773}]"
6,5,-2.757,"[{'topic_words': ['city', 'space', 'design', 'people', 'life', 'culture', 'study', 'public space', 'development', 'area'], 'score': -2.572}, {'topic_words': ['space', 'people', 'climate', 'urban space', 'scale', 'factor', 'behavior', 'method', 'quality', 'role'], 'score': -2.736}, {'topic_words': ['study', 'design', 'research', 'building', 'concrete', 'property', 'system', 'region', 'space', 'experimental study'], 'score': -3.655}, {'topic_words': ['design', 'people', 'bathroom', 'space', 'city', 'process', 'culture', 'life', 'society', 'model'], 'score': -3.144}, {'topic_words': ['pattern', 'public open space', 'open space', 'person', 'behavior', 'understanding', 'disability', 'young people', 'child', 'time'], 'score': -1.681}]"
7,3,-2.918,"[{'topic_words': ['city', 'study', 'environment', 'space', 'development', 'culture', 'place', 'people', 'paper', 'factor'], 'score': -2.544}, {'topic_words': ['city', 'vehicle', 'model', 'culture', 'service', 'transport', 'planning', 'mobility', 'life', 'space'], 'score': -3.35}, {'topic_words': ['neighborhood', 'design', 'rail', 'place', 'concept', 'environment', 'space', 'people', 'transit', 'development'], 'score': -2.861}]"
8,3,-2.228,"[{'topic_words': ['space', 'square', 'open space', 'design', 'study', 'environment', 'interaction', 'context', 'public open space', 'social interaction'], 'score': -0.825}, {'topic_words': ['space', 'green space', 'dimension', 'landscape', 'people', 'nature', 'sensory dimension', 'type', 'study', 'perception'], 'score': -2.137}, {'topic_words': ['landscape', 'people', 'paper', 'symbol', 'perception', 'culture', 'tree', 'method', 'health', 'meaning'], 'score': -3.722}]"
9,2,-0.175,"[{'topic_words': ['noise', 'city', 'road traffic', 'traffic', 'road', 'response', 'difference', 'question', 'people', 'activity'], 'score': 1.294}, {'topic_words': ['environment', 'design', 'people', 'space', 'soundscape', 'system', 'city', 'sound', 'method', 'aspect'], 'score': -1.644}]"
10,3,-2.112,"[{'topic_words': ['culture', 'people', 'risk', 'community', 'place', 'research', 'city', 'life', 'region', 'development'], 'score': -3.215}, {'topic_words': ['planning', 'right', 'risk', 'value', 'landscape', 'city', 'property', 'management', 'practice', 'development'], 'score': -1.798}, {'topic_words': ['design', 'area', 'death', 'good death', 'study', 'community', 'culture', 'article', 'consultation', 'home'], 'score': -1.322}]"
11,4,-1.308,"[{'topic_words': ['citizenship', 'concept', 'research', 'education', 'citizen', 'country', 'culture', 'type', 'citizenship education', 'citizen orientation'], 'score': 0.752}, {'topic_words': ['nomad', 'government', 'identity', 'ger', 'national identity', 'poverty', 'decision', 'understanding', 'dweller', 'urban dweller'], 'score': 0.607}, {'topic_words': ['city', 'space', 'identity', 'people', 'study', 'area', 'urban space', 'sprawl', 'urban sprawl', 'place'], 'score': -3.312}, {'topic_words': ['environment', 'people', 'life', 'author', 'building', 'condition', 'town', 'behavior', 'architect', 'resource'], 'score': -3.278}]"
12,3,-0.46,"[{'topic_words': ['area', 'development', 'influence', 'region', 'hinterland', 'fabric', 'tradition', 'design', 'life', 'culture'], 'score': 0.876}, {'topic_words': ['adaptation', 'slum', 'community', 'governance', 'change', 'strategy', 'city', 'level', 'settlement', 'planning'], 'score': -0.069}, {'topic_words': ['development', 'water', 'people', 'form', 'housing', 'urban development', 'paper', 'plan', 'management', 'attitude'], 'score': -2.187}]"
13,3,-0.576,"[{'topic_words': ['culture', 'food', 'design', 'environment', 'people', 'framework', 'technology', 'paper', 'participation', 'sustainable food culture'], 'score': -1.466}, {'topic_words': ['planning', 'process', 'planning process', 'creativity', 'information', 'design', 'activity', 'community', 'technology', 'environment'], 'score': 0.031}, {'topic_words': ['design', 'child', 'studio', 'planning', 'community', 'tool', 'diversity', 'urban planning', 'technology', 'people'], 'score': -0.292}]"
