Cluster,NumTopics,LDAScore,LDATopics
-1,3,-5.108,"[{'topic_words': ['event', 'festival', 'youth', 'people', 'culture', 'group', 'place', 'study', 'tourism', 'city'], 'score': -2.574}, {'topic_words': ['people', 'city', 'study', 'culture', 'year', 'case', 'life', 'fever', 'beauty', 'coordination'], 'score': -6.137}, {'topic_words': ['people', 'culture', 'politics', 'city', 'paper', 'history', 'TV', 'aborigine', 'mobility', 'construction'], 'score': -6.613}]"
0,3,-4.13,"[{'topic_words': ['city', 'people', 'space', 'culture', 'downtown', 'place', 'process', 'art', 'study', 'practice'], 'score': -3.72}, {'topic_words': ['city', 'community', 'tourism', 'people', 'nationalism', 'identity', 'place', 'culture', 'area', 'project'], 'score': -3.493}, {'topic_words': ['study', 'city', 'people', 'politics', 'hop', 'culture', 'hip', 'hip hop', 'work', 'poverty'], 'score': -5.176}]"
1,4,-3.034,"[{'topic_words': ['identity', 'city', 'culture', 'market', 'factor', 'building', 'space', 'research', 'design', 'people'], 'score': -2.653}, {'topic_words': ['city', 'culture', 'space', 'street', 'area', 'time', 'environment', 'part', 'planning', 'paper'], 'score': -3.12}, {'topic_words': ['project', 'city', 'transformation', 'people', 'culture', 'urban transformation', 'change', 'study', 'area', 'life'], 'score': -2.768}, {'topic_words': ['people', 'city', 'care', 'society', 'community', 'architecture', 'medical care', 'life', 'development', 'value'], 'score': -3.597}]"
2,4,-2.63,"[{'topic_words': ['city', 'environment', 'protection', 'culture', 'design', 'area', 'paper', 'people', 'construction', 'evaluation'], 'score': -2.753}, {'topic_words': ['city', 'people', 'space', 'area', 'development', 'planning', 'economy', 'risk', 'resilience', 'indicator'], 'score': -4.774}, {'topic_words': ['space', 'city', 'axis', 'urban space', 'development', 'space axis', 'urban space axis', 'activity', 'research', 'culture'], 'score': -1.391}, {'topic_words': ['environment', 'traffic', 'blight', 'pollution', 'management', 'part', 'quality', 'urban blight', 'system', 'development'], 'score': -1.603}]"
3,3,-2.427,"[{'topic_words': ['city', 'culture', 'art', 'planning', 'development', 'people', 'creativity', 'design', 'approach', 'economy'], 'score': -2.105}, {'topic_words': ['place', 'culture', 'development', 'city', 'paper', 'regeneration', 'process', 'product', 'experience', 'people'], 'score': -2.49}, {'topic_words': ['art', 'community', 'development', 'economic development', 'research', 'sector', 'participation', 'cultural participation', 'culture', 'life'], 'score': -2.685}]"
4,5,-2.414,"[{'topic_words': ['place', 'music', 'city', 'building', 'identity', 'heritage', 'space', 'material', 'question', 'bridge'], 'score': -2.361}, {'topic_words': ['city', 'culture', 'study', 'development', 'space', 'people', 'theatre', 'article', 'art', 'image'], 'score': -3.411}, {'topic_words': ['town', 'building', 'church', 'small town', 'city', 'culture', 'people', 'identity', 'period', 'number'], 'score': -1.344}, {'topic_words': ['empire', 'city', 'culture', 'religion', 'system', 'resident', 'book', 'today', 'Russian empire', 'planning'], 'score': -2.362}, {'topic_words': ['city', 'space', 'people', 'effect', 'meaning', 'earthquake', 'study', 'development', 'result', 'inhabitant'], 'score': -2.594}]"
5,1,-1.773,"[{'topic_words': ['city', 'planning', 'culture', 'space', 'model', 'urban planning', 'study', 'survey', 'development', 'informality'], 'score': -1.773}]"
6,5,-2.761,"[{'topic_words': ['space', 'people', 'city', 'design', 'culture', 'public space', 'environment', 'quality', 'study', 'research'], 'score': -2.331}, {'topic_words': ['art', 'city', 'life', 'technology', 'culture', 'information', 'idea', 'system', 'people', 'development'], 'score': -2.413}, {'topic_words': ['study', 'design', 'research', 'building', 'concrete', 'bathroom', 'property', 'system', 'region', 'experimental study'], 'score': -4.348}, {'topic_words': ['health', 'apartment', 'building', 'sustainability', 'social health', 'planner', 'policy', 'planning', 'plan', 'public apartment'], 'score': -2.473}, {'topic_words': ['climate', 'behavior', 'open space', 'pattern', 'time', 'public open space', 'urban planning', 'society', 'person', 'mountainous climate'], 'score': -2.238}]"
7,3,-3.021,"[{'topic_words': ['neighborhood', 'design', 'place', 'concept', 'space', 'capital', 'social capital', 'neighborhood design', 'way', 'community'], 'score': -3.068}, {'topic_words': ['city', 'environment', 'development', 'space', 'vehicle', 'study', 'culture', 'place', 'paper', 'life'], 'score': -2.723}, {'topic_words': ['city', 'rail', 'culture', 'transit', 'environment', 'development', 'corridor', 'service', 'transport', 'study'], 'score': -3.272}]"
8,3,-2.967,"[{'topic_words': ['space', 'landscape', 'people', 'dimension', 'square', 'green space', 'culture', 'study', 'sensory dimension', 'perception'], 'score': -2.612}, {'topic_words': ['landscape', 'nature', 'space', 'people', 'type', 'open space', 'sustainability', 'image', 'preference', 'culture'], 'score': -3.152}, {'topic_words': ['landscape', 'space', 'study', 'green space', 'tree', 'service', 'concept', 'research', 'resident', 'city'], 'score': -3.136}]"
