NumTopics,Cluster,NumDocs,Percent,DocId,Score,LDATopics#0,LDATopics#1,LDATopics#2,LDATopics#3,LDATopics#4,LDATopics#5,LDATopics#6,LDATopics#7,LDATopics#8,LDATopics#9
10,-1,34,0.086,"[1, 4, 11, 13, 17, 18, 27, 29, 32, 39, 49, 56, 60, 61, 73, 78, 83, 84, 92, 105, 110, 125, 135, 137, 146, 153, 157, 161, 194, 228, 235, 283, 289, 382]",-9.293114140765805,"['colonial', 'hegemony', 'author', 'colonial hegemony', 'empire', 'colonial discourse', 'career', 'legacy', 'moral rightness', 'major force']","['people', 'study', 'city', 'culture', 'planning', 'group', 'place', 'mobility', 'life', 'politics']","['interest', 'culture', 'research', 'practice', 'book', 'architecture', 'people', 'identity', 'drug', 'knowledge']","['youth', 'interaction', 'culture', 'role', 'language', 'aborigine', 'TV', 'people', 'immigrant', 'station']","['city', 'resident', 'case', 'character', 'neighborhood', 'region', 'simulation', 'refugee', 'norm', 'integration']","['year', 'use', 'fever', 'street', 'support', 'typhoid fever', 'child', 'age', 'response', 'incidence']","['event', 'festival', 'tourism', 'construction', 'town', 'literature', 'concept', 'project', 'barrier', 'Lean implementation']","['beauty', 'image', 'pub', 'number', 'adult', 'structural beauty', 'medium', 'restaurant', 'social medium', 'service']","['theory', 'action', 'discussion', 'health', 'coordination', 'organisation', 'governance', 'mechanism', 'task', 'online']","['voice', 'new town', 'housing', 'vernacular', 'conflict activity', 'homelessness', 'week', 'barbarism', 'demolition', 'high rise']"
10,0,39,0.099,"[14, 20, 43, 54, 66, 86, 94, 98, 109, 113, 123, 124, 128, 131, 133, 141, 142, 154, 155, 165, 166, 167, 171, 175, 176, 190, 191, 192, 193, 213, 218, 280, 286, 292, 315, 321, 327, 337, 368]",-3.029422381367322,"['migrant', 'multicultural melting', 'main tourism cluster', 'majority', 'many country', 'many different culture', 'mediation', 'melting', 'melting pot', 'limited time']","['migrant', 'multicultural melting', 'main tourism cluster', 'majority', 'many country', 'many different culture', 'mediation', 'melting', 'melting pot', 'limited time']","['migrant', 'multicultural melting', 'main tourism cluster', 'majority', 'many country', 'many different culture', 'mediation', 'melting', 'melting pot', 'limited time']","['migrant', 'multicultural melting', 'main tourism cluster', 'majority', 'many country', 'many different culture', 'mediation', 'melting', 'melting pot', 'limited time']","['downtown', 'example', 'power', 'decade', 'imagery', 'barrio', 'museum', 'day', 'mass', 'revitalization']","['study', 'city', 'people', 'music', 'globalization', 'part', 'book', 'culture', 'transformation', 'way']","['city', 'tourism', 'activity', 'development', 'culture', 'community', 'area', 'time', 'space', 'center']","['city', 'people', 'place', 'culture', 'community', 'process', 'space', 'movement', 'nationalism', 'work']","['city', 'space', 'practice', 'cosmopolitanism', 'material', 'design', 'analysis', 'people', 'built environment', 'paper']","['art', 'artist', 'hop', 'hip hop', 'actor', 'hip', 'people', 'practice', 'flow', 'hand']"
10,1,29,0.074,"[68, 91, 103, 121, 129, 201, 205, 226, 238, 244, 264, 268, 269, 294, 298, 302, 319, 324, 330, 344, 347, 349, 350, 361, 362, 365, 371, 384, 395]",-2.563770405813627,"['strong adaption', 'studied region', 'stair', 'stone masonry', 'stone wall', 'storage', 'store food', 'shale', 'tile', 'tile wall']","['strong adaption', 'studied region', 'stair', 'stone masonry', 'stone wall', 'storage', 'store food', 'shale', 'tile', 'tile wall']","['strong adaption', 'studied region', 'stair', 'stone masonry', 'stone wall', 'storage', 'store food', 'shale', 'tile', 'tile wall']","['change', 'market', 'place', 'culture', 'heritage', 'study', 'architecture', 'city', 'group', 'identity']","['form', 'environment', 'space', 'study', 'pattern', 'culture', 'living', 'effect', 'paper', 'development']","['people', 'care', 'society', 'older people', 'medical care', 'life', 'development', 'community', 'research', 'system']","['system', 'identity', 'design', 'community', 'variety', 'tradition', 'modifier', 'region', 'urban design', 'concept']","['city', 'architecture', 'culture', 'space', 'project', 'people', 'building', 'transformation', 'area', 'urban planning']","['city', 'identity', 'factor', 'city identity', 'century', 'house', 'development', 'culture', 'relation', 'society']","['street', 'conservation', 'city', 'area', 'modernization', 'action', 'stone', 'cubic stone', 'stone street', 'use']"
10,2,18,0.046,"[106, 118, 210, 214, 252, 253, 256, 259, 273, 276, 354, 359, 360, 364, 366, 376, 378, 391]",-3.2803485624601976,"['livable city', 'sensing data', 'model', 'remote sensing data', 'representative', 'evaluation model', 'evaluation index', 'account', 'comprehensive evaluation model', 'reformation']","['background', 'attempt', 'consequence', 'climate zone', 'climate', 'city urban environment', 'city issue', 'disease', 'Urban concept', 'Tripoli city']","['risk', 'resilience', 'indicator', 'people', 'space', 'public space', 'urban public space', 'key indicator', 'kind', 'function']","['blight', 'urban environment', 'urban blight', 'approach', 'policy', 'system', 'identification', 'cause', 'Urban blight', 'phenomenon']","['city', 'scenery', 'natural scenery', 'scenery city', 'construction', 'natural scenery city', 'problem', 'resort', 'rapid growth', 'growth']","['city', 'space', 'research', 'data', 'index', 'evaluation', 'urban space', 'development', 'process', 'area']","['city', 'protection', 'people', 'culture', 'development', 'traffic', 'space', 'planning', 'pollution', 'environment']","['environment', 'city', 'residential environment', 'quality', 'factor', 'management', 'environmental quality', 'health', 'system', 'part']","['city', 'design', 'concept', 'area', 'construction', 'problem', 'effect', 'value', 'rural design', 'relationship']","['axis', 'urban space axis', 'space axis', 'dwelling', 'characteristic dwelling', 'nationality characteristic dwelling', 'traditional culture', 'nationality', 'architect', 'planner']"
10,3,18,0.046,"[15, 22, 24, 33, 48, 59, 79, 81, 96, 149, 184, 200, 211, 223, 281, 339, 342, 377]",-2.0072756089044184,"['including experience', 'high quality product', 'internet research', 'internet', 'integral part', 'intangible element', 'innovative itinerary', 'increasing importance', 'itinerary', 'globalisation']","['including experience', 'high quality product', 'internet research', 'internet', 'integral part', 'intangible element', 'innovative itinerary', 'increasing importance', 'itinerary', 'globalisation']","['topic', 'knowledge', 'entrepreneurship', 'knowledge spillover', 'spillover', 'capacity', 'diversity', 'economic development', 'development', 'mechanism']","['cluster', 'book', 'creative cluster', 'geography', 'contribution', 'investment', 'range', 'study', 'creative industry', 'interest']","['planning', 'culture', 'place', 'branding', 'paper', 'practice', 'element', 'activity', 'place branding', 'cultural planning']","['art', 'community', 'activity', 'heritage', 'research', 'participation', 'cultural participation', 'center', 'planner', 'sector']","['urban design', 'design', 'development', 'city', 'area', 'cultural regeneration', 'regeneration', 'space', 'expression', 'art']","['city', 'culture', 'place', 'development', 'economy', 'regeneration', 'people', 'product', 'approach', 'experience']","['process', 'development', 'cultural production', 'production', 'economic development', 'research', 'creative activity', 'externality', 'agglomeration', 'art']","['placemaking', 'Creative placemaking', 'creative placemaking', 'municipality', 'smart creative city', 'issue', 'new way', 'future', 'outcome', 'single art']"
10,4,18,0.046,"[71, 75, 160, 172, 215, 239, 242, 284, 296, 297, 301, 303, 311, 313, 314, 345, 385, 394]",-3.1019714146030606,"['main city', 'large number', 'monasticism', 'monastic production', 'monastic order', 'medium sized city', 'manage', 'major contribution', 'morality', 'key']","['main city', 'large number', 'monasticism', 'monastic production', 'monastic order', 'medium sized city', 'manage', 'major contribution', 'morality', 'key']","['church', 'method', 'wooden church', 'panorama', 'Cross wooden church', 'information', 'hill', 'village', 'nature', 'foundation']","['condition', 'form', 'country', 'market', 'labour market', 'period', 'contribution', 'system', 'labour', 'integration']","['city', 'space', 'development', 'people', 'culture', 'inhabitant', 'place', 'study', 'result', 'structure']","['city', 'resident', 'ambition', 'desire', 'principle', 'form', 'example', 'perspective', 'democracy', 'thanks']","['building', 'identity', 'culture', 'city', 'way', 'music', 'place', 'architecture', 'people', 'number']","['town', 'empire', 'model', 'religion', 'system', 'culture', 'end', 'change', 'part', 'area']","['monasticism', 'continent', 'effect', 'Écija', 'border', 'influence', 'mining', 'assembly', 'coal', 'deposit']","['small town', 'bank', 'office', 'branch', 'branch office', 'office building', 'territory', 'branch office building', 'revitalization', 'programme']"
10,5,6,0.015,"[173, 185, 232, 285, 329, 348]",-1.7675399225555022,"['impact', 'history', 'original concept', 'number', 'motivation', 'model', 'military compulsion', 'many city', 'local contexts', 'indirect impact']","['impact', 'history', 'original concept', 'number', 'motivation', 'model', 'military compulsion', 'many city', 'local contexts', 'indirect impact']","['urban planning model', 'model', 'planning model', 'original concept', 'military compulsion', 'local contexts', 'number', 'many city', 'history', 'motivation']","['impact', 'history', 'original concept', 'number', 'motivation', 'model', 'military compulsion', 'many city', 'local contexts', 'indirect impact']","['impact', 'history', 'original concept', 'number', 'motivation', 'model', 'military compulsion', 'many city', 'local contexts', 'indirect impact']","['city', 'analysis', 'space', 'discourse', 'dystopian city', 'urban conglomeration', 'conglomeration', 'relationship', 'contestation', 'work']","['city', 'Indian city', 'space', 'governance', 'policy', 'economic liberalisation', 'growth', 'development policy', 'development', 'liberalisation']","['city', 'planning', 'study', 'survey', 'people', 'space', 'method', 'architect', 'policy', 'urban space']","['culture', 'model', 'planning', 'urban planning', 'informality', 'development', 'planning model', 'urban planning model', 'city', 'influence']","['city', 'conglomeration', 'analysis', 'space', 'military compulsion', 'many city', 'number', 'model', 'impact', 'motivation']"
10,6,29,0.074,"[76, 82, 90, 122, 179, 222, 243, 246, 261, 270, 272, 279, 288, 295, 299, 312, 318, 326, 336, 338, 340, 343, 346, 352, 355, 358, 370, 375, 388]",-2.022701966188494,"['central region', 'chemical', 'cement', 'cement concrete', 'cement matrix', 'cement soil', 'central city', 'care', 'ceramic tile', 'chloride ion']","['central region', 'chemical', 'cement', 'cement concrete', 'cement matrix', 'cement soil', 'central city', 'care', 'ceramic tile', 'chloride ion']","['central region', 'chemical', 'cement', 'cement concrete', 'cement matrix', 'cement soil', 'central city', 'care', 'ceramic tile', 'chloride ion']","['central region', 'chemical', 'cement', 'cement concrete', 'cement matrix', 'cement soil', 'central city', 'care', 'ceramic tile', 'chloride ion']","['concrete', 'region', 'experimental study', 'strength', 'water', 'residential building', 'china', 'application', 'steel', 'cold region']","['city', 'study', 'space', 'design', 'people', 'research', 'public space', 'life', 'development', 'area']","['space', 'climate', 'behavior', 'method', 'factor', 'scale', 'comfort', 'criterion', 'mountainous climate', 'plant']","['system', 'art', 'technology', 'information', 'people', 'culture', 'city', 'form', 'life', 'person']","['space', 'design', 'people', 'environment', 'process', 'urban space', 'bathroom', 'planning', 'culture', 'model']","['study', 'building', 'design', 'property', 'architecture', 'material', 'society', 'time', 'paper', 'health']"
10,7,24,0.061,"[37, 42, 55, 70, 119, 139, 145, 158, 168, 178, 189, 196, 207, 230, 241, 247, 255, 266, 277, 322, 323, 331, 356, 390]",-4.985260183817315,"['density', 'advantage', 'world space', 'spectrum', 'geography', 'individual experience', 'interesting conceptual framework', 'interact', 'land use decision', 'many practical purpose']","['environment', 'rail', 'city', 'transit', 'culture', 'use', 'development', 'opportunity', 'system', 'accessibility']","['city', 'development', 'life', 'smart city', 'paper', 'service', 'factor', 'need', 'infrastructure', 'interaction']","['neighborhood', 'space', 'place', 'design', 'concept', 'way', 'community', 'capital', 'social capital', 'neighborhood design']","['vehicle', 'city', 'model', 'mobility', 'planning', 'strategy', 'effect', 'order', 'mindset', 'sustainability']","['city', 'space', 'center', 'user', 'culture', 'city center', 'visitor', 'urban space', 'street', 'town']","['corridor', 'transportation', 'technology', 'study', 'road', 'urban environment', 'mobility', 'infrastructure', 'street', 'resource']","['towards', 'capacity', 'detached housing', 'developed vehicle choice', 'composition', 'daily travel', 'decision maker', 'choice model', 'efficiency', 'different urban area']","['towards', 'capacity', 'detached housing', 'developed vehicle choice', 'composition', 'daily travel', 'decision maker', 'choice model', 'efficiency', 'different urban area']","['type', 'household', 'size', 'country', 'requirement', 'fuel efficiency', 'fuel', 'efficiency', 'pattern', 'medium size']"
10,8,15,0.038,"[2, 3, 8, 9, 12, 40, 53, 58, 63, 87, 95, 180, 203, 250, 310]",-4.718565606380518,"['square', 'behaviour', 'day', 'square design', 'public square', 'community social interaction', 'built environment', 'traditional square', 'pattern', 'behaviour pattern']","['treasure', 'toward old masonry', 'urban asset', 'understanding public perception', 'tree denoting synergy', 'tree', 'urban tree', 'stronger commitment', 'synergy', 'worth preserving']","['symbol', 'meaning', 'landscape symbol', 'experience', 'representation', 'audience', 'text', 'three type', 'three theory', 'theory']","['tree', 'effect', 'function', 'resident', 'masonry', 'stonewall tree', 'wall', 'people', 'community', 'factor']","['perception', 'space', 'specie', 'designing', 'plant', 'green space', 'user', 'preference', 'study', 'city']","['landscape', 'type', 'people', 'nature', 'paper', 'relationship', 'image', 'preference', 'way', 'culture']","['space', 'dimension', 'green space', 'people', 'open space', 'culture', 'study', 'sensory dimension', 'environment', 'design']","['space', 'area', 'service', 'green space', 'park', 'activity', 'ecosystem', 'study', 'ecosystem service', 'sustainability']","['landscape', 'concept', 'century', 'discipline', 'research', 'approach', 'paper', 'work', 'possibility', 'call']","['tourist', 'brain', 'fMRI', 'attraction', 'site', 'landscape park', 'interdisciplinary effort', 'neuroscience method', 'neuroscience', 'effort']"
