NumTopics,Cluster,NumDocs,Percent,DocId,Score,LDATopics#0,LDATopics#1,LDATopics#2
3,-1,34,0.086,"[1, 4, 11, 13, 17, 18, 27, 29, 32, 39, 49, 56, 60, 61, 73, 78, 83, 84, 92, 105, 110, 125, 135, 137, 146, 153, 157, 161, 194, 228, 235, 283, 289, 382]",-8.908767023314923,"['event', 'festival', 'study', 'city', 'tourism', 'place', 'people', 'politics', 'culture', 'interest']","['people', 'city', 'study', 'culture', 'case', 'year', 'fever', 'beauty', 'coordination', 'life']","['youth', 'culture', 'people', 'group', 'identity', 'use', 'discussion', 'drug', 'TV', 'aborigine']"
3,0,39,0.099,"[14, 20, 43, 54, 66, 86, 94, 98, 109, 113, 123, 124, 128, 131, 133, 141, 142, 154, 155, 165, 166, 167, 171, 175, 176, 190, 191, 192, 193, 213, 218, 280, 286, 292, 315, 321, 327, 337, 368]",-3.5217995167533176,"['city', 'space', 'people', 'downtown', 'culture', 'process', 'practice', 'study', 'meaning', 'music']","['city', 'people', 'place', 'culture', 'identity', 'project', 'way', 'subway', 'planning', 'role']","['city', 'community', 'study', 'people', 'tourism', 'culture', 'art', 'nationalism', 'identity', 'area']"
3,1,29,0.074,"[68, 91, 103, 121, 129, 201, 205, 226, 238, 244, 264, 268, 269, 294, 298, 302, 319, 324, 330, 344, 347, 349, 350, 361, 362, 365, 371, 384, 395]",-3.696699408018534,"['city', 'identity', 'culture', 'factor', 'building', 'space', 'people', 'form', 'design', 'place']","['city', 'culture', 'architecture', 'street', 'study', 'people', 'environment', 'identity', 'area', 'planning']","['people', 'city', 'care', 'change', 'society', 'older people', 'life', 'development', 'medical care', 'space']"
3,2,18,0.046,"[106, 118, 210, 214, 252, 253, 256, 259, 273, 276, 354, 359, 360, 364, 366, 376, 378, 391]",-7.207773750288996,"['environment', 'city', 'development', 'culture', 'research', 'evaluation', 'area', 'people', 'traffic', 'index']","['city', 'design', 'area', 'protection', 'space', 'culture', 'people', 'construction', 'nationality characteristic dwelling', 'characteristic dwelling']","['blight', 'city', 'space', 'research', 'people', 'activity', 'urban blight', 'development', 'risk', 'indicator']"
3,3,18,0.046,"[15, 22, 24, 33, 48, 59, 79, 81, 96, 149, 184, 200, 211, 223, 281, 339, 342, 377]",-3.36213715048124,"['development', 'culture', 'city', 'art', 'economic development', 'design', 'urban design', 'regeneration', 'people', 'place']","['city', 'place', 'culture', 'planning', 'product', 'process', 'art', 'people', 'experience', 'regeneration']","['art', 'community', 'place', 'culture', 'research', 'paper', 'branding', 'participation', 'sector', 'policy']"
3,4,18,0.046,"[71, 75, 160, 172, 215, 239, 242, 284, 296, 297, 301, 303, 311, 313, 314, 345, 385, 394]",-4.262245332630546,"['system', 'city', 'market', 'form', 'labour market', 'country', 'time', 'resident', 'labour', 'welfare']","['city', 'building', 'culture', 'people', 'church', 'space', 'identity', 'place', 'development', 'way']","['town', 'culture', 'music', 'small town', 'building', 'identity', 'empire', 'people', 'development', 'area']"
3,5,6,0.015,"[173, 185, 232, 285, 329, 348]",-4.712835108192461,"['survey', 'study', 'space', 'people', 'urban space', 'method', 'architect', 'idea', 'research', 'way']","['city', 'culture', 'urban planning', 'informality', 'development', 'planning', 'space', 'research', 'urbanisation', 'Indian city']","['city', 'model', 'planning', 'planning model', 'urban planning model', 'policy', 'elasticity', 'challenge', 'context', 'governance']"
3,6,29,0.074,"[76, 82, 90, 122, 179, 222, 243, 246, 261, 270, 272, 279, 288, 295, 299, 312, 318, 326, 336, 338, 340, 343, 346, 352, 355, 358, 370, 375, 388]",-2.111529613919735,"['city', 'design', 'space', 'people', 'life', 'art', 'culture', 'process', 'building', 'public space']","['space', 'people', 'design', 'city', 'climate', 'role', 'culture', 'research', 'behavior', 'open space']","['study', 'design', 'research', 'building', 'space', 'concrete', 'property', 'architecture', 'bathroom', 'system']"
3,7,24,0.061,"[37, 42, 55, 70, 119, 139, 145, 158, 168, 178, 189, 196, 207, 230, 241, 247, 255, 266, 277, 322, 323, 331, 356, 390]",-2.8429622425490613,"['city', 'place', 'environment', 'study', 'culture', 'vehicle', 'space', 'development', 'people', 'way']","['rail', 'city', 'culture', 'transit', 'transport', 'development', 'service', 'environment', 'model', 'strategy']","['city', 'design', 'space', 'concept', 'neighborhood', 'life', 'smart city', 'capital', 'paper', 'neighborhood design']"
3,8,15,0.038,"[2, 3, 8, 9, 12, 40, 53, 58, 63, 87, 95, 180, 203, 250, 310]",-5.793776338144851,"['space', 'square', 'open space', 'culture', 'landscape', 'context', 'public open space', 'public space', 'interaction', 'social interaction']","['space', 'green space', 'landscape', 'people', 'perception', 'sensory dimension', 'dimension', 'study', 'symbol', 'urban green space']","['landscape', 'nature', 'people', 'dimension', 'environment', 'type', 'tree', 'concept', 'preference', 'research']"
