NumTopics,Cluster,NumDocs,Percent,DocId,Score,LDATopics#0,LDATopics#1,LDATopics#2,LDATopics#3,LDATopics#4
5,-1,34,0.086,"[1, 4, 11, 13, 17, 18, 27, 29, 32, 39, 49, 56, 60, 61, 73, 78, 83, 84, 92, 105, 110, 125, 135, 137, 146, 153, 157, 161, 194, 228, 235, 283, 289, 382]",-7.277263932049783,"['event', 'festival', 'study', 'tourism', 'place', 'people', 'city', 'development', 'policy', 'work']","['city', 'politics', 'planning', 'urban planning', 'history', 'mobility', 'article', 'culture', 'people', 'policy']","['people', 'beauty', 'coordination', 'study', 'mobility', 'organisation', 'culture', 'paper', 'mechanism', 'city']","['culture', 'people', 'life', 'space', 'TV', 'aborigine', 'street', 'town', 'new town', 'show']","['youth', 'year', 'people', 'culture', 'group', 'identity', 'fever', 'use', 'drug', 'discussion']"
5,0,39,0.099,"[14, 20, 43, 54, 66, 86, 94, 98, 109, 113, 123, 124, 128, 131, 133, 141, 142, 154, 155, 165, 166, 167, 171, 175, 176, 190, 191, 192, 193, 213, 218, 280, 286, 292, 315, 321, 327, 337, 368]",-4.613769829352477,"['city', 'tourism', 'identity', 'planning', 'tourist', 'role', 'activity', 'area', 'way', 'culture']","['city', 'study', 'people', 'culture', 'art', 'community', 'work', 'artist', 'space', 'politics']","['space', 'city', 'downtown', 'people', 'process', 'development', 'practice', 'meaning', 'paper', 'culture']","['city', 'nationalism', 'place', 'history', 'people', 'project', 'community', 'space', 'nation', 'movement']","['city', 'people', 'culture', 'place', 'young people', 'colonialism', 'planning', 'context', 'process', 'economy']"
5,1,29,0.074,"[68, 91, 103, 121, 129, 201, 205, 226, 238, 244, 264, 268, 269, 294, 298, 302, 319, 324, 330, 344, 347, 349, 350, 361, 362, 365, 371, 384, 395]",-2.7780082206620498,"['market', 'study', 'development', 'project', 'environment', 'community', 'culture', 'change', 'space', 'city']","['culture', 'architecture', 'planning', 'city', 'urban planning', 'people', 'work', 'heritage', 'change', 'tradition']","['city', 'identity', 'space', 'factor', 'city identity', 'place', 'culture', 'research', 'house', 'form']","['city', 'people', 'transformation', 'architecture', 'urban transformation', 'area', 'building', 'project', 'space', 'life']","['people', 'care', 'older people', 'life', 'society', 'medical care', 'community', 'development', 'street', 'area']"
5,2,18,0.046,"[106, 118, 210, 214, 252, 253, 256, 259, 273, 276, 354, 359, 360, 364, 366, 376, 378, 391]",-7.592732768001636,"['city', 'design', 'environment', 'area', 'pollution', 'rural design', 'construction', 'culture', 'health', 'Chinese rural design']","['city', 'development', 'area', 'planning', 'research', 'blight', 'space', 'culture', 'people', 'urban blight']","['protection', 'culture', 'city', 'paper', 'axis', 'data', 'space', 'livable city', 'index', 'evaluation']","['environment', 'traffic', 'residential environment', 'people', 'factor', 'part', 'quality', 'system', 'resilience', 'risk']","['city', 'people', 'scenery', 'natural scenery', 'scenery city', 'concept', 'healthy city', 'space', 'environment', 'construction']"
5,3,18,0.046,"[15, 22, 24, 33, 48, 59, 79, 81, 96, 149, 184, 200, 211, 223, 281, 339, 342, 377]",-4.046214545274043,"['culture', 'planning', 'place', 'paper', 'art', 'economy', 'development', 'city', 'process', 'approach']","['art', 'community', 'development', 'culture', 'research', 'place', 'people', 'economic development', 'design', 'urban design']","['place', 'city', 'experience', 'culture', 'product', 'regeneration', 'creativity', 'quality', 'process', 'case']","['cluster', 'knowledge', 'creative cluster', 'study', 'book', 'literature', 'spillover', 'entrepreneurship', 'knowledge spillover', 'development']","['city', 'space', 'placemaking', 'town', 'notion', 'design', 'urban design', 'use', 'creative activity', 'externality']"
5,4,18,0.046,"[71, 75, 160, 172, 215, 239, 242, 284, 296, 297, 301, 303, 311, 313, 314, 345, 385, 394]",-4.471986747566762,"['music', 'building', 'culture', 'place', 'quality', 'study', 'concept', 'author', 'city', 'people']","['city', 'heritage', 'space', 'article', 'identity', 'culture', 'memory', 'market', 'image', 'people']","['city', 'building', 'church', 'culture', 'people', 'place', 'development', 'structure', 'result', 'research']","['empire', 'city', 'culture', 'religion', 'group', 'language', 'planning', 'urban planning', 'study', 'Russian empire']","['town', 'city', 'small town', 'identity', 'number', 'development', 'monasticism', 'area', 'process', 'condition']"
5,5,6,0.015,"[173, 185, 232, 285, 329, 348]",-4.559815607837004,"['city', 'space', 'analysis', 'dystopian city', 'discourse', 'urban conglomeration', 'conglomeration', 'urbanisation', 'rapid urbanisation', 'work']","['city', 'planning', 'policy', 'governance', 'elasticity', 'Indian city', 'challenge', 'hence', 'change', 'state']","['culture', 'planning', 'model', 'urban planning', 'survey', 'informality', 'study', 'development', 'space', 'research']","['urbanisation', 'space', 'culture', 'people', 'urban development', 'city', 'idea', 'year', 'transformation', 'development']","['urbanisation', 'space', 'culture', 'people', 'urban development', 'city', 'idea', 'year', 'transformation', 'development']"
5,6,29,0.074,"[76, 82, 90, 122, 179, 222, 243, 246, 261, 270, 272, 279, 288, 295, 299, 312, 318, 326, 336, 338, 340, 343, 346, 352, 355, 358, 370, 375, 388]",-3.198928796253946,"['space', 'people', 'climate', 'city', 'role', 'open space', 'design', 'urban space', 'quality', 'public space']","['study', 'design', 'research', 'building', 'concrete', 'property', 'system', 'region', 'experimental study', 'city']","['space', 'city', 'design', 'building', 'culture', 'architecture', 'people', 'public space', 'society', 'art']","['city', 'planning', 'design', 'planner', 'sustainability', 'policy', 'people', 'model', 'need', 'street']","['design', 'city', 'bathroom', 'environment', 'process', 'planning', 'research', 'life', 'people', 'development']"
5,7,24,0.061,"[37, 42, 55, 70, 119, 139, 145, 158, 168, 178, 189, 196, 207, 230, 241, 247, 255, 266, 277, 322, 323, 331, 356, 390]",-4.658558335438004,"['space', 'place', 'neighborhood', 'design', 'concept', 'mobility', 'city', 'community', 'paper', 'life']","['transport', 'service', 'public transport', 'level', 'factor', 'centre', 'company', 'implementation', 'culture', 'alternative']","['city', 'environment', 'development', 'culture', 'study', 'density', 'infrastructure', 'transit', 'people', 'governance']","['city', 'rail', 'culture', 'smart city', 'environment', 'development', 'technology', 'corridor', 'landscape', 'life']","['vehicle', 'model', 'household', 'type', 'center', 'city center', 'use', 'study', 'area', 'environment']"
5,8,15,0.038,"[2, 3, 8, 9, 12, 40, 53, 58, 63, 87, 95, 180, 203, 250, 310]",-5.585664675999227,"['sustainability', 'area', 'diversity', 'connectivity', 'cultural sustainability', 'sustainability requires people', 'requires people', 'riparian area', 'interaction', 'people']","['space', 'dimension', 'green space', 'sensory dimension', 'people', 'perception', 'urban green space', 'planning', 'perceived sensory dimension', 'study']","['space', 'open space', 'landscape', 'context', 'study', 'type', 'nature', 'relationship', 'design', 'public open space']","['landscape', 'environment', 'concept', 'research', 'nature', 'dimension', 'design', 'role', 'discipline', 'community']","['landscape', 'square', 'people', 'paper', 'symbol', 'culture', 'method', 'tourist', 'brain', 'fMRI']"
