NumTopics,Cluster,NumDocs,Percent,DocId,Score,LDATopics#0,LDATopics#1,LDATopics#2,LDATopics#3,LDATopics#4,LDATopics#5
6,-1,34,0.086,"[1, 4, 11, 13, 17, 18, 27, 29, 32, 39, 49, 56, 60, 61, 73, 78, 83, 84, 92, 105, 110, 125, 135, 137, 146, 153, 157, 161, 194, 228, 235, 283, 289, 382]",-8.943572742423,"['policy', 'people', 'research', 'culture', 'youth', 'interest', 'practice', 'book', 'study', 'use']","['city', 'people', 'culture', 'year', 'study', 'place', 'life', 'politics', 'planning', 'area']","['group', 'interaction', 'discussion', 'people', 'immigrant', 'action', 'form', 'organizational interaction', 'online', 'organizationality']","['language', 'aborigine', 'TV', 'issue', 'town', 'new town', 'housing', 'health', 'show', 'voice']","['event', 'festival', 'tourism', 'management', 'literature', 'construction', 'theory', 'implementation', 'concept', 'nature']","['beauty', 'study', 'coordination', 'people', 'organisation', 'mechanism', 'conflict', 'approach', 'case', 'water']"
6,0,39,0.099,"[14, 20, 43, 54, 66, 86, 94, 98, 109, 113, 123, 124, 128, 131, 133, 141, 142, 154, 155, 165, 166, 167, 171, 175, 176, 190, 191, 192, 193, 213, 218, 280, 286, 292, 315, 321, 327, 337, 368]",-5.132431238308837,"['community', 'art', 'history', 'work', 'study', 'movement', 'essay', 'urban study', 'discussion', 'collection']","['city', 'people', 'space', 'culture', 'place', 'process', 'tourism', 'planning', 'development', 'area']","['city', 'people', 'culture', 'study', 'life', 'space', 'diversity', 'urban space', 'material', 'story']","['city', 'nationalism', 'identity', 'capital', 'nation', 'urban planning', 'place', 'subway', 'district', 'site']","['study', 'hop', 'hip hop', 'hip', 'book', 'poverty', 'politics', 'debate', 'sociology', 'student']","['downtown', 'practice', 'research', 'paper', 'young people', 'ethnography', 'dance', 'volume', 'imagery', 'museum']"
6,1,29,0.074,"[68, 91, 103, 121, 129, 201, 205, 226, 238, 244, 264, 268, 269, 294, 298, 302, 319, 324, 330, 344, 347, 349, 350, 361, 362, 365, 371, 384, 395]",-8.041495220642894,"['change', 'culture', 'market', 'study', 'heritage', 'architecture', 'today', 'group', 'city', 'community']","['people', 'city', 'space', 'culture', 'architecture', 'life', 'project', 'development', 'building', 'community']","['city', 'identity', 'factor', 'city identity', 'century', 'conservation', 'value', 'income', 'education', 'analysis']","['city', 'area', 'urban transformation', 'street', 'part', 'book', 'kind', 'stone', 'culture', 'image']","['market', 'satellite image', 'island', 'image', 'application', 'place', 'modernization', 'sense', 'point', 'change']","['form', 'urban design', 'nature', 'hybridization', 'urban form', 'hybridization process', 'corridor', 'modifier', 'floor', 'religion']"
6,2,18,0.046,"[106, 118, 210, 214, 252, 253, 256, 259, 273, 276, 354, 359, 360, 364, 366, 376, 378, 391]",-6.119954927638257,"['development', 'planning', 'economy', 'urban planning', 'city', 'perspective', 'trend', 'type', 'people', 'urbanization']","['city', 'design', 'paper', 'people', 'area', 'construction', 'development', 'blight', 'method', 'culture']","['space', 'axis', 'urban space', 'urban space axis', 'space axis', 'development', 'activity', 'functionality', 'research', 'culture']","['city', 'quality', 'space', 'area', 'environment', 'people', 'environmental quality', 'indicator', 'resilience', 'risk']","['environment', 'evaluation', 'traffic', 'index', 'data', 'livable city', 'residential environment', 'pollution', 'city', 'management']","['protection', 'culture', 'characteristic dwelling', 'dwelling', 'nationality characteristic dwelling', 'scenery', 'traditional culture', 'natural scenery', 'scenery city', 'healthy city']"
6,3,18,0.046,"[15, 22, 24, 33, 48, 59, 79, 81, 96, 149, 184, 200, 211, 223, 281, 339, 342, 377]",-3.0373337264917883,"['knowledge', 'knowledge spillover', 'spillover', 'entrepreneurship', 'literature', 'economic development', 'mechanism', 'development', 'nature', 'capacity']","['development', 'city', 'urban design', 'design', 'regeneration', 'culture', 'art', 'area', 'people', 'role']","['culture', 'city', 'place', 'planning', 'experience', 'regeneration', 'product', 'art', 'creativity', 'quality']","['art', 'community', 'place', 'research', 'culture', 'activity', 'paper', 'development', 'branding', 'cultural production']","['process', 'analysis', 'city', 'economy', 'paper', 'culture', 'benefit', 'cluster', 'approach', 'idea']","['production', 'development', 'art', 'economic development', 'placemaking', 'city', 'culture', 'producer', 'people', 'externality']"
6,4,18,0.046,"[71, 75, 160, 172, 215, 239, 242, 284, 296, 297, 301, 303, 311, 313, 314, 345, 385, 394]",-6.2262748163374875,"['city', 'building', 'place', 'people', 'culture', 'identity', 'development', 'music', 'inhabitant', 'architecture']","['study', 'culture', 'city', 'process', 'purpose', 'development', 'resident', 'analysis', 'investor', 'example']","['result', 'country', 'structure', 'research', 'period', 'condition', 'system', 'market', 'time', 'war']","['city', 'space', 'heritage', 'meaning', 'earthquake', 'article', 'people', 'community', 'basis', 'reconstruction']","['city', 'culture', 'identity', 'theatre', 'way', 'symbol', 'space', 'material', 'language', 'question']","['town', 'church', 'small town', 'bank', 'model', 'monasticism', 'branch office', 'branch', 'office', 'way']"
6,5,6,0.015,"[173, 185, 232, 285, 329, 348]",-4.937225518839488,"['survey', 'study', 'space', 'people', 'method', 'urban space', 'architect', 'idea', 'research', 'life']","['idea', 'relationship', 'research', 'space', 'culture', 'rapid urbanisation', 'people', 'urban development', 'city', 'urbanisation']","['idea', 'relationship', 'research', 'space', 'culture', 'rapid urbanisation', 'people', 'urban development', 'city', 'urbanisation']","['idea', 'relationship', 'research', 'space', 'culture', 'rapid urbanisation', 'people', 'urban development', 'city', 'urbanisation']","['city', 'space', 'Indian city', 'urbanisation', 'analysis', 'governance', 'policy', 'liberalisation', 'power', 'development policy']","['planning', 'city', 'culture', 'model', 'urban planning', 'informality', 'development', 'planning model', 'urban planning model', 'elasticity']"
6,6,29,0.074,"[76, 82, 90, 122, 179, 222, 243, 246, 261, 270, 272, 279, 288, 295, 299, 312, 318, 326, 336, 338, 340, 343, 346, 352, 355, 358, 370, 375, 388]",-4.275265617640717,"['space', 'design', 'people', 'research', 'city', 'architecture', 'development', 'culture', 'use', 'quality']","['city', 'design', 'art', 'space', 'people', 'public space', 'study', 'information', 'centre', 'culture']","['environment', 'life', 'city', 'process', 'people', 'design', 'planning', 'urban planning', 'society', 'way']","['city', 'relationship', 'life', 'design', 'land', 'building', 'people', 'value', 'shop', 'need']","['study', 'building', 'concrete', 'bathroom', 'property', 'system', 'region', 'experimental study', 'evaluation', 'water']","['climate', 'open space', 'behavior', 'pattern', 'public open space', 'mountainous climate', 'person', 'time', 'scale', 'understanding']"
6,7,24,0.061,"[37, 42, 55, 70, 119, 139, 145, 158, 168, 178, 189, 196, 207, 230, 241, 247, 255, 266, 277, 322, 323, 331, 356, 390]",-6.810752768657827,"['place', 'neighborhood', 'space', 'concept', 'design', 'vehicle', 'city', 'community', 'study', 'world']","['city', 'environment', 'culture', 'development', 'model', 'people', 'mobility', 'transit', 'use', 'study']","['life', 'public life', 'interaction', 'paper', 'design', 'urban design', 'traffic', 'public space', 'space', 'location']","['rail', 'corridor', 'system', 'urban environment', 'rail system', 'cost', 'rail corridor', 'station', 'technology', 'road']","['smart city', 'landscape', 'service', 'transport', 'life', 'company', 'urban landscape', 'parameter', 'Smart city', 'public transport']","['density', 'governance', 'country', 'type', 'household', 'modality', 'modality environment', 'center', 'size', 'population']"
6,8,15,0.038,"[2, 3, 8, 9, 12, 40, 53, 58, 63, 87, 95, 180, 203, 250, 310]",-5.005994166381909,"['landscape', 'fMRI', 'brain', 'health', 'effort', 'neuroscience', 'neuroscience method', 'interdisciplinary effort', 'method', 'work']","['space', 'open space', 'study', 'public open space', 'public space', 'social interaction', 'city', 'community', 'people', 'resident']","['dimension', 'space', 'green space', 'sensory dimension', 'people', 'urban green space', 'planning', 'perceived sensory dimension', 'perception', 'eight sensory dimension']","['people', 'landscape', 'type', 'nature', 'perception', 'preference', 'image', 'space', 'designing', 'specie']","['design', 'setting', 'environment', 'role', 'century', 'community', 'sustainability', 'landscape', 'interaction', 'people']","['landscape', 'square', 'symbol', 'paper', 'relationship', 'culture', 'interaction', 'context', 'tourist', 'meaning']"
