NumTopics,Cluster,NumDocs,Percent,DocId,Score,LDATopics#0,LDATopics#1,LDATopics#2,LDATopics#3,LDATopics#4,LDATopics#5,LDATopics#6
7,-1,34,0.086,"[1, 4, 11, 13, 17, 18, 27, 29, 32, 39, 49, 56, 60, 61, 73, 78, 83, 84, 92, 105, 110, 125, 135, 137, 146, 153, 157, 161, 194, 228, 235, 283, 289, 382]",-9.362303749017384,"['case', 'authority', 'implementation', 'government', 'conflict', 'case study', 'study', 'decade', 'core', 'problem']","['people', 'city', 'study', 'culture', 'group', 'planning', 'youth', 'place', 'mobility', 'life']","['article', 'language', 'aborigine', 'TV', 'issue', 'structure', 'people', 'culture', 'show', 'health']","['event', 'festival', 'tourism', 'literature', 'work', 'understanding', 'concept', 'construction', 'town', 'relationship']","['interest', 'architecture', 'identity', 'culture', 'drug', 'knowledge', 'book', 'practice', 'design', 'drug use']","['year', 'fever', 'discussion', 'typhoid fever', 'age', 'child', 'incidence', 'action', 'online', 'organizationality']","['coordination', 'beauty', 'organisation', 'new town', 'mechanism', 'water', 'system', 'approach', 'view', 'line']"
7,0,39,0.099,"[14, 20, 43, 54, 66, 86, 94, 98, 109, 113, 123, 124, 128, 131, 133, 141, 142, 154, 155, 165, 166, 167, 171, 175, 176, 190, 191, 192, 193, 213, 218, 280, 286, 292, 315, 321, 327, 337, 368]",-5.063084727365674,"['community', 'history', 'movement', 'art', 'work', 'study', 'people', 'city', 'place', 'culture']","['city', 'people', 'process', 'way', 'culture', 'development', 'community', 'identity', 'music', 'globalization']","['nationalism', 'meaning', 'identity', 'nation', 'capital', 'city', 'map', 'temptation', 'word', 'conflict']","['city', 'space', 'people', 'culture', 'time', 'paper', 'world', 'article', 'transformation', 'planning']","['project', 'hop', 'hip hop', 'hip', 'politics', 'place', 'youth', 'people', 'study', 'young people']","['tourism', 'area', 'quarter', 'district', 'poverty', 'tourist', 'margin', 'context', 'ethnic quarter', 'community member']","['downtown', 'practice', 'ethnography', 'dance', 'research', 'imagery', 'barrio', 'day', 'museum', 'revitalization']"
7,1,29,0.074,"[68, 91, 103, 121, 129, 201, 205, 226, 238, 244, 264, 268, 269, 294, 298, 302, 319, 324, 330, 344, 347, 349, 350, 361, 362, 365, 371, 384, 395]",-4.839380897323695,"['identity', 'city', 'building', 'design', 'architecture', 'style', 'culture', 'space', 'research', 'process']","['change', 'transformation', 'city', 'architecture', 'heritage', 'market', 'study', 'value', 'building', 'culture']","['city', 'space', 'area', 'environment', 'time', 'study', 'form', 'planning', 'history', 'culture']","['people', 'care', 'older people', 'society', 'life', 'medical care', 'community', 'system', 'development', 'frailty']","['city', 'street', 'stone', 'market', 'area', 'place', 'nature', 'modernization', 'urban form', 'people']","['factor', 'effect', 'new development', 'subject', 'concept', 'site', 'renewal', 'life', 'activity', 'order']","['project', 'culture', 'work', 'urban transformation', 'people', 'life', 'book', 'paper', 'satellite image', 'kind']"
7,2,18,0.046,"[106, 118, 210, 214, 252, 253, 256, 259, 273, 276, 354, 359, 360, 364, 366, 376, 378, 391]",-8.56348355924297,"['city', 'environment', 'development', 'space', 'people', 'culture', 'evaluation', 'paper', 'research', 'index']","['information', 'area', 'city', 'suggestion', 'government', 'land', 'questionnaire', 'core', 'culture', 'spot']","['city', 'protection', 'culture', 'design', 'area', 'construction', 'blight', 'environment', 'people', 'problem']","['traffic', 'space', 'people', 'research', 'indicator', 'risk', 'resilience', 'activity', 'functionality', 'kind']","['core', 'town', 'traffic', 'effect', 'impact', 'living', 'region', 'suggestion', 'expansion', 'urban environment']","['axis', 'space axis', 'urban space axis', 'traditional culture', 'management', 'urban traffic', 'environmental management', 'architect', 'planner', 'traditional culture protection']","['livable city', 'nationality characteristic dwelling', 'characteristic dwelling', 'dwelling', 'scenery', 'natural scenery', 'scenery city', 'healthy city', 'sensing data', 'model']"
7,3,18,0.046,"[15, 22, 24, 33, 48, 59, 79, 81, 96, 149, 184, 200, 211, 223, 281, 339, 342, 377]",-3.9308688762279798,"['knowledge', 'entrepreneurship', 'spillover', 'knowledge spillover', 'capacity', 'economic development', 'development', 'literature', 'mechanism', 'study']","['city', 'place', 'regeneration', 'culture', 'product', 'design', 'quality', 'process', 'development', 'identity']","['place', 'branding', 'culture', 'paper', 'activity', 'element', 'place branding', 'cultural planning', 'practice', 'question']","['art', 'community', 'research', 'participation', 'cultural participation', 'sector', 'activity', 'organization', 'society', 'aspect']","['culture', 'planning', 'development', 'art', 'city', 'experience', 'economy', 'economic development', 'people', 'paper']","['cluster', 'book', 'creative cluster', 'cultural regeneration', 'geography', 'investment', 'range', 'study', 'heritage', 'development']","['space', 'town', 'placemaking', 'notion', 'use', 'quality product', 'creative activity', 'issue', 'need', 'vision']"
7,4,18,0.046,"[71, 75, 160, 172, 215, 239, 242, 284, 296, 297, 301, 303, 311, 313, 314, 345, 385, 394]",-5.839255219297384,"['city', 'town', 'culture', 'building', 'identity', 'people', 'development', 'way', 'inhabitant', 'space']","['market', 'country', 'process', 'labour market', 'system', 'labour', 'level', 'integration', 'transformation', 'evolution']","['model', 'city', 'resident', 'investor', 'case', 'system', 'form', 'desire', 'living', 'production']","['place', 'building', 'music', 'number', 'function', 'element', 'architecture', 'concept', 'author', 'example']","['city', 'culture', 'bridge', 'space', 'process', 'study', 'people', 'area', 'war', 'article']","['practice', 'country', 'centre', 'production', 'rule', 'government', 'case', 'model', 'place', 'transformation']","['church', 'small town', 'bank', 'location', 'monasticism', 'branch office', 'branch', 'office', 'nature', 'continent']"
7,5,6,0.015,"[173, 185, 232, 285, 329, 348]",-3.848810713871856,"['city', 'analysis', 'space', 'dystopian city', 'discourse', 'urban conglomeration', 'conglomeration', 'relationship', 'rapid urbanisation', 'urbanisation']","['survey', 'study', 'space', 'people', 'method', 'urban space', 'architect', 'idea', 'research', 'aspect']","['city', 'Indian city', 'space', 'governance', 'policy', 'development', 'development policy', 'growth', 'liberalisation', 'economic liberalisation']","['culture', 'space', 'people', 'urbanisation', 'idea', 'city', 'relationship', 'state', 'change', 'contestation']","['culture', 'space', 'people', 'urbanisation', 'idea', 'city', 'relationship', 'state', 'change', 'contestation']","['culture', 'space', 'people', 'urbanisation', 'idea', 'city', 'relationship', 'state', 'change', 'contestation']","['planning', 'city', 'culture', 'model', 'urban planning', 'informality', 'development', 'planning model', 'urban planning model', 'challenge']"
7,6,29,0.074,"[76, 82, 90, 122, 179, 222, 243, 246, 261, 270, 272, 279, 288, 295, 299, 312, 318, 326, 336, 338, 340, 343, 346, 352, 355, 358, 370, 375, 388]",-5.641046838938429,"['climate', 'scale', 'behavior', 'open space', 'mountainous climate', 'criterion', 'wind', 'humid climate', 'season', 'different scale']","['space', 'people', 'city', 'public space', 'role', 'culture', 'design', 'study', 'urban space', 'life']","['art', 'city', 'technology', 'information', 'life', 'culture', 'system', 'idea', 'people', 'public art']","['research', 'design', 'environment', 'space', 'architecture', 'planning', 'people', 'property', 'development', 'material']","['city', 'life', 'design', 'people', 'open space', 'planning', 'public open space', 'need', 'process', 'policy']","['study', 'design', 'concrete', 'building', 'bathroom', 'system', 'region', 'experimental study', 'water', 'strength']","['pattern', 'urban planning', 'person', 'vision', 'understanding', 'disability', 'behavior', 'young people', 'child', 'behavioral pattern']"
7,7,24,0.061,"[37, 42, 55, 70, 119, 139, 145, 158, 168, 178, 189, 196, 207, 230, 241, 247, 255, 266, 277, 322, 323, 331, 356, 390]",-4.341649236788727,"['transportation', 'sustainable transportation', 'study', 'edition', 'case study', 'case', 'mobility', 'service', 'globe', 'chapter']","['road', 'urban environment', 'commuter', 'design', 'traffic', 'safety', 'street', 'infrastructure', 'people', 'culture']","['space', 'neighborhood', 'concept', 'place', 'design', 'life', 'capital', 'neighborhood design', 'social capital', 'city']","['city', 'study', 'density', 'culture', 'mobility', 'community', 'people', 'governance', 'model', 'urban planning']","['environment', 'development', 'city', 'rail', 'vehicle', 'smart city', 'transit', 'culture', 'use', 'corridor']","['service', 'factor', 'transport', 'paper', 'life', 'level', 'interaction', 'part', 'company', 'public life']","['city', 'mobility', 'landscape', 'way', 'model', 'planning', 'strategy', 'mindset', 'Smart city', 'parameter']"
7,8,15,0.038,"[2, 3, 8, 9, 12, 40, 53, 58, 63, 87, 95, 180, 203, 250, 310]",-5.842110568041071,"['space', 'study', 'open space', 'context', 'public open space', 'culture', 'city', 'public space', 'people', 'social interaction']","['setting', 'design', 'term', 'environment', 'community', 'role', 'important role', 'basis', 'place', 'nature']","['landscape', 'paper', 'concept', 'point', 'discipline', 'research', 'approach', 'model', 'focal point', 'landscape concept']","['landscape', 'people', 'dimension', 'space', 'green space', 'nature', 'type', 'sensory dimension', 'perception', 'health']","['landscape', 'sustainability', 'paper', 'people', 'area', 'towards', 'goal', 'review', 'understanding', 'diversity']","['century', 'work', 'possibility', 'call', 'examination', 'model', 'focal point', 'discipline', 'aim', 'paper']","['square', 'symbol', 'tourist', 'fMRI', 'brain', 'meaning', 'behaviour', 'method', 'attraction', 'site']"
7,9,8,0.02,"[5, 30, 47, 174, 208, 209, 262, 351]",-1.878877100759763,"['design', 'environment', 'built environment', 'hearing', 'le', 'paper', 'perspective', 'profi le', 'agenda', 'diversity']","['sound', 'region', 'district', 'city', 'paper', 'soundscape', 'characteristic', 'historic district', 'soundmarks', 'people']","['environment', 'sound', 'design', 'people', 'planning', 'culture', 'soundscape', 'city', 'management', 'paper']","['system', 'environment', 'soundscape', 'method', 'people', 'design', 'acoustic environment', 'aspect', 'data', 'sound']","['city', 'place', 'comfort', 'outdoor place', 'culture', 'need', 'background', 'space', 'quality', 'order']","['noise', 'city noise', 'city', 'sound', 'people', 'world', 'talk', 'accompanied human civilization', 'solution', 'civilization']","['space', 'activity', 'road traffic', 'road', 'traffic', 'people', 'noise', 'question', 'difference', 'response']"
