NumTopics,Cluster,NumDocs,Percent,DocId,Score,LDATopics#0,LDATopics#1,LDATopics#2,LDATopics#3,LDATopics#4,LDATopics#5,LDATopics#6,LDATopics#7,LDATopics#8
9,-1,34,0.086,"[1, 4, 11, 13, 17, 18, 27, 29, 32, 39, 49, 56, 60, 61, 73, 78, 83, 84, 92, 105, 110, 125, 135, 137, 146, 153, 157, 161, 194, 228, 235, 283, 289, 382]",-8.813424902620874,"['partnership', 'local people', 'opinion', 'local government', 'architecture revitalization', 'elite entrepreneur', 'entrepreneur', 'Bai architecture', 'branding', 'Bai architecture revitalization']","['city', 'place', 'life', 'politics', 'planning', 'way', 'culture', 'people', 'management', 'mobility']","['policy', 'interest', 'book', 'research', 'practice', 'architecture', 'development', 'knowledge', 'town', 'new town']","['study', 'people', 'year', 'paper', 'area', 'use', 'article', 'case', 'fever', 'issue']","['youth', 'culture', 'interaction', 'people', 'role', 'drug', 'show', 'authority', 'problem', 'implementation']","['group', 'state', 'people', 'discussion', 'aborigine', 'TV', 'culture', 'online', 'organizationality', 'organizational interaction']","['event', 'festival', 'tourism', 'identity', 'literature', 'relationship', 'concept', 'construction', 'nature', 'colonial']","['theory', 'action', 'language', 'voice', 'health', 'governance', 'housing', 'task', 'regime', 'regime theory']","['coordination', 'beauty', 'organisation', 'mechanism', 'water', 'case', 'line', 'simulation', 'city organisation', 'bottom line']"
9,0,39,0.099,"[14, 20, 43, 54, 66, 86, 94, 98, 109, 113, 123, 124, 128, 131, 133, 141, 142, 154, 155, 165, 166, 167, 171, 175, 176, 190, 191, 192, 193, 213, 218, 280, 286, 292, 315, 321, 327, 337, 368]",-5.248817507060175,"['wellbeing', 'health', 'dance', 'healthy people', 'critique', 'creative dance', 'dancing', 'dance project', 'dance practice', 'liveability']","['community', 'movement', 'history', 'work', 'art', 'city', 'study', 'space', 'district', 'place']","['city', 'globalization', 'tourist', 'development', 'transformation', 'center', 'context', 'activity', 'theme', 'function']","['city', 'people', 'culture', 'process', 'study', 'identity', 'space', 'way', 'meaning', 'politics']","['downtown', 'example', 'idea', 'opportunity', 'analysis', 'power', 'relationship', 'research', 'decade', 'volume']","['tourism', 'music', 'area', 'urban tourism', 'symbol', 'quarter', 'population', 'visitor', 'development', 'heritage']","['space', 'paper', 'life', 'city', 'material', 'urban space', 'cosmopolitanism', 'night', 'effort', 'neighbourhood']","['city', 'youth', 'system', 'culture', 'place', 'people', 'year', 'research', 'young people', 'situation']","['nationalism', 'hop', 'hip hop', 'nation', 'hip', 'temptation', 'map', 'capital city', 'independence', 'margin']"
9,1,29,0.074,"[68, 91, 103, 121, 129, 201, 205, 226, 238, 244, 264, 268, 269, 294, 298, 302, 319, 324, 330, 344, 347, 349, 350, 361, 362, 365, 371, 384, 395]",-6.0222495587191345,"['cultural heritage', 'marketplace', 'urban morphology', 'morphology', 'function', 'tourist', 'old city center', 'local vendor', 'meaning market', 'loci']","['market', 'place', 'traditional market', 'culture', 'city', 'capital', 'decision', 'value', 'center', 'solution']","['city', 'area', 'space', 'street', 'history', 'urban planning', 'culture', 'part', 'urban transformation', 'time']","['form', 'culture', 'study', 'paper', 'pattern', 'environment', 'nature', 'space', 'urban form', 'influence']","['people', 'architecture', 'life', 'factor', 'society', 'development', 'building', 'care', 'research', 'community']","['city', 'identity', 'city identity', 'century', 'house', 'value', 'relation', 'analysis', 'hybridization', 'architectural style']","['change', 'study', 'conservation', 'heritage', 'planning', 'architecture', 'island', 'image', 'environment', 'different culture']","['project', 'work', 'culture', 'book', 'institution', 'resource', 'country', 'th', 'nation', 'practice']","['kind', 'urban design', 'civilization', 'renovation', 'richness', 'corridor', 'floor', 'modifier', 'wind', 'vernacular architecture']"
9,2,18,0.046,"[106, 118, 210, 214, 252, 253, 256, 259, 273, 276, 354, 359, 360, 364, 366, 376, 378, 391]",-8.093649432869228,"['pollution', 'development', 'planning', 'country', 'urban planning', 'town', 'economy', 'nature', 'city', 'water']","['space', 'urban space', 'process', 'development', 'activity', 'research', 'functionality', 'city', 'urban development', 'spatial configuration']","['environment', 'city', 'protection', 'area', 'culture', 'evaluation', 'data', 'index', 'quality', 'research']","['city', 'people', 'design', 'paper', 'culture', 'area', 'traffic', 'space', 'construction', 'blight']","['sustainable development', 'region', 'phenomenon', 'attention', 'country', 'destruction', 'issue', 'process', 'world', 'measure']","['sustainable development', 'region', 'phenomenon', 'attention', 'country', 'destruction', 'issue', 'process', 'world', 'measure']","['axis', 'urban space axis', 'space axis', 'dwelling', 'nationality characteristic dwelling', 'characteristic dwelling', 'nationality', 'southwest', 'characteristic dwelling protection', 'architecture']","['livable city', 'scenery', 'scenery city', 'natural scenery', 'model', 'sensing data', 'natural scenery city', 'remote sensing data', 'rapid growth', 'resort']","['traditional culture', 'management', 'urban traffic', 'healthy city', 'environmental management', 'inheritance', 'protection measure', 'traditional culture protection', 'culture protection', 'traffic environment']"
9,3,18,0.046,"[15, 22, 24, 33, 48, 59, 79, 81, 96, 149, 184, 200, 211, 223, 281, 339, 342, 377]",-5.944755958922448,"['city', 'culture', 'place', 'development', 'planning', 'people', 'art', 'process', 'economy', 'product']","['cluster', 'creative cluster', 'investment', 'book', 'range', 'study', 'new creative cluster', 'force', 'driving force', 'model']","['place', 'branding', 'paper', 'culture', 'element', 'place branding', 'cultural planning', 'practice', 'activity', 'hand']","['art', 'community', 'activity', 'heritage', 'research', 'participation', 'cultural participation', 'center', 'planner', 'sector']","['urban design', 'design', 'development', 'regeneration', 'topic', 'knowledge', 'cultural regeneration', 'area', 'chance', 'culture']","['creative activity', 'externality', 'agglomeration', 'space', 'urban context', 'contemporary city', 'participatory process', 'social condition', 'tradable product', 'dynamic']","['town', 'notion', 'municipality', 'smart creative city', 'issue', 'vision', 'need', 'use', 'land', 'aspiration']","['placemaking', 'quality product', 'creative placemaking', 'Creative placemaking', 'space', 'meaning', 'future', 'single art center', 'single art', 'large art']","['quarter', 'discipline', 'recognition', 'creative people', 'activity', 'European Capital', 'Capital', 'chance', 'cluster', 'topic']"
9,4,18,0.046,"[71, 75, 160, 172, 215, 239, 242, 284, 296, 297, 301, 303, 311, 313, 314, 345, 385, 394]",-6.004975116540576,"['city', 'culture', 'building', 'development', 'identity', 'people', 'way', 'inhabitant', 'result', 'space']","['community', 'heritage', 'problem', 'need', 'urban development', 'stage', 'planning', 'urban planning', 'article', 'basis']","['country', 'condition', 'system', 'market', 'field', 'time', 'labour market', 'contribution', 'labour', 'form']","['model', 'city', 'resident', 'system', 'time', 'case', 'investor', 'form', 'example', 'desire']","['place', 'building', 'culture', 'music', 'number', 'research', 'people', 'architecture', 'identity', 'city']","['town', 'city', 'empire', 'area', 'century', 'bridge', 'space', 'end', 'culture', 'religion']","['church', 'bank', 'branch', 'branch office', 'office', 'territory', 'office building', 'branch office building', 'effect', 'bank building']","['small town', 'monasticism', 'continent', 'programme', 'revitalization', 'location', 'symbol', 'border', 'Écija', 'position']","['connection', 'country', 'birth', 'bridge', 'contribution', 'rule', 'life', 'time', 'term', 'ambition']"
9,5,6,0.015,"[173, 185, 232, 285, 329, 348]",-1.1694392522413266,"['impact', 'history', 'original concept', 'number', 'motivation', 'model', 'military compulsion', 'many city', 'local contexts', 'indirect impact']","['impact', 'history', 'original concept', 'number', 'motivation', 'model', 'military compulsion', 'many city', 'local contexts', 'indirect impact']","['impact', 'history', 'original concept', 'number', 'motivation', 'model', 'military compulsion', 'many city', 'local contexts', 'indirect impact']","['impact', 'history', 'original concept', 'number', 'motivation', 'model', 'military compulsion', 'many city', 'local contexts', 'indirect impact']","['impact', 'history', 'original concept', 'number', 'motivation', 'model', 'military compulsion', 'many city', 'local contexts', 'indirect impact']","['model', 'urban planning model', 'planning model', 'city', 'consequence', 'world', 'essay', 'plan', 'series', 'concept']","['city', 'planning', 'policy', 'elasticity', 'challenge', 'governance', 'hence', 'urban governance', 'state', 'problem']","['culture', 'planning', 'urban planning', 'informality', 'survey', 'study', 'development', 'space', 'research', 'people']","['city', 'space', 'Indian city', 'urbanisation', 'discourse', 'dystopian city', 'conglomeration', 'economic liberalisation', 'development policy', 'liberalisation']"
9,6,29,0.074,"[76, 82, 90, 122, 179, 222, 243, 246, 261, 270, 272, 279, 288, 295, 299, 312, 318, 326, 336, 338, 340, 343, 346, 352, 355, 358, 370, 375, 388]",-6.997042001714136,"['apartment', 'health', 'social health', 'plan', 'public apartment', 'building', 'housing', 'study', 'questionnaire', 'venue']","['climate', 'behavior', 'scale', 'comfort', 'criterion', 'mountainous climate', 'plant', 'open space', 'wind', 'season']","['space', 'design', 'city', 'people', 'study', 'research', 'culture', 'life', 'building', 'environment']","['society', 'time', 'space', 'open space', 'public open space', 'different scale', 'opportunity', 'scale', 'location', 'health']","['vision', 'person', 'tool', 'disability', 'experience', 'education', 'service', 'traffic', 'access', 'blindness']","['concrete', 'bathroom', 'region', 'experimental study', 'strength', 'water', 'residential building', 'small bathroom', 'china', 'steel']","['pattern', 'urban environment', 'understanding', 'hypothesis', 'behavioral pattern', 'individual', 'plaza', 'great place', 'urban planning', 'Irbid city']","['urban planning', 'performance', 'planning', 'signage', 'child', 'young people', 'commercial signage', 'planning process', 'perspective', 'chapter']","['turn', 'norm', 'complexity', 'communication', 'architectural space', 'advance', 'society', 'vision', 'amount', 'protection']"
9,7,24,0.061,"[37, 42, 55, 70, 119, 139, 145, 158, 168, 178, 189, 196, 207, 230, 241, 247, 255, 266, 277, 322, 323, 331, 356, 390]",-6.876936325604506,"['development', 'space', 'place', 'city', 'concept', 'culture', 'area', 'infrastructure', 'paper', 'people']","['environment', 'rail', 'development', 'city', 'transit', 'culture', 'use', 'accessibility', 'station', 'centre']","['mobility', 'model', 'strategy', 'city', 'mindset', 'community', 'walking', 'learning', 'diffusion', 'analysis']","['neighborhood', 'design', 'concept', 'place', 'space', 'capital', 'neighborhood design', 'social capital', 'quality', 'way']","['city', 'study', 'vehicle', 'smart city', 'world', 'transportation', 'technology', 'planning', 'life', 'culture']","['service', 'transport', 'level', 'factor', 'company', 'public transport', 'innovation', 'incentive', 'transport service', 'car']","['interaction', 'life', 'road', 'part', 'urban environment', 'public life', 'paper', 'design', 'location', 'space']","['opportunity', 'country', 'household', 'type', 'challenge', 'size', 'situation', 'fuel', 'efficiency', 'fuel efficiency']","['corridor', 'density', 'governance', 'modality', 'modality environment', 'center', 'Modality environment', 'central place', 'grid', 'city center']"
9,8,15,0.038,"[2, 3, 8, 9, 12, 40, 53, 58, 63, 87, 95, 180, 203, 250, 310]",-6.316002249296434,"['space', 'open space', 'public space', 'public open space', 'context', 'method', 'interaction', 'social interaction', 'culture', 'case']","['landscape', 'century', 'work', 'call', 'possibility', 'examination', 'environment', 'painting', 'environmental aesthetic', 'aesthetic']","['landscape', 'type', 'nature', 'people', 'image', 'relationship', 'preference', 'landscape type', 'mean', 'Type']","['space', 'dimension', 'green space', 'people', 'sensory dimension', 'design', 'perception', 'environment', 'health', 'community']","['space', 'green space', 'study', 'park', 'service', 'specie', 'perception', 'designing', 'activity', 'ecosystem']","['landscape', 'paper', 'people', 'tree', 'concept', 'discipline', 'research', 'sustainability', 'culture', 'area']","['importance', 'activity', 'tree', 'tenure', 'urban asset', 'understanding public perception', 'tree denoting synergy', 'urban tree', 'treasure', 'stronger commitment']","['symbol', 'fMRI', 'brain', 'meaning', 'neuroscience method', 'neuroscience', 'effort', 'interdisciplinary effort', 'audience', 'experience']","['square', 'tourist', 'behaviour', 'landscape park', 'attraction', 'site', 'community social interaction', 'open public space', 'public square', 'built environment']"
