NumTopics,Cluster,NumDocs,Percent,DocId,Score,LDATopics
4,-1,34,0.086,"[1, 4, 11, 13, 17, 18, 27, 29, 32, 39, 49, 56, 60, 61, 73, 78, 83, 84, 92, 105, 110, 125, 135, 137, 146, 153, 157, 161, 194, 228, 235, 283, 289, 382]",-7.7888867243213,"[{'topic': ['event', 'festival', 'study', 'tourism', 'development', 'policy', 'people', 'city', 'literature', 'book'], 'score': -0.8373077299172924}, {'topic': ['city', 'people', 'planning', 'place', 'culture', 'politics', 'history', 'coordination', 'urban planning', 'policy'], 'score': -4.504162948814898}, {'topic': ['youth', 'people', 'culture', 'group', 'identity', 'mobility', 'use', 'discussion', 'drug', 'young people'], 'score': -9.083422783563503}, {'topic': ['year', 'people', 'fever', 'beauty', 'culture', 'child', 'TV', 'aborigine', 'typhoid fever', 'age'], 'score': -10.323403710966822}]"
4,0,39,0.099,"[14, 20, 43, 54, 66, 86, 94, 98, 109, 113, 123, 124, 128, 131, 133, 141, 142, 154, 155, 165, 166, 167, 171, 175, 176, 190, 191, 192, 193, 213, 218, 280, 286, 292, 315, 321, 327, 337, 368]",-4.1693896684705125,"[{'topic': ['city', 'culture', 'people', 'space', 'place', 'identity', 'planning', 'study', 'project', 'way'], 'score': -1.0021530799338256}, {'topic': ['nationalism', 'city', 'tourism', 'people', 'area', 'community', 'culture', 'identity', 'movement', 'capital'], 'score': -2.2917571739672633}, {'topic': ['city', 'downtown', 'people', 'space', 'process', 'culture', 'place', 'practice', 'development', 'research'], 'score': -2.713974559195061}, {'topic': ['community', 'art', 'study', 'hop', 'hip hop', 'hip', 'work', 'people', 'diversity', 'culture'], 'score': -5.68360458351053}]"
4,1,29,0.074,"[68, 91, 103, 121, 129, 201, 205, 226, 238, 244, 264, 268, 269, 294, 298, 302, 319, 324, 330, 344, 347, 349, 350, 361, 362, 365, 371, 384, 395]",-4.851110457654037,"[{'topic': ['city', 'architecture', 'culture', 'space', 'transformation', 'urban planning', 'people', 'planning', 'history', 'area'], 'score': -0.8547323382726805}, {'topic': ['city', 'identity', 'culture', 'factor', 'building', 'space', 'people', 'form', 'place', 'design'], 'score': -0.8938150113585446}, {'topic': ['people', 'development', 'care', 'community', 'older people', 'society', 'study', 'medical care', 'life', 'culture'], 'score': -4.113840367538155}, {'topic': ['city', 'street', 'area', 'image', 'identity', 'study', 'value', 'island', 'satellite image', 'stone'], 'score': -5.278401964257299}]"
4,2,18,0.046,"[106, 118, 210, 214, 252, 253, 256, 259, 273, 276, 354, 359, 360, 364, 366, 376, 378, 391]",-4.888556154769155,"[{'topic': ['city', 'relationship', 'capital city', 'capital', 'ancient city', 'excavation', 'dynasty', 'Shang dynasty', 'environment', 'area'], 'score': -0.6868524806614998}, {'topic': ['evaluation', 'development', 'city', 'research', 'quality', 'environment', 'planning', 'residential environment', 'index', 'activity'], 'score': -1.519811509332823}, {'topic': ['city', 'environment', 'culture', 'protection', 'development', 'paper', 'people', 'traffic', 'axis', 'space'], 'score': -4.991624555160465}, {'topic': ['city', 'design', 'space', 'area', 'people', 'blight', 'culture', 'urban blight', 'rural area', 'development'], 'score': -6.3962655890286895}]"
4,3,18,0.046,"[15, 22, 24, 33, 48, 59, 79, 81, 96, 149, 184, 200, 211, 223, 281, 339, 342, 377]",-4.0735528226478985,"[{'topic': ['city', 'planning', 'culture', 'process', 'art', 'approach', 'place', 'activity', 'people', 'development'], 'score': -0.3950397027291215}, {'topic': ['place', 'culture', 'regeneration', 'experience', 'product', 'development', 'role', 'city', 'paper', 'quality'], 'score': -0.7664048434937052}, {'topic': ['art', 'community', 'development', 'economic development', 'culture', 'research', 'cluster', 'people', 'sector', 'participation'], 'score': -0.9435698466771634}, {'topic': ['culture', 'city', 'art', 'economy', 'creativity', 'placemaking', 'innovation', 'development', 'transition', 'hub'], 'score': -4.4650684441200275}]"
4,4,18,0.046,"[71, 75, 160, 172, 215, 239, 242, 284, 296, 297, 301, 303, 311, 313, 314, 345, 385, 394]",-3.642552307883978,"[{'topic': ['market', 'labour market', 'country', 'system', 'labour', 'time', 'image', 'article', 'form', 'policy'], 'score': -0.7688332533612671}, {'topic': ['city', 'town', 'building', 'culture', 'identity', 'church', 'people', 'development', 'place', 'small town'], 'score': -2.6373842148272906}, {'topic': ['culture', 'music', 'building', 'study', 'city', 'space', 'place', 'article', 'theatre', 'people'], 'score': -3.0199239256985764}, {'topic': ['city', 'empire', 'culture', 'space', 'people', 'religion', 'process', 'area', 'example', 'resident'], 'score': -4.29402045569357}]"
4,5,6,0.015,"[173, 185, 232, 285, 329, 348]",-3.3171524100338585,"[{'topic': ['culture', 'urban planning', 'planning', 'informality', 'development', 'research', 'influence', 'understanding', 'relationship', 'context'], 'score': -0.5841661524431091}, {'topic': ['city', 'Indian city', 'space', 'governance', 'policy', 'economic liberalisation', 'development policy', 'growth', 'liberalisation', 'development'], 'score': -0.6356107660640223}, {'topic': ['city', 'planning', 'elasticity', 'analysis', 'policy', 'challenge', 'hence', 'contestation', 'urban conglomeration', 'conglomeration'], 'score': -6.485491804530412}, {'topic': ['model', 'study', 'survey', 'space', 'urban planning model', 'planning model', 'city', 'people', 'urban space', 'research'], 'score': -7.229366805465929}]"
4,6,29,0.074,"[76, 82, 90, 122, 179, 222, 243, 246, 261, 270, 272, 279, 288, 295, 299, 312, 318, 326, 336, 338, 340, 343, 346, 352, 355, 358, 370, 375, 388]",-3.032048150517214,"[{'topic': ['city', 'design', 'space', 'people', 'life', 'area', 'study', 'process', 'planning', 'art'], 'score': -0.9669244913683398}, {'topic': ['space', 'people', 'design', 'city', 'climate', 'role', 'environment', 'culture', 'public space', 'open space'], 'score': -1.0703248635231535}, {'topic': ['architecture', 'space', 'technology', 'change', 'culture', 'development', 'people', 'building', 'art', 'public art'], 'score': -3.24788542616785}, {'topic': ['study', 'design', 'research', 'building', 'concrete', 'property', 'bathroom', 'space', 'system', 'region'], 'score': -3.9363626937891283}]"
4,7,24,0.061,"[37, 42, 55, 70, 119, 139, 145, 158, 168, 178, 189, 196, 207, 230, 241, 247, 255, 266, 277, 322, 323, 331, 356, 390]",-4.222273156219308,"[{'topic': ['space', 'city', 'public space', 'life', 'paper', 'design', 'user', 'need', 'study', 'interaction'], 'score': -0.9026945212393594}, {'topic': ['city', 'transport', 'smart city', 'model', 'service', 'culture', 'implementation', 'development', 'level', 'factor'], 'score': -1.4156666627920342}, {'topic': ['city', 'environment', 'vehicle', 'development', 'study', 'culture', 'transportation', 'place', 'mobility', 'density'], 'score': -3.3745028586114616}, {'topic': ['neighborhood', 'design', 'concept', 'rail', 'place', 'environment', 'space', 'capital', 'neighborhood design', 'social capital'], 'score': -5.776713067402126}]"
4,8,15,0.038,"[2, 3, 8, 9, 12, 40, 53, 58, 63, 87, 95, 180, 203, 250, 310]",-5.29158714913151,"[{'topic': ['space', 'green space', 'dimension', 'people', 'sensory dimension', 'perception', 'study', 'urban green space', 'landscape', 'planning'], 'score': -1.3096836599130528}, {'topic': ['space', 'square', 'open space', 'landscape', 'interaction', 'context', 'public open space', 'study', 'public space', 'social interaction'], 'score': -1.8250711560135358}, {'topic': ['landscape', 'people', 'nature', 'type', 'paper', 'symbol', 'culture', 'relationship', 'image', 'method'], 'score': -2.6474391421708776}, {'topic': ['tree', 'community', 'environment', 'resident', 'nature', 'role', 'design', 'contact', 'wall', 'group'], 'score': -5.290425592078787}]"
