Cluster,Num Docs,Percent,DocId,Score,LDATopics
-1,34,0.086,"[1, 4, 11, 13, 17, 18, 27, 29, 32, 39, 49, 56, 60, 61, 73, 78, 83, 84, 92, 105, 110, 125, 135, 137, 146, 153, 157, 161, 194, 228, 235, 283, 289, 382]",-9.612758163034286,"[{'topic': ['year', 'fever', 'typhoid fever', 'case', 'view', 'age', 'child', 'resident', 'incidence', 'choice'], 'score': -0.9283341275429154}, {'topic': ['city', 'culture', 'study', 'people', 'planning', 'group', 'place', 'policy', 'practice', 'politics'], 'score': -1.9024773058035114}, {'topic': ['youth', 'mobility', 'people', 'interaction', 'role', 'image', 'culture', 'area', 'young people', 'activity'], 'score': -3.826606416528044}, {'topic': ['use', 'street', 'support', 'response', 'care', 'public space', 'paper', 'pub', 'drinking', 'interview'], 'score': -3.827761317826861}, {'topic': ['form', 'life', 'new town', 'activity', 'social life', 'housing', 'car', 'space', 'way', 'time'], 'score': -5.1968998506399515}, {'topic': ['event', 'festival', 'tourism', 'identity', 'theory', 'relationship', 'work', 'literature', 'action', 'understanding'], 'score': -8.347733416584868}, {'topic': ['article', 'beauty', 'issue', 'approach', 'structure', 'coordination', 'organisation', 'show', 'mechanism', 'people'], 'score': -10.478857885934572}, {'topic': ['people', 'discussion', 'aborigine', 'TV', 'drug', 'organizational interaction', 'organizationality', 'online', 'station', 'indigenous people'], 'score': -13.555120494310705}]"
0,39,0.099,"[14, 20, 43, 54, 66, 86, 94, 98, 109, 113, 123, 124, 128, 131, 133, 141, 142, 154, 155, 165, 166, 167, 171, 175, 176, 190, 191, 192, 193, 213, 218, 280, 286, 292, 315, 321, 327, 337, 368]",-9.328763537935718,"[{'topic': ['city', 'people', 'culture', 'space', 'community', 'art', 'process', 'place', 'way', 'development'], 'score': -1.0346831729008903}, {'topic': ['meaning', 'identity', 'world', 'capital', 'century', 'relation', 'regeneration', 'place', 'urban planning', 'discourse'], 'score': -1.7606819856633735}, {'topic': ['city', 'culture', 'system', 'place', 'people', 'young people', 'conception', 'research', 'planning', 'notion'], 'score': -4.668016912465351}, {'topic': ['movement', 'work', 'city', 'history', 'space', 'project', 'understanding', 'youth', 'subway', 'cosmopolitanism'], 'score': -5.392847399502775}, {'topic': ['nationalism', 'nation', 'group', 'community', 'word', 'border', 'diversity', 'map', 'temptation', 'institution'], 'score': -5.620202506918472}, {'topic': ['study', 'hop', 'book', 'hip hop', 'scholar', 'hip', 'collection', 'discussion', 'poverty', 'play'], 'score': -6.820384775322186}, {'topic': ['downtown', 'practice', 'effort', 'example', 'research', 'analysis', 'ethnography', 'dance', 'volume', 'power'], 'score': -7.098349293750705}, {'topic': ['tourism', 'quarter', 'margin', 'ethnic quarter', 'community member', 'mundane', 'new form', 'violence', 'uncertainty', 'injustice'], 'score': -14.24865164315483}]"
1,29,0.074,"[68, 91, 103, 121, 129, 201, 205, 226, 238, 244, 264, 268, 269, 294, 298, 302, 319, 324, 330, 344, 347, 349, 350, 361, 362, 365, 371, 384, 395]",-9.670292489625908,"[{'topic': ['city', 'identity', 'architecture', 'culture', 'space', 'people', 'building', 'study', 'design', 'transformation'], 'score': -0.8813452766359771}, {'topic': ['conservation', 'heritage', 'income', 'education', 'change', 'action', 'effort', 'example', 'benefit', 'government'], 'score': -0.896874683511468}, {'topic': ['city', 'house', 'environment', 'city identity', 'analysis', 'image', 'century', 'study', 'living', 'identity'], 'score': -1.1191995712259435}, {'topic': ['project', 'form', 'culture', 'work', 'life', 'period', 'community', 'pattern', 'paper', 'environment'], 'score': -1.4163380945357096}, {'topic': ['people', 'care', 'life', 'society', 'older people', 'medical care', 'street', 'development', 'community', 'system'], 'score': -2.643795183599665}, {'topic': ['hybridization', 'hybridization process', 'new development', 'urban design', 'designer', 'architectural style', 'site', 'marketplace', 'religion', 'morphology'], 'score': -8.018664856135258}, {'topic': ['nature', 'kind', 'urban form', 'civilization', 'variety', 'richness', 'corridor', 'modifier', 'floor', 'manifestation'], 'score': -13.317247763740086}, {'topic': ['urban transformation', 'satellite image', 'book', 'application', 'oil', 'block', 'traditional block', 'transformation project', 'urban transformation project', 'present time'], 'score': -20.05799701874543}]"
2,18,0.046,"[106, 118, 210, 214, 252, 253, 256, 259, 273, 276, 354, 359, 360, 364, 366, 376, 378, 391]",-7.950388045587113,"[{'topic': ['scenery', 'city', 'natural scenery', 'scenery city', 'natural scenery city', 'construction', 'growth', 'rapid growth', 'scenery resort', 'tourism'], 'score': -0.5484106209390103}, {'topic': ['space', 'data', 'research', 'urban space', 'process', 'activity', 'development', 'city', 'functionality', 'culture'], 'score': -0.7347015559071748}, {'topic': ['city', 'environment', 'quality', 'environmental quality', 'part', 'people', 'space', 'area', 'improvement', 'relationship'], 'score': -0.942109453700763}, {'topic': ['city', 'development', 'area', 'planning', 'paper', 'information', 'country', 'urban planning', 'economy', 'research'], 'score': -1.521854406843237}, {'topic': ['city', 'culture', 'protection', 'design', 'people', 'area', 'pollution', 'concept', 'urban environment', 'construction'], 'score': -3.9051019116728054}, {'topic': ['traffic', 'blight', 'urban blight', 'people', 'resilience', 'indicator', 'risk', 'space', 'identification', 'land'], 'score': -7.183639051876271}, {'topic': ['environment', 'livable city', 'index', 'evaluation', 'management', 'urban traffic', 'residential environment', 'sensing data', 'model', 'system'], 'score': -7.322772572400697}, {'topic': ['axis', 'space axis', 'urban space axis', 'characteristic dwelling', 'dwelling', 'nationality characteristic dwelling', 'traditional culture', 'healthy city', 'nationality', 'architect'], 'score': -17.593350654595604}]"
3,18,0.046,"[15, 22, 24, 33, 48, 59, 79, 81, 96, 149, 184, 200, 211, 223, 281, 339, 342, 377]",-5.716997047320753,"[{'topic': ['place', 'city', 'culture', 'process', 'product', 'people', 'regeneration', 'development', 'creativity', 'study'], 'score': -0.590853762145335}, {'topic': ['notion', 'town', 'space', 'use', 'need', 'vision', 'aspiration', 'land', 'land use', 'scale'], 'score': -0.6513151708091068}, {'topic': ['place', 'culture', 'paper', 'branding', 'cultural planning', 'practice', 'place branding', 'hand', 'art', 'framework'], 'score': -1.1349720877530807}, {'topic': ['development', 'economic development', 'production', 'art', 'culture', 'cultural production', 'producer', 'job', 'Purpose', 'people'], 'score': -1.54932154473207}, {'topic': ['experience', 'regeneration', 'development', 'urban design', 'design', 'culture', 'area', 'city', 'role', 'cultural regeneration'], 'score': -1.8920569869960588}, {'topic': ['art', 'planning', 'community', 'city', 'culture', 'activity', 'paper', 'economy', 'research', 'analysis'], 'score': -2.012396259051289}, {'topic': ['element', 'context', 'branding', 'mean', 'consumption', 'place branding', 'research', 'attracting people', 'Purpose', 'material'], 'score': -4.088249808171998}, {'topic': ['placemaking', 'creative activity', 'quality product', 'externality', 'agglomeration', 'Creative placemaking', 'creative placemaking', 'issue', 'smart creative city', 'municipality'], 'score': -16.665819616944823}]"
4,18,0.046,"[71, 75, 160, 172, 215, 239, 242, 284, 296, 297, 301, 303, 311, 313, 314, 345, 385, 394]",-8.105517054680286,"[{'topic': ['small town', 'revitalization', 'programme', 'growth', 'tourist', 'revitalization programme', 'square', 'Small town', 'activity', 'attractiveness'], 'score': -0.21564578948973848}, {'topic': ['resident', 'principle', 'today', 'thanks', 'citizen', 'democracy', 'modern city', 'perspective', 'example', 'form'], 'score': -0.5132666779779866}, {'topic': ['town', 'empire', 'end', 'religion', 'feature', 'culture', 'attention', 'difference', 'Russian empire', 'strategy'], 'score': -0.7516659846950248}, {'topic': ['country', 'condition', 'market', 'field', 'labour market', 'system', 'contribution', 'labour', 'number', 'form'], 'score': -0.7558559757610237}, {'topic': ['city', 'culture', 'development', 'identity', 'people', 'study', 'space', 'way', 'inhabitant', 'process'], 'score': -0.7898191430060246}, {'topic': ['building', 'place', 'architecture', 'music', 'structure', 'people', 'space', 'theatre', 'number', 'element'], 'score': -4.266267748316401}, {'topic': ['connection', 'difference', 'country', 'life', 'contribution', 'beauty', 'beautiful cosmopolitan city', 'violence', 'Seven day', 'field'], 'score': -16.090075547705705}, {'topic': ['church', 'bank', 'monasticism', 'branch office', 'branch', 'office', 'location', 'continent', 'influence', 'effect'], 'score': -17.144988406449524}]"
5,6,0.015,"[173, 185, 232, 285, 329, 348]",-8.365271302870443,"[{'topic': ['survey', 'study', 'space', 'people', 'urban space', 'method', 'architect', 'idea', 'research', 'urban study'], 'score': -0.6563529038377579}, {'topic': ['city', 'planning', 'policy', 'governance', 'elasticity', 'Indian city', 'challenge', 'hence', 'change', 'state'], 'score': -2.947837294228621}, {'topic': ['culture', 'city', 'model', 'urban planning', 'planning', 'informality', 'development', 'urban planning model', 'planning model', 'research'], 'score': -4.1349076667065425}, {'topic': ['urban space', 'power', 'context', 'culture', 'development', 'idea', 'study', 'work', 'urbanisation', 'space'], 'score': -5.19991000711061}, {'topic': ['work', 'power', 'context', 'culture', 'transformation', 'idea', 'study', 'urbanisation', 'urban space', 'space'], 'score': -6.357331971588857}, {'topic': ['work', 'power', 'context', 'culture', 'transformation', 'idea', 'study', 'urbanisation', 'urban space', 'space'], 'score': -6.357331971588857}, {'topic': ['work', 'power', 'context', 'culture', 'transformation', 'idea', 'study', 'urbanisation', 'urban space', 'space'], 'score': -6.357331971588857}, {'topic': ['idea', 'teaching', 'culture', 'urban planning model', 'role', 'space', 'development', 'garden', 'translation', 'colonization'], 'score': -9.815352727702113}]"
6,29,0.074,"[76, 82, 90, 122, 179, 222, 243, 246, 261, 270, 272, 279, 288, 295, 299, 312, 318, 326, 336, 338, 340, 343, 346, 352, 355, 358, 370, 375, 388]",-9.753377239788241,"[{'topic': ['space', 'people', 'city', 'design', 'planning', 'research', 'development', 'public space', 'quality', 'study'], 'score': -0.7643965015035349}, {'topic': ['city', 'design', 'process', 'environment', 'life', 'people', 'model', 'analysis', 'aspect', 'role'], 'score': -1.1391483840001975}, {'topic': ['study', 'design', 'research', 'building', 'concrete', 'property', 'region', 'experimental study', 'strength', 'water'], 'score': -1.477984646003625}, {'topic': ['urban space', 'role', 'space', 'result', 'sense', 'culture', 'different scale', 'activity', 'design', 'scale'], 'score': -3.1846512153578574}, {'topic': ['bathroom', 'society', 'health', 'apartment', 'small bathroom', 'study', 'social health', 'opportunity', 'interaction', 'social interaction'], 'score': -6.12234502275531}, {'topic': ['climate', 'behavior', 'pattern', 'scale', 'person', 'open space', 'mountainous climate', 'disability', 'criterion', 'season'], 'score': -9.266488624093393}, {'topic': ['urban planning', 'chapter', 'experience', 'child', 'young people', 'planning process', 'urban life', 'library', 'location', 'mobility'], 'score': -10.019164780320486}, {'topic': ['open space', 'public open space', 'urban environment', 'poetic dwelling', 'dwelling', 'vision', 'emotion', 'urban planning', 'affordances', 'conceptualization'], 'score': -16.7927070249068}]"
7,24,0.061,"[37, 42, 55, 70, 119, 139, 145, 158, 168, 178, 189, 196, 207, 230, 241, 247, 255, 266, 277, 322, 323, 331, 356, 390]",-10.891999861696704,"[{'topic': ['vehicle', 'transportation', 'energy', 'sustainable transportation', 'public policy', 'paradigm', 'edition', 'case study', 'case', 'service'], 'score': -0.7027597844256538}, {'topic': ['interaction', 'life', 'public life', 'paper', 'experience', 'design', 'capacity', 'realm', 'space', 'public space'], 'score': -0.875568935110074}, {'topic': ['neighborhood', 'space', 'concept', 'place', 'design', 'capital', 'way', 'neighborhood design', 'social capital', 'community'], 'score': -1.27007430448509}, {'topic': ['city', 'environment', 'culture', 'development', 'study', 'mobility', 'planning', 'model', 'people', 'rail'], 'score': -2.147491028680741}, {'topic': ['service', 'transport', 'factor', 'company', 'part', 'public transport', 'level', 'alternative', 'innovation', 'incentive'], 'score': -4.262619296416848}, {'topic': ['rail system', 'rail corridor', 'cost', 'parameter', 'Smart city', 'resource', 'market', 'presentation', 'freight rail corridor', 'populate urban rail'], 'score': -11.555248970954866}, {'topic': ['appropriate', 'discipline', 'account', 'capacity', 'today', 'identity', 'part', 'society', 'experience', 'lifestyle'], 'score': -13.248009875052277}, {'topic': ['density', 'corridor', 'governance', 'urban planning', 'opportunity', 'country', 'modality', 'modality environment', 'household', 'type'], 'score': -20.39822711335797}]"
8,15,0.038,"[2, 3, 8, 9, 12, 40, 53, 58, 63, 87, 95, 180, 203, 250, 310]",-5.525002680431411,"[{'topic': ['design', 'community', 'setting', 'environment', 'way', 'term', 'role', 'people', 'nature', 'important role'], 'score': -0.6379361788885443}, {'topic': ['dimension', 'space', 'green space', 'sensory dimension', 'health', 'planning', 'perceived sensory dimension', 'result', 'urban green space', 'aim'], 'score': -0.6784186020420727}, {'topic': ['people', 'landscape', 'perception', 'type', 'nature', 'preference', 'relationship', 'factor', 'space', 'study'], 'score': -0.7405049613862441}, {'topic': ['space', 'service', 'area', 'green space', 'park', 'activity', 'ecosystem', 'study', 'ecosystem service', 'urban context'], 'score': -0.8105811957196314}, {'topic': ['sustainability', 'towards', 'form', 'people', 'area', 'landscape', 'diversity', 'riparian area', 'sustainability requires people', 'requires people'], 'score': -0.8761740539079393}, {'topic': ['landscape', 'century', 'work', 'call', 'possibility', 'examination', 'goal', 'environment', 'effect', 'understanding'], 'score': -3.018105669240405}, {'topic': ['landscape', 'space', 'culture', 'open space', 'context', 'paper', 'public space', 'public open space', 'study', 'interaction'], 'score': -3.1402912015444953}, {'topic': ['square', 'symbol', 'tourist', 'meaning', 'behaviour', 'attraction', 'site', 'landscape park', 'landscape symbol', 'experience'], 'score': -17.723001539427727}]"
