,parent,child,lambda_val,child_size
0,424,44,5173.3629355534995,1
1,424,409,5489.926701570681,1
2,424,55,5491.723731587562,1
3,424,404,5599.871829105474,1
4,424,130,5712.364998297582,1
5,424,25,5739.724940130003,1
6,424,393,5759.428767593547,1
7,424,92,5793.237569060773,1
8,424,24,5797.241188666206,1
9,424,300,5882.6143057503505,1
10,424,72,5895.01616303584,1
11,424,215,5940.940509915014,1
12,424,183,5979.050605844619,1
13,424,278,5987.586009992862,1
14,424,180,6002.58175313059,1
15,424,251,6039.314614830813,1
16,424,161,6127.54419284149,1
17,424,38,6136.509144111193,1
18,424,253,6204.591715976331,1
19,424,256,6246.1712583767685,1
20,424,43,6255.486950037285,1
21,424,420,6274.201944652206,1
22,424,317,6288.311844077961,1
23,424,405,6295.390619136961,1
24,424,299,6304.853814355505,1
25,424,162,6319.102071563088,1
26,424,230,6401.074399084319,1
27,424,37,6401.074399084319,1
28,424,263,6413.308868501529,1
29,424,48,6413.308868501529,1
30,424,206,6428.052107279694,1
31,424,4,6450.2945021145715,1
32,424,411,6465.208477842004,1
33,424,9,6487.709203402939,1
34,424,128,6495.244289585753,1
35,424,366,6500.27741185587,1
36,424,18,6502.796899224806,1
37,424,167,6520.488146132919,1
38,424,234,6528.099610894942,1
39,424,117,6553.6,1
40,424,166,6563.856025039124,1
41,424,419,6620.842936069455,1
42,424,211,6649.709076496235,1
43,424,30,6652.345757335448,1
44,424,10,6657.625396825397,1
45,424,22,6673.514717581544,1
46,424,406,6689.480063795853,1
47,424,268,6705.521982414069,1
48,424,195,6705.521982414069,1
49,424,124,6710.8864,1
50,424,348,6778.673131313131,1
51,424,227,6795.146213041718,1
52,424,135,6836.681336593317,1
53,424,96,6892.85784716516,1
54,424,196,6924.1502269913335,1
55,424,134,6932.7338842975205,1
56,424,123,6958.613023641642,1
57,424,36,6990.506666666667,1
58,424,291,6996.336947456213,1
59,424,322,7008.026733500417,1
60,424,220,7019.755648535564,1
61,424,0,7099.964451967838,1
62,424,28,7133.170068027211,1
63,424,371,7191.262751821689,1
64,424,416,7194.346483704974,1
65,424,60,7247.177537796976,1
66,424,79,7288.10425716768,1
67,424,157,7297.614615050022,1
68,424,204,7310.333769063181,1
69,424,236,7313.520488230166,1
70,424,237,7316.709986916703,1
71,424,185,7316.709986916703,1
72,424,144,7319.902268760908,1
73,424,193,7323.0973374072455,1
74,424,46,7326.29519650655,1
75,424,84,7345.5411558669,1
76,424,76,7348.758650897941,1
77,424,59,7348.758650897941,1
78,424,270,7364.888498683055,1
79,424,386,7381.0893092828865,1
80,424,11,7394.101366240635,1
81,424,26,7413.7057003977025,1
82,424,49,7433.414266725742,1
83,424,207,7486.486390004462,1
84,424,402,7493.173738276016,1
85,424,88,7496.521894548704,1
86,424,333,7523.415246636771,1
87,424,112,7540.321797752809,1
88,424,51,7547.10571300045,1
89,424,57,7550.502250225022,1
90,424,172,7584.636528028933,1
91,424,277,7594.937075599819,1
92,424,89,7598.376811594203,1
93,424,225,7619.080835603996,1
94,424,194,7636.420573509331,1
95,424,294,7643.378587699317,1
96,424,171,7643.378587699317,1
97,424,34,7667.831809872029,1
98,424,330,7703.037649219467,1
99,424,146,7710.117647058823,1
100,424,12,7727.874712114233,1
101,424,61,7749.291454965358,1
102,424,8,7749.291454965358,1
103,424,298,7760.04440333025,1
104,424,394,7763.635354002777,1
105,424,50,7788.865366759517,1
106,424,192,7796.1040892193305,1
107,424,136,7814.2598975314395,1
108,424,223,7828.845543630425,1
109,424,114,7828.845543630425,1
110,424,355,7832.500466853408,1
111,424,252,7832.500466853408,1
112,424,266,7836.158804297057,1
113,424,178,7836.158804297057,1
114,424,187,7869.238273921201,1
115,424,138,7884.0300751879695,1
116,424,20,7895.1604705882355,1
117,424,31,7913.781132075472,1
