0,1
many different dimension,{-1}
ethnic minority group,{-1}
public open scape,{-1}
white british people,{-1}
different ethnic minority,{-1}
towards inclusive design,{-1}
new canadian immigrant,{-1}
similar ethnic background,{-1}
particular ethnic group,{-1}
local ethnic community,{-1}
also significant determinant,{-1}
sustainable urban environment,{-1}
organized human environment,{-1}
create sustainable environment,{-1}
detect febrile case,{0}
typhoid fever case,{0}
fever among preschooler,{0}
urban study area,{0}
emerging collective experiment,{0}
record breaking magnitude,{0}
disaster first hand,{0}
reshaping japanese culture,{0}
whither aboriginal education,{0}
putting significant effort,{0}
school admission examination,{0}
admission examination score,{0}
benefiting aboriginal student,{0}
compulsory education system,{0}
encourage indigenous student,{0}
offer job opportunity,{0}
develop tribal wisdom,{0}
east japan earthquake,{0}
drew respective plan,{0}
planning central city,{0}
central city area,{0}
unprecedented national crisis,{0}
securing financial resource,{0}
identifying afflicted area,{0}
integrated national measure,{0}
back better concept,{0}
promoting dramatic measure,{0}
also reconstruction measure,{0}
lead prosperous life,{0}
honoring local culture,{0}
afflicted local government,{0}
significantly larger budget,{0}
larger budget fund,{0}
affected city area,{0}
lead city center,{0}
city center towards,{0}
center towards recovery,{0}
allows prefectural government,{0}
tsunami hazard zone,{0}
make integrated town,{0}
integrated town plan,{0}
tsunami disaster prevention,{0}
presumed tsunami hazard,{0}
tsunami warning zone,{0}
normal town planning,{0}
different indigenous knowledge,{0}
indigenous knowledge feature,{0}
indigenous knowledge refers,{0}
change traditional society,{0}
without indigenous knowledge,{0}
decade following issue,{0}
performing development plan,{0}
decision making method,{0}
undesirable environmental consequence,{0}
source indigenous knowledge,{0}
one geographical area,{0}
one environmental condition,{0}
examines recent response,{1}
recent development appear,{1}
closer examination reveals,{1}
best managed city,{1}
pursue outdoor recreation,{1}
cooperative urban planning,{1}
provincial western city,{1}
exemplary american metropolis,{1}
toward public good,{1}
whether typical pressure,{1}
understood without reference,{1}
broader regional setting,{1}
distinctive civic culture,{1}
supports urban progress,{1}
expansive green space,{1}
strong civic participation,{1}
whose unique initiative,{1}
american urban planning,{1}
rapidly advancing knowledge,{1}
contemporary public policy,{1}
behaviour change policy,{1}
geographically informed set,{1}
move towards neoliberalism,{1}
fastest growing economy,{1}
chinese middle class,{1}
new social group,{1}
contemporary chinese society,{1}
three major question,{1}
chinese state deal,{1}
middle class norm,{1}
norm take place,{1}
middle class generate,{1}
middle class subject,{1}
middle class society,{1}
urban growth boundary,{1}
inspired vivid description,{1}
read complex meaning,{1}
simple legal function,{1}
increasingly complex way,{1}
examines metaphorical description,{1}
many planning project,{1}
last two decade,{1}
urban regime theory,{1}
although regime theory,{1}
account geographical scale,{1}
wider economic process,{1}
regime theory literature,{1}
either nicely conjoin,{1}
within environmental history,{1}
gives us access,{1}
occupy urban space,{1}
urban environmental history,{1}
