HDBSCAN_Cluster,DocId,Cited by,Year,Document Type,Title,Abstract,Author Keywords,Authors,DOI,x,y
-1,1,594.0,2000,Article,The city and the car,"The social sciences have generally ignored the motor car and its awesome consequences for social life, especially in their analysis of the urban. Urban studies in particular has failed to consider the overwhelming impact of the automobile in transforming the time-space 'scapes' of the modern urban/suburban dweller. Focusing on forms of mobility into, across and through the city, we consider how the car reconfigures urban life, involving distinct ways of dwelling, travelling and socializing in, and through, an automobilized time-space. We trace urban sociology's paradoxical resistance to cultures of mobility, and argue that civil society should be reconceptualized as a 'civil society of automobility'. We then explore how automobility makes instantaneous time and the negotiation of extensive space central to how social life is configured. As people dwell in and socially interact through their cars, they become hyphenated car-drivers: at home in movement, transcending distance to complete a series of activities within fragmented moments of time. Urban social life has always entailed various mobilities but the car transforms these in a distinct combination of flexibility and coercion. Automobility is a complex amalgam of interlocking machines, social practices and ways of dwelling which have reshaped citizenship and the public sphere via the mobilization of modern civil societies. In the conclusion we trace a vision of an evolved automobility for the cities of tomorrow in which public space might again be made 'public'.",,"Sheller M., Urry J.",10.1111/1468-2427.00276,9.19,6.23
-1,2,357.0,2010,Article,The relation between perceived sensory dimensions of urban green space and stress restoration,"Research indicates a relationship between sensory perception of natural environments and human health. Our hypothesis is that people perceive green spaces in terms of certain dimensions, where some dimensions are more important and preferred than others with respect to restoring people from stress. The aims are to: identify and describe the perceived dimensions in nature; identify which dimensions people in general prefer; identify the dimensions people reporting stress prefer; and identify a combination of the dimensions people reporting stress prefer. A total of 953 randomly selected informants from nine Swedish cities (representative of the Swedish population) answered a postal questionnaire with pre-coded questions. The questionnaire consisted of three parts: personal data, preferences for natural qualities and self-estimations of health status. The data were analyzed using factor analysis and regression analyses. The results identify and describe eight perceived sensory dimensions. People in general prefer the dimension Serene, followed by Space, Nature, Rich in Species, Refuge, Culture, Prospect and Social. The dimensions Refuge and Nature are most strongly correlated with stress, indicating a need to find the most restorative environments. A combination of Refuge, Nature and Rich in Species, and a low or no presence of Social, could be interpreted as the most restorative environment for stressed individuals. From a city planning perspective, the results indicate how urban green spaces can be viewed as elements of importance to public mental health. However, before the dimensions can be used by practitioners as tools to promote health through city planning, more research is needed. © 2009 Elsevier B.V. All rights reserved.",Characteristics; City planning; Health promotion; Preference; Public health,"Grahn P., Stigsdotter U.K.",10.1016/j.landurbplan.2009.10.012,6.49,4.15
-1,3,308.0,2008,Review,People needs in the urban landscape: Analysis of Landscape And Urban Planning contributions,"The articles published in Landscape and Urban Planning during the past 16 years provide valuable insights into how humans interact with outdoor urban environments. This review paper explores the wide spectrum of human dimensions and issues, or human needs, addressed by 90 of these studies. As a basis for analysis, the major themes tapped by the findings were classified into two overarching groups containing three categories each. The Nature needs, directly linked with the physical features of the environmental setting, were categorized in terms of contact with nature, aesthetic preference, and recreation and play. The role of the environment is less immediate in the Human-interaction group, which includes the issues of social interaction, citizen participation in the design process, and community identity. Most significantly, the publications offer strong support for the important role nearby natural environments play in human well-being. Urban settings that provide nature contact are valuable not only in their own right, but also for meeting other needs in a manner unique to these more natural settings. In addition, although addressed in different ways, remarkable similarities exist concerning these six people requirements across diverse cultures and political systems. Urban residents worldwide express a desire for contact with nature and each other, attractive environments, places in which to recreate and play, privacy, a more active role in the design of their community, and a sense of community identity. The studies reviewed here offer continued evidence that the design of urban landscapes strongly influences the well-being and behavior of users and nearby inhabitants. © 2007 Elsevier B.V. All rights reserved.",Citizen participation; Community identity; Nature contact; Preference; Recreation; Social interaction,"Matsuoka R.H., Kaplan R.",10.1016/j.landurbplan.2007.09.009,6.33,4.38
-1,4,303.0,1999,Article,Typhoid fever in children aged less than 5 years,"Background. Calculation of the incidence of typhoid fever during preschool years is important to define the optimum age of immunisation and the choice of vaccines for public-health programmes in developing countries. Hospital-based studies have suggested that children younger than 5 years do not need vaccination against typhoid fever, but this view needs to be re-examined in community-based longitudinal studies. We undertook a prospective follow-up study of residents of a low-income urban area of Delhi, India, with active surveillance for case detection. Methods. A baseline census was undertaken in 1995. Between Nov 1, 1995, and Oct 31, 1996, we visited 8172 residents of 1820 households in Kalkaji, Delhi, twice weekly to detect febrile cases. Blood samples were obtained from febrile patients, and those who tested positive for Salmonella typhi were treated with ciprofloxacin. Findings. 63 culture-positive typhoid fever cases were detected. Of these, 28 (44%) were in children aged under 5 years. The incidence rate of typhoid per 1000 person-years was 27.3 at age under 5 years, 11.7 at 5-19 years, and 1.1 between 19 and 40 years. The difference in the incidence of typhoid fever between those under 5 years and those aged 5-19 years (15.6 per 1000 person-years [95% CI 4.7-26.5]), and those aged 19-40 years (26.2 [16.0-36.3]) was significant (p < 0.001 far both). The difference between the incidence of typhoid at 5-19 years and the incidence at 19-40 years was also significant (10.6 [6.3-14.8], p < 0 001). Morbidity in those under 5 and in older people was similar in terms of duration of fever, signs and symptoms, and need for hospital admission. Interpretation. Our findings challenge the common view that typhoid fever is a disorder of school-age children and of adults. Typhoid is a common and significant cause of morbidity between 1 and 5 years of age. The optimum age of typhoid immunisation and the choice of vaccines needs to be reassessed.This study was conducted to measure the incidence of typhoid fever among preschoolers. It was suggested that children aged 5 years do not need vaccination against typhoid fever. However, it is important to re-examine this view, particularly in infants and young children in the low-income urban area of Delhi, India, through active surveillance. Blood samples were obtained from febrile patients, and those who tested positive for Salmonella typhi were treated with ciprofloxacin. Findings revealed 63 culture-positive typhoid fever cases, about 44% of which were in children under 5 years of age. Morbidity in children under age 5 and in older people was similar in terms of duration of fever, signs and symptoms, and the need for hospital admission. The incidence of typhoid fever and the age distribution of the case varied between developing countries. Thus, the age patterns of typhoid fever observed in the urban study area may differ in rural areas within India or in other developing countries. A reevaluation of the optimum age and vaccine of choice is needed.",,"Sinha A., Sazawal S., Kumar R., Sood S., Reddaiah V.P., Singh B., Rao M., Naficy A., Clemens J.D., Bhan M.K.",10.1016/S0140-6736(98)09001-1,8.62,4.49
-1,5,216.0,2016,Article,Ten questions on the soundscapes of the built environment,"Soundscape research represents a paradigm shift from noise control policies towards a new multidisciplinary approach as it involves not only physical measurements but also the cooperation of humanity and social sciences to account for the diversity of soundscapes across countries and cultures, with more focus on how people actually experience the acoustic environments; and it considers environmental sounds as a 'resource' rather than a 'waste'. The ten questions presented in this paper range from the very basic definitions underlying the emerging soundscape science, to more applied topics about how to use soundscape as a design approach for the planning and management of the built environments. Although significant research activity has been conducted so far, there is still a need to systematically provide the underpinning science and practical guidance in soundscaping. Thus, the last question aims to identify the most crucial gaps in soundscape research and set the agenda for future advancements in the field. © 2016 Elsevier Ltd",Acoustic environment; Environmental noise; Quality of life; Soundscape; Urban sound planning,"Kang J., Aletta F., Gjestland T.T., Brown L.A., Botteldooren D., Schulte-Fortkamp B., Lercher P., van Kamp I., Genuit K., Fiebig A., Bento Coelho J.L., Maffei L., Lavia L.",10.1016/j.buildenv.2016.08.011,7.59,3.17
1,6,191.0,2005,Article,The transnational capitalist class and contemporary architecture in globalizing cities,"The focus of this article is on the role of the transnational capitalist class (TCC) in and around architecture in the production and marketing of iconic buildings and spaces, in global or world cities. The TCC is conceptualized in terms of four fractions: (1) Those who own and/or and control the major transnational corporations and their local affiliates (corporate fraction). In architecture these are the major architectural, architecture-engineering and architecture-developer-real estate firms. In comparison with the major global consumer goods, energy and financial corporations the revenues of the biggest firms in the architecture industry are quite small. However, their importance for the built environment and their cultural importance, especially in cities, far outweighs their relative lack of financial and corporate muscle. (2) Globalizing politicians and bureaucrats (state fraction). These are the politicians and bureaucrats at all levels of administrative power and responsibility who actually decide what gets built where, and how changes to the built environment are regulated. (3) Globalizing professionals (technical fraction). The members of this fraction range from the leading technicians centrally involved in the structural features of new building to those responsible for the education of students and the public in architecture. (4) Merchants and media (consumerist fraction). These are the people who are responsible for the marketing of architecture in all its manifestations. (There is obviously some overlap between the membership of these fractions.). My conclusion is that many global and aspiring global cities have looked to iconic architecture as a prime strategy of urban intervention, often in the context of rehabilitation of depressed areas. The attempt to identify the agents most responsible for this transformation, namely the TCC, and to explain how they operate, suggests that deliberately iconic architecture is becoming a global phenomenon, specifically a central urban manifestation of the culture-ideology of consumerism. © Joint Editors and Blackwell Publishing Ltd 2005.",,Sklair L.,10.1111/j.1468-2427.2005.00601.x,7.97,5.82
-1,7,187.0,2005,Article,Beyond binary choices: Integrating individual and social creativity,"The power of the unaided individual mind is highly overrated. Although society often thinks of creative individuals as working in isolation, intelligence and creativity result in large part from interaction and collaboration with other individuals. Much human creativity is social, arising from activities that take place in a context in which interaction with other people and the artifacts that embody collective knowledge are essential contributors. This paper examines: (1) how individual and social creativity can be integrated by means of proper collaboration models and tools supporting distributed cognition; (2) how the creation of shareable externalizations (""boundary objects"") and the adoption of evolutionary process models in the construction of meta-design environments can enhance creativity and support spontaneous design activities (""unselfconscious cultures of design""); and (3) how a new design competence is emerging - one that requires passage from individual creative actions to synergetic activities, from the reflective practitioner to reflective communities and from given tasks to personally meaningful activities. The paper offers examples in the context of collaborative design and art practice, including urban planning, interactive art and open source. In the effort to draw a viable path ""beyond binary choices"", the paper points out some major challenges for the next generation of socio-technical environments to further increase the integration of individual and social creativity. © 2005 Elsevier Ltd. All rights reserved.","Boundary objects; Collaboration models; Collaborative design; Distributed cognition; Envisionment and Discovery Collaboratory (EDC); Individual creativity; Meta-design; Seeding, Evolutionary growth, Reseeding (SER) process model; Social creativity","Fischer G., Giaccardi E., Eden H., Sugimoto M., Ye Y.",10.1016/j.ijhcs.2005.04.014,9.44,6.88
-1,8,163.0,2001,Article,Capitalising on multiplicity: A transdisciplinary systems approach to landscape research,"Different disciplines have landscape as the focal point of their research. They are successful in presenting new findings about landscapes within their specialisation, but collaboration - and thus, transfer of knowledge across disciplinary boundaries - is seldom realised because a common approach that bridges the gaps between disciplines is missing. Instead, different landscape concepts exist side by side. Yet, cooperation is required to tackle the various environmental and social problems related to landscapes. This paper provides an overview of the historical development of landscape concepts originating from different cultural and scientific trends, and presents a new complex concept of landscape, which is designed to enable transdisciplinary landscape research. The transdisciplinary landscape concept is based on five dimensions of landscapes: the spatial entity, the mental entity, the temporal dimension, the nexus of nature and culture, and the systemic properties of landscapes. In contrast to other approaches, it unites dimensions that are usually the domain of individual disciplines and makes it, thus, possible to capitalise on plurality in landscape research. The concept promotes landscape as the combination of the subsystems known as the geo-, bio- and noo-sphere, and is illustrated by the people-landscape interaction model. The concept can be applied to all human-landscape-related research, but is exemplified by two studies that have investigated the relationship between landscape and second-home tourism, and landscape and farming, respectively. © 2001 Elsevier Science B.V. All rights reserved.",Farming; Holism; Landscape ecology; Landscape research; People-landscape interaction; Second-home tourism; Systems thinking; Transdisciplinarity,"Tress B., Tress G.",10.1016/S0169-2046(01)00200-6,5.95,4.28
-1,9,125.0,2002,Article,Good looking: In defense of scenic landscape aesthetics,"Among US writers on environmental aesthetics, it has become de rigueur to leverage Aldo Leopold's legacy against the proliferation of ""popular"" landscape tastes, which are typically seen to have their origins in 17th-19th century European traditions of landscape painting and aesthetics. These writers regard victims of popular or ""scenic"" landscape tastes (exemplified by Olmsted's Central Park) as intellectually shallow, motivated by momentary ""sensory pleasures"", and passively and anthropocentrically drawn to ""naturalistic"" environments rather than actively and biocentrically engaged with natural environments. This implicit refusal to grant sensory information and affective processing the power to catalyze and inform serious reflection is not new; neither is the attribution of popular landscape aesthetics to the elite society of a limited culture and historical period surprising, given the current preponderance of post-modernist sensibilities. However, in the often highly-charged atmosphere of local environmental planning and management arenas, both positions are needlessly polemical. More importantly, there is good evidence to suggest that both positions are founded on misconceptions about how the human mind works. In this paper, we will review work that establishes the intellectual bona fides of visual imagery, the important contributions that emotions make to cognition, and the likelihood that explanations of environmental aesthetics rooted in European enlightenment-era landscape painting are inadequate. This review suggests that frequent calls for new normative environmental aesthetics based on a cognitive understanding of ecological sustainability are likely premature. As social scientists, we suggest that attempts to impose prescribed environmental aesthetics (albeit ecologically pure environmental aesthetics) are inappropriate and may well be self-defeating. Instead, we suggest that a thorough understanding of visual and non-visual environmental aesthetics is needed, including examinations of the possibility that affect elicited by scenic encounters with preferred landscapes can lead people to form emotional attachments to the land and thereby develop a greater appreciation for sustainability goals. © 2002 Elsevier Science B.V. All rights reserved.",Ecological aesthetics; Environmental affect; Environmental perception; Scenic aesthetics,"Parsons R., Daniel T.C.",10.1016/S0169-2046(02)00051-8,6.08,4.31
-1,10,111.0,2006,Article,"Place, culture, and the social amplification of risk","This article investigates the role of culture in the social production of risks and risk communication surrounding industrial development in a region located at a rural-urban interface. A case study examined a public consultation that was undertaken to inform local residents about an eco-industrial development proposal being planned near Edmonton, Alberta, Canada. The research employed the social amplification of risk framework (SARF) to examine the relationships among culture, place, and socially constructed risk. A total of 44 in-depth, semi-structured interviews were carried out with 33 landowners (farmers, acreage owners), public officials (municipal politicians, administrators), journalists, and industry representatives. Analysis revealed that risk communication occurred in relation to situated experiences of place that were based on conflicting cultural worldviews. The research shows that place is a useful component of the SARF, providing a spatial explanation for why some people amplify, and others attenuate, risks in locally contentious environmental debates. © 2006 Society for Risk Analysis.",Culture; Geography; Place; Social amplification of risk,"Masuda J.R., Garvin T.",10.1111/j.1539-6924.2006.00749.x,5.66,6.05
