,parent,child,lambda_val,child_size
0,168,2,674.2170069120721,1
1,168,109,675.4384637062684,1
2,168,131,687.6471841954259,1
3,168,30,719.9594901943956,1
4,168,108,730.4604667363288,1
5,168,28,735.3912509862365,1
6,168,161,748.4482512491078,1
7,168,100,749.6521894548704,1
8,168,163,754.4390682615343,1
9,168,162,767.3794081324612,1
10,168,152,768.5746484035,1
11,168,41,790.2225990297206,1
12,168,103,803.3526144416778,1
13,168,128,835.6435722468497,1
14,168,157,859.7527928666599,1
15,168,7,872.6770351105332,1
16,168,158,880.0469995803609,1
17,168,159,944.6630630630631,1
18,168,132,1053.1175695185486,1
19,168,78,1053.7128501444543,1
20,168,4,1071.6841903545194,1
21,168,83,1074.9113275243465,1
22,168,76,1087.946047597432,1
23,168,29,1102.3862277416388,1
24,168,93,1107.8457474907555,1
25,168,57,1109.3107643480562,1
26,168,125,1142.3174235718664,1
27,168,45,1147.3169664227587,1
28,168,133,1157.7679939272653,1
29,168,97,1171.5114866280287,1
30,168,31,1176.6878945153599,1
31,168,22,1208.9073353509152,1
32,168,115,1211.1764366156513,1
33,168,127,1221.0491994177585,1
34,168,40,1221.0491994177585,1
35,168,151,1225.329827636576,1
36,168,58,1225.508838568298,1
37,168,74,1226.22540564245,1
38,168,140,1227.39161606555,1
39,168,70,1227.5712299700008,1
40,168,114,1233.8002647448154,1
41,168,101,1240.3678840751145,1
42,168,56,1243.585797939367,1
43,168,1,1244.508270899785,1
44,168,129,1245.0624118738403,1
45,168,16,1249.699515828678,1
46,168,139,1252.3114130029112,1
47,168,145,1255.6856522715366,1
48,168,138,1256.4379540178238,1
49,168,155,1256.6261703243204,1
50,168,26,1258.8891723568695,1
51,168,48,1270.039061317184,1
52,168,146,1272.9298937784522,1
53,168,81,1279.2387342737325,1
54,168,21,1285.1180390654922,1
55,168,8,1296.940012368584,1
56,168,164,1299.451320579351,1
57,168,106,1302.3766495885732,1
58,168,141,1326.052481821056,1
59,168,59,1326.996440718184,1
60,168,9,1326.996440718184,1
61,168,95,1329.309563426036,1
62,168,92,1340.3543980186946,1
63,168,117,1340.3543980186946,1
64,168,107,1347.784061696658,1
65,168,67,1349.4101182337329,1
66,168,19,1358.369038944215,1
67,168,65,1362.782552189099,1
68,168,77,1372.4816753926702,1
69,168,135,1384.9443618953278,1
70,168,90,1390.684350132626,1
71,168,71,1391.2609669126794,1
72,168,144,1391.4917475325537,1
73,168,148,1400.3185042984726,1
74,168,118,1419.2721427967176,1
75,168,68,1420.4737956142578,1
76,168,121,1429.7951252769728,1
77,168,18,1435.053973141733,1
78,168,46,1437.6363324764352,1
79,168,137,1438.622534728177,1
80,168,79,1443.201376344086,1
81,168,130,1444.817085773338,1
82,168,37,1449.8112685793294,1
83,168,36,1452.6985886223915,1
84,168,116,1453.3277893277893,1
85,168,142,1462.7040976460332,1
86,168,149,1468.3367757745493,1
87,168,60,1468.465295404814,1
88,168,153,1470.1381002453559,1
89,168,143,1477.7782084030653,1
90,168,39,1487.8694572543454,1
