dimension,min_samples,min_cluster_size,epsilon,Silhouette_score,total_clusters,outliers,cluster_results,cluster_labels
85,3,7,1.0,0.4621171566,3,79,"[{'cluster_no': -1, 'count': 79}, {'cluster_no': 0, 'count': 9}, {'cluster_no': 1, 'count': 7}]","[-1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, 0, 0, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, 1, -1, -1, 1, -1, -1, 0, -1, -1, -1, 0, -1, 1, -1, -1, -1, -1, 1, 0, 0, -1, -1, -1, -1, 1, -1, 1, -1, -1, -1, -1, -1, -1]"
80,1,5,0.0,0.290057244,8,41,"[{'cluster_no': -1, 'count': 41}, {'cluster_no': 0, 'count': 6}, {'cluster_no': 1, 'count': 5}, {'cluster_no': 2, 'count': 8}, {'cluster_no': 3, 'count': 12}, {'cluster_no': 4, 'count': 8}, {'cluster_no': 5, 'count': 9}, {'cluster_no': 6, 'count': 6}]","[-1, -1, -1, 6, 5, -1, -1, -1, 4, -1, 4, -1, -1, -1, 4, -1, -1, -1, 0, 4, -1, 2, -1, 1, -1, -1, 6, 5, 2, -1, 3, 3, 6, -1, -1, 3, 0, -1, 5, 0, 2, 5, 6, -1, 6, -1, -1, 3, -1, 2, -1, 3, 0, 2, -1, 5, -1, 0, 3, 6, -1, 3, 5, -1, 4, 2, 3, 4, 3, -1, 2, -1, 3, 4, 2, -1, -1, -1, 1, 5, 3, 0, 3, -1, -1, 4, 5, -1, 5, -1, 1, 1, 1, -1, -1]"
75,4,5,1.0,0.5405518738,3,78,"[{'cluster_no': -1, 'count': 78}, {'cluster_no': 0, 'count': 12}, {'cluster_no': 1, 'count': 5}]","[-1, -1, -1, -1, -1, -1, -1, -1, 1, -1, 1, -1, -1, -1, 1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, 0, -1, 0, -1, -1, -1, 1, 0, -1, 0, 0, 0, 0, 0, -1, -1]"
70,4,5,1.0,0.40506379610000004,3,69,"[{'cluster_no': -1, 'count': 69}, {'cluster_no': 0, 'count': 21}, {'cluster_no': 1, 'count': 5}]","[-1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, 0, -1, -1, 0, 1, -1, 1, -1, -1, -1, -1, 0, -1, 1, -1, -1, -1, 0, -1, -1, -1, 1, -1, -1, 0, -1, -1, -1, -1, -1, 0, -1, -1, -1, 0, -1, 0, -1, 0, -1, -1, 0, 0, 0, -1, -1, -1, -1, 0, 0, 0, -1, -1, 0, 0, -1, 0]"
65,6,5,1.0,0.3631481533,3,83,"[{'cluster_no': -1, 'count': 83}, {'cluster_no': 0, 'count': 7}, {'cluster_no': 1, 'count': 5}]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, 0, 1, -1, 1, -1, -1, 0, 0, 1, 0, 1, -1, -1, 0, 0, -1, -1]"
60,4,11,1.0,0.3923684336,3,62,"[{'cluster_no': -1, 'count': 62}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 1, 'count': 22}]","[-1, -1, -1, -1, 1, -1, -1, -1, 1, -1, 1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, 1, -1, 0, 1, -1, -1, 1, -1, -1, -1, -1, -1, 1, -1, -1, 0, 1, -1, 1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, 1, -1, -1, 1, 1, 0, -1, 0, -1, -1, 0, -1, -1, 1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, 0, -1, -1, 1, -1, 1, 1, 0, 1, 0, -1, 1, 1, 1, -1, 1]"
55,2,11,1.0,0.3838567641,3,69,"[{'cluster_no': -1, 'count': 69}, {'cluster_no': 0, 'count': 15}, {'cluster_no': 1, 'count': 11}]","[-1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1, 0, 0, -1, 1, -1, -1, -1, -1, -1, 0, -1, 1, -1, -1, -1, 1, -1, 0, -1, -1, 0, -1, -1, 0, 1, -1, -1, 1, -1, -1, 0, -1, 1, -1, 0, -1, 1, -1, -1, -1, -1, -1, 0, 0, -1, -1, -1, -1, 1, 1, 0, 1, -1, -1, -1, -1, -1]"
50,3,6,1.0,0.4418145913,3,62,"[{'cluster_no': -1, 'count': 62}, {'cluster_no': 0, 'count': 27}, {'cluster_no': 1, 'count': 6}]","[-1, -1, -1, 1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, 1, 0, -1, 1, -1, -1, 1, -1, -1, 0, -1, -1, 0, 0, -1, 0, 1, -1, 1, -1, -1, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, 0, -1, 0, -1, -1, 0, -1, 0, 0, -1, 0, -1, 0, -1, 0, -1, -1, -1, -1, 0, 0, 0, -1, -1, -1, -1, 0, 0, 0, 0, -1, -1, 0, -1, -1]"
45,2,9,1.0,0.4476146721,3,74,"[{'cluster_no': -1, 'count': 74}, {'cluster_no': 0, 'count': 9}, {'cluster_no': 1, 'count': 12}]","[-1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, 1, 1, -1, 0, -1, -1, -1, -1, -1, 1, -1, 0, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, 1, 0, -1, -1, 0, -1, -1, 1, -1, -1, -1, 1, -1, 0, -1, -1, -1, -1, 0, 1, 1, -1, -1, -1, -1, 0, -1, 0, -1, -1, -1, -1, -1, -1]"
40,2,5,0.0,0.2578241811,4,52,"[{'cluster_no': -1, 'count': 52}, {'cluster_no': 0, 'count': 15}, {'cluster_no': 1, 'count': 21}, {'cluster_no': 2, 'count': 7}]","[-1, -1, -1, 2, 1, -1, -1, -1, 0, 2, 0, -1, -1, -1, 0, -1, -1, -1, -1, 0, -1, 1, -1, -1, -1, -1, 2, -1, -1, -1, -1, -1, 2, -1, -1, 1, 1, -1, 1, 1, -1, 1, 2, -1, 2, -1, -1, 1, -1, 1, -1, -1, 1, -1, -1, 1, -1, 0, 1, 2, -1, 1, 1, -1, 0, 1, -1, -1, 1, -1, -1, -1, 1, -1, -1, -1, -1, 0, 0, 1, 1, 1, -1, 0, -1, 0, -1, -1, 1, -1, 0, 0, 0, 0, 0]"
