1-gram,1-gram-score,1-gram-freq,1-gram-docs,1-gram-clusters,2-gram,2-gram-score,2-gram-freq,2-gram-docs,2-gram-clusters,3-gram,3-gram-score,3-gram-freq,3-gram-docs,3-gram-clusters,N-gram,N-gram-score,N-gram-freq,N-gram-docs,N-gram-clusters
area,0.003931238,30,17,1,typhoid fever,0.0029973351000000003,11,1,1,urban regime theory,0.0036986144,4,1,1,area,0.003931238,30,17,1
landscape,0.0032760317000000002,25,7,1,small business,0.0029973351000000003,11,1,1,ethnic minority group,0.0027739608,3,1,1,urban regime theory,0.0036986144,4,1,1
mobility,0.0030139492,23,5,1,young people,0.0027248501,10,5,1,human sensory assessment,0.0027739608,3,1,1,landscape,0.0032760317000000002,25,7,1
child,0.001965619,15,6,1,public space,0.0027248501,10,6,1,typhoid fever case,0.0018493072,2,1,1,mobility,0.0030139492,23,5,1
fever,0.0017035365,13,1,1,indigenous knowledge,0.0027248501,10,1,1,public green space,0.0018493072,2,1,1,typhoid fever,0.0029973351000000003,11,1,1
literature,0.0017035365,13,5,1,middle class,0.0021798801,8,1,1,urban growth boundary,0.0018493072,2,1,1,small business,0.0029973351000000003,11,1,1
need,0.0015724952,12,8,1,residential standard,0.0021798801,8,1,1,using social medium,0.0018493072,2,1,1,ethnic minority group,0.0027739608,3,1,1
article,0.0015724952,12,9,1,new town,0.0019073951000000001,7,1,1,relationship among people,0.0018493072,2,1,1,human sensory assessment,0.0027739608,3,1,1
town,0.0015724952,12,4,1,smart city,0.0019073951000000001,7,2,1,satisfy project requirement,0.0018493072,2,1,1,young people,0.0027248501,10,5,1
space,0.0014992664,31,18,2,urban environment,0.0019073951000000001,7,3,1,different social milieu,0.0018493072,2,1,1,public space,0.0027248501,10,6,1
age,0.0014414539,11,3,1,everyday life,0.0016349101,6,6,1,decision support system,0.0018493072,2,1,1,indigenous knowledge,0.0027248501,10,1,1
street,0.0014414539,11,4,1,regime theory,0.0016349101,6,1,1,smart city application,0.0018493072,2,1,1,middle class,0.0021798801,8,1,1
perspective,0.0014414539,11,7,1,local government,0.0013624251,5,3,1,sustainable urban environment,0.0018493072,2,1,1,residential standard,0.0021798801,8,1,1
