DocId,key-phrases
1,"['Urban social life', 'urban life', 'urban sociology', 'automobile', 'modern civil society']"
2,"['urban green space', 'natural environment', 'restorative environment', 'green space', 'city planning perspective']"
3,"['urban landscape', 'urban environment', 'outdoor urban environment', 'Urban Planning contribution', 'provide nature']"
4,"['typhoid immunisation', 'Typhoid fever', 'typhoid fever case', 'typhoid', 'Salmonella typhi']"
5,"['Soundscape research', 'soundscapes', 'soundscape science', 'soundscape', 'environmental sound']"
6,"['iconic architecture', 'contemporary architecture', 'transnational capitalist class', 'transnational capitalist', 'architecture']"
7,"['social creativity', 'collaborative design', 'human creativity', 'individual creative action', 'spontaneous design activity']"
8,"['transdisciplinary landscape research', 'different landscape concept', 'landscape research', 'landscape concept', 'transdisciplinary landscape concept']"
9,"['environmental aesthetic', 'pure environmental aesthetic', 'landscape taste', 'scenic landscape', 'aesthetic']"
10,"['environmental debate', 'contentious environmental debate', 'risk framework', 'risk communication', 'culture']"
11,"['public green space', 'foreign resident youth', 'immigrant young people', 'social inclusion', 'Zurich investigated leisure']"
12,"['ecology', 'behavioral landscape preference', 'arcadian landscape', 'nature', 'landscape']"
13,"['Social impact assessment', 'Guangzhou case study', 'urban development', 'participatory planning', 'impact assessment']"
14,"['deindustrialised landscape', 'revitalisation', 'iconic cultural project', 'tyne', 'iconic project']"
15,"['cultural economy', 'art social milieu', 'cultural economic development', 'New York culture', 'cultural producer']"
16,"['thermal comfort', 'thermal comfort range', 'different thermal environment', 'thermal environment', 'thermal index']"
17,"['problematic street culture', 'street culture', 'Revanchist sanitisation', 'problematic street', 'revanchist expulsion']"
18,"['suburb', 'suburb shape', 'suburban definition', 'area', 'semantics']"
19,"['inclusive landscape', 'inclusive design', 'towards inclusive design', 'landscape architect', 'cultural experience']"
20,"['alternative culture', 'cultural economy', 'heritage', 'city', 'marginal community']"
21,"['cultural ecosystem', 'contemporary cultural ecosystem', 'cultural ecosystem service', 'cultural heritage', 'coastal mangrove forest']"
22,"['cultural production', 'Art', 'redevelopment', 'economic development', 'subculture']"
23,"['Urban sustainability transition', 'transition towards urbanisation', 'Urban sustainability', 'sustainability transition unfold', 'towards urbanisation']"
24,"['urban regeneration', 'urban design technique', 'wider cultural regeneration', 'urban design', 'urban development']"
25,"['slum community', 'urban slum', 'slum', 'urban settlement', 'poor urban settlement']"
26,"['Chinatown landscape', 'urban renewal', 'housing landscape', 'landscape meaning', 'landscape reality']"
27,"['urban young people', 'young life', 'mobility', 'urban study', 'mobility experience']"
28,"['multinaturalism', 'multiculturalism', 'collective experiment', 'scientific laboratory', 'modernity']"
29,"['support urban progress', 'Portland style', 'urban progress', 'Portlanders', 'exemplary American metropolis']"
30,"['outdoor urban space', 'urban environment', 'hot arid climate', 'thermal comfort', 'urban space']"
31,"['Singapore River waterfront', 'urban reclamation', 'Waterfront development', 'redevelopment', 'Derelict waterfront']"
32,"['nuclear crisis', 'tsunami', 'Natural disaster', 'tragic catastrophe', 'Japanese culture']"
33,"['regional entrepreneurial ecosystem', 'regional innovation', 'regional economic development', 'entrepreneurial ecosystem', 'knowledge spillover']"
34,"['intergenerational urban space', 'embed diverse youth', 'diverse youth voice', 'diverse youth', 'urban space']"
35,"['urban bicycling culture', 'bicycling culture', 'Bicycle advocacy', 'urban bicycling', 'bicycling']"
36,"['sustainable city', 'inefficient city', 'environmental sustainability', 'sustainable performance', 'sustainability perspective']"
37,"['public transport', 'private transport', 'private transport service', 'transport need', 'transport']"
38,"['inclusive municipal governance', 'slum upgrading sustainability', 'towards inclusive governance', 'inclusive governance', 'City governance']"
39,"['Brain culture', 'brain', 'neuroscience', 'behavioural science', 'behaviour change policy']"
40,"['cultural ecosystem service', 'cultural ecosystem', 'ecosystem service', 'cultural service', 'cultural value']"
41,"['sustainable food culture', 'food culture', 'sustainable food', 'HCI design', 'urban informatics']"
42,"['urban design', 'urban environment', 'careful traffic', 'traffic behaviour', 'traffic infrastructure']"
43,"['Transcultural city', 'transcultural placemaking', 'urban place', 'urban space', 'diverse urban environment']"
44,"['Singapore River development', 'global urbanism', 'Singapore River landscape', 'acclaimed waterfront', 'Singapore experience']"
45,"['Chinese middle class', 'contemporary Chinese society', 'Chinese society', 'Chinese politics', 'middle class society']"
46,"['Latino urban experience', 'Latino integration', 'Latino community', 'urbanization', 'urban study literature']"
47,"['road traffic noise', 'traffic noise', 'road traffic', 'noise', 'house vibration']"
48,"['creative waterfront renewal', 'Creative city', 'Urban history', 'waterfront renewal', 'creative waterfront']"
49,"['British African colony', 'colonial discourse', 'African empire', 'African colony', 'colonial hegemony']"
50,"['urban design', 'concern architectural theory', 'architectural theory', 'genuinely urban environment', 'architecture']"
51,"['Wildfire risk', 'effective landscape planning', 'landscape planning', 'anthropogenic burning', 'conservation practice']"
52,"['urban growth boundary', 'urban growth', 'regional landscape', 'planning theory', 'Artistic interpretation']"
53,"['urban green landscape', 'green space designing', 'green landscape', 'preferred flower', 'ornamental plant specie']"
54,"['Dominican immigrant', 'new Dominican presence', 'Dominican presence', 'racialization process', 'immigration']"
