No,DocId,key-phrases
1,4,"['typhoid immunisation', 'Typhoid fever', 'typhoid fever case', 'typhoid', 'Salmonella typhi']"
2,10,"['environmental debate', 'contentious environmental debate', 'risk framework', 'risk communication', 'culture']"
3,13,"['Social impact assessment', 'Guangzhou case study', 'urban development', 'participatory planning', 'impact assessment']"
4,17,"['problematic street culture', 'street culture', 'Revanchist sanitisation', 'problematic street', 'revanchist expulsion']"
5,27,"['urban young people', 'young life', 'mobility', 'urban study', 'mobility experience']"
6,29,"['support urban progress', 'Portland style', 'urban progress', 'Portlanders', 'exemplary American metropolis']"
7,32,"['nuclear crisis', 'tsunami', 'Natural disaster', 'tragic catastrophe', 'Japanese culture']"
8,39,"['Brain culture', 'brain', 'neuroscience', 'behavioural science', 'behaviour change policy']"
9,49,"['British African colony', 'colonial discourse', 'African empire', 'African colony', 'colonial hegemony']"
10,52,"['urban growth boundary', 'urban growth', 'regional landscape', 'planning theory', 'Artistic interpretation']"
11,71,"['Russian empire', 'modern Russian identity', 'Eurasian empire', 'Russian identity', 'Imperial nobility']"
12,73,"['ethnic concentration', 'ethnic community', 'local ethnic community', 'new Canadian immigrant', 'Canadian immigrant']"
13,80,"['water management', 'water resource management', 'unsustainable water management', 'megacities water quantity', 'megacities water']"
14,83,"['address visible homelessness', 'hidden homelessness', 'visible homelessness', 'homeless', 'homelessness']"
15,132,"['favela Morro da', 'favelas', 'favela', 'Urban afforestation', 'urbanized area']"
16,137,"['urban conflict', 'conflict activity', 'urban space', 'conflict', 'urban resource']"
17,140,"['death', 'Quebec rural francophones', 'ethnographic study', 'rural francophones', 'Milieu rural']"
18,163,"['revered monument', 'failed urban planning', 'monument', 'historic building', 'urban planning']"
19,204,"['smart city application', 'smart city', 'Smart City road', 'smart application', 'intelligent system']"
20,212,"['urban environmental history', 'green urbanism', 'urban ecology', 'urbanism', 'modern city']"
21,221,"['sustainable lifestyle practice', 'sustainable development', 'sustainability', 'Australasian region', 'lifestyle practice']"
22,232,"['urbanizing city', 'urbanisation', 'urban management', 'effective urban management', 'rapid urbanisation']"
23,236,"['cultural interaction', 'Russian student', 'social relation', 'cultural system', 'inter cultural dialogue']"
24,239,"['regional culture study', 'Krasnoyarsk krai', 'regional culture', 'cultural research', 'krai']"
25,249,"['Portuguese colonial context', 'portuguese imperial history', 'Portuguese colonialism', 'Colonial architecture', 'Portuguese colonial']"
26,254,"['Philadelphia planning', 'Philadelphia planning process', 'urban renaissance', 'American industrial metropolis', 'urban historical process']"
27,257,"['Whither aboriginal education', 'aboriginal education', 'indigenous student', 'aboriginal student', 'tribal college']"
28,258,"['first international exposition', 'international exposition', 'centennial', 'important cultural event', 'cultural event']"
29,289,"['African mobility', 'African history', 'colonial politics', 'African culture', 'colonial authority']"
30,306,"['earthquake disaster prevention', 'disaster prevention awareness', 'disaster prevention', 'earthquake disaster', 'seismic culture']"
31,320,"['study urban sprawl', 'urban sprawl', 'social urbanism', 'urban sprawl finish', 'Urbanization']"
32,323,"['ICT enable indicator', 'city transformation', 'urban area', 'city', 'city towards']"
33,332,"['human mobility system', 'human mobility', 'mobility model', 'smart transportation', 'mobility system']"
34,335,"['town reconstruction', 'tsunami disaster prevention', 'east Japan earthquake', 'Japan earthquake', 'town planning']"
35,373,"['Indigenous knowledge refers', 'different indigenous knowledge', 'indigenous knowledge', 'source Indigenous knowledge', 'indigenous knowledge feature']"
36,381,"['Aboriginal songwriter', 'aboriginal culture', 'indigenous people', 'aboriginal', 'museum']"
37,382,"['Taiwan Indigenous TV', 'Indigenous TV', 'mainstream Taiwanese society', 'Taiwanese society', 'TV station']"
38,383,"['Indigenous movement', 'aboriginal affair', 'council', 'habitation', 'government']"
39,389,"['water management plan', 'Bangladesh perspective', 'water resource', 'decentralized water management', 'sustainable regional level']"
