No,DocId,key-phrases
1,14,"['deindustrialised landscape', 'revitalisation', 'iconic cultural project', 'tyne', 'iconic project']"
2,15,"['cultural economy', 'art social milieu', 'cultural economic development', 'New York culture', 'cultural producer']"
3,22,"['cultural production', 'Art', 'redevelopment', 'economic development', 'subculture']"
4,24,"['urban regeneration', 'urban design technique', 'wider cultural regeneration', 'urban design', 'urban development']"
5,48,"['creative waterfront renewal', 'Creative city', 'Urban history', 'waterfront renewal', 'creative waterfront']"
6,56,"['city branding', 'heritage management', 'architecture revitalization', 'cultural city', 'heritage']"
7,59,"['cultural industry metropolis', 'cultural industry', 'culture hub', 'knowledge creation', 'urban planning']"
8,61,"['event management profession', 'event industry', 'festival tourism', 'festival environment', 'international festival environment']"
9,79,"['place branding', 'branding campaign', 'branding', 'cultural planning', 'authentic cultural element']"
10,81,"['Lille experience', 'Lille métropole', 'metropolitan development strategy', 'cultural development', 'metropolitan development']"
11,96,"['new creative cluster', 'creative industry', 'creative cluster', 'impressive creative cluster', 'industrial park']"
12,109,"['urban tourism', 'urban tourism increase', 'cultural capital', 'Urban beautification', 'urban identity']"
13,149,"['community art', 'cultural participation', 'cultural participation contribute', 'cultural expression', 'cultural institution']"
14,184,"['Urban branding', 'product luxury place', 'product experience', 'urban experience', 'urban regeneration project']"
15,200,"['creative economy sector', 'creative economy', 'city development', 'Cultural activity', 'cultural project']"
16,211,"['contemporary city', 'creative externality', 'gentrification', 'creative people', 'city']"
17,281,"['smart creative city', 'Urban Regeneration Policy', 'urban regeneration programme', 'urban regeneration process', 'Lyon metropolis']"
18,342,"['contemporary creative placemaking', 'Creative placemaking', 'placemaking', 'art center', 'creative crucible']"
19,377,"['European Capital', 'Liverpool', 'Capital', 'cultural heritage', 'urban geography']"
