No,DocId,key-phrases
1,4,"['typhoid immunisation', 'Typhoid fever', 'typhoid fever case', 'typhoid', 'Salmonella typhi']"
2,11,"['public green space', 'foreign resident youth', 'immigrant young people', 'social inclusion', 'Zurich investigated leisure']"
3,13,"['Social impact assessment', 'Guangzhou case study', 'urban development', 'participatory planning', 'impact assessment']"
4,17,"['problematic street culture', 'street culture', 'Revanchist sanitisation', 'problematic street', 'revanchist expulsion']"
5,18,"['suburb', 'suburb shape', 'suburban definition', 'area', 'semantics']"
6,19,"['inclusive landscape', 'inclusive design', 'towards inclusive design', 'landscape architect', 'cultural experience']"
7,23,"['Urban sustainability transition', 'transition towards urbanisation', 'Urban sustainability', 'sustainability transition unfold', 'towards urbanisation']"
8,26,"['Chinatown landscape', 'urban renewal', 'housing landscape', 'landscape meaning', 'landscape reality']"
9,27,"['urban young people', 'young life', 'mobility', 'urban study', 'mobility experience']"
10,28,"['multinaturalism', 'multiculturalism', 'collective experiment', 'scientific laboratory', 'modernity']"
11,29,"['support urban progress', 'Portland style', 'urban progress', 'Portlanders', 'exemplary American metropolis']"
12,32,"['nuclear crisis', 'tsunami', 'Natural disaster', 'tragic catastrophe', 'Japanese culture']"
13,34,"['intergenerational urban space', 'embed diverse youth', 'diverse youth voice', 'diverse youth', 'urban space']"
14,36,"['sustainable city', 'inefficient city', 'environmental sustainability', 'sustainable performance', 'sustainability perspective']"
15,39,"['Brain culture', 'brain', 'neuroscience', 'behavioural science', 'behaviour change policy']"
16,45,"['Chinese middle class', 'contemporary Chinese society', 'Chinese society', 'Chinese politics', 'middle class society']"
17,49,"['British African colony', 'colonial discourse', 'African empire', 'African colony', 'colonial hegemony']"
18,50,"['urban design', 'concern architectural theory', 'architectural theory', 'genuinely urban environment', 'architecture']"
19,52,"['urban growth boundary', 'urban growth', 'regional landscape', 'planning theory', 'Artistic interpretation']"
20,56,"['city branding', 'heritage management', 'architecture revitalization', 'cultural city', 'heritage']"
21,60,"['unpopular outdoor place', 'popular place', 'urban area', 'popular restaurant', 'street view']"
22,61,"['event management profession', 'event industry', 'festival tourism', 'festival environment', 'international festival environment']"
23,64,"['affect climate change', 'affect climate', 'climate change', 'greenhouse gas emission', 'Population growth']"
24,65,"['urban housing complies', 'residential standard', 'current residential standard', 'housing complies', 'urban housing']"
25,67,"['design profession', 'contemporary city', 'interior design', 'industrial design', 'design']"
26,69,"['urban planning', 'influenced urban planning', 'Soviet influence', 'Confucianism', 'economic development']"
