No,DocId,key-phrases
1,87,"['urban housing complies', 'residential standard', 'current residential standard', 'housing complies', 'urban housing']"
2,144,"['traditional rule system', 'Islamic culture', 'traditional rule', 'rule system', 'Maghrib country']"
3,165,"['sustainable housing pattern', 'sustainable housing', 'housing environment', 'traditional housing', 'Cypriot settlement']"
4,178,"['traditional architecture', 'traditional urban settlement', 'architecture', 'urban settlement', 'new housing development']"
5,191,"['urban sustainable structure', 'historic Islamic city', 'Islamic city', 'sustainable vernacular city', 'urban structure']"
6,249,"['Hamid architecture', 'Cultural heritage', 'heritage', 'conventional tourism', 'intangible heritage']"
7,270,"['Islamic residential architecture', 'Qatari vernacular courtyard', 'architectural sociology', 'housing spatial form', 'vernacular domestic architecture']"
8,277,"['sustainable traditional market', 'cultural sustainable market', 'sustainable market', 'Traditional market', 'Nowadays sustainable development']"
9,324,"['urban design', 'urban design practice', 'Indian city', 'built morphology', 'design spatial theory']"
10,386,"['traditional Anatolian citadel', 'Anatolian citadel', 'traditional urban form', 'architectural form', 'urban street façades']"
11,389,"['Balinese architecture', 'urban cultural identity', 'urban design process', 'urban space', 'Balinese town']"
12,391,"['urban morphology', 'cultural heritage district', 'heritage district', 'urban design enhancement', 'historic preservation']"
13,445,"['urban cultural information', 'signage', 'historic block', 'cultural information', 'urban culture']"
14,458,"['city identity', 'architectural identity', 'downtown urban development', 'urban development', 'urban redevelopment']"
15,460,"['indigenous architectural form', 'indigenous architecture', 'architectural aesthetic', 'vernacular architectural aesthetic', 'vernacular architecture']"
16,462,"['traditional city', 'urban form configuration', 'urban form', 'Kurdish city', 'city']"
17,483,"['Architectural conservation', 'architectural heritage', 'local architectural heritage', 'cultural identity', 'urban planning']"
18,499,"['local building culture', 'sustainable social housing', 'vernacular heritage', 'architectural design', 'cultural landscape']"
19,520,"['Urban landscape', 'Urban landscape perception', 'sociohistorical memory', 'landscape design', 'understanding landscape']"
20,521,"['urban characteristic', 'critical regionalism', 'regionalism', 'many original settlement', 'original settlement']"
21,532,"['heritage value', 'architectural education', 'architectural project', 'hermenêutica', 'hermeneutic philosophy']"
22,547,"['Sustainable living', 'sustainability', 'current building practice', 'sustainability roadmaps', 'architectural value']"
23,566,"['house façades', 'house style', 'façades', 'design', 'style']"
24,595,"['village design', 'village design guideline', 'point village design', 'tourist development', 'rural settlement']"
