No,DocId,key-phrases,key-phrases-rake
1,14,"['deindustrialised landscape', 'iconic cultural project', 'revitalisation', 'tyne', 'iconic project']","['massive financial investment', 'iconic cultural project', 'flagship regeneration project', 'cultural project', 'financial investment']"
2,20,"['alternative culture', 'cultural economy', 'heritage', 'city', 'marginal community']","['inner city', 'unexamined use', 'alternative culture', 'marginal community', 'many problem']"
3,43,"['Transcultural city', 'transcultural placemaking', 'urban place', 'urban space', 'diverse urban environment']","['foreign domestic worker', 'different ethnic community', 'major cultural event', 'diverse urban environment', 'Asian night market']"
4,54,"['Dominican immigrant', 'new Dominican presence', 'Dominican presence', 'racialization process', 'civic participation']","['northern Manhattan neighborhood', 'first large wave', 'York City politics', 'new Dominican presence', 'share common goal']"
5,66,"['urban informality', 'contemporary nightlife', 'nightlife', 'urban space', 'urban bar']","['regulated global city', 'global city', 'liveable city', 'urban space', 'everyday space']"
6,86,"['Urban planning', 'metropolitan spatial apartheid', 'spatial apartheid', 'place identity', 'cultural identity']","['reborn German capital', 'GDR full square', 'metropolitan spatial apartheid', 'Ulster unionist tradition', 'intense emotional meaning']"
7,94,"['art activism', 'creative city', 'local cultural policy', 'occupied theatre', 'theatre']","['local cultural policy', 'different cultural offer', 'social medium activity', 'concern Macao claim', 'social medium']"
8,98,"['British suburban literature', 'suburban literature', 'suburban identity', 'contemporary British literature', 'British literature']","['contemporary British literature', 'unexpected fictional locale', 'contemporary multicultural fiction', 'place shapes class', 'British suburban literature']"
9,109,"['urban tourism increase', 'urban tourism', 'cultural capital', 'Urban beautification', 'urban development']","['related specialized bureaucracy', 'sophisticated public demand', 'related cultural form', 'new fiscal reality', 'increase intermunicipal competition']"
10,113,"['cultural policy', 'urban planning', 'city', 'new metropolitan age', 'urban study']","['new metropolitan age', 'truly global contribution', 'cultural policy play', 'metropolitan age', 'global contribution']"
11,123,"['urban wellbeing', 'community dance', 'nurturing urban wellbeing', 'Vancouver urban governance', 'City festival']","['Vancouver urban governance', 'nurturing urban wellbeing', 'new legislative alliance', 'urban governance policy', 'creative dance practice']"
12,124,"['urban music economy', 'grime music scene', 'music economy', 'informal creative economy', 'grime music']","['many young people', 'marginalised young people', 'informal creative economy', 'urban music economy', 'grime music scene']"
13,128,"['Chinatowns worldwide', 'downtown ethnography', 'barrio chino', 'Chinese enclave', 'Barcelona satellite city']","['suburban Barcelona satellite', 'sanitized public space', 'exotic alternative space', 'exotic nocturnal amusement', 'political economic power']"
14,131,"['urban capitalism', 'urban economy', 'Diverse urban theory', 'urban life', 'market city']","['Diverse urban theory', 'economic process shape', 'process shape conception', 'urban life contribute', 'economic process']"
15,133,"['urban history', 'contemporary urban case', 'urban design', 'city past', 'urban built environment']","['contemporary urban case', 'recurrent epistemological impasse', 'new social morphology', 'human social experience', 'diverse spatial practice']"
16,141,"['Public art', 'Canadian art', 'public space', 'art history', 'art']","['cultural study', 'urban study', 'Canadian art', 'Public art', 'Critical perspective']"
17,142,"['urban space', 'improvisation emerges', 'improvisation', 'political opening', 'urban living']","['ambiguous political opening', 'urban living lab', 'urban living', 'political opening', 'living lab']"
18,154,"['urban civic culture', 'towards urban modernity', 'comparative urbanism', 'urban modernity', 'urbanism']","['multiple urban modernity', 'Western urban context', 'towards urban modernity', 'urban civic culture', 'urban context tend']"
19,155,"['Indigenous erasure', 'urban Indigenous experience', 'contemporary Indigenous identity', 'Indigenous identity', 'Indigenous experience']","['contemporary Indigenous identity', 'urban Indigenous experience', 'Indigenous identity', 'Indigenous experience', 'urban area']"
20,165,"['marginalised city', 'youth culture', 'cultural regeneration', 'youth engagement', 'culture']","['cultural regeneration event', 'cultural regeneration', 'regeneration event', 'young people', 'urban planning']"
21,166,"['urban landscape', 'particular urban landscape', 'Ponte City project', 'photographer portrays place', 'City project']","['particular urban landscape', 'Ponte City project', 'photographer portrays place', 'portrays place', 'urban landscape']"
22,167,"['hip hop culture', 'hip hop study', 'hip hop milieu', 'real hip hop', 'hip hop activist']","['receive institutional support', 'real hip hop', 'hip hop study', 'hip hop activist', 'hip hop milieu']"
23,171,"['Black movement', 'Black struggle', 'African diaspora', 'Black parties', 'Black party']","['great political movement', 'political movement', 'musical movement', 'Black movement', 'political language']"
24,175,"['modern capital city', 'modern capital', 'urban design', 'subnational identity', 'nationalistic position']","['multiple social identity', 'bear little resemblance', 'last sixty year', 'many constituent nation', 'modern capital city']"
25,176,"['malandro', 'postcolonial Creole city', 'Asphalt bandit', 'Creole city turn', 'Malandros']","['Latin American city', 'postcolonial Creole city', 'Creole city turn', 'Creole city', 'American city']"
26,190,"['Ethnic tourism', 'ethnic quarter', 'tourist community', 'Many ethnic quarter', 'urban tourism']","['former industrial area', 'specific cultural community', 'many different culture', 'Many ethnic quarter', 'commercial ethnic belt']"
27,191,"['touristic poverty', 'tourist commodity', 'tourism', 'tourism study', 'favela']","['urban study', 'international tourist', 'controversial practice', 'impoverished neighbourhood', 'idealized aspect']"
28,192,"['cultural form', 'symbol', 'ethnographic work', 'social space', 'context']","['deprived urban area', 'social science towards', 'urban area', 'social science', 'science towards']"
29,193,"['diverse community', 'Toward diversity', 'cultural participation', 'cultural participation contributes', 'ethnic diversity']","['racial ethnic dynamic', 'racial ethnic identity', 'many different type', 'cultural participation contributes', 'focus group discussion']"
30,213,"['ethnic community', 'immigrant community', 'intangible cultural history', 'ethnic community formation', 'interactive cultural history']","['interactive cultural history', 'online cultural history', 'intangible cultural history', 'intangible cultural heritage', 'ethnic community formation']"
31,218,"['subway system', 'City subway system', 'city subway', 'York city subway', 'Underground movement']","['New York city', 'blighted urban netherworld', 'York city subway', 'American melting pot', 'early texts continue']"
32,280,"['urban modernism', 'new urban modernism', 'modern youth identity', 'modern youth', 'modern town']","['new urban modernism', 'modern town planning', 'modern youth identity', 'efficient city marketing', 'former imperial metropolis']"
33,286,"['recent pedestrianization', 'pedestrianization', 'cosmopolitanism', 'urban renewal', 'urban revitalization']","['Criée aux Poissons', 'major aesthetic development', 'urban revitalization effort', 'urban renewal project', 'aux Poissons']"
34,292,"['postpunk', 'counterculture', 'Australian film', 'space', 'Exploring dog']","['remarkable film', 'Australian film', 'ensemble cast', 'urban planning', 'invaluable resource']"
